published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-07-29,2020-07-29 11:00:00,450.0,471.0,450.0,460.5,2.33,16.0,7632.0,1
2020-07-29,2020-07-29 12:00:00,460.5,471.0,460.5,471.0,2.28,16.0,7632.0,1
2020-07-29,2020-07-29 13:00:00,471.0,481.5,471.0,481.5,2.23,16.0,7632.0,1
2020-07-29,2020-07-29 14:00:00,481.5,492.0,481.5,492.0,2.18,16.0,7632.0,1
2020-07-29,2020-07-29 15:00:00,492.0,492.0,450.0,492.0,0.0,16.0,7632.0,0
2020-07-30,2020-07-30 11:00:00,501.0,521.0,501.0,511.0,2.0,18.0,9538.0,1
2020-07-30,2020-07-30 12:00:00,511.0,521.0,511.0,521.0,1.96,18.0,9538.0,1
2020-07-30,2020-07-30 13:00:00,521.0,531.0,521.0,531.0,1.92,18.0,9538.0,1
2020-07-30,2020-07-30 14:00:00,531.0,541.0,531.0,541.0,1.88,18.0,9538.0,1
2020-07-30,2020-07-30 15:00:00,541.0,541.0,501.0,541.0,0.0,18.0,9538.0,0
2020-08-02,2020-08-02 11:00:00,551.0,573.0,551.0,562.0,2.0,46.0,27150.0,1
2020-08-02,2020-08-02 12:00:00,562.0,573.0,562.0,573.0,1.96,46.0,27150.0,1
2020-08-02,2020-08-02 13:00:00,573.0,584.0,573.0,584.0,1.92,46.0,27150.0,1
2020-08-02,2020-08-02 14:00:00,584.0,595.0,584.0,595.0,1.88,46.0,27150.0,1
2020-08-02,2020-08-02 15:00:00,595.0,595.0,551.0,595.0,0.0,46.0,27150.0,0
2020-08-03,2020-08-03 11:00:00,606.0,630.0,606.0,618.0,1.98,155.2,101260.8,1
2020-08-03,2020-08-03 12:00:00,618.0,630.0,618.0,630.0,1.94,155.2,101260.8,1
2020-08-03,2020-08-03 13:00:00,630.0,642.0,630.0,642.0,1.9,155.2,101260.8,1
2020-08-03,2020-08-03 14:00:00,642.0,654.0,642.0,654.0,1.87,155.2,101260.8,1
2020-08-03,2020-08-03 15:00:00,654.0,654.0,606.0,654.0,0.0,155.2,101260.8,0
2020-08-05,2020-08-05 11:00:00,667.0,693.0,667.0,680.0,1.95,904.4,649988.0,1
2020-08-05,2020-08-05 12:00:00,680.0,693.0,680.0,693.0,1.91,904.4,649988.0,1
2020-08-05,2020-08-05 13:00:00,693.0,706.0,693.0,706.0,1.88,904.4,649988.0,1
