published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-12-20,2018-12-20 11:00:00,88.0,96.5,87.0,91.5,3.98,249.0,25069.0,1
2018-12-20,2018-12-20 12:00:00,91.5,95.0,91.5,95.0,3.83,249.0,25069.0,1
2018-12-20,2018-12-20 13:00:00,95.0,98.5,95.0,98.5,3.68,249.0,25069.0,1
2018-12-20,2018-12-20 14:00:00,98.5,102.0,98.5,102.0,3.55,249.0,25069.0,1
2018-12-20,2018-12-20 15:00:00,102.0,105.0,86.0,102.0,0.0,249.0,25069.0,0
2018-12-23,2018-12-23 11:00:00,103.0,103.5,100.5,103.25,0.24,584.0,59042.0,1
2018-12-23,2018-12-23 12:00:00,103.25,103.5,103.25,103.5,0.24,584.0,59042.0,1
2018-12-23,2018-12-23 13:00:00,103.5,103.75,103.5,103.75,0.24,584.0,59042.0,1
2018-12-23,2018-12-23 14:00:00,103.75,104.0,103.75,104.0,0.24,584.0,59042.0,1
2018-12-23,2018-12-23 15:00:00,104.0,104.0,98.0,104.0,0.0,584.0,59042.0,0
2018-12-24,2018-12-24 11:00:00,102.0,104.0,101.0,102.0,0.0,464.0,47870.0,0
2018-12-24,2018-12-24 12:00:00,102.0,102.0,102.0,102.0,0.0,464.0,47870.0,0
2018-12-24,2018-12-24 13:00:00,102.0,102.0,102.0,102.0,0.0,464.0,47870.0,0
2018-12-24,2018-12-24 14:00:00,102.0,102.0,102.0,102.0,0.0,464.0,47870.0,0
2018-12-24,2018-12-24 15:00:00,102.0,106.0,100.0,102.0,0.0,464.0,47870.0,0
2018-12-25,2018-12-25 11:00:00,102.0,102.0,100.0,101.75,-0.25,118.0,11776.0,-1
2018-12-25,2018-12-25 12:00:00,101.75,101.75,101.5,101.5,-0.25,118.0,11776.0,-1
2018-12-25,2018-12-25 13:00:00,101.5,101.5,101.25,101.25,-0.25,118.0,11776.0,-1
2018-12-25,2018-12-25 14:00:00,101.25,101.25,101.0,101.0,-0.25,118.0,11776.0,-1
2018-12-25,2018-12-25 15:00:00,101.0,102.0,98.0,101.0,0.0,118.0,11776.0,0
2018-12-26,2018-12-26 11:00:00,100.0,101.0,100.0,100.25,0.25,78.0,7898.0,1
