published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-03-11,2019-03-11 11:00:00,300.0,303.0,300.0,301.5,0.5,4.0,1212.0,1
2019-03-11,2019-03-11 12:00:00,301.5,303.0,301.5,303.0,0.5,4.0,1212.0,1
2019-03-11,2019-03-11 13:00:00,303.0,304.5,303.0,304.5,0.5,4.0,1212.0,1
2019-03-11,2019-03-11 14:00:00,304.5,306.0,304.5,306.0,0.49,4.0,1212.0,1
2019-03-11,2019-03-11 15:00:00,306.0,306.0,300.0,306.0,0.0,4.0,1212.0,0
2019-03-12,2019-03-12 11:00:00,321.0,321.0,321.0,321.0,0.0,2.0,642.0,0
2019-03-12,2019-03-12 12:00:00,321.0,321.0,321.0,321.0,0.0,2.0,642.0,0
2019-03-12,2019-03-12 13:00:00,321.0,321.0,321.0,321.0,0.0,2.0,642.0,0
2019-03-12,2019-03-12 14:00:00,321.0,321.0,321.0,321.0,0.0,2.0,642.0,0
2019-03-12,2019-03-12 15:00:00,321.0,321.0,321.0,321.0,0.0,2.0,642.0,0
2019-03-13,2019-03-13 11:00:00,337.0,343.0,337.0,340.0,0.89,6.0,2058.0,1
2019-03-13,2019-03-13 12:00:00,340.0,343.0,340.0,343.0,0.88,6.0,2058.0,1
2019-03-13,2019-03-13 13:00:00,343.0,346.0,343.0,346.0,0.87,6.0,2058.0,1
2019-03-13,2019-03-13 14:00:00,346.0,349.0,346.0,349.0,0.87,6.0,2058.0,1
2019-03-13,2019-03-13 15:00:00,349.0,349.0,337.0,349.0,0.0,6.0,2058.0,0
2019-03-14,2019-03-14 11:00:00,366.0,366.0,366.0,366.0,0.0,2.0,732.0,0
2019-03-14,2019-03-14 12:00:00,366.0,366.0,366.0,366.0,0.0,2.0,732.0,0
2019-03-14,2019-03-14 13:00:00,366.0,366.0,366.0,366.0,0.0,2.0,732.0,0
2019-03-14,2019-03-14 14:00:00,366.0,366.0,366.0,366.0,0.0,2.0,732.0,0
2019-03-14,2019-03-14 15:00:00,366.0,366.0,366.0,366.0,0.0,2.0,732.0,0
2019-03-17,2019-03-17 11:00:00,384.0,393.0,384.0,388.5,1.17,10.0,3954.0,1
2019-03-17,2019-03-17 12:00:00,388.5,393.0,388.5,393.0,1.16,10.0,3954.0,1
2019-03-17,2019-03-17 13:00:00,393.0,397.5,393.0,397.5,1.15,10.0,3954.0,1
2019-03-17,2019-03-17 14:00:00,397.5,402.0,397.5,402.0,1.13,10.0,3954.0,1
2019-03-17,2019-03-17 15:00:00,402.0,402.0,384.0,402.0,0.0,10.0,3954.0,0
2019-03-18,2019-03-18 11:00:00,422.0,422.0,422.0,422.0,0.0,2.0,844.0,0
2019-03-18,2019-03-18 12:00:00,422.0,422.0,422.0,422.0,0.0,2.0,844.0,0
2019-03-18,2019-03-18 13:00:00,422.0,422.0,422.0,422.0,0.0,2.0,844.0,0
2019-03-18,2019-03-18 14:00:00,422.0,422.0,422.0,422.0,0.0,2.0,844.0,0
2019-03-18,2019-03-18 15:00:00,422.0,422.0,422.0,422.0,0.0,2.0,844.0,0
2019-03-19,2019-03-19 11:00:00,443.0,453.5,443.0,448.25,1.19,8.0,3636.0,1
2019-03-19,2019-03-19 12:00:00,448.25,453.5,448.25,453.5,1.17,8.0,3636.0,1
2019-03-19,2019-03-19 13:00:00,453.5,458.75,453.5,458.75,1.16,8.0,3636.0,1
2019-03-19,2019-03-19 14:00:00,458.75,464.0,458.75,464.0,1.14,8.0,3636.0,1
2019-03-19,2019-03-19 15:00:00,464.0,464.0,443.0,464.0,0.0,8.0,3636.0,0
2019-03-21,2019-03-21 11:00:00,487.0,498.5,487.0,492.75,1.18,100.0,50916.0,1
2019-03-21,2019-03-21 12:00:00,492.75,498.5,492.75,498.5,1.17,100.0,50916.0,1
2019-03-21,2019-03-21 13:00:00,498.5,504.25,498.5,504.25,1.15,100.0,50916.0,1
2019-03-21,2019-03-21 14:00:00,504.25,510.0,504.25,510.0,1.14,100.0,50916.0,1
2019-03-21,2019-03-21 15:00:00,510.0,510.0,487.0,510.0,0.0,100.0,50916.0,0
2019-03-24,2019-03-24 11:00:00,535.0,545.0,510.5,524.25,-2.01,6246.2,3115182.0,-1
2019-03-24,2019-03-24 12:00:00,524.25,524.25,513.5,513.5,-2.05,6246.2,3115182.0,-1
2019-03-24,2019-03-24 13:00:00,513.5,513.5,502.75,502.75,-2.09,6246.2,3115182.0,-1
2019-03-24,2019-03-24 14:00:00,502.75,502.75,492.0,492.0,-2.14,6246.2,3115182.0,-1
2019-03-24,2019-03-24 15:00:00,492.0,555.0,486.0,492.0,0.0,6246.2,3115182.0,0
2019-03-25,2019-03-25 11:00:00,492.0,494.0,488.0,491.5,-0.1,2018.8,990214.0,-1
2019-03-25,2019-03-25 12:00:00,491.5,491.5,491.0,491.0,-0.1,2018.8,990214.0,-1
2019-03-25,2019-03-25 13:00:00,491.0,491.0,490.5,490.5,-0.1,2018.8,990214.0,-1
2019-03-25,2019-03-25 14:00:00,490.5,490.5,490.0,490.0,-0.1,2018.8,990214.0,-1
2019-03-25,2019-03-25 15:00:00,490.0,496.0,484.0,490.0,0.0,2018.8,990214.0,0
2019-03-26,2019-03-26 11:00:00,490.0,490.0,485.5,489.75,-0.05,1040.0,506411.0,-1
2019-03-26,2019-03-26 12:00:00,489.75,489.75,489.5,489.5,-0.05,1040.0,506411.0,-1
2019-03-26,2019-03-26 13:00:00,489.5,489.5,489.25,489.25,-0.05,1040.0,506411.0,-1
2019-03-26,2019-03-26 14:00:00,489.25,489.25,489.0,489.0,-0.05,1040.0,506411.0,-1
2019-03-26,2019-03-26 15:00:00,489.0,490.0,481.0,489.0,0.0,1040.0,506411.0,0
2019-03-27,2019-03-27 11:00:00,482.0,488.0,481.0,483.75,0.36,1140.2,550664.8,1
2019-03-27,2019-03-27 12:00:00,483.75,485.5,483.75,485.5,0.36,1140.2,550664.8,1
2019-03-27,2019-03-27 13:00:00,485.5,487.25,485.5,487.25,0.36,1140.2,550664.8,1
2019-03-27,2019-03-27 14:00:00,487.25,489.0,487.25,489.0,0.36,1140.2,550664.8,1
2019-03-27,2019-03-27 15:00:00,489.0,494.0,480.0,489.0,0.0,1140.2,550664.8,0
2019-03-28,2019-03-28 11:00:00,498.0,498.0,489.5,494.75,-0.65,750.0,363794.0,-1
2019-03-28,2019-03-28 12:00:00,494.75,494.75,491.5,491.5,-0.66,750.0,363794.0,-1
2019-03-28,2019-03-28 13:00:00,491.5,491.5,488.25,488.25,-0.66,750.0,363794.0,-1
2019-03-28,2019-03-28 14:00:00,488.25,488.25,485.0,485.0,-0.67,750.0,363794.0,-1
2019-03-28,2019-03-28 15:00:00,485.0,498.0,481.0,485.0,0.0,750.0,363794.0,0
2019-03-31,2019-03-31 11:00:00,489.0,493.5,484.5,487.5,-0.31,806.0,391406.0,-1
2019-03-31,2019-03-31 12:00:00,487.5,487.5,486.0,486.0,-0.31,806.0,391406.0,-1
2019-03-31,2019-03-31 13:00:00,486.0,486.0,484.5,484.5,-0.31,806.0,391406.0,-1
2019-03-31,2019-03-31 14:00:00,484.5,484.5,483.0,483.0,-0.31,806.0,391406.0,-1
2019-03-31,2019-03-31 15:00:00,483.0,498.0,480.0,483.0,0.0,806.0,391406.0,0
2019-04-01,2019-04-01 11:00:00,481.0,482.5,478.5,480.5,-0.1,736.0,353236.0,-1
2019-04-01,2019-04-01 12:00:00,480.5,480.5,480.0,480.0,-0.1,736.0,353236.0,-1
2019-04-01,2019-04-01 13:00:00,480.0,480.0,479.5,479.5,-0.1,736.0,353236.0,-1
2019-04-01,2019-04-01 14:00:00,479.5,479.5,479.0,479.0,-0.1,736.0,353236.0,-1
2019-04-01,2019-04-01 15:00:00,479.0,484.0,476.0,479.0,0.0,736.0,353236.0,0
2019-04-02,2019-04-02 11:00:00,478.0,480.5,477.5,477.75,-0.05,810.0,388236.0,-1
2019-04-02,2019-04-02 12:00:00,477.75,477.75,477.5,477.5,-0.05,810.0,388236.0,-1
2019-04-02,2019-04-02 13:00:00,477.5,477.5,477.25,477.25,-0.05,810.0,388236.0,-1
2019-04-02,2019-04-02 14:00:00,477.25,477.25,477.0,477.0,-0.05,810.0,388236.0,-1
2019-04-02,2019-04-02 15:00:00,477.0,483.0,477.0,477.0,0.0,810.0,388236.0,0
2019-04-03,2019-04-03 11:00:00,475.0,478.0,474.0,476.25,0.26,740.0,353768.0,1
2019-04-03,2019-04-03 12:00:00,476.25,477.5,476.25,477.5,0.26,740.0,353768.0,1
2019-04-03,2019-04-03 13:00:00,477.5,478.75,477.5,478.75,0.26,740.0,353768.0,1
2019-04-03,2019-04-03 14:00:00,478.75,480.0,478.75,480.0,0.26,740.0,353768.0,1
2019-04-03,2019-04-03 15:00:00,480.0,481.0,473.0,480.0,0.0,740.0,353768.0,0
2019-04-04,2019-04-04 11:00:00,479.0,479.5,476.5,478.5,-0.1,346.0,164982.0,-1
2019-04-04,2019-04-04 12:00:00,478.5,478.5,478.0,478.0,-0.1,346.0,164982.0,-1
2019-04-04,2019-04-04 13:00:00,478.0,478.0,477.5,477.5,-0.1,346.0,164982.0,-1
2019-04-04,2019-04-04 14:00:00,477.5,477.5,477.0,477.0,-0.1,346.0,164982.0,-1
2019-04-04,2019-04-04 15:00:00,477.0,480.0,474.0,477.0,0.0,346.0,164982.0,0
2019-04-07,2019-04-07 11:00:00,472.0,472.5,467.5,470.5,-0.32,650.0,304632.0,-1
2019-04-07,2019-04-07 12:00:00,470.5,470.5,469.0,469.0,-0.32,650.0,304632.0,-1
2019-04-07,2019-04-07 13:00:00,469.0,469.0,467.5,467.5,-0.32,650.0,304632.0,-1
2019-04-07,2019-04-07 14:00:00,467.5,467.5,466.0,466.0,-0.32,650.0,304632.0,-1
2019-04-07,2019-04-07 15:00:00,466.0,473.0,463.0,466.0,0.0,650.0,304632.0,0
2019-04-08,2019-04-08 11:00:00,466.0,478.0,462.5,470.0,0.86,624.0,299892.0,1
2019-04-08,2019-04-08 12:00:00,470.0,474.0,470.0,474.0,0.85,624.0,299892.0,1
