published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-08,2023-06-08 11:00:00,202.8,212.9,202.8,207.85,2.49,644.6,143448.46,1
2023-06-08,2023-06-08 12:00:00,207.85,212.9,207.85,212.9,2.43,644.6,143448.46,1
2023-06-08,2023-06-08 13:00:00,212.9,217.95,212.9,217.95,2.37,644.6,143448.46,1
2023-06-08,2023-06-08 14:00:00,217.95,223.0,217.95,223.0,2.32,644.6,143448.46,1
2023-06-08,2023-06-08 15:00:00,223.0,223.0,202.8,223.0,0.0,644.6,143448.46,0
2023-06-11,2023-06-11 11:00:00,227.4,236.35,227.4,231.88,1.97,571.6,139943.76,1
2023-06-11,2023-06-11 12:00:00,231.88,236.35,231.88,236.35,1.93,571.6,139943.76,1
2023-06-11,2023-06-11 13:00:00,236.35,240.83,236.35,240.83,1.9,571.6,139943.76,1
2023-06-11,2023-06-11 14:00:00,240.83,245.3,240.83,245.3,1.86,571.6,139943.76,1
2023-06-11,2023-06-11 15:00:00,245.3,245.3,227.4,245.3,0.0,571.6,139943.76,0
2023-06-12,2023-06-12 11:00:00,250.2,260.0,250.2,255.1,1.96,2484.4,670146.92,1
2023-06-12,2023-06-12 12:00:00,255.1,260.0,255.1,260.0,1.92,2484.4,670146.92,1
2023-06-12,2023-06-12 13:00:00,260.0,264.9,260.0,264.9,1.88,2484.4,670146.92,1
2023-06-12,2023-06-12 14:00:00,264.9,269.8,264.9,269.8,1.85,2484.4,670146.92,1
2023-06-12,2023-06-12 15:00:00,269.8,269.8,250.2,269.8,0.0,2484.4,670146.92,0
2023-06-13,2023-06-13 11:00:00,275.1,285.9,264.85,280.5,1.96,15778.6,4380318.24,1
2023-06-13,2023-06-13 12:00:00,280.5,285.9,280.5,285.9,1.93,15778.6,4380318.24,1
2023-06-13,2023-06-13 13:00:00,285.9,291.3,285.9,291.3,1.89,15778.6,4380318.24,1
2023-06-13,2023-06-13 14:00:00,291.3,296.7,291.3,296.7,1.85,15778.6,4380318.24,1
2023-06-13,2023-06-13 15:00:00,296.7,296.7,254.6,296.7,0.0,15778.6,4380318.24,0
2023-06-14,2023-06-14 11:00:00,302.6,314.45,290.95,306.7,1.35,7126.4,2247457.0,1
2023-06-14,2023-06-14 12:00:00,306.7,310.8,306.7,310.8,1.34,7126.4,2247457.0,1
2023-06-14,2023-06-14 13:00:00,310.8,314.9,310.8,314.9,1.32,7126.4,2247457.0,1
2023-06-14,2023-06-14 14:00:00,314.9,319.0,314.9,319.0,1.3,7126.4,2247457.0,1
2023-06-14,2023-06-14 15:00:00,319.0,326.3,279.3,319.0,0.0,7126.4,2247457.0,0
2023-06-15,2023-06-15 11:00:00,320.0,320.0,310.05,315.07,-1.54,5718.0,1746984.8,-1
2023-06-15,2023-06-15 12:00:00,315.07,315.07,310.15,310.15,-1.56,5718.0,1746984.8,-1
2023-06-15,2023-06-15 13:00:00,310.15,310.15,305.23,305.23,-1.59,5718.0,1746984.8,-1
2023-06-15,2023-06-15 14:00:00,305.23,305.23,300.3,300.3,-1.62,5718.0,1746984.8,-1
2023-06-15,2023-06-15 15:00:00,300.3,320.0,300.1,300.3,0.0,5718.0,1746984.8,0
2023-06-18,2023-06-18 11:00:00,299.0,299.0,288.1,296.52,-0.83,9958.2,2870914.46,-1
2023-06-18,2023-06-18 12:00:00,296.52,296.52,294.05,294.05,-0.83,9958.2,2870914.46,-1
2023-06-18,2023-06-18 13:00:00,294.05,294.05,291.58,291.58,-0.84,9958.2,2870914.46,-1
2023-06-18,2023-06-18 14:00:00,291.58,291.58,289.1,289.1,-0.85,9958.2,2870914.46,-1
2023-06-18,2023-06-18 15:00:00,289.1,299.0,277.2,289.1,0.0,9958.2,2870914.46,0
2023-06-19,2023-06-19 11:00:00,283.5,285.25,280.95,283.77,0.1,3573.2,1006598.2,1
2023-06-19,2023-06-19 12:00:00,283.77,284.05,283.77,284.05,0.1,3573.2,1006598.2,1
2023-06-19,2023-06-19 13:00:00,284.05,284.33,284.05,284.33,0.1,3573.2,1006598.2,1
2023-06-19,2023-06-19 14:00:00,284.33,284.6,284.33,284.6,0.09,3573.2,1006598.2,1
2023-06-19,2023-06-19 15:00:00,284.6,287.0,278.4,284.6,0.0,3573.2,1006598.2,0
2023-06-20,2023-06-20 11:00:00,284.0,284.0,279.0,282.5,-0.53,2689.6,745460.94,-1
2023-06-20,2023-06-20 12:00:00,282.5,282.5,281.0,281.0,-0.53,2689.6,745460.94,-1
2023-06-20,2023-06-20 13:00:00,281.0,281.0,279.5,279.5,-0.53,2689.6,745460.94,-1
