published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-05,2011-05-05 11:00:00,284.0,291.5,284.0,287.75,1.32,15.0,4400.0,1
2011-05-05,2011-05-05 12:00:00,287.75,291.5,287.75,291.5,1.3,15.0,4400.0,1
2011-05-05,2011-05-05 13:00:00,291.5,295.25,291.5,295.25,1.29,15.0,4400.0,1
2011-05-05,2011-05-05 14:00:00,295.25,299.0,295.25,299.0,1.27,15.0,4400.0,1
2011-05-05,2011-05-05 15:00:00,299.0,299.0,289.0,299.0,0.0,15.0,4400.0,0
2011-05-08,2011-05-08 11:00:00,299.0,301.5,299.0,300.25,0.42,4.0,1216.0,1
2011-05-08,2011-05-08 12:00:00,300.25,301.5,300.25,301.5,0.42,4.0,1216.0,1
2011-05-08,2011-05-08 13:00:00,301.5,302.75,301.5,302.75,0.41,4.0,1216.0,1
2011-05-08,2011-05-08 14:00:00,302.75,304.0,302.75,304.0,0.41,4.0,1216.0,1
2011-05-08,2011-05-08 15:00:00,304.0,304.0,304.0,304.0,0.0,4.0,1216.0,0
2011-05-09,2011-05-09 11:00:00,304.0,310.0,304.0,307.0,0.99,16.4,5110.4,1
2011-05-09,2011-05-09 12:00:00,307.0,310.0,307.0,310.0,0.98,16.4,5110.4,1
2011-05-09,2011-05-09 13:00:00,310.0,313.0,310.0,313.0,0.97,16.4,5110.4,1
2011-05-09,2011-05-09 14:00:00,313.0,316.0,313.0,316.0,0.96,16.4,5110.4,1
2011-05-09,2011-05-09 15:00:00,316.0,316.0,310.0,316.0,0.0,16.4,5110.4,0
2011-05-10,2011-05-10 11:00:00,316.0,325.0,316.0,320.5,1.42,9.2,3026.0,1
2011-05-10,2011-05-10 12:00:00,320.5,325.0,320.5,325.0,1.4,9.2,3026.0,1
2011-05-10,2011-05-10 13:00:00,325.0,329.5,325.0,329.5,1.38,9.2,3026.0,1
2011-05-10,2011-05-10 14:00:00,329.5,334.0,329.5,334.0,1.37,9.2,3026.0,1
2011-05-10,2011-05-10 15:00:00,334.0,334.0,322.0,334.0,0.0,9.2,3026.0,0
2011-05-11,2011-05-11 11:00:00,334.0,337.0,334.0,335.5,0.45,4.0,1360.0,1
2011-05-11,2011-05-11 12:00:00,335.5,337.0,335.5,337.0,0.45,4.0,1360.0,1
2011-05-11,2011-05-11 13:00:00,337.0,338.5,337.0,338.5,0.45,4.0,1360.0,1
2011-05-11,2011-05-11 14:00:00,338.5,340.0,338.5,340.0,0.44,4.0,1360.0,1
2011-05-11,2011-05-11 15:00:00,340.0,340.0,340.0,340.0,0.0,4.0,1360.0,0
2011-05-12,2011-05-12 11:00:00,340.0,346.0,340.0,343.0,0.88,24.0,8376.0,1
2011-05-12,2011-05-12 12:00:00,343.0,346.0,343.0,346.0,0.87,24.0,8376.0,1
2011-05-12,2011-05-12 13:00:00,346.0,349.0,346.0,349.0,0.87,24.0,8376.0,1
2011-05-12,2011-05-12 14:00:00,349.0,352.0,349.0,352.0,0.86,24.0,8376.0,1
2011-05-12,2011-05-12 15:00:00,352.0,352.0,346.0,352.0,0.0,24.0,8376.0,0
2011-05-19,2011-05-19 11:00:00,352.0,352.0,345.5,348.75,-0.92,10.0,3420.0,-1
2011-05-19,2011-05-19 12:00:00,348.75,348.75,345.5,345.5,-0.93,10.0,3420.0,-1
2011-05-19,2011-05-19 13:00:00,345.5,345.5,342.25,342.25,-0.94,10.0,3420.0,-1
2011-05-19,2011-05-19 14:00:00,342.25,342.25,339.0,339.0,-0.95,10.0,3420.0,-1
2011-05-19,2011-05-19 15:00:00,339.0,345.0,339.0,339.0,0.0,10.0,3420.0,0
2011-05-25,2011-05-25 11:00:00,339.0,348.5,339.0,343.75,1.4,11.0,3867.8,1
2011-05-25,2011-05-25 12:00:00,343.75,348.5,343.75,348.5,1.38,11.0,3867.8,1
2011-05-25,2011-05-25 13:00:00,348.5,353.25,348.5,353.25,1.36,11.0,3867.8,1
2011-05-25,2011-05-25 14:00:00,353.25,358.0,353.25,358.0,1.34,11.0,3867.8,1
2011-05-25,2011-05-25 15:00:00,358.0,358.0,345.0,358.0,0.0,11.0,3867.8,0
2011-05-30,2011-05-30 11:00:00,358.0,368.5,358.0,363.25,1.47,25.0,9260.8,1
2011-05-30,2011-05-30 12:00:00,363.25,368.5,363.25,368.5,1.45,25.0,9260.8,1
2011-05-30,2011-05-30 13:00:00,368.5,373.75,368.5,373.75,1.42,25.0,9260.8,1
2011-05-30,2011-05-30 14:00:00,373.75,379.0,373.75,379.0,1.4,25.0,9260.8,1
2011-05-30,2011-05-30 15:00:00,379.0,379.0,365.0,379.0,0.0,25.0,9260.8,0
2011-05-31,2011-05-31 11:00:00,379.0,382.5,379.0,380.75,0.46,4.4,1698.4,1
2011-05-31,2011-05-31 12:00:00,380.75,382.5,380.75,382.5,0.46,4.4,1698.4,1
2011-05-31,2011-05-31 13:00:00,382.5,384.25,382.5,384.25,0.46,4.4,1698.4,1
2011-05-31,2011-05-31 14:00:00,384.25,386.0,384.25,386.0,0.46,4.4,1698.4,1
2011-05-31,2011-05-31 15:00:00,386.0,386.0,386.0,386.0,0.0,4.4,1698.4,0
2011-06-26,2011-06-26 11:00:00,386.0,393.0,386.0,389.5,0.91,8.8,3489.2,1
2011-06-26,2011-06-26 12:00:00,389.5,393.0,389.5,393.0,0.9,8.8,3489.2,1
2011-06-26,2011-06-26 13:00:00,393.0,396.5,393.0,396.5,0.89,8.8,3489.2,1
2011-06-26,2011-06-26 14:00:00,396.5,400.0,396.5,400.0,0.88,8.8,3489.2,1
2011-06-26,2011-06-26 15:00:00,400.0,400.0,393.0,400.0,0.0,8.8,3489.2,0
2011-06-29,2011-06-29 11:00:00,400.0,407.5,400.0,403.75,0.94,6.0,2462.0,1
2011-06-29,2011-06-29 12:00:00,403.75,407.5,403.75,407.5,0.93,6.0,2462.0,1
2011-06-29,2011-06-29 13:00:00,407.5,411.25,407.5,411.25,0.92,6.0,2462.0,1
2011-06-29,2011-06-29 14:00:00,411.25,415.0,411.25,415.0,0.91,6.0,2462.0,1
2011-06-29,2011-06-29 15:00:00,415.0,415.0,408.0,415.0,0.0,6.0,2462.0,0
2011-06-30,2011-06-30 11:00:00,415.0,422.5,415.0,418.75,0.9,6.0,2566.0,1
2011-06-30,2011-06-30 12:00:00,418.75,422.5,418.75,422.5,0.9,6.0,2566.0,1
2011-06-30,2011-06-30 13:00:00,422.5,426.25,422.5,426.25,0.89,6.0,2566.0,1
2011-06-30,2011-06-30 14:00:00,426.25,430.0,426.25,430.0,0.88,6.0,2566.0,1
2011-06-30,2011-06-30 15:00:00,430.0,430.0,423.0,430.0,0.0,6.0,2566.0,0
2011-07-11,2011-07-11 11:00:00,430.0,440.0,426.0,435.0,1.16,22.4,9747.2,1
2011-07-11,2011-07-11 12:00:00,435.0,440.0,435.0,440.0,1.15,22.4,9747.2,1
2011-07-11,2011-07-11 13:00:00,440.0,445.0,440.0,445.0,1.14,22.4,9747.2,1
2011-07-11,2011-07-11 14:00:00,445.0,450.0,445.0,450.0,1.12,22.4,9747.2,1
2011-07-11,2011-07-11 15:00:00,450.0,450.0,422.0,450.0,0.0,22.4,9747.2,0
2011-07-19,2011-07-19 11:00:00,450.0,454.5,450.0,452.25,0.5,48.4,22215.6,1
2011-07-19,2011-07-19 12:00:00,452.25,454.5,452.25,454.5,0.5,48.4,22215.6,1
2011-07-19,2011-07-19 13:00:00,454.5,456.75,454.5,456.75,0.5,48.4,22215.6,1
2011-07-19,2011-07-19 14:00:00,456.75,459.0,456.75,459.0,0.49,48.4,22215.6,1
2011-07-19,2011-07-19 15:00:00,459.0,459.0,459.0,459.0,0.0,48.4,22215.6,0
2011-07-20,2011-07-20 11:00:00,459.0,462.0,459.0,460.5,0.33,54.4,25005.6,1
2011-07-20,2011-07-20 12:00:00,460.5,462.0,460.5,462.0,0.33,54.4,25005.6,1
2011-07-20,2011-07-20 13:00:00,462.0,463.5,462.0,463.5,0.32,54.4,25005.6,1
2011-07-20,2011-07-20 14:00:00,463.5,465.0,463.5,465.0,0.32,54.4,25005.6,1
2011-07-20,2011-07-20 15:00:00,465.0,465.0,459.0,465.0,0.0,54.4,25005.6,0
2011-07-25,2011-07-25 11:00:00,465.0,469.5,465.0,467.25,0.48,2.8,1327.2,1
2011-07-25,2011-07-25 12:00:00,467.25,469.5,467.25,469.5,0.48,2.8,1327.2,1
2011-07-25,2011-07-25 13:00:00,469.5,471.75,469.5,471.75,0.48,2.8,1327.2,1
2011-07-25,2011-07-25 14:00:00,471.75,474.0,471.75,474.0,0.48,2.8,1327.2,1
2011-07-25,2011-07-25 15:00:00,474.0,474.0,474.0,474.0,0.0,2.8,1327.2,0
2011-09-22,2011-09-22 11:00:00,474.0,478.5,474.0,476.25,0.47,2.8,1352.4,1
2011-09-22,2011-09-22 12:00:00,476.25,478.5,476.25,478.5,0.47,2.8,1352.4,1
2011-09-22,2011-09-22 13:00:00,478.5,480.75,478.5,480.75,0.47,2.8,1352.4,1
2011-09-22,2011-09-22 14:00:00,480.75,483.0,480.75,483.0,0.47,2.8,1352.4,1
2011-09-22,2011-09-22 15:00:00,483.0,483.0,483.0,483.0,0.0,2.8,1352.4,0
2011-10-19,2011-10-19 11:00:00,483.0,484.0,483.0,483.5,0.1,96.8,46948.0,1
2011-10-19,2011-10-19 12:00:00,483.5,484.0,483.5,484.0,0.1,96.8,46948.0,1
2011-10-19,2011-10-19 13:00:00,484.0,484.5,484.0,484.5,0.1,96.8,46948.0,1
