published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-01-04,2023-01-04 11:00:00,194.3,204.0,194.3,199.15,2.5,74.0,15613.34,1
2023-01-04,2023-01-04 12:00:00,199.15,204.0,199.15,204.0,2.44,74.0,15613.34,1
2023-01-04,2023-01-04 13:00:00,204.0,208.85,204.0,208.85,2.38,74.0,15613.34,1
2023-01-04,2023-01-04 14:00:00,208.85,213.7,208.85,213.7,2.32,74.0,15613.34,1
2023-01-04,2023-01-04 15:00:00,213.7,213.7,194.3,213.7,0.0,74.0,15613.34,0
2023-01-05,2023-01-05 11:00:00,217.9,226.45,217.9,222.18,1.96,74.0,17305.6,1
2023-01-05,2023-01-05 12:00:00,222.18,226.45,222.18,226.45,1.92,74.0,17305.6,1
2023-01-05,2023-01-05 13:00:00,226.45,230.72,226.45,230.72,1.89,74.0,17305.6,1
2023-01-05,2023-01-05 14:00:00,230.72,235.0,230.72,235.0,1.86,74.0,17305.6,1
2023-01-05,2023-01-05 15:00:00,235.0,235.0,217.9,235.0,0.0,74.0,17305.6,0
2023-01-08,2023-01-08 11:00:00,239.7,249.1,239.7,244.4,1.96,86.0,22137.8,1
2023-01-08,2023-01-08 12:00:00,244.4,249.1,244.4,249.1,1.92,86.0,22137.8,1
2023-01-08,2023-01-08 13:00:00,249.1,253.8,249.1,253.8,1.89,86.0,22137.8,1
2023-01-08,2023-01-08 14:00:00,253.8,258.5,253.8,258.5,1.85,86.0,22137.8,1
2023-01-08,2023-01-08 15:00:00,258.5,258.5,239.7,258.5,0.0,86.0,22137.8,0
2023-01-09,2023-01-09 11:00:00,263.6,273.95,263.6,268.78,1.97,68.0,19230.0,1
2023-01-09,2023-01-09 12:00:00,268.78,273.95,268.78,273.95,1.92,68.0,19230.0,1
2023-01-09,2023-01-09 13:00:00,273.95,279.12,273.95,279.12,1.89,68.0,19230.0,1
2023-01-09,2023-01-09 14:00:00,279.12,284.3,279.12,284.3,1.86,68.0,19230.0,1
2023-01-09,2023-01-09 15:00:00,284.3,284.3,263.6,284.3,0.0,68.0,19230.0,0
2023-01-10,2023-01-10 11:00:00,289.9,301.3,289.9,295.6,1.97,228.0,71183.0,1
2023-01-10,2023-01-10 12:00:00,295.6,301.3,295.6,301.3,1.93,228.0,71183.0,1
2023-01-10,2023-01-10 13:00:00,301.3,307.0,301.3,307.0,1.89,228.0,71183.0,1
2023-01-10,2023-01-10 14:00:00,307.0,312.7,307.0,312.7,1.86,228.0,71183.0,1
2023-01-10,2023-01-10 15:00:00,312.7,312.7,289.9,312.7,0.0,228.0,71183.0,0
2023-01-12,2023-01-12 11:00:00,318.9,331.4,318.9,325.15,1.96,578.0,198651.2,1
2023-01-12,2023-01-12 12:00:00,325.15,331.4,325.15,331.4,1.92,578.0,198651.2,1
2023-01-12,2023-01-12 13:00:00,331.4,337.65,331.4,337.65,1.89,578.0,198651.2,1
2023-01-12,2023-01-12 14:00:00,337.65,343.9,337.65,343.9,1.85,578.0,198651.2,1
2023-01-12,2023-01-12 15:00:00,343.9,343.9,318.9,343.9,0.0,578.0,198651.2,0
2023-01-17,2023-01-17 11:00:00,350.7,364.45,350.7,357.57,1.96,996.0,376154.6,1
2023-01-17,2023-01-17 12:00:00,357.57,364.45,357.57,364.45,1.92,996.0,376154.6,1
2023-01-17,2023-01-17 13:00:00,364.45,371.32,364.45,371.32,1.89,996.0,376154.6,1
2023-01-17,2023-01-17 14:00:00,371.32,378.2,371.32,378.2,1.85,996.0,376154.6,1
2023-01-17,2023-01-17 15:00:00,378.2,378.2,350.7,378.2,0.0,996.0,376154.6,0
2023-01-18,2023-01-18 11:00:00,385.7,400.85,385.7,393.27,1.96,3264.8,1355952.2,1
2023-01-18,2023-01-18 12:00:00,393.27,400.85,393.27,400.85,1.93,3264.8,1355952.2,1
2023-01-18,2023-01-18 13:00:00,400.85,408.43,400.85,408.43,1.89,3264.8,1355952.2,1
2023-01-18,2023-01-18 14:00:00,408.43,416.0,408.43,416.0,1.85,3264.8,1355952.2,1
2023-01-18,2023-01-18 15:00:00,416.0,416.0,385.7,416.0,0.0,3264.8,1355952.2,0
2023-01-19,2023-01-19 11:00:00,424.3,431.95,412.75,423.0,-0.31,4245.8,1771429.26,-1
2023-01-19,2023-01-19 12:00:00,423.0,423.0,421.7,421.7,-0.31,4245.8,1771429.26,-1
2023-01-19,2023-01-19 13:00:00,421.7,421.7,420.4,420.4,-0.31,4245.8,1771429.26,-1
2023-01-19,2023-01-19 14:00:00,420.4,420.4,419.1,419.1,-0.31,4245.8,1771429.26,-1
2023-01-19,2023-01-19 15:00:00,419.1,439.6,401.2,419.1,0.0,4245.8,1771429.26,0
2023-01-23,2023-01-23 11:00:00,410.8,415.4,407.9,411.1,0.07,2224.0,916685.6,1
2023-01-23,2023-01-23 12:00:00,411.1,411.4,411.1,411.4,0.07,2224.0,916685.6,1
2023-01-23,2023-01-23 13:00:00,411.4,411.7,411.4,411.7,0.07,2224.0,916685.6,1
2023-01-23,2023-01-23 14:00:00,411.7,412.0,411.7,412.0,0.07,2224.0,916685.6,1
2023-01-23,2023-01-23 15:00:00,412.0,420.0,405.0,412.0,0.0,2224.0,916685.6,0
2023-01-24,2023-01-24 11:00:00,412.0,412.0,406.0,411.0,-0.24,1342.0,545183.4,-1
2023-01-24,2023-01-24 12:00:00,411.0,411.0,410.0,410.0,-0.24,1342.0,545183.4,-1
2023-01-24,2023-01-24 13:00:00,410.0,410.0,409.0,409.0,-0.24,1342.0,545183.4,-1
2023-01-24,2023-01-24 14:00:00,409.0,409.0,408.0,408.0,-0.24,1342.0,545183.4,-1
2023-01-24,2023-01-24 15:00:00,408.0,412.0,400.0,408.0,0.0,1342.0,545183.4,0
2023-01-25,2023-01-25 11:00:00,402.1,425.45,402.1,412.08,2.48,2635.8,1122706.68,1
2023-01-25,2023-01-25 12:00:00,412.08,422.05,412.08,422.05,2.42,2635.8,1122706.68,1
2023-01-25,2023-01-25 13:00:00,422.05,432.02,422.05,432.02,2.36,2635.8,1122706.68,1
2023-01-25,2023-01-25 14:00:00,432.02,442.0,432.02,442.0,2.31,2635.8,1122706.68,1
2023-01-25,2023-01-25 15:00:00,442.0,448.8,402.1,442.0,0.0,2635.8,1122706.68,0
2023-01-26,2023-01-26 11:00:00,450.8,468.5,446.45,459.65,1.96,2184.6,1024314.46,1
2023-01-26,2023-01-26 12:00:00,459.65,468.5,459.65,468.5,1.93,2184.6,1024314.46,1
2023-01-26,2023-01-26 13:00:00,468.5,477.35,468.5,477.35,1.89,2184.6,1024314.46,1
2023-01-26,2023-01-26 14:00:00,477.35,486.2,477.35,486.2,1.85,2184.6,1024314.46,1
2023-01-26,2023-01-26 15:00:00,486.2,486.2,442.1,486.2,0.0,2184.6,1024314.46,0
2023-01-29,2023-01-29 11:00:00,495.9,515.35,491.45,505.62,1.96,4239.6,2214059.24,1
2023-01-29,2023-01-29 12:00:00,505.62,515.35,505.62,515.35,1.92,4239.6,2214059.24,1
2023-01-29,2023-01-29 13:00:00,515.35,525.07,515.35,525.07,1.89,4239.6,2214059.24,1
2023-01-29,2023-01-29 14:00:00,525.07,534.8,525.07,534.8,1.85,4239.6,2214059.24,1
2023-01-29,2023-01-29 15:00:00,534.8,534.8,487.0,534.8,0.0,4239.6,2214059.24,0
2023-01-30,2023-01-30 11:00:00,545.4,566.8,545.4,551.52,1.12,7665.2,4380970.5,1
2023-01-30,2023-01-30 12:00:00,551.52,557.65,551.52,557.65,1.11,7665.2,4380970.5,1
2023-01-30,2023-01-30 13:00:00,557.65,563.77,557.65,563.77,1.1,7665.2,4380970.5,1
2023-01-30,2023-01-30 14:00:00,563.77,569.9,563.77,569.9,1.09,7665.2,4380970.5,1
2023-01-30,2023-01-30 15:00:00,569.9,588.2,545.4,569.9,0.0,7665.2,4380970.5,0
2023-01-31,2023-01-31 11:00:00,559.0,585.45,549.0,572.23,2.37,3118.8,1777417.4,1
2023-01-31,2023-01-31 12:00:00,572.23,585.45,572.23,585.45,2.31,3118.8,1777417.4,1
2023-01-31,2023-01-31 13:00:00,585.45,598.67,585.45,598.67,2.26,3118.8,1777417.4,1
2023-01-31,2023-01-31 14:00:00,598.67,611.9,598.67,611.9,2.21,3118.8,1777417.4,1
2023-01-31,2023-01-31 15:00:00,611.9,611.9,539.0,611.9,0.0,3118.8,1777417.4,0
2023-02-01,2023-02-01 11:00:00,599.7,605.8,585.35,598.78,-0.15,3152.6,1860118.7,-1
2023-02-01,2023-02-01 12:00:00,598.78,598.78,597.85,597.85,-0.16,3152.6,1860118.7,-1
2023-02-01,2023-02-01 13:00:00,597.85,597.85,596.92,596.92,-0.16,3152.6,1860118.7,-1
2023-02-01,2023-02-01 14:00:00,596.92,596.92,596.0,596.0,-0.15,3152.6,1860118.7,-1
2023-02-01,2023-02-01 15:00:00,596.0,611.9,571.0,596.0,0.0,3152.6,1860118.7,0
2023-02-02,2023-02-02 11:00:00,600.0,600.0,580.3,593.25,-1.12,3647.4,2104209.46,-1
2023-02-02,2023-02-02 12:00:00,593.25,593.25,586.5,586.5,-1.14,3647.4,2104209.46,-1
2023-02-02,2023-02-02 13:00:00,586.5,586.5,579.75,579.75,-1.15,3647.4,2104209.46,-1
2023-02-02,2023-02-02 14:00:00,579.75,579.75,573.0,573.0,-1.16,3647.4,2104209.46,-1
2023-02-02,2023-02-02 15:00:00,573.0,600.0,560.6,573.0,0.0,3647.4,2104209.46,0
2023-02-05,2023-02-05 11:00:00,561.6,567.75,551.2,562.95,0.24,3208.0,1782773.1,1
2023-02-05,2023-02-05 12:00:00,562.95,564.3,562.95,564.3,0.24,3208.0,1782773.1,1
2023-02-05,2023-02-05 13:00:00,564.3,565.65,564.3,565.65,0.24,3208.0,1782773.1,1
2023-02-05,2023-02-05 14:00:00,565.65,567.0,565.65,567.0,0.24,3208.0,1782773.1,1
2023-02-05,2023-02-05 15:00:00,567.0,573.9,540.8,567.0,0.0,3208.0,1782773.1,0
2023-02-06,2023-02-06 11:00:00,555.7,555.7,546.35,551.9,-0.68,1130.2,617114.5,-1
2023-02-06,2023-02-06 12:00:00,551.9,551.9,548.1,548.1,-0.69,1130.2,617114.5,-1
2023-02-06,2023-02-06 13:00:00,548.1,548.1,544.3,544.3,-0.69,1130.2,617114.5,-1
2023-02-06,2023-02-06 14:00:00,544.3,544.3,540.5,540.5,-0.7,1130.2,617114.5,-1
2023-02-06,2023-02-06 15:00:00,540.5,555.7,537.0,540.5,0.0,1130.2,617114.5,0
2023-02-07,2023-02-07 11:00:00,536.4,554.2,536.3,542.02,1.05,1782.0,981176.8,1
2023-02-07,2023-02-07 12:00:00,542.02,547.65,542.02,547.65,1.04,1782.0,981176.8,1
2023-02-07,2023-02-07 13:00:00,547.65,553.27,547.65,553.27,1.03,1782.0,981176.8,1
2023-02-07,2023-02-07 14:00:00,553.27,558.9,553.27,558.9,1.02,1782.0,981176.8,1
2023-02-07,2023-02-07 15:00:00,558.9,572.0,536.2,558.9,0.0,1782.0,981176.8,0
2023-02-08,2023-02-08 11:00:00,570.0,585.0,554.0,570.0,0.0,1822.6,1015835.64,0
2023-02-08,2023-02-08 12:00:00,570.0,570.0,570.0,570.0,0.0,1822.6,1015835.64,0
2023-02-08,2023-02-08 13:00:00,570.0,570.0,570.0,570.0,0.0,1822.6,1015835.64,0
2023-02-08,2023-02-08 14:00:00,570.0,570.0,570.0,570.0,0.0,1822.6,1015835.64,0
2023-02-08,2023-02-08 15:00:00,570.0,600.0,538.0,570.0,0.0,1822.6,1015835.64,0
2023-02-09,2023-02-09 11:00:00,558.6,592.8,553.3,575.7,3.06,7672.8,4566258.6,1
2023-02-09,2023-02-09 12:00:00,575.7,592.8,575.7,592.8,2.97,7672.8,4566258.6,1
2023-02-09,2023-02-09 13:00:00,592.8,609.9,592.8,609.9,2.88,7672.8,4566258.6,1
2023-02-09,2023-02-09 14:00:00,609.9,627.0,609.9,627.0,2.8,7672.8,4566258.6,1
2023-02-09,2023-02-09 15:00:00,627.0,627.0,548.0,627.0,0.0,7672.8,4566258.6,0
2023-02-12,2023-02-12 11:00:00,614.5,633.75,603.25,621.25,1.1,6754.0,4264969.48,1
2023-02-12,2023-02-12 12:00:00,621.25,628.0,621.25,628.0,1.09,6754.0,4264969.48,1
2023-02-12,2023-02-12 13:00:00,628.0,634.75,628.0,634.75,1.07,6754.0,4264969.48,1
2023-02-12,2023-02-12 14:00:00,634.75,641.5,634.75,641.5,1.06,6754.0,4264969.48,1
2023-02-12,2023-02-12 15:00:00,641.5,653.0,592.0,641.5,0.0,6754.0,4264969.48,0
2023-02-14,2023-02-14 11:00:00,630.0,630.0,615.0,624.75,-0.83,4556.2,2801927.14,-1
2023-02-14,2023-02-14 12:00:00,624.75,624.75,619.5,619.5,-0.84,4556.2,2801927.14,-1
2023-02-14,2023-02-14 13:00:00,619.5,619.5,614.25,614.25,-0.85,4556.2,2801927.14,-1
2023-02-14,2023-02-14 14:00:00,614.25,614.25,609.0,609.0,-0.85,4556.2,2801927.14,-1
2023-02-14,2023-02-14 15:00:00,609.0,630.0,600.0,609.0,0.0,4556.2,2801927.14,0
2023-02-15,2023-02-15 11:00:00,597.0,625.85,593.5,611.42,2.42,2359.8,1432691.18,1
2023-02-15,2023-02-15 12:00:00,611.42,625.85,611.42,625.85,2.36,2359.8,1432691.18,1
2023-02-15,2023-02-15 13:00:00,625.85,640.28,625.85,640.28,2.31,2359.8,1432691.18,1
2023-02-15,2023-02-15 14:00:00,640.28,654.7,640.28,654.7,2.25,2359.8,1432691.18,1
2023-02-15,2023-02-15 15:00:00,654.7,654.7,590.0,654.7,0.0,2359.8,1432691.18,0
2023-02-16,2023-02-16 11:00:00,641.7,644.35,620.9,641.28,-0.07,4247.8,2630917.8,-1
2023-02-16,2023-02-16 12:00:00,641.28,641.28,640.85,640.85,-0.07,4247.8,2630917.8,-1
2023-02-16,2023-02-16 13:00:00,640.85,640.85,640.42,640.42,-0.07,4247.8,2630917.8,-1
2023-02-16,2023-02-16 14:00:00,640.42,640.42,640.0,640.0,-0.07,4247.8,2630917.8,-1
2023-02-16,2023-02-16 15:00:00,640.0,647.0,600.1,640.0,0.0,4247.8,2630917.8,0
2023-02-20,2023-02-20 11:00:00,627.2,652.2,615.15,622.9,-0.69,2900.2,1804561.46,-1
2023-02-20,2023-02-20 12:00:00,622.9,622.9,618.6,618.6,-0.69,2900.2,1804561.46,-1
2023-02-20,2023-02-20 13:00:00,618.6,618.6,614.3,614.3,-0.7,2900.2,1804561.46,-1
2023-02-20,2023-02-20 14:00:00,614.3,614.3,610.0,610.0,-0.7,2900.2,1804561.46,-1
2023-02-20,2023-02-20 15:00:00,610.0,677.2,603.1,610.0,0.0,2900.2,1804561.46,0
2023-02-22,2023-02-22 11:00:00,610.0,625.0,605.1,614.75,0.78,2808.0,1741000.6,1
2023-02-22,2023-02-22 12:00:00,614.75,619.5,614.75,619.5,0.77,2808.0,1741000.6,1
2023-02-22,2023-02-22 13:00:00,619.5,624.25,619.5,624.25,0.77,2808.0,1741000.6,1
2023-02-22,2023-02-22 14:00:00,624.25,629.0,624.25,629.0,0.76,2808.0,1741000.6,1
2023-02-22,2023-02-22 15:00:00,629.0,640.0,600.2,629.0,0.0,2808.0,1741000.6,0
2023-02-23,2023-02-23 11:00:00,617.0,617.0,607.5,612.25,-0.77,1550.4,936099.56,-1
2023-02-23,2023-02-23 12:00:00,612.25,612.25,607.5,607.5,-0.78,1550.4,936099.56,-1
2023-02-23,2023-02-23 13:00:00,607.5,607.5,602.75,602.75,-0.78,1550.4,936099.56,-1
2023-02-23,2023-02-23 14:00:00,602.75,602.75,598.0,598.0,-0.79,1550.4,936099.56,-1
2023-02-23,2023-02-23 15:00:00,598.0,617.0,598.0,598.0,0.0,1550.4,936099.56,0
2023-02-26,2023-02-26 11:00:00,586.1,593.95,569.45,590.02,0.67,1311.2,762514.6,1
2023-02-26,2023-02-26 12:00:00,590.02,593.95,590.02,593.95,0.67,1311.2,762514.6,1
2023-02-26,2023-02-26 13:00:00,593.95,597.88,593.95,597.88,0.66,1311.2,762514.6,1
2023-02-26,2023-02-26 14:00:00,597.88,601.8,597.88,601.8,0.66,1311.2,762514.6,1
2023-02-26,2023-02-26 15:00:00,601.8,601.8,552.8,601.8,0.0,1311.2,762514.6,0
2023-02-27,2023-02-27 11:00:00,590.0,600.0,580.0,588.5,-0.25,1754.4,1020248.5,-1
2023-02-27,2023-02-27 12:00:00,588.5,588.5,587.0,587.0,-0.25,1754.4,1020248.5,-1
2023-02-27,2023-02-27 13:00:00,587.0,587.0,585.5,585.5,-0.26,1754.4,1020248.5,-1
2023-02-27,2023-02-27 14:00:00,585.5,585.5,584.0,584.0,-0.26,1754.4,1020248.5,-1
2023-02-27,2023-02-27 15:00:00,584.0,610.0,570.0,584.0,0.0,1754.4,1020248.5,0
2023-02-28,2023-02-28 11:00:00,573.1,576.05,567.55,571.83,-0.22,584.0,331593.4,-1
2023-02-28,2023-02-28 12:00:00,571.83,571.83,570.55,570.55,-0.22,584.0,331593.4,-1
2023-02-28,2023-02-28 13:00:00,570.55,570.55,569.27,569.27,-0.22,584.0,331593.4,-1
2023-02-28,2023-02-28 14:00:00,569.27,569.27,568.0,568.0,-0.22,584.0,331593.4,-1
2023-02-28,2023-02-28 15:00:00,568.0,579.0,562.0,568.0,0.0,584.0,331593.4,0
2023-03-01,2023-03-01 11:00:00,560.0,577.0,555.0,568.5,1.52,1178.2,666688.3,1
2023-03-01,2023-03-01 12:00:00,568.5,577.0,568.5,577.0,1.5,1178.2,666688.3,1
2023-03-01,2023-03-01 13:00:00,577.0,585.5,577.0,585.5,1.47,1178.2,666688.3,1
2023-03-01,2023-03-01 14:00:00,585.5,594.0,585.5,594.0,1.45,1178.2,666688.3,1
2023-03-01,2023-03-01 15:00:00,594.0,594.0,550.0,594.0,0.0,1178.2,666688.3,0
2023-03-02,2023-03-02 11:00:00,605.8,605.8,576.4,595.82,-1.65,1011.0,560802.5,-1
2023-03-02,2023-03-02 12:00:00,595.82,595.82,585.85,585.85,-1.67,1011.0,560802.5,-1
2023-03-02,2023-03-02 13:00:00,585.85,585.85,575.88,575.88,-1.7,1011.0,560802.5,-1
2023-03-02,2023-03-02 14:00:00,575.88,575.88,565.9,565.9,-1.73,1011.0,560802.5,-1
2023-03-02,2023-03-02 15:00:00,565.9,605.8,547.0,565.9,0.0,1011.0,560802.5,0
2023-03-05,2023-03-05 11:00:00,577.0,577.0,556.0,567.5,-1.65,174.0,93897.4,-1
2023-03-05,2023-03-05 12:00:00,567.5,567.5,558.0,558.0,-1.67,174.0,93897.4,-1
2023-03-05,2023-03-05 13:00:00,558.0,558.0,548.5,548.5,-1.7,174.0,93897.4,-1
2023-03-05,2023-03-05 14:00:00,548.5,548.5,539.0,539.0,-1.73,174.0,93897.4,-1
2023-03-05,2023-03-05 15:00:00,539.0,577.0,535.0,539.0,0.0,174.0,93897.4,0
2023-03-07,2023-03-07 11:00:00,531.0,540.0,529.65,530.33,-0.13,239.4,127933.82,-1
2023-03-07,2023-03-07 12:00:00,530.33,530.33,529.65,529.65,-0.13,239.4,127933.82,-1
2023-03-07,2023-03-07 13:00:00,529.65,529.65,528.97,528.97,-0.13,239.4,127933.82,-1
2023-03-07,2023-03-07 14:00:00,528.97,528.97,528.3,528.3,-0.13,239.4,127933.82,-1
2023-03-07,2023-03-07 15:00:00,528.3,549.0,528.3,528.3,0.0,239.4,127933.82,0
2023-03-09,2023-03-09 11:00:00,538.8,544.15,524.4,540.32,0.28,1003.4,529510.72,1
2023-03-09,2023-03-09 12:00:00,540.32,541.85,540.32,541.85,0.28,1003.4,529510.72,1
2023-03-09,2023-03-09 13:00:00,541.85,543.38,541.85,543.38,0.28,1003.4,529510.72,1
2023-03-09,2023-03-09 14:00:00,543.38,544.9,543.38,544.9,0.28,1003.4,529510.72,1
2023-03-09,2023-03-09 15:00:00,544.9,549.5,510.0,544.9,0.0,1003.4,529510.72,0
2023-03-12,2023-03-12 11:00:00,555.0,558.0,542.2,552.0,-0.54,1429.0,770638.8,-1
2023-03-12,2023-03-12 12:00:00,552.0,552.0,549.0,549.0,-0.54,1429.0,770638.8,-1
2023-03-12,2023-03-12 13:00:00,549.0,549.0,546.0,546.0,-0.55,1429.0,770638.8,-1
2023-03-12,2023-03-12 14:00:00,546.0,546.0,543.0,543.0,-0.55,1429.0,770638.8,-1
2023-03-12,2023-03-12 15:00:00,543.0,561.0,529.4,543.0,0.0,1429.0,770638.8,0
2023-03-13,2023-03-13 11:00:00,532.3,535.6,525.0,532.97,0.13,251.0,132403.6,1
2023-03-13,2023-03-13 12:00:00,532.97,533.65,532.97,533.65,0.13,251.0,132403.6,1
2023-03-13,2023-03-13 13:00:00,533.65,534.33,533.65,534.33,0.13,251.0,132403.6,1
2023-03-13,2023-03-13 14:00:00,534.33,535.0,534.33,535.0,0.13,251.0,132403.6,1
2023-03-13,2023-03-13 15:00:00,535.0,538.9,517.7,535.0,0.0,251.0,132403.6,0
2023-03-14,2023-03-14 11:00:00,524.3,539.65,519.7,531.72,1.42,219.4,117773.0,1
2023-03-14,2023-03-14 12:00:00,531.72,539.15,531.72,539.15,1.4,219.4,117773.0,1
2023-03-14,2023-03-14 13:00:00,539.15,546.58,539.15,546.58,1.38,219.4,117773.0,1
2023-03-14,2023-03-14 14:00:00,546.58,554.0,546.58,554.0,1.36,219.4,117773.0,1
2023-03-14,2023-03-14 15:00:00,554.0,555.0,515.1,554.0,0.0,219.4,117773.0,0
