published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-01-18,2022-01-18 11:00:00,246.7,254.2,246.7,250.45,1.52,12.2,3070.38,1
2022-01-18,2022-01-18 12:00:00,250.45,254.2,250.45,254.2,1.5,12.2,3070.38,1
2022-01-18,2022-01-18 13:00:00,254.2,257.95,254.2,257.95,1.48,12.2,3070.38,1
2022-01-18,2022-01-18 14:00:00,257.95,261.7,257.95,261.7,1.45,12.2,3070.38,1
2022-01-18,2022-01-18 15:00:00,261.7,261.7,246.7,261.7,0.0,12.2,3070.38,0
2022-01-19,2022-01-19 11:00:00,266.9,277.35,266.9,272.12,1.96,10.2,2828.38,1
2022-01-19,2022-01-19 12:00:00,272.12,277.35,272.12,277.35,1.92,10.2,2828.38,1
2022-01-19,2022-01-19 13:00:00,277.35,282.57,277.35,282.57,1.88,10.2,2828.38,1
2022-01-19,2022-01-19 14:00:00,282.57,287.8,282.57,287.8,1.85,10.2,2828.38,1
2022-01-19,2022-01-19 15:00:00,287.8,287.8,266.9,287.8,0.0,10.2,2828.38,0
2022-01-20,2022-01-20 11:00:00,293.5,305.0,293.5,299.25,1.96,14.0,4317.6,1
2022-01-20,2022-01-20 12:00:00,299.25,305.0,299.25,305.0,1.92,14.0,4317.6,1
2022-01-20,2022-01-20 13:00:00,305.0,310.75,305.0,310.75,1.89,14.0,4317.6,1
2022-01-20,2022-01-20 14:00:00,310.75,316.5,310.75,316.5,1.85,14.0,4317.6,1
2022-01-20,2022-01-20 15:00:00,316.5,316.5,293.5,316.5,0.0,14.0,4317.6,0
2022-01-23,2022-01-23 11:00:00,322.0,335.05,322.0,328.52,2.02,26.0,8919.4,1
2022-01-23,2022-01-23 12:00:00,328.52,335.05,328.52,335.05,1.99,26.0,8919.4,1
2022-01-23,2022-01-23 13:00:00,335.05,341.58,335.05,341.58,1.95,26.0,8919.4,1
2022-01-23,2022-01-23 14:00:00,341.58,348.1,341.58,348.1,1.91,26.0,8919.4,1
2022-01-23,2022-01-23 15:00:00,348.1,348.1,322.0,348.1,0.0,26.0,8919.4,0
2022-01-24,2022-01-24 11:00:00,355.0,368.95,355.0,361.98,1.97,28.0,10584.0,1
2022-01-24,2022-01-24 12:00:00,361.98,368.95,361.98,368.95,1.93,28.0,10584.0,1
2022-01-24,2022-01-24 13:00:00,368.95,375.92,368.95,375.92,1.89,28.0,10584.0,1
2022-01-24,2022-01-24 14:00:00,375.92,382.9,375.92,382.9,1.86,28.0,10584.0,1
2022-01-24,2022-01-24 15:00:00,382.9,382.9,355.0,382.9,0.0,28.0,10584.0,0
2022-01-25,2022-01-25 11:00:00,390.5,405.8,390.5,398.15,1.96,1116.8,470134.28,1
2022-01-25,2022-01-25 12:00:00,398.15,405.8,398.15,405.8,1.92,1116.8,470134.28,1
2022-01-25,2022-01-25 13:00:00,405.8,413.45,405.8,413.45,1.89,1116.8,470134.28,1
2022-01-25,2022-01-25 14:00:00,413.45,421.1,413.45,421.1,1.85,1116.8,470134.28,1
2022-01-25,2022-01-25 15:00:00,421.1,421.1,390.5,421.1,0.0,1116.8,470134.28,0
2022-01-26,2022-01-26 11:00:00,425.0,444.1,425.0,434.55,2.25,164.0,75755.6,1
2022-01-26,2022-01-26 12:00:00,434.55,444.1,434.55,444.1,2.2,164.0,75755.6,1
2022-01-26,2022-01-26 13:00:00,444.1,453.65,444.1,453.65,2.15,164.0,75755.6,1
2022-01-26,2022-01-26 14:00:00,453.65,463.2,453.65,463.2,2.11,164.0,75755.6,1
2022-01-26,2022-01-26 15:00:00,463.2,463.2,425.0,463.2,0.0,164.0,75755.6,0
2022-01-27,2022-01-27 11:00:00,472.4,490.95,472.4,481.67,1.96,562.0,286156.6,1
2022-01-27,2022-01-27 12:00:00,481.67,490.95,481.67,490.95,1.93,562.0,286156.6,1
2022-01-27,2022-01-27 13:00:00,490.95,500.23,490.95,500.23,1.89,562.0,286156.6,1
2022-01-27,2022-01-27 14:00:00,500.23,509.5,500.23,509.5,1.85,562.0,286156.6,1
