published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-02-06,2022-02-06 11:00:00,1000.0,1000.0,1000.0,1000.0,0.0,13.0,13000.0,0
2022-02-06,2022-02-06 12:00:00,1000.0,1000.0,1000.0,1000.0,0.0,13.0,13000.0,0
2022-02-06,2022-02-06 13:00:00,1000.0,1000.0,1000.0,1000.0,0.0,13.0,13000.0,0
2022-02-06,2022-02-06 14:00:00,1000.0,1000.0,1000.0,1000.0,0.0,13.0,13000.0,0
2022-02-06,2022-02-06 15:00:00,1000.0,1000.0,1000.0,1000.0,0.0,13.0,13000.0,0
2022-06-30,2022-06-30 11:00:00,980.0,980.0,980.0,980.0,0.0,18.0,17640.0,0
2022-06-30,2022-06-30 12:00:00,980.0,980.0,980.0,980.0,0.0,18.0,17640.0,0
2022-06-30,2022-06-30 13:00:00,980.0,980.0,980.0,980.0,0.0,18.0,17640.0,0
2022-06-30,2022-06-30 14:00:00,980.0,980.0,980.0,980.0,0.0,18.0,17640.0,0
2022-06-30,2022-06-30 15:00:00,980.0,980.0,980.0,980.0,0.0,18.0,17640.0,0
2022-07-01,2022-07-01 11:00:00,960.4,960.4,960.4,960.4,0.0,5.0,4802.0,0
2022-07-01,2022-07-01 12:00:00,960.4,960.4,960.4,960.4,0.0,5.0,4802.0,0
2022-07-01,2022-07-01 13:00:00,960.4,960.4,960.4,960.4,0.0,5.0,4802.0,0
2022-07-01,2022-07-01 14:00:00,960.4,960.4,960.4,960.4,0.0,5.0,4802.0,0
2022-07-01,2022-07-01 15:00:00,960.4,960.4,960.4,960.4,0.0,5.0,4802.0,0
2022-07-03,2022-07-03 11:00:00,941.2,941.2,905.6,923.65,-1.86,82.0,72533.0,-1
2022-07-03,2022-07-03 12:00:00,923.65,923.65,906.1,906.1,-1.9,82.0,72533.0,-1
2022-07-03,2022-07-03 13:00:00,906.1,906.1,888.55,888.55,-1.94,82.0,72533.0,-1
2022-07-03,2022-07-03 14:00:00,888.55,888.55,871.0,871.0,-1.98,82.0,72533.0,-1
2022-07-03,2022-07-03 15:00:00,871.0,941.2,870.0,871.0,0.0,82.0,72533.0,0
2022-07-04,2022-07-04 11:00:00,853.6,853.6,837.35,845.48,-0.95,41.0,34232.4,-1
2022-07-04,2022-07-04 12:00:00,845.48,845.48,837.35,837.35,-0.96,41.0,34232.4,-1
2022-07-04,2022-07-04 13:00:00,837.35,837.35,829.23,829.23,-0.97,41.0,34232.4,-1
2022-07-04,2022-07-04 14:00:00,829.23,829.23,821.1,821.1,-0.98,41.0,34232.4,-1
2022-07-04,2022-07-04 15:00:00,821.1,853.6,821.1,821.1,0.0,41.0,34232.4,0
2022-07-05,2022-07-05 11:00:00,814.5,814.5,809.75,812.12,-0.29,35.0,28406.0,-1
2022-07-05,2022-07-05 12:00:00,812.12,812.12,809.75,809.75,-0.29,35.0,28406.0,-1
2022-07-05,2022-07-05 13:00:00,809.75,809.75,807.38,807.38,-0.29,35.0,28406.0,-1
2022-07-05,2022-07-05 14:00:00,807.38,807.38,805.0,805.0,-0.29,35.0,28406.0,-1
2022-07-05,2022-07-05 15:00:00,805.0,814.5,805.0,805.0,0.0,35.0,28406.0,0
2022-07-06,2022-07-06 11:00:00,800.3,800.3,800.3,800.3,0.0,5.0,4001.5,0
2022-07-06,2022-07-06 12:00:00,800.3,800.3,800.3,800.3,0.0,5.0,4001.5,0
