published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-20,2011-03-20 11:00:00,225.0,225.0,223.0,224.0,-0.44,4.0,884.0,-1
2011-03-20,2011-03-20 12:00:00,224.0,224.0,223.0,223.0,-0.45,4.0,884.0,-1
2011-03-20,2011-03-20 13:00:00,223.0,223.0,222.0,222.0,-0.45,4.0,884.0,-1
2011-03-20,2011-03-20 14:00:00,222.0,222.0,221.0,221.0,-0.45,4.0,884.0,-1
2011-03-20,2011-03-20 15:00:00,221.0,221.0,221.0,221.0,0.0,4.0,884.0,0
2011-03-25,2011-03-25 11:00:00,206.0,208.0,206.0,207.0,0.49,4.0,840.0,1
2011-03-25,2011-03-25 12:00:00,207.0,208.0,207.0,208.0,0.48,4.0,840.0,1
2011-03-25,2011-03-25 13:00:00,208.0,209.0,208.0,209.0,0.48,4.0,840.0,1
2011-03-25,2011-03-25 14:00:00,209.0,210.0,209.0,210.0,0.48,4.0,840.0,1
2011-03-25,2011-03-25 15:00:00,210.0,210.0,210.0,210.0,0.0,4.0,840.0,0
2011-03-27,2011-03-27 11:00:00,210.0,212.0,210.0,210.5,0.24,54.0,11440.0,1
2011-03-27,2011-03-27 12:00:00,210.5,211.0,210.5,211.0,0.24,54.0,11440.0,1
2011-03-27,2011-03-27 13:00:00,211.0,211.5,211.0,211.5,0.24,54.0,11440.0,1
2011-03-27,2011-03-27 14:00:00,211.5,212.0,211.5,212.0,0.24,54.0,11440.0,1
2011-03-27,2011-03-27 15:00:00,212.0,214.0,211.0,212.0,0.0,54.0,11440.0,0
2011-03-28,2011-03-28 11:00:00,212.0,214.0,212.0,212.75,0.35,10.0,2158.0,1
2011-03-28,2011-03-28 12:00:00,212.75,213.5,212.75,213.5,0.35,10.0,2158.0,1
2011-03-28,2011-03-28 13:00:00,213.5,214.25,213.5,214.25,0.35,10.0,2158.0,1
2011-03-28,2011-03-28 14:00:00,214.25,215.0,214.25,215.0,0.35,10.0,2158.0,1
2011-03-28,2011-03-28 15:00:00,215.0,216.0,215.0,215.0,0.0,10.0,2158.0,0
2011-03-30,2011-03-30 11:00:00,215.0,215.0,213.0,214.0,-0.47,108.0,23212.0,-1
2011-03-30,2011-03-30 12:00:00,214.0,214.0,213.0,213.0,-0.47,108.0,23212.0,-1
2011-03-30,2011-03-30 13:00:00,213.0,213.0,212.0,212.0,-0.47,108.0,23212.0,-1
2011-03-30,2011-03-30 14:00:00,212.0,212.0,211.0,211.0,-0.47,108.0,23212.0,-1
2011-03-30,2011-03-30 15:00:00,211.0,215.0,211.0,211.0,0.0,108.0,23212.0,0
2011-03-31,2011-03-31 11:00:00,211.0,213.0,211.0,212.0,0.47,14.0,3006.0,1
2011-03-31,2011-03-31 12:00:00,212.0,213.0,212.0,213.0,0.47,14.0,3006.0,1
2011-03-31,2011-03-31 13:00:00,213.0,214.0,213.0,214.0,0.47,14.0,3006.0,1
2011-03-31,2011-03-31 14:00:00,214.0,215.0,214.0,215.0,0.47,14.0,3006.0,1
2011-03-31,2011-03-31 15:00:00,215.0,215.0,214.0,215.0,0.0,14.0,3006.0,0
2011-04-04,2011-04-04 11:00:00,215.0,215.0,212.5,213.75,-0.58,12.0,2522.0,-1
2011-04-04,2011-04-04 12:00:00,213.75,213.75,212.5,212.5,-0.58,12.0,2522.0,-1
2011-04-04,2011-04-04 13:00:00,212.5,212.5,211.25,211.25,-0.59,12.0,2522.0,-1
2011-04-04,2011-04-04 14:00:00,211.25,211.25,210.0,210.0,-0.59,12.0,2522.0,-1
2011-04-04,2011-04-04 15:00:00,210.0,211.0,210.0,210.0,0.0,12.0,2522.0,0
2011-04-05,2011-04-05 11:00:00,210.0,210.0,209.5,209.75,-0.12,24.0,5016.0,-1
2011-04-05,2011-04-05 12:00:00,209.75,209.75,209.5,209.5,-0.12,24.0,5016.0,-1
2011-04-05,2011-04-05 13:00:00,209.5,209.5,209.25,209.25,-0.12,24.0,5016.0,-1
2011-04-05,2011-04-05 14:00:00,209.25,209.25,209.0,209.0,-0.12,24.0,5016.0,-1
2011-04-05,2011-04-05 15:00:00,209.0,209.0,209.0,209.0,0.0,24.0,5016.0,0
2011-04-06,2011-04-06 11:00:00,209.0,209.0,203.0,206.0,-1.44,12.0,2398.0,-1
2011-04-06,2011-04-06 12:00:00,206.0,206.0,203.0,203.0,-1.46,12.0,2398.0,-1
2011-04-06,2011-04-06 13:00:00,203.0,203.0,200.0,200.0,-1.48,12.0,2398.0,-1
2011-04-06,2011-04-06 14:00:00,200.0,200.0,197.0,197.0,-1.5,12.0,2398.0,-1
2011-04-06,2011-04-06 15:00:00,197.0,205.0,197.0,197.0,0.0,12.0,2398.0,0
2011-04-07,2011-04-07 11:00:00,197.0,197.0,192.5,194.75,-1.14,30.0,5702.0,-1
2011-04-07,2011-04-07 12:00:00,194.75,194.75,192.5,192.5,-1.16,30.0,5702.0,-1
2011-04-07,2011-04-07 13:00:00,192.5,192.5,190.25,190.25,-1.17,30.0,5702.0,-1
2011-04-07,2011-04-07 14:00:00,190.25,190.25,188.0,188.0,-1.18,30.0,5702.0,-1
2011-04-07,2011-04-07 15:00:00,188.0,194.0,188.0,188.0,0.0,30.0,5702.0,0
