published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-08-03,2017-08-03 11:00:00,0.0,161.5,0.0,80.75,0.0,155.0,48927.4,1
2017-08-03,2017-08-03 12:00:00,80.75,161.5,80.75,161.5,100.0,155.0,48927.4,1
2017-08-03,2017-08-03 13:00:00,161.5,242.25,161.5,242.25,50.0,155.0,48927.4,1
2017-08-03,2017-08-03 14:00:00,242.25,323.0,242.25,323.0,33.33,155.0,48927.4,1
2017-08-03,2017-08-03 15:00:00,323.0,323.0,294.0,323.0,0.0,155.0,48927.4,0
2017-08-06,2017-08-06 11:00:00,323.0,339.0,311.5,321.25,-0.54,2079.2,666756.6,-1
2017-08-06,2017-08-06 12:00:00,321.25,321.25,319.5,319.5,-0.54,2079.2,666756.6,-1
2017-08-06,2017-08-06 13:00:00,319.5,319.5,317.75,317.75,-0.55,2079.2,666756.6,-1
2017-08-06,2017-08-06 14:00:00,317.75,317.75,316.0,316.0,-0.55,2079.2,666756.6,-1
2017-08-06,2017-08-06 15:00:00,316.0,355.0,300.0,316.0,0.0,2079.2,666756.6,0
2017-08-07,2017-08-07 11:00:00,316.0,316.0,300.5,308.25,-2.45,874.8,257635.6,-1
2017-08-07,2017-08-07 12:00:00,308.25,308.25,300.5,300.5,-2.51,874.8,257635.6,-1
2017-08-07,2017-08-07 13:00:00,300.5,300.5,292.75,292.75,-2.58,874.8,257635.6,-1
2017-08-07,2017-08-07 14:00:00,292.75,292.75,285.0,285.0,-2.65,874.8,257635.6,-1
2017-08-07,2017-08-07 15:00:00,285.0,312.0,285.0,285.0,0.0,874.8,257635.6,0
2017-08-09,2017-08-09 11:00:00,285.0,285.0,271.0,278.75,-2.19,1173.8,303022.6,-1
2017-08-09,2017-08-09 12:00:00,278.75,278.75,272.5,272.5,-2.24,1173.8,303022.6,-1
2017-08-09,2017-08-09 13:00:00,272.5,272.5,266.25,266.25,-2.29,1173.8,303022.6,-1
2017-08-09,2017-08-09 14:00:00,266.25,266.25,260.0,260.0,-2.35,1173.8,303022.6,-1
2017-08-09,2017-08-09 15:00:00,260.0,280.0,257.0,260.0,0.0,1173.8,303022.6,0
2017-08-10,2017-08-10 11:00:00,260.0,260.0,249.0,260.0,0.0,404.4,101328.0,0
2017-08-10,2017-08-10 12:00:00,260.0,260.0,260.0,260.0,0.0,404.4,101328.0,0
2017-08-10,2017-08-10 13:00:00,260.0,260.0,260.0,260.0,0.0,404.4,101328.0,0
2017-08-10,2017-08-10 14:00:00,260.0,260.0,260.0,260.0,0.0,404.4,101328.0,0
2017-08-10,2017-08-10 15:00:00,260.0,260.0,238.0,260.0,0.0,404.4,101328.0,0
2017-08-13,2017-08-13 11:00:00,260.0,260.0,249.5,255.75,-1.63,75.8,18523.8,-1
2017-08-13,2017-08-13 12:00:00,255.75,255.75,251.5,251.5,-1.66,75.8,18523.8,-1
2017-08-13,2017-08-13 13:00:00,251.5,251.5,247.25,247.25,-1.69,75.8,18523.8,-1
2017-08-13,2017-08-13 14:00:00,247.25,247.25,243.0,243.0,-1.72,75.8,18523.8,-1
2017-08-13,2017-08-13 15:00:00,243.0,257.0,239.0,243.0,0.0,75.8,18523.8,0
2017-08-15,2017-08-15 11:00:00,243.0,243.0,231.5,237.5,-2.26,121.6,27369.6,-1
2017-08-15,2017-08-15 12:00:00,237.5,237.5,232.0,232.0,-2.32,121.6,27369.6,-1
2017-08-15,2017-08-15 13:00:00,232.0,232.0,226.5,226.5,-2.37,121.6,27369.6,-1
2017-08-15,2017-08-15 14:00:00,226.5,226.5,221.0,221.0,-2.43,121.6,27369.6,-1
2017-08-15,2017-08-15 15:00:00,221.0,240.0,220.0,221.0,0.0,121.6,27369.6,0
2017-08-16,2017-08-16 11:00:00,221.0,224.0,219.0,220.0,-0.45,105.6,23424.4,-1
2017-08-16,2017-08-16 12:00:00,220.0,220.0,219.0,219.0,-0.45,105.6,23424.4,-1
2017-08-16,2017-08-16 13:00:00,219.0,219.0,218.0,218.0,-0.46,105.6,23424.4,-1
2017-08-16,2017-08-16 14:00:00,218.0,218.0,217.0,217.0,-0.46,105.6,23424.4,-1
2017-08-16,2017-08-16 15:00:00,217.0,227.0,217.0,217.0,0.0,105.6,23424.4,0
2017-08-17,2017-08-17 11:00:00,217.0,217.0,213.0,215.5,-0.69,125.6,26438.8,-1
2017-08-17,2017-08-17 12:00:00,215.5,215.5,214.0,214.0,-0.7,125.6,26438.8,-1
2017-08-17,2017-08-17 13:00:00,214.0,214.0,212.5,212.5,-0.7,125.6,26438.8,-1
2017-08-17,2017-08-17 14:00:00,212.5,212.5,211.0,211.0,-0.71,125.6,26438.8,-1
2017-08-17,2017-08-17 15:00:00,211.0,214.0,209.0,211.0,0.0,125.6,26438.8,0
2017-08-20,2017-08-20 11:00:00,211.0,213.0,209.0,210.75,-0.12,140.0,29214.0,-1
2017-08-20,2017-08-20 12:00:00,210.75,210.75,210.5,210.5,-0.12,140.0,29214.0,-1
2017-08-20,2017-08-20 13:00:00,210.5,210.5,210.25,210.25,-0.12,140.0,29214.0,-1
2017-08-20,2017-08-20 14:00:00,210.25,210.25,210.0,210.0,-0.12,140.0,29214.0,-1
2017-08-20,2017-08-20 15:00:00,210.0,215.0,207.0,210.0,0.0,140.0,29214.0,0
2017-08-21,2017-08-21 11:00:00,210.0,214.0,203.5,207.75,-1.07,357.6,74585.6,-1
2017-08-21,2017-08-21 12:00:00,207.75,207.75,205.5,205.5,-1.08,357.6,74585.6,-1
2017-08-21,2017-08-21 13:00:00,205.5,205.5,203.25,203.25,-1.09,357.6,74585.6,-1
2017-08-21,2017-08-21 14:00:00,203.25,203.25,201.0,201.0,-1.11,357.6,74585.6,-1
2017-08-21,2017-08-21 15:00:00,201.0,218.0,197.0,201.0,0.0,357.6,74585.6,0
2017-08-22,2017-08-22 11:00:00,201.0,204.0,199.5,200.75,-0.12,1304.2,265511.2,-1
2017-08-22,2017-08-22 12:00:00,200.75,200.75,200.5,200.5,-0.12,1304.2,265511.2,-1
2017-08-22,2017-08-22 13:00:00,200.5,200.5,200.25,200.25,-0.12,1304.2,265511.2,-1
2017-08-22,2017-08-22 14:00:00,200.25,200.25,200.0,200.0,-0.12,1304.2,265511.2,-1
2017-08-22,2017-08-22 15:00:00,200.0,207.0,198.0,200.0,0.0,1304.2,265511.2,0
2017-08-23,2017-08-23 11:00:00,200.0,200.0,193.5,196.75,-1.62,791.0,151470.0,-1
2017-08-23,2017-08-23 12:00:00,196.75,196.75,193.5,193.5,-1.65,791.0,151470.0,-1
2017-08-23,2017-08-23 13:00:00,193.5,193.5,190.25,190.25,-1.68,791.0,151470.0,-1
2017-08-23,2017-08-23 14:00:00,190.25,190.25,187.0,187.0,-1.71,791.0,151470.0,-1
2017-08-23,2017-08-23 15:00:00,187.0,199.0,187.0,187.0,0.0,791.0,151470.0,0
2017-08-24,2017-08-24 11:00:00,187.0,191.0,184.0,189.0,1.07,868.4,166932.0,1
2017-08-24,2017-08-24 12:00:00,189.0,191.0,189.0,191.0,1.06,868.4,166932.0,1
2017-08-24,2017-08-24 13:00:00,191.0,193.0,191.0,193.0,1.05,868.4,166932.0,1
2017-08-24,2017-08-24 14:00:00,193.0,195.0,193.0,195.0,1.04,868.4,166932.0,1
2017-08-24,2017-08-24 15:00:00,195.0,195.0,181.0,195.0,0.0,868.4,166932.0,0
2017-08-27,2017-08-27 11:00:00,195.0,197.5,194.0,196.25,0.64,401.2,78390.0,1
2017-08-27,2017-08-27 12:00:00,196.25,197.5,196.25,197.5,0.64,401.2,78390.0,1
2017-08-27,2017-08-27 13:00:00,197.5,198.75,197.5,198.75,0.63,401.2,78390.0,1
2017-08-27,2017-08-27 14:00:00,198.75,200.0,198.75,200.0,0.63,401.2,78390.0,1
2017-08-27,2017-08-27 15:00:00,200.0,200.0,193.0,200.0,0.0,401.2,78390.0,0
2017-08-28,2017-08-28 11:00:00,200.0,200.5,197.5,200.25,0.12,56.0,11083.6,1
2017-08-28,2017-08-28 12:00:00,200.25,200.5,200.25,200.5,0.12,56.0,11083.6,1
2017-08-28,2017-08-28 13:00:00,200.5,200.75,200.5,200.75,0.12,56.0,11083.6,1
2017-08-28,2017-08-28 14:00:00,200.75,201.0,200.75,201.0,0.12,56.0,11083.6,1
2017-08-28,2017-08-28 15:00:00,201.0,201.0,195.0,201.0,0.0,56.0,11083.6,0
2017-08-30,2017-08-30 11:00:00,201.0,201.5,199.0,200.0,-0.5,370.2,74072.6,-1
2017-08-30,2017-08-30 12:00:00,200.0,200.0,199.0,199.0,-0.5,370.2,74072.6,-1
2017-08-30,2017-08-30 13:00:00,199.0,199.0,198.0,198.0,-0.5,370.2,74072.6,-1
2017-08-30,2017-08-30 14:00:00,198.0,198.0,197.0,197.0,-0.51,370.2,74072.6,-1
2017-08-30,2017-08-30 15:00:00,197.0,202.0,197.0,197.0,0.0,370.2,74072.6,0
2017-08-31,2017-08-31 11:00:00,197.0,197.0,192.5,196.5,-0.25,97.4,18885.4,-1
2017-08-31,2017-08-31 12:00:00,196.5,196.5,196.0,196.0,-0.25,97.4,18885.4,-1
2017-08-31,2017-08-31 13:00:00,196.0,196.0,195.5,195.5,-0.26,97.4,18885.4,-1
2017-08-31,2017-08-31 14:00:00,195.5,195.5,195.0,195.0,-0.26,97.4,18885.4,-1
2017-08-31,2017-08-31 15:00:00,195.0,196.0,188.0,195.0,0.0,97.4,18885.4,0
2017-09-04,2017-09-04 11:00:00,195.0,195.0,190.5,192.75,-1.15,316.4,59811.8,-1
2017-09-04,2017-09-04 12:00:00,192.75,192.75,190.5,190.5,-1.17,316.4,59811.8,-1
2017-09-04,2017-09-04 13:00:00,190.5,190.5,188.25,188.25,-1.18,316.4,59811.8,-1
2017-09-04,2017-09-04 14:00:00,188.25,188.25,186.0,186.0,-1.2,316.4,59811.8,-1
2017-09-04,2017-09-04 15:00:00,186.0,192.0,186.0,186.0,0.0,316.4,59811.8,0
2017-09-06,2017-09-06 11:00:00,186.0,188.0,186.0,187.0,0.54,74.0,13926.4,1
2017-09-06,2017-09-06 12:00:00,187.0,188.0,187.0,188.0,0.53,74.0,13926.4,1
2017-09-06,2017-09-06 13:00:00,188.0,189.0,188.0,189.0,0.53,74.0,13926.4,1
2017-09-06,2017-09-06 14:00:00,189.0,190.0,189.0,190.0,0.53,74.0,13926.4,1
2017-09-06,2017-09-06 15:00:00,190.0,190.0,186.0,190.0,0.0,74.0,13926.4,0
2017-09-07,2017-09-07 11:00:00,190.0,190.0,186.5,188.25,-0.92,229.2,42367.4,-1
2017-09-07,2017-09-07 12:00:00,188.25,188.25,186.5,186.5,-0.93,229.2,42367.4,-1
2017-09-07,2017-09-07 13:00:00,186.5,186.5,184.75,184.75,-0.94,229.2,42367.4,-1
2017-09-07,2017-09-07 14:00:00,184.75,184.75,183.0,183.0,-0.95,229.2,42367.4,-1
2017-09-07,2017-09-07 15:00:00,183.0,190.0,183.0,183.0,0.0,229.2,42367.4,0
