published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-11,2023-06-11 11:00:00,111.1,116.65,111.1,113.88,2.5,75.2,8882.02,1
2023-06-11,2023-06-11 12:00:00,113.88,116.65,113.88,116.65,2.43,75.2,8882.02,1
2023-06-11,2023-06-11 13:00:00,116.65,119.42,116.65,119.42,2.37,75.2,8882.02,1
2023-06-11,2023-06-11 14:00:00,119.42,122.2,119.42,122.2,2.33,75.2,8882.02,1
2023-06-11,2023-06-11 15:00:00,122.2,122.2,111.1,122.2,0.0,75.2,8882.02,0
2023-06-12,2023-06-12 11:00:00,120.8,127.6,120.8,124.2,2.81,55.8,7180.54,1
2023-06-12,2023-06-12 12:00:00,124.2,127.6,124.2,127.6,2.74,55.8,7180.54,1
2023-06-12,2023-06-12 13:00:00,127.6,131.0,127.6,131.0,2.66,55.8,7180.54,1
2023-06-12,2023-06-12 14:00:00,131.0,134.4,131.0,134.4,2.6,55.8,7180.54,1
2023-06-12,2023-06-12 15:00:00,134.4,134.4,120.8,134.4,0.0,55.8,7180.54,0
2023-06-13,2023-06-13 11:00:00,135.7,141.75,135.7,138.72,2.23,40.2,5762.24,1
2023-06-13,2023-06-13 12:00:00,138.72,141.75,138.72,141.75,2.18,40.2,5762.24,1
2023-06-13,2023-06-13 13:00:00,141.75,144.78,141.75,144.78,2.14,40.2,5762.24,1
2023-06-13,2023-06-13 14:00:00,144.78,147.8,144.78,147.8,2.09,40.2,5762.24,1
2023-06-13,2023-06-13 15:00:00,147.8,147.8,135.7,147.8,0.0,40.2,5762.24,0
2023-06-14,2023-06-14 11:00:00,150.7,156.6,150.7,153.65,1.96,33.4,5213.3,1
2023-06-14,2023-06-14 12:00:00,153.65,156.6,153.65,156.6,1.92,33.4,5213.3,1
2023-06-14,2023-06-14 13:00:00,156.6,159.55,156.6,159.55,1.88,33.4,5213.3,1
2023-06-14,2023-06-14 14:00:00,159.55,162.5,159.55,162.5,1.85,33.4,5213.3,1
2023-06-14,2023-06-14 15:00:00,162.5,162.5,150.7,162.5,0.0,33.4,5213.3,0
2023-06-15,2023-06-15 11:00:00,165.7,172.2,165.7,168.95,1.96,24.4,4277.76,1
2023-06-15,2023-06-15 12:00:00,168.95,172.2,168.95,172.2,1.92,24.4,4277.76,1
2023-06-15,2023-06-15 13:00:00,172.2,175.45,172.2,175.45,1.89,24.4,4277.76,1
2023-06-15,2023-06-15 14:00:00,175.45,178.7,175.45,178.7,1.85,24.4,4277.76,1
2023-06-15,2023-06-15 15:00:00,178.7,178.7,165.7,178.7,0.0,24.4,4277.76,0
2023-06-18,2023-06-18 11:00:00,182.2,189.35,182.2,185.77,1.96,48.0,9283.76,1
2023-06-18,2023-06-18 12:00:00,185.77,189.35,185.77,189.35,1.93,48.0,9283.76,1
2023-06-18,2023-06-18 13:00:00,189.35,192.93,189.35,192.93,1.89,48.0,9283.76,1
2023-06-18,2023-06-18 14:00:00,192.93,196.5,192.93,196.5,1.85,48.0,9283.76,1
2023-06-18,2023-06-18 15:00:00,196.5,196.5,182.2,196.5,0.0,48.0,9283.76,0
2023-06-19,2023-06-19 11:00:00,193.3,204.7,193.3,199.0,2.95,74.0,15821.76,1
2023-06-19,2023-06-19 12:00:00,199.0,204.7,199.0,204.7,2.86,74.0,15821.76,1
2023-06-19,2023-06-19 13:00:00,204.7,210.4,204.7,210.4,2.78,74.0,15821.76,1
2023-06-19,2023-06-19 14:00:00,210.4,216.1,210.4,216.1,2.71,74.0,15821.76,1
2023-06-19,2023-06-19 15:00:00,216.1,216.1,193.3,216.1,0.0,74.0,15821.76,0
2023-06-20,2023-06-20 11:00:00,220.4,229.05,220.4,224.72,1.96,75.8,17881.54,1
2023-06-20,2023-06-20 12:00:00,224.72,229.05,224.72,229.05,1.93,75.8,17881.54,1
2023-06-20,2023-06-20 13:00:00,229.05,233.38,229.05,233.38,1.89,75.8,17881.54,1
2023-06-20,2023-06-20 14:00:00,233.38,237.7,233.38,237.7,1.85,75.8,17881.54,1
2023-06-20,2023-06-20 15:00:00,237.7,237.7,220.4,237.7,0.0,75.8,17881.54,0
2023-06-21,2023-06-21 11:00:00,242.4,251.9,242.4,247.15,1.96,82.2,21310.06,1
2023-06-21,2023-06-21 12:00:00,247.15,251.9,247.15,251.9,1.92,82.2,21310.06,1
2023-06-21,2023-06-21 13:00:00,251.9,256.65,251.9,256.65,1.89,82.2,21310.06,1
2023-06-21,2023-06-21 14:00:00,256.65,261.4,256.65,261.4,1.85,82.2,21310.06,1
2023-06-21,2023-06-21 15:00:00,261.4,261.4,242.4,261.4,0.0,82.2,21310.06,0
2023-06-22,2023-06-22 11:00:00,265.0,276.25,265.0,270.62,2.12,130.0,37198.96,1
2023-06-22,2023-06-22 12:00:00,270.62,276.25,270.62,276.25,2.08,130.0,37198.96,1
2023-06-22,2023-06-22 13:00:00,276.25,281.88,276.25,281.88,2.04,130.0,37198.96,1
2023-06-22,2023-06-22 14:00:00,281.88,287.5,281.88,287.5,1.99,130.0,37198.96,1
2023-06-22,2023-06-22 15:00:00,287.5,287.5,265.0,287.5,0.0,130.0,37198.96,0
2023-06-25,2023-06-25 11:00:00,293.2,304.7,293.2,298.95,1.96,275.8,87026.2,1
2023-06-25,2023-06-25 12:00:00,298.95,304.7,298.95,304.7,1.92,275.8,87026.2,1
2023-06-25,2023-06-25 13:00:00,304.7,310.45,304.7,310.45,1.89,275.8,87026.2,1
2023-06-25,2023-06-25 14:00:00,310.45,316.2,310.45,316.2,1.85,275.8,87026.2,1
2023-06-25,2023-06-25 15:00:00,316.2,316.2,293.2,316.2,0.0,275.8,87026.2,0
2023-06-26,2023-06-26 11:00:00,315.0,331.4,315.0,323.2,2.6,314.2,109004.28,1
2023-06-26,2023-06-26 12:00:00,323.2,331.4,323.2,331.4,2.54,314.2,109004.28,1
2023-06-26,2023-06-26 13:00:00,331.4,339.6,331.4,339.6,2.47,314.2,109004.28,1
2023-06-26,2023-06-26 14:00:00,339.6,347.8,339.6,347.8,2.41,314.2,109004.28,1
2023-06-26,2023-06-26 15:00:00,347.8,347.8,315.0,347.8,0.0,314.2,109004.28,0
2023-06-27,2023-06-27 11:00:00,350.8,366.65,350.8,358.73,2.26,234.0,89246.5,1
2023-06-27,2023-06-27 12:00:00,358.73,366.65,358.73,366.65,2.21,234.0,89246.5,1
2023-06-27,2023-06-27 13:00:00,366.65,374.57,366.65,374.57,2.16,234.0,89246.5,1
2023-06-27,2023-06-27 14:00:00,374.57,382.5,374.57,382.5,2.12,234.0,89246.5,1
2023-06-27,2023-06-27 15:00:00,382.5,382.5,350.8,382.5,0.0,234.0,89246.5,0
2023-06-28,2023-06-28 11:00:00,390.1,405.4,390.1,397.75,1.96,404.0,169796.24,1
2023-06-28,2023-06-28 12:00:00,397.75,405.4,397.75,405.4,1.92,404.0,169796.24,1
2023-06-28,2023-06-28 13:00:00,405.4,413.05,405.4,413.05,1.89,404.0,169796.24,1
2023-06-28,2023-06-28 14:00:00,413.05,420.7,413.05,420.7,1.85,404.0,169796.24,1
2023-06-28,2023-06-28 15:00:00,420.7,420.7,390.1,420.7,0.0,404.0,169796.24,0
2023-07-02,2023-07-02 11:00:00,429.0,445.85,429.0,437.43,1.97,660.0,304777.82,1
2023-07-02,2023-07-02 12:00:00,437.43,445.85,437.43,445.85,1.92,660.0,304777.82,1
2023-07-02,2023-07-02 13:00:00,445.85,454.27,445.85,454.27,1.89,660.0,304777.82,1
2023-07-02,2023-07-02 14:00:00,454.27,462.7,454.27,462.7,1.86,660.0,304777.82,1
2023-07-02,2023-07-02 15:00:00,462.7,462.7,429.0,462.7,0.0,660.0,304777.82,0
2023-07-03,2023-07-03 11:00:00,471.0,489.95,471.0,480.48,2.01,1396.0,709983.58,1
2023-07-03,2023-07-03 12:00:00,480.48,489.95,480.48,489.95,1.97,1396.0,709983.58,1
2023-07-03,2023-07-03 13:00:00,489.95,499.42,489.95,499.42,1.93,1396.0,709983.58,1
2023-07-03,2023-07-03 14:00:00,499.42,508.9,499.42,508.9,1.9,1396.0,709983.58,1
2023-07-03,2023-07-03 15:00:00,508.9,508.9,471.0,508.9,0.0,1396.0,709983.58,0
2023-07-04,2023-07-04 11:00:00,519.0,539.35,519.0,529.17,1.96,1523.4,852219.06,1
2023-07-04,2023-07-04 12:00:00,529.17,539.35,529.17,539.35,1.92,1523.4,852219.06,1
2023-07-04,2023-07-04 13:00:00,539.35,549.53,539.35,549.53,1.89,1523.4,852219.06,1
2023-07-04,2023-07-04 14:00:00,549.53,559.7,549.53,559.7,1.85,1523.4,852219.06,1
2023-07-04,2023-07-04 15:00:00,559.7,559.7,519.0,559.7,0.0,1523.4,852219.06,0
2023-07-05,2023-07-05 11:00:00,570.8,593.2,570.8,582.0,1.96,1816.0,1117159.76,1
2023-07-05,2023-07-05 12:00:00,582.0,593.2,582.0,593.2,1.92,1816.0,1117159.76,1
2023-07-05,2023-07-05 13:00:00,593.2,604.4,593.2,604.4,1.89,1816.0,1117159.76,1
2023-07-05,2023-07-05 14:00:00,604.4,615.6,604.4,615.6,1.85,1816.0,1117159.76,1
2023-07-05,2023-07-05 15:00:00,615.6,615.6,570.8,615.6,0.0,1816.0,1117159.76,0
2023-07-06,2023-07-06 11:00:00,627.9,652.5,609.45,640.2,1.96,46219.0,29472389.14,1
2023-07-06,2023-07-06 12:00:00,640.2,652.5,640.2,652.5,1.92,46219.0,29472389.14,1
2023-07-06,2023-07-06 13:00:00,652.5,664.8,652.5,664.8,1.89,46219.0,29472389.14,1
2023-07-06,2023-07-06 14:00:00,664.8,677.1,664.8,677.1,1.85,46219.0,29472389.14,1
2023-07-06,2023-07-06 15:00:00,677.1,677.1,591.0,677.1,0.0,46219.0,29472389.14,0
2023-07-09,2023-07-09 11:00:00,690.6,717.3,670.3,703.33,1.84,12451.6,8949474.36,1
2023-07-09,2023-07-09 12:00:00,703.33,716.05,703.33,716.05,1.81,12451.6,8949474.36,1
2023-07-09,2023-07-09 13:00:00,716.05,728.77,716.05,728.77,1.78,12451.6,8949474.36,1
2023-07-09,2023-07-09 14:00:00,728.77,741.5,728.77,741.5,1.75,12451.6,8949474.36,1
2023-07-09,2023-07-09 15:00:00,741.5,744.0,650.0,741.5,0.0,12451.6,8949474.36,0
2023-07-10,2023-07-10 11:00:00,726.7,733.35,710.85,718.8,-1.09,25263.8,18032552.42,-1
2023-07-10,2023-07-10 12:00:00,718.8,718.8,710.9,710.9,-1.1,25263.8,18032552.42,-1
2023-07-10,2023-07-10 13:00:00,710.9,710.9,703.0,703.0,-1.11,25263.8,18032552.42,-1
2023-07-10,2023-07-10 14:00:00,703.0,703.0,695.1,695.1,-1.12,25263.8,18032552.42,-1
2023-07-10,2023-07-10 15:00:00,695.1,740.0,695.0,695.1,0.0,25263.8,18032552.42,0
2023-07-11,2023-07-11 11:00:00,685.0,700.0,678.0,685.25,0.04,11739.4,8071568.8,1
2023-07-11,2023-07-11 12:00:00,685.25,685.5,685.25,685.5,0.04,11739.4,8071568.8,1
2023-07-11,2023-07-11 13:00:00,685.5,685.75,685.5,685.75,0.04,11739.4,8071568.8,1
2023-07-11,2023-07-11 14:00:00,685.75,686.0,685.75,686.0,0.04,11739.4,8071568.8,1
2023-07-11,2023-07-11 15:00:00,686.0,715.0,671.0,686.0,0.0,11739.4,8071568.8,0
2023-07-12,2023-07-12 11:00:00,675.0,683.5,674.0,678.75,0.56,6686.0,4564222.36,1
2023-07-12,2023-07-12 12:00:00,678.75,682.5,678.75,682.5,0.55,6686.0,4564222.36,1
2023-07-12,2023-07-12 13:00:00,682.5,686.25,682.5,686.25,0.55,6686.0,4564222.36,1
2023-07-12,2023-07-12 14:00:00,686.25,690.0,686.25,690.0,0.55,6686.0,4564222.36,1
2023-07-12,2023-07-12 15:00:00,690.0,692.0,673.0,690.0,0.0,6686.0,4564222.36,0
2023-07-13,2023-07-13 11:00:00,680.0,702.5,680.0,684.02,0.59,9789.2,6914102.08,1
2023-07-13,2023-07-13 12:00:00,684.02,688.05,684.02,688.05,0.59,9789.2,6914102.08,1
2023-07-13,2023-07-13 13:00:00,688.05,692.08,688.05,692.08,0.59,9789.2,6914102.08,1
2023-07-13,2023-07-13 14:00:00,692.08,696.1,692.08,696.1,0.58,9789.2,6914102.08,1
2023-07-13,2023-07-13 15:00:00,696.1,725.0,680.0,696.1,0.0,9789.2,6914102.08,0
2023-07-16,2023-07-16 11:00:00,695.0,702.5,687.5,691.27,-0.54,7028.4,4848687.96,-1
2023-07-16,2023-07-16 12:00:00,691.27,691.27,687.55,687.55,-0.54,7028.4,4848687.96,-1
2023-07-16,2023-07-16 13:00:00,687.55,687.55,683.83,683.83,-0.54,7028.4,4848687.96,-1
2023-07-16,2023-07-16 14:00:00,683.83,683.83,680.1,680.1,-0.55,7028.4,4848687.96,-1
2023-07-16,2023-07-16 15:00:00,680.1,710.0,680.0,680.1,0.0,7028.4,4848687.96,0
