published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-01,2023-10-01 11:00:00,508.0,508.0,482.6,495.3,-2.5,63744.8,29472148.72,-1
2023-10-01,2023-10-01 12:00:00,495.3,495.3,482.6,482.6,-2.56,63744.8,29472148.72,-1
2023-10-01,2023-10-01 13:00:00,482.6,482.6,469.9,469.9,-2.63,63744.8,29472148.72,-1
2023-10-01,2023-10-01 14:00:00,469.9,469.9,457.2,457.2,-2.7,63744.8,29472148.72,-1
2023-10-01,2023-10-01 15:00:00,457.2,508.0,457.2,457.2,0.0,63744.8,29472148.72,0
2023-10-02,2023-10-02 11:00:00,450.0,453.5,446.05,450.23,0.05,57410.4,25792809.06,1
2023-10-02,2023-10-02 12:00:00,450.23,450.45,450.23,450.45,0.05,57410.4,25792809.06,1
2023-10-02,2023-10-02 13:00:00,450.45,450.67,450.45,450.67,0.05,57410.4,25792809.06,1
2023-10-02,2023-10-02 14:00:00,450.67,450.9,450.67,450.9,0.05,57410.4,25792809.06,1
2023-10-02,2023-10-02 15:00:00,450.9,457.0,442.1,450.9,0.0,57410.4,25792809.06,0
2023-10-03,2023-10-03 11:00:00,446.0,448.0,445.5,446.0,0.0,25090.2,11194130.4,0
2023-10-03,2023-10-03 12:00:00,446.0,446.0,446.0,446.0,0.0,25090.2,11194130.4,0
2023-10-03,2023-10-03 13:00:00,446.0,446.0,446.0,446.0,0.0,25090.2,11194130.4,0
2023-10-03,2023-10-03 14:00:00,446.0,446.0,446.0,446.0,0.0,25090.2,11194130.4,0
2023-10-03,2023-10-03 15:00:00,446.0,450.0,445.0,446.0,0.0,25090.2,11194130.4,0
2023-10-04,2023-10-04 11:00:00,437.1,445.65,437.1,439.75,0.61,30968.0,13872624.44,1
2023-10-04,2023-10-04 12:00:00,439.75,442.4,439.75,442.4,0.6,30968.0,13872624.44,1
2023-10-04,2023-10-04 13:00:00,442.4,445.05,442.4,445.05,0.6,30968.0,13872624.44,1
2023-10-04,2023-10-04 14:00:00,445.05,447.7,445.05,447.7,0.6,30968.0,13872624.44,1
2023-10-04,2023-10-04 15:00:00,447.7,454.2,437.1,447.7,0.0,30968.0,13872624.44,0
2023-10-05,2023-10-05 11:00:00,447.7,447.7,444.4,446.27,-0.32,19977.2,8866340.24,-1
2023-10-05,2023-10-05 12:00:00,446.27,446.27,444.85,444.85,-0.32,19977.2,8866340.24,-1
2023-10-05,2023-10-05 13:00:00,444.85,444.85,443.43,443.43,-0.32,19977.2,8866340.24,-1
2023-10-05,2023-10-05 14:00:00,443.43,443.43,442.0,442.0,-0.32,19977.2,8866340.24,-1
2023-10-05,2023-10-05 15:00:00,442.0,447.7,441.1,442.0,0.0,19977.2,8866340.24,0
2023-10-08,2023-10-08 11:00:00,442.0,443.0,436.5,439.57,-0.55,20929.8,9100611.38,-1
2023-10-08,2023-10-08 12:00:00,439.57,439.57,437.15,437.15,-0.55,20929.8,9100611.38,-1
2023-10-08,2023-10-08 13:00:00,437.15,437.15,434.73,434.73,-0.55,20929.8,9100611.38,-1
2023-10-08,2023-10-08 14:00:00,434.73,434.73,432.3,432.3,-0.56,20929.8,9100611.38,-1
2023-10-08,2023-10-08 15:00:00,432.3,444.0,431.0,432.3,0.0,20929.8,9100611.38,0
2023-10-09,2023-10-09 11:00:00,430.0,431.5,427.05,428.65,-0.31,13800.0,5887788.7,-1
2023-10-09,2023-10-09 12:00:00,428.65,428.65,427.3,427.3,-0.31,13800.0,5887788.7,-1
2023-10-09,2023-10-09 13:00:00,427.3,427.3,425.95,425.95,-0.32,13800.0,5887788.7,-1
2023-10-09,2023-10-09 14:00:00,425.95,425.95,424.6,424.6,-0.32,13800.0,5887788.7,-1
2023-10-09,2023-10-09 15:00:00,424.6,433.0,424.1,424.6,0.0,13800.0,5887788.7,0
2023-10-10,2023-10-10 11:00:00,420.0,424.95,419.0,419.55,-0.11,12382.8,5213411.4,-1
2023-10-10,2023-10-10 12:00:00,419.55,419.55,419.1,419.1,-0.11,12382.8,5213411.4,-1
2023-10-10,2023-10-10 13:00:00,419.1,419.1,418.65,418.65,-0.11,12382.8,5213411.4,-1
2023-10-10,2023-10-10 14:00:00,418.65,418.65,418.2,418.2,-0.11,12382.8,5213411.4,-1
2023-10-10,2023-10-10 15:00:00,418.2,429.9,418.0,418.2,0.0,12382.8,5213411.4,0
2023-10-11,2023-10-11 11:00:00,413.6,419.3,413.6,414.53,0.22,12045.6,5035594.16,1
2023-10-11,2023-10-11 12:00:00,414.53,415.45,414.53,415.45,0.22,12045.6,5035594.16,1
2023-10-11,2023-10-11 13:00:00,415.45,416.38,415.45,416.38,0.22,12045.6,5035594.16,1
2023-10-11,2023-10-11 14:00:00,416.38,417.3,416.38,417.3,0.22,12045.6,5035594.16,1
2023-10-11,2023-10-11 15:00:00,417.3,425.0,413.6,417.3,0.0,12045.6,5035594.16,0
2023-10-12,2023-10-12 11:00:00,415.1,417.55,411.55,413.83,-0.31,15812.0,6506690.66,-1
2023-10-12,2023-10-12 12:00:00,413.83,413.83,412.55,412.55,-0.31,15812.0,6506690.66,-1
2023-10-12,2023-10-12 13:00:00,412.55,412.55,411.27,411.27,-0.31,15812.0,6506690.66,-1
2023-10-12,2023-10-12 14:00:00,411.27,411.27,410.0,410.0,-0.31,15812.0,6506690.66,-1
2023-10-12,2023-10-12 15:00:00,410.0,420.0,408.0,410.0,0.0,15812.0,6506690.66,0
2023-10-16,2023-10-16 11:00:00,405.1,406.55,397.85,402.1,-0.74,18574.8,7344653.6,-1
2023-10-16,2023-10-16 12:00:00,402.1,402.1,399.1,399.1,-0.75,18574.8,7344653.6,-1
2023-10-16,2023-10-16 13:00:00,399.1,399.1,396.1,396.1,-0.75,18574.8,7344653.6,-1
2023-10-16,2023-10-16 14:00:00,396.1,396.1,393.1,393.1,-0.76,18574.8,7344653.6,-1
2023-10-16,2023-10-16 15:00:00,393.1,408.0,390.6,393.1,0.0,18574.8,7344653.6,0
2023-10-17,2023-10-17 11:00:00,395.0,401.0,394.6,396.0,0.25,8225.0,3271692.86,1
2023-10-17,2023-10-17 12:00:00,396.0,397.0,396.0,397.0,0.25,8225.0,3271692.86,1
2023-10-17,2023-10-17 13:00:00,397.0,398.0,397.0,398.0,0.25,8225.0,3271692.86,1
2023-10-17,2023-10-17 14:00:00,398.0,399.0,398.0,399.0,0.25,8225.0,3271692.86,1
2023-10-17,2023-10-17 15:00:00,399.0,407.0,394.2,399.0,0.0,8225.0,3271692.86,0
2023-10-18,2023-10-18 11:00:00,399.0,404.25,397.5,401.0,0.5,9101.4,3679207.16,1
2023-10-18,2023-10-18 12:00:00,401.0,403.0,401.0,403.0,0.5,9101.4,3679207.16,1
2023-10-18,2023-10-18 13:00:00,403.0,405.0,403.0,405.0,0.5,9101.4,3679207.16,1
2023-10-18,2023-10-18 14:00:00,405.0,407.0,405.0,407.0,0.49,9101.4,3679207.16,1
2023-10-18,2023-10-18 15:00:00,407.0,409.5,396.0,407.0,0.0,9101.4,3679207.16,0
2023-10-19,2023-10-19 11:00:00,402.0,405.65,401.05,402.5,0.12,6925.4,2797927.9,1
2023-10-19,2023-10-19 12:00:00,402.5,403.0,402.5,403.0,0.12,6925.4,2797927.9,1
2023-10-19,2023-10-19 13:00:00,403.0,403.5,403.0,403.5,0.12,6925.4,2797927.9,1
2023-10-19,2023-10-19 14:00:00,403.5,404.0,403.5,404.0,0.12,6925.4,2797927.9,1
2023-10-19,2023-10-19 15:00:00,404.0,409.3,400.1,404.0,0.0,6925.4,2797927.9,0
2023-10-29,2023-10-29 11:00:00,396.2,398.1,393.1,395.65,-0.14,11680.6,4600836.62,-1
2023-10-29,2023-10-29 12:00:00,395.65,395.65,395.1,395.1,-0.14,11680.6,4600836.62,-1
2023-10-29,2023-10-29 13:00:00,395.1,395.1,394.55,394.55,-0.14,11680.6,4600836.62,-1
2023-10-29,2023-10-29 14:00:00,394.55,394.55,394.0,394.0,-0.14,11680.6,4600836.62,-1
2023-10-29,2023-10-29 15:00:00,394.0,400.0,390.0,394.0,0.0,11680.6,4600836.62,0
2023-10-30,2023-10-30 11:00:00,390.0,391.9,389.25,390.25,0.06,7057.0,2755912.52,1
2023-10-30,2023-10-30 12:00:00,390.25,390.5,390.25,390.5,0.06,7057.0,2755912.52,1
2023-10-30,2023-10-30 13:00:00,390.5,390.75,390.5,390.75,0.06,7057.0,2755912.52,1
2023-10-30,2023-10-30 14:00:00,390.75,391.0,390.75,391.0,0.06,7057.0,2755912.52,1
2023-10-30,2023-10-30 15:00:00,391.0,393.8,388.5,391.0,0.0,7057.0,2755912.52,0
2023-10-31,2023-10-31 11:00:00,391.0,392.5,390.05,391.0,0.0,6339.2,2479211.9,0
2023-10-31,2023-10-31 12:00:00,391.0,391.0,391.0,391.0,0.0,6339.2,2479211.9,0
2023-10-31,2023-10-31 13:00:00,391.0,391.0,391.0,391.0,0.0,6339.2,2479211.9,0
2023-10-31,2023-10-31 14:00:00,391.0,391.0,391.0,391.0,0.0,6339.2,2479211.9,0
2023-10-31,2023-10-31 15:00:00,391.0,394.0,389.1,391.0,0.0,6339.2,2479211.9,0
2023-11-01,2023-11-01 11:00:00,386.0,390.5,386.0,386.75,0.19,7602.2,2965448.44,1
2023-11-01,2023-11-01 12:00:00,386.75,387.5,386.75,387.5,0.19,7602.2,2965448.44,1
2023-11-01,2023-11-01 13:00:00,387.5,388.25,387.5,388.25,0.19,7602.2,2965448.44,1
2023-11-01,2023-11-01 14:00:00,388.25,389.0,388.25,389.0,0.19,7602.2,2965448.44,1
2023-11-01,2023-11-01 15:00:00,389.0,395.0,386.0,389.0,0.0,7602.2,2965448.44,0
2023-11-02,2023-11-02 11:00:00,381.3,385.15,381.3,381.48,0.05,7550.4,2900797.02,1
