published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-02-17,2026-02-17 11:00:00,10.0,10.0,9.52,9.79,-2.1,6784.0,61962.92,-1
2026-02-17,2026-02-17 12:00:00,9.79,9.79,9.59,9.59,-2.04,6784.0,61962.92,-1
2026-02-17,2026-02-17 13:00:00,9.59,9.59,9.38,9.38,-2.19,6784.0,61962.92,-1
2026-02-17,2026-02-17 14:00:00,9.38,9.38,9.17,9.17,-2.24,6784.0,61962.92,-1
2026-02-17,2026-02-17 15:00:00,9.17,10.0,9.03,9.17,0.0,6784.0,61962.92,0
2026-02-22,2026-02-22 11:00:00,9.01,9.12,9.0,9.04,0.33,4004.0,36354.18,1
2026-02-22,2026-02-22 12:00:00,9.04,9.08,9.04,9.08,0.44,4004.0,36354.18,1
2026-02-22,2026-02-22 13:00:00,9.08,9.12,9.08,9.12,0.44,4004.0,36354.18,1
2026-02-22,2026-02-22 14:00:00,9.12,9.15,9.12,9.15,0.33,4004.0,36354.18,1
2026-02-22,2026-02-22 15:00:00,9.15,9.22,9.0,9.15,0.0,4004.0,36354.18,0
2026-02-23,2026-02-23 11:00:00,8.99,9.11,8.99,9.01,0.22,4376.0,39828.5,1
2026-02-23,2026-02-23 12:00:00,9.01,9.02,9.01,9.02,0.11,4376.0,39828.5,1
2026-02-23,2026-02-23 13:00:00,9.02,9.04,9.02,9.04,0.22,4376.0,39828.5,1
2026-02-23,2026-02-23 14:00:00,9.04,9.05,9.04,9.05,0.11,4376.0,39828.5,1
2026-02-23,2026-02-23 15:00:00,9.05,9.23,8.99,9.05,0.0,4376.0,39828.5,0
2026-02-24,2026-02-24 11:00:00,8.87,9.11,8.87,8.92,0.56,3196.0,29093.56,1
2026-02-24,2026-02-24 12:00:00,8.92,8.96,8.92,8.96,0.45,3196.0,29093.56,1
2026-02-24,2026-02-24 13:00:00,8.96,9.01,8.96,9.01,0.56,3196.0,29093.56,1
2026-02-24,2026-02-24 14:00:00,9.01,9.06,9.01,9.06,0.55,3196.0,29093.56,1
2026-02-24,2026-02-24 15:00:00,9.06,9.36,8.87,9.06,0.0,3196.0,29093.56,0
2026-02-25,2026-02-25 11:00:00,9.0,9.46,9.0,9.08,0.89,42406.0,406418.94,1
2026-02-25,2026-02-25 12:00:00,9.08,9.16,9.08,9.16,0.88,42406.0,406418.94,1
2026-02-25,2026-02-25 13:00:00,9.16,9.24,9.16,9.24,0.87,42406.0,406418.94,1
2026-02-25,2026-02-25 14:00:00,9.24,9.32,9.24,9.32,0.87,42406.0,406418.94,1
2026-02-25,2026-02-25 15:00:00,9.32,9.91,9.0,9.32,0.0,42406.0,406418.94,0
2026-02-26,2026-02-26 11:00:00,9.4,9.45,9.25,9.37,-0.32,1520.0,14028.16,-1
2026-02-26,2026-02-26 12:00:00,9.37,9.37,9.34,9.34,-0.32,1520.0,14028.16,-1
2026-02-26,2026-02-26 13:00:00,9.34,9.34,9.31,9.31,-0.32,1520.0,14028.16,-1
2026-02-26,2026-02-26 14:00:00,9.31,9.31,9.28,9.28,-0.32,1520.0,14028.16,-1
2026-02-26,2026-02-26 15:00:00,9.28,9.5,9.1,9.28,0.0,1520.0,14028.16,0
2026-03-01,2026-03-01 11:00:00,9.25,9.36,9.18,9.26,0.11,958.0,8872.98,1
2026-03-01,2026-03-01 12:00:00,9.26,9.28,9.26,9.28,0.22,958.0,8872.98,1
2026-03-01,2026-03-01 13:00:00,9.28,9.29,9.28,9.29,0.11,958.0,8872.98,1
2026-03-01,2026-03-01 14:00:00,9.29,9.3,9.29,9.3,0.11,958.0,8872.98,1
2026-03-01,2026-03-01 15:00:00,9.3,9.46,9.11,9.3,0.0,958.0,8872.98,0
2026-03-03,2026-03-03 11:00:00,9.12,9.27,9.05,9.15,0.33,856.2,7896.94,1
2026-03-03,2026-03-03 12:00:00,9.15,9.18,9.15,9.18,0.33,856.2,7896.94,1
2026-03-03,2026-03-03 13:00:00,9.18,9.21,9.18,9.21,0.33,856.2,7896.94,1
2026-03-03,2026-03-03 14:00:00,9.21,9.24,9.21,9.24,0.33,856.2,7896.94,1
2026-03-03,2026-03-03 15:00:00,9.24,9.41,8.99,9.24,0.0,856.2,7896.94,0
2026-03-10,2026-03-10 11:00:00,9.06,9.31,9.04,9.19,1.43,2840.0,26233.2,1
2026-03-10,2026-03-10 12:00:00,9.19,9.31,9.19,9.31,1.31,2840.0,26233.2,1
2026-03-10,2026-03-10 13:00:00,9.31,9.44,9.31,9.44,1.4,2840.0,26233.2,1
2026-03-10,2026-03-10 14:00:00,9.44,9.56,9.44,9.56,1.27,2840.0,26233.2,1
2026-03-10,2026-03-10 15:00:00,9.56,9.56,9.02,9.56,0.0,2840.0,26233.2,0
2026-03-11,2026-03-11 11:00:00,9.75,9.75,9.51,9.73,-0.21,1882.2,17843.03,-1
2026-03-11,2026-03-11 12:00:00,9.73,9.73,9.72,9.72,-0.1,1882.2,17843.03,-1
2026-03-11,2026-03-11 13:00:00,9.72,9.72,9.71,9.71,-0.1,1882.2,17843.03,-1
2026-03-11,2026-03-11 14:00:00,9.71,9.71,9.69,9.69,-0.21,1882.2,17843.03,-1
2026-03-11,2026-03-11 15:00:00,9.69,9.75,9.27,9.69,0.0,1882.2,17843.03,0
2026-03-12,2026-03-12 11:00:00,9.5,9.69,9.36,9.55,0.53,3286.0,31086.54,1
2026-03-12,2026-03-12 12:00:00,9.55,9.6,9.55,9.6,0.52,3286.0,31086.54,1
2026-03-12,2026-03-12 13:00:00,9.6,9.65,9.6,9.65,0.52,3286.0,31086.54,1
2026-03-12,2026-03-12 14:00:00,9.65,9.7,9.65,9.7,0.52,3286.0,31086.54,1
2026-03-12,2026-03-12 15:00:00,9.7,9.88,9.21,9.7,0.0,3286.0,31086.54,0
2026-03-15,2026-03-15 11:00:00,9.69,9.79,9.5,9.67,-0.21,3468.6,33469.3,-1
2026-03-15,2026-03-15 12:00:00,9.67,9.67,9.64,9.64,-0.31,3468.6,33469.3,-1
2026-03-15,2026-03-15 13:00:00,9.64,9.64,9.62,9.62,-0.21,3468.6,33469.3,-1
2026-03-15,2026-03-15 14:00:00,9.62,9.62,9.6,9.6,-0.21,3468.6,33469.3,-1
2026-03-15,2026-03-15 15:00:00,9.6,9.88,9.31,9.6,0.0,3468.6,33469.3,0
2026-03-16,2026-03-16 11:00:00,9.44,9.61,9.35,9.52,0.85,3438.6,32664.71,1
2026-03-16,2026-03-16 12:00:00,9.52,9.61,9.52,9.61,0.95,3438.6,32664.71,1
2026-03-16,2026-03-16 13:00:00,9.61,9.7,9.61,9.7,0.94,3438.6,32664.71,1
2026-03-16,2026-03-16 14:00:00,9.7,9.78,9.7,9.78,0.82,3438.6,32664.71,1
2026-03-16,2026-03-16 15:00:00,9.78,9.78,9.26,9.78,0.0,3438.6,32664.71,0
2026-03-17,2026-03-17 11:00:00,9.59,9.61,9.45,9.6,0.1,42442.0,408180.2,1
2026-03-17,2026-03-17 12:00:00,9.6,9.61,9.6,9.61,0.1,42442.0,408180.2,1
2026-03-17,2026-03-17 13:00:00,9.61,9.62,9.61,9.62,0.1,42442.0,408180.2,1
2026-03-17,2026-03-17 14:00:00,9.62,9.63,9.62,9.63,0.1,42442.0,408180.2,1
2026-03-17,2026-03-17 15:00:00,9.63,9.63,9.31,9.63,0.0,42442.0,408180.2,0
2026-03-19,2026-03-19 11:00:00,9.5,9.64,9.41,9.49,-0.11,1790.0,17006.38,-1
2026-03-19,2026-03-19 12:00:00,9.49,9.49,9.48,9.48,-0.11,1790.0,17006.38,-1
2026-03-19,2026-03-19 13:00:00,9.48,9.48,9.48,9.48,0.0,1790.0,17006.38,0
2026-03-19,2026-03-19 14:00:00,9.48,9.48,9.47,9.47,-0.11,1790.0,17006.38,-1
2026-03-19,2026-03-19 15:00:00,9.47,9.79,9.33,9.47,0.0,1790.0,17006.38,0
2026-03-22,2026-03-22 11:00:00,9.29,9.54,9.23,9.41,1.29,42146.0,407879.9,1
2026-03-22,2026-03-22 12:00:00,9.41,9.54,9.41,9.54,1.38,42146.0,407879.9,1
2026-03-22,2026-03-22 13:00:00,9.54,9.66,9.54,9.66,1.26,42146.0,407879.9,1
2026-03-22,2026-03-22 14:00:00,9.66,9.79,9.66,9.79,1.35,42146.0,407879.9,1
2026-03-22,2026-03-22 15:00:00,9.79,9.79,9.17,9.79,0.0,42146.0,407879.9,0
2026-03-23,2026-03-23 11:00:00,9.6,9.66,9.43,9.58,-0.21,2952.4,27924.84,-1
2026-03-23,2026-03-23 12:00:00,9.58,9.58,9.55,9.55,-0.31,2952.4,27924.84,-1
2026-03-23,2026-03-23 13:00:00,9.55,9.55,9.53,9.53,-0.21,2952.4,27924.84,-1
2026-03-23,2026-03-23 14:00:00,9.53,9.53,9.51,9.51,-0.21,2952.4,27924.84,-1
2026-03-23,2026-03-23 15:00:00,9.51,9.72,9.25,9.51,0.0,2952.4,27924.84,0
2026-03-24,2026-03-24 11:00:00,9.34,9.47,9.34,9.4,0.64,1730.0,16421.6,1
2026-03-24,2026-03-24 12:00:00,9.4,9.47,9.4,9.47,0.74,1730.0,16421.6,1
2026-03-24,2026-03-24 13:00:00,9.47,9.54,9.47,9.54,0.74,1730.0,16421.6,1
2026-03-24,2026-03-24 14:00:00,9.54,9.6,9.54,9.6,0.63,1730.0,16421.6,1
2026-03-24,2026-03-24 15:00:00,9.6,9.6,9.34,9.6,0.0,1730.0,16421.6,0
2026-03-25,2026-03-25 11:00:00,9.46,9.63,9.44,9.55,0.95,3537.0,33992.02,1
2026-03-25,2026-03-25 12:00:00,9.55,9.63,9.55,9.63,0.84,3537.0,33992.02,1
2026-03-25,2026-03-25 13:00:00,9.63,9.71,9.63,9.71,0.83,3537.0,33992.02,1
2026-03-25,2026-03-25 14:00:00,9.71,9.8,9.71,9.8,0.93,3537.0,33992.02,1
2026-03-25,2026-03-25 15:00:00,9.8,9.8,9.42,9.8,0.0,3537.0,33992.02,0
2026-03-26,2026-03-26 11:00:00,9.61,9.68,9.5,9.6,-0.1,6420.0,61861.5,-1
2026-03-26,2026-03-26 12:00:00,9.6,9.6,9.59,9.59,-0.1,6420.0,61861.5,-1
2026-03-26,2026-03-26 13:00:00,9.59,9.59,9.58,9.58,-0.1,6420.0,61861.5,-1
2026-03-26,2026-03-26 14:00:00,9.58,9.58,9.57,9.57,-0.1,6420.0,61861.5,-1
2026-03-26,2026-03-26 15:00:00,9.57,9.74,9.38,9.57,0.0,6420.0,61861.5,0
2026-03-29,2026-03-29 11:00:00,9.45,9.56,9.45,9.49,0.42,4774.0,45818.04,1
2026-03-29,2026-03-29 12:00:00,9.49,9.52,9.49,9.52,0.32,4774.0,45818.04,1
2026-03-29,2026-03-29 13:00:00,9.52,9.56,9.52,9.56,0.42,4774.0,45818.04,1
2026-03-29,2026-03-29 14:00:00,9.56,9.6,9.56,9.6,0.42,4774.0,45818.04,1
2026-03-29,2026-03-29 15:00:00,9.6,9.68,9.45,9.6,0.0,4774.0,45818.04,0
2026-03-30,2026-03-30 11:00:00,9.42,9.56,9.42,9.45,0.32,1644.0,15704.0,1
2026-03-30,2026-03-30 12:00:00,9.45,9.47,9.45,9.47,0.21,1644.0,15704.0,1
2026-03-30,2026-03-30 13:00:00,9.47,9.5,9.47,9.5,0.32,1644.0,15704.0,1
2026-03-30,2026-03-30 14:00:00,9.5,9.53,9.5,9.53,0.32,1644.0,15704.0,1
