published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-06-13,2022-06-13 11:00:00,382.2,382.2,382.2,382.2,0.0,12.0,4569.62,0
2022-06-13,2022-06-13 12:00:00,382.2,382.2,382.2,382.2,0.0,12.0,4569.62,0
2022-06-13,2022-06-13 13:00:00,382.2,382.2,382.2,382.2,0.0,12.0,4569.62,0
2022-06-13,2022-06-13 14:00:00,382.2,382.2,382.2,382.2,0.0,12.0,4569.62,0
2022-06-13,2022-06-13 15:00:00,382.2,382.2,382.2,382.2,0.0,12.0,4569.62,0
2022-06-15,2022-06-15 11:00:00,389.8,405.1,389.8,397.45,1.96,12.0,4821.6,1
2022-06-15,2022-06-15 12:00:00,397.45,405.1,397.45,405.1,1.92,12.0,4821.6,1
2022-06-15,2022-06-15 13:00:00,405.1,412.75,405.1,412.75,1.89,12.0,4821.6,1
2022-06-15,2022-06-15 14:00:00,412.75,420.4,412.75,420.4,1.85,12.0,4821.6,1
2022-06-15,2022-06-15 15:00:00,420.4,420.4,389.8,420.4,0.0,12.0,4821.6,0
2022-06-17,2022-06-17 11:00:00,428.8,433.05,428.8,430.93,0.5,4.0,1732.2,1
2022-06-17,2022-06-17 12:00:00,430.93,433.05,430.93,433.05,0.49,4.0,1732.2,1
2022-06-17,2022-06-17 13:00:00,433.05,435.18,433.05,435.18,0.49,4.0,1732.2,1
2022-06-17,2022-06-17 14:00:00,435.18,437.3,435.18,437.3,0.49,4.0,1732.2,1
2022-06-17,2022-06-17 15:00:00,437.3,437.3,428.8,437.3,0.0,4.0,1732.2,0
2022-06-19,2022-06-19 11:00:00,446.0,450.45,446.0,448.23,0.5,6.0,2700.84,1
2022-06-19,2022-06-19 12:00:00,448.23,450.45,448.23,450.45,0.5,6.0,2700.84,1
2022-06-19,2022-06-19 13:00:00,450.45,452.67,450.45,452.67,0.49,6.0,2700.84,1
2022-06-19,2022-06-19 14:00:00,452.67,454.9,452.67,454.9,0.49,6.0,2700.84,1
2022-06-19,2022-06-19 15:00:00,454.9,454.9,446.0,454.9,0.0,6.0,2700.84,0
2022-06-20,2022-06-20 11:00:00,463.9,482.1,463.9,473.0,1.96,14.0,6825.0,1
2022-06-20,2022-06-20 12:00:00,473.0,482.1,473.0,482.1,1.92,14.0,6825.0,1
2022-06-20,2022-06-20 13:00:00,482.1,491.2,482.1,491.2,1.89,14.0,6825.0,1
2022-06-20,2022-06-20 14:00:00,491.2,500.3,491.2,500.3,1.85,14.0,6825.0,1
2022-06-20,2022-06-20 15:00:00,500.3,500.3,463.9,500.3,0.0,14.0,6825.0,0
2022-06-21,2022-06-21 11:00:00,510.3,530.3,510.3,520.3,1.96,12.0,6312.4,1
2022-06-21,2022-06-21 12:00:00,520.3,530.3,520.3,530.3,1.92,12.0,6312.4,1
2022-06-21,2022-06-21 13:00:00,530.3,540.3,530.3,540.3,1.89,12.0,6312.4,1
2022-06-21,2022-06-21 14:00:00,540.3,550.3,540.3,550.3,1.85,12.0,6312.4,1
2022-06-21,2022-06-21 15:00:00,550.3,550.3,510.3,550.3,0.0,12.0,6312.4,0
2022-06-23,2022-06-23 11:00:00,561.3,583.3,561.3,572.3,1.96,10.0,5837.0,1
