published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2007-12-04,2007-12-04 11:00:00,570.0,570.0,570.0,570.0,0.0,2.0,0.0,0
2007-12-04,2007-12-04 12:00:00,570.0,570.0,570.0,570.0,0.0,2.0,0.0,0
2007-12-04,2007-12-04 13:00:00,570.0,570.0,570.0,570.0,0.0,2.0,0.0,0
2007-12-04,2007-12-04 14:00:00,570.0,570.0,570.0,570.0,0.0,2.0,0.0,0
2007-12-04,2007-12-04 15:00:00,570.0,570.0,570.0,570.0,0.0,2.0,0.0,0
2007-12-11,2007-12-11 11:00:00,570.0,584.0,570.0,577.0,1.23,100.0,0.0,1
2007-12-11,2007-12-11 12:00:00,577.0,584.0,577.0,584.0,1.21,100.0,0.0,1
2007-12-11,2007-12-11 13:00:00,584.0,591.0,584.0,591.0,1.2,100.0,0.0,1
2007-12-11,2007-12-11 14:00:00,591.0,598.0,591.0,598.0,1.18,100.0,0.0,1
2007-12-11,2007-12-11 15:00:00,598.0,598.0,598.0,598.0,0.0,100.0,0.0,0
2007-12-12,2007-12-12 11:00:00,598.0,612.5,598.0,605.25,1.21,16.0,0.0,1
2007-12-12,2007-12-12 12:00:00,605.25,612.5,605.25,612.5,1.2,16.0,0.0,1
2007-12-12,2007-12-12 13:00:00,612.5,619.75,612.5,619.75,1.18,16.0,0.0,1
2007-12-12,2007-12-12 14:00:00,619.75,627.0,619.75,627.0,1.17,16.0,0.0,1
2007-12-12,2007-12-12 15:00:00,627.0,627.0,627.0,627.0,0.0,16.0,0.0,0
2007-12-19,2007-12-19 11:00:00,627.0,642.5,627.0,634.75,1.24,20.0,0.0,1
2007-12-19,2007-12-19 12:00:00,634.75,642.5,634.75,642.5,1.22,20.0,0.0,1
2007-12-19,2007-12-19 13:00:00,642.5,650.25,642.5,650.25,1.21,20.0,0.0,1
2007-12-19,2007-12-19 14:00:00,650.25,658.0,650.25,658.0,1.19,20.0,0.0,1
2007-12-19,2007-12-19 15:00:00,658.0,658.0,658.0,658.0,0.0,20.0,0.0,0
2007-12-27,2007-12-27 11:00:00,378.0,543.5,378.0,460.75,21.89,66.0,0.0,1
2007-12-27,2007-12-27 12:00:00,460.75,543.5,460.75,543.5,17.96,66.0,0.0,1
2007-12-27,2007-12-27 13:00:00,543.5,626.25,543.5,626.25,15.23,66.0,0.0,1
2007-12-27,2007-12-27 14:00:00,626.25,709.0,626.25,709.0,13.21,66.0,0.0,1
2007-12-27,2007-12-27 15:00:00,709.0,709.0,670.0,709.0,0.0,66.0,0.0,0
2008-01-06,2008-01-06 11:00:00,709.0,719.5,709.0,714.25,0.74,14.0,0.0,1
2008-01-06,2008-01-06 12:00:00,714.25,719.5,714.25,719.5,0.74,14.0,0.0,1
2008-01-06,2008-01-06 13:00:00,719.5,724.75,719.5,724.75,0.73,14.0,0.0,1
2008-01-06,2008-01-06 14:00:00,724.75,730.0,724.75,730.0,0.72,14.0,0.0,1
2008-01-06,2008-01-06 15:00:00,730.0,730.0,709.0,730.0,0.0,14.0,0.0,0
2008-01-07,2008-01-07 11:00:00,730.0,730.0,730.0,730.0,0.0,4.0,0.0,0
2008-01-07,2008-01-07 12:00:00,730.0,730.0,730.0,730.0,0.0,4.0,0.0,0
2008-01-07,2008-01-07 13:00:00,730.0,730.0,730.0,730.0,0.0,4.0,0.0,0
2008-01-07,2008-01-07 14:00:00,730.0,730.0,730.0,730.0,0.0,4.0,0.0,0
2008-01-07,2008-01-07 15:00:00,730.0,730.0,730.0,730.0,0.0,4.0,0.0,0
2008-01-20,2008-01-20 11:00:00,730.0,737.0,730.0,733.5,0.48,10.0,0.0,1
2008-01-20,2008-01-20 12:00:00,733.5,737.0,733.5,737.0,0.48,10.0,0.0,1
2008-01-20,2008-01-20 13:00:00,737.0,740.5,737.0,740.5,0.47,10.0,0.0,1
2008-01-20,2008-01-20 14:00:00,740.5,744.0,740.5,744.0,0.47,10.0,0.0,1
2008-01-20,2008-01-20 15:00:00,744.0,744.0,744.0,744.0,0.0,10.0,0.0,0
2008-01-21,2008-01-21 11:00:00,744.0,752.0,744.0,748.0,0.54,16.0,0.0,1
2008-01-21,2008-01-21 12:00:00,748.0,752.0,748.0,752.0,0.53,16.0,0.0,1
2008-01-21,2008-01-21 13:00:00,752.0,756.0,752.0,756.0,0.53,16.0,0.0,1
2008-01-21,2008-01-21 14:00:00,756.0,760.0,756.0,760.0,0.53,16.0,0.0,1
2008-01-21,2008-01-21 15:00:00,760.0,760.0,750.0,760.0,0.0,16.0,0.0,0
2008-02-05,2008-02-05 11:00:00,760.0,767.5,760.0,763.75,0.49,16.0,0.0,1
2008-02-05,2008-02-05 12:00:00,763.75,767.5,763.75,767.5,0.49,16.0,0.0,1
2008-02-05,2008-02-05 13:00:00,767.5,771.25,767.5,771.25,0.49,16.0,0.0,1
2008-02-05,2008-02-05 14:00:00,771.25,775.0,771.25,775.0,0.49,16.0,0.0,1
2008-02-05,2008-02-05 15:00:00,775.0,775.0,775.0,775.0,0.0,16.0,0.0,0
2008-02-07,2008-02-07 11:00:00,775.0,782.5,775.0,778.75,0.48,30.0,0.0,1
2008-02-07,2008-02-07 12:00:00,778.75,782.5,778.75,782.5,0.48,30.0,0.0,1
2008-02-07,2008-02-07 13:00:00,782.5,786.25,782.5,786.25,0.48,30.0,0.0,1
2008-02-07,2008-02-07 14:00:00,786.25,790.0,786.25,790.0,0.48,30.0,0.0,1
2008-02-07,2008-02-07 15:00:00,790.0,790.0,790.0,790.0,0.0,30.0,0.0,0
