published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-06-10,2012-06-10 11:00:00,0.0,70.5,0.0,35.25,0.0,190.0,26320.8,1
2012-06-10,2012-06-10 12:00:00,35.25,70.5,35.25,70.5,100.0,190.0,26320.8,1
2012-06-10,2012-06-10 13:00:00,70.5,105.75,70.5,105.75,50.0,190.0,26320.8,1
2012-06-10,2012-06-10 14:00:00,105.75,141.0,105.75,141.0,33.33,190.0,26320.8,1
2012-06-10,2012-06-10 15:00:00,141.0,141.0,136.0,141.0,0.0,190.0,26320.8,0
2012-06-11,2012-06-11 11:00:00,141.0,148.0,141.0,142.5,1.06,579.6,87540.4,1
2012-06-11,2012-06-11 12:00:00,142.5,144.0,142.5,144.0,1.05,579.6,87540.4,1
2012-06-11,2012-06-11 13:00:00,144.0,145.5,144.0,145.5,1.04,579.6,87540.4,1
2012-06-11,2012-06-11 14:00:00,145.5,147.0,145.5,147.0,1.03,579.6,87540.4,1
2012-06-11,2012-06-11 15:00:00,147.0,155.0,143.0,147.0,0.0,579.6,87540.4,0
2012-06-12,2012-06-12 11:00:00,147.0,147.0,142.5,144.75,-1.53,2450.8,355757.8,-1
2012-06-12,2012-06-12 12:00:00,144.75,144.75,142.5,142.5,-1.55,2450.8,355757.8,-1
2012-06-12,2012-06-12 13:00:00,142.5,142.5,140.25,140.25,-1.58,2450.8,355757.8,-1
2012-06-12,2012-06-12 14:00:00,140.25,140.25,138.0,138.0,-1.6,2450.8,355757.8,-1
2012-06-12,2012-06-12 15:00:00,138.0,147.0,138.0,138.0,0.0,2450.8,355757.8,0
2012-06-13,2012-06-13 11:00:00,138.0,141.0,137.0,138.5,0.36,2192.2,306346.6,1
2012-06-13,2012-06-13 12:00:00,138.5,139.0,138.5,139.0,0.36,2192.2,306346.6,1
2012-06-13,2012-06-13 13:00:00,139.0,139.5,139.0,139.5,0.36,2192.2,306346.6,1
2012-06-13,2012-06-13 14:00:00,139.5,140.0,139.5,140.0,0.36,2192.2,306346.6,1
2012-06-13,2012-06-13 15:00:00,140.0,144.0,136.0,140.0,0.0,2192.2,306346.6,0
2012-06-14,2012-06-14 11:00:00,140.0,140.5,138.5,140.0,0.0,692.8,96736.2,0
2012-06-14,2012-06-14 12:00:00,140.0,140.0,140.0,140.0,0.0,692.8,96736.2,0
2012-06-14,2012-06-14 13:00:00,140.0,140.0,140.0,140.0,0.0,692.8,96736.2,0
2012-06-14,2012-06-14 14:00:00,140.0,140.0,140.0,140.0,0.0,692.8,96736.2,0
2012-06-14,2012-06-14 15:00:00,140.0,141.0,137.0,140.0,0.0,692.8,96736.2,0
2012-06-17,2012-06-17 11:00:00,140.0,140.0,138.0,139.0,-0.71,344.0,46948.2,-1
2012-06-17,2012-06-17 12:00:00,139.0,139.0,138.0,138.0,-0.72,344.0,46948.2,-1
2012-06-17,2012-06-17 13:00:00,138.0,138.0,137.0,137.0,-0.72,344.0,46948.2,-1
2012-06-17,2012-06-17 14:00:00,137.0,137.0,136.0,136.0,-0.73,344.0,46948.2,-1
2012-06-17,2012-06-17 15:00:00,136.0,138.0,136.0,136.0,0.0,344.0,46948.2,0
2012-06-18,2012-06-18 11:00:00,136.0,137.0,136.0,136.5,0.37,41.6,5681.4,1
2012-06-18,2012-06-18 12:00:00,136.5,137.0,136.5,137.0,0.37,41.6,5681.4,1
2012-06-18,2012-06-18 13:00:00,137.0,137.5,137.0,137.5,0.36,41.6,5681.4,1
2012-06-18,2012-06-18 14:00:00,137.5,138.0,137.5,138.0,0.36,41.6,5681.4,1
2012-06-18,2012-06-18 15:00:00,138.0,138.0,136.0,138.0,0.0,41.6,5681.4,0
2012-06-19,2012-06-19 11:00:00,138.0,139.0,138.0,138.5,0.36,19.6,2744.0,1
2012-06-19,2012-06-19 12:00:00,138.5,139.0,138.5,139.0,0.36,19.6,2744.0,1
2012-06-19,2012-06-19 13:00:00,139.0,139.5,139.0,139.5,0.36,19.6,2744.0,1
2012-06-19,2012-06-19 14:00:00,139.5,140.0,139.5,140.0,0.36,19.6,2744.0,1
2012-06-19,2012-06-19 15:00:00,140.0,140.0,140.0,140.0,0.0,19.6,2744.0,0
2012-06-20,2012-06-20 11:00:00,140.0,141.0,140.0,140.0,0.0,144.8,20319.6,0
2012-06-20,2012-06-20 12:00:00,140.0,140.0,140.0,140.0,0.0,144.8,20319.6,0
2012-06-20,2012-06-20 13:00:00,140.0,140.0,140.0,140.0,0.0,144.8,20319.6,0
2012-06-20,2012-06-20 14:00:00,140.0,140.0,140.0,140.0,0.0,144.8,20319.6,0
2012-06-20,2012-06-20 15:00:00,140.0,142.0,140.0,140.0,0.0,144.8,20319.6,0
2012-06-21,2012-06-21 11:00:00,140.0,140.0,138.0,139.0,-0.71,481.0,65918.0,-1
2012-06-21,2012-06-21 12:00:00,139.0,139.0,138.0,138.0,-0.72,481.0,65918.0,-1
2012-06-21,2012-06-21 13:00:00,138.0,138.0,137.0,137.0,-0.72,481.0,65918.0,-1
2012-06-21,2012-06-21 14:00:00,137.0,137.0,136.0,136.0,-0.73,481.0,65918.0,-1
2012-06-21,2012-06-21 15:00:00,136.0,138.0,136.0,136.0,0.0,481.0,65918.0,0
2012-06-25,2012-06-25 11:00:00,136.0,136.5,135.5,135.75,-0.18,789.0,106844.0,-1
2012-06-25,2012-06-25 12:00:00,135.75,135.75,135.5,135.5,-0.18,789.0,106844.0,-1
2012-06-25,2012-06-25 13:00:00,135.5,135.5,135.25,135.25,-0.18,789.0,106844.0,-1
2012-06-25,2012-06-25 14:00:00,135.25,135.25,135.0,135.0,-0.18,789.0,106844.0,-1
2012-06-25,2012-06-25 15:00:00,135.0,137.0,135.0,135.0,0.0,789.0,106844.0,0
2012-06-26,2012-06-26 11:00:00,135.0,136.5,134.5,135.75,0.56,658.6,88662.2,1
2012-06-26,2012-06-26 12:00:00,135.75,136.5,135.75,136.5,0.55,658.6,88662.2,1
2012-06-26,2012-06-26 13:00:00,136.5,137.25,136.5,137.25,0.55,658.6,88662.2,1
2012-06-26,2012-06-26 14:00:00,137.25,138.0,137.25,138.0,0.55,658.6,88662.2,1
2012-06-26,2012-06-26 15:00:00,138.0,138.0,134.0,138.0,0.0,658.6,88662.2,0
2012-06-27,2012-06-27 11:00:00,138.0,138.0,137.0,137.5,-0.36,95.0,12920.0,-1
2012-06-27,2012-06-27 12:00:00,137.5,137.5,137.0,137.0,-0.36,95.0,12920.0,-1
2012-06-27,2012-06-27 13:00:00,137.0,137.0,136.5,136.5,-0.36,95.0,12920.0,-1
2012-06-27,2012-06-27 14:00:00,136.5,136.5,136.0,136.0,-0.37,95.0,12920.0,-1
2012-06-27,2012-06-27 15:00:00,136.0,136.0,136.0,136.0,0.0,95.0,12920.0,0
2012-06-28,2012-06-28 11:00:00,136.0,138.5,136.0,137.25,0.92,414.8,57433.8,1
2012-06-28,2012-06-28 12:00:00,137.25,138.5,137.25,138.5,0.91,414.8,57433.8,1
2012-06-28,2012-06-28 13:00:00,138.5,139.75,138.5,139.75,0.9,414.8,57433.8,1
2012-06-28,2012-06-28 14:00:00,139.75,141.0,139.75,141.0,0.89,414.8,57433.8,1
2012-06-28,2012-06-28 15:00:00,141.0,141.0,138.0,141.0,0.0,414.8,57433.8,0
2012-07-01,2012-07-01 11:00:00,141.0,141.0,139.0,140.0,-0.71,810.0,111375.0,-1
2012-07-01,2012-07-01 12:00:00,140.0,140.0,139.0,139.0,-0.71,810.0,111375.0,-1
2012-07-01,2012-07-01 13:00:00,139.0,139.0,138.0,138.0,-0.72,810.0,111375.0,-1
2012-07-01,2012-07-01 14:00:00,138.0,138.0,137.0,137.0,-0.72,810.0,111375.0,-1
2012-07-01,2012-07-01 15:00:00,137.0,140.0,137.0,137.0,0.0,810.0,111375.0,0
2012-07-02,2012-07-02 11:00:00,137.0,138.0,137.0,137.0,0.0,165.0,22773.0,0
2012-07-02,2012-07-02 12:00:00,137.0,137.0,137.0,137.0,0.0,165.0,22773.0,0
2012-07-02,2012-07-02 13:00:00,137.0,137.0,137.0,137.0,0.0,165.0,22773.0,0
2012-07-02,2012-07-02 14:00:00,137.0,137.0,137.0,137.0,0.0,165.0,22773.0,0
2012-07-02,2012-07-02 15:00:00,137.0,139.0,137.0,137.0,0.0,165.0,22773.0,0
2012-07-03,2012-07-03 11:00:00,137.0,137.0,137.0,137.0,0.0,162.0,22194.0,0
2012-07-03,2012-07-03 12:00:00,137.0,137.0,137.0,137.0,0.0,162.0,22194.0,0
2012-07-03,2012-07-03 13:00:00,137.0,137.0,137.0,137.0,0.0,162.0,22194.0,0
2012-07-03,2012-07-03 14:00:00,137.0,137.0,137.0,137.0,0.0,162.0,22194.0,0
2012-07-03,2012-07-03 15:00:00,137.0,137.0,137.0,137.0,0.0,162.0,22194.0,0
2012-07-04,2012-07-04 11:00:00,137.0,138.0,137.0,137.5,0.36,9.8,1362.2,1
2012-07-04,2012-07-04 12:00:00,137.5,138.0,137.5,138.0,0.36,9.8,1362.2,1
2012-07-04,2012-07-04 13:00:00,138.0,138.5,138.0,138.5,0.36,9.8,1362.2,1
2012-07-04,2012-07-04 14:00:00,138.5,139.0,138.5,139.0,0.36,9.8,1362.2,1
2012-07-04,2012-07-04 15:00:00,139.0,139.0,139.0,139.0,0.0,9.8,1362.2,0
2012-07-05,2012-07-05 11:00:00,139.0,140.0,139.0,139.5,0.36,29.6,4173.6,1
2012-07-05,2012-07-05 12:00:00,139.5,140.0,139.5,140.0,0.36,29.6,4173.6,1
2012-07-05,2012-07-05 13:00:00,140.0,140.5,140.0,140.5,0.36,29.6,4173.6,1
2012-07-05,2012-07-05 14:00:00,140.5,141.0,140.5,141.0,0.36,29.6,4173.6,1
2012-07-05,2012-07-05 15:00:00,141.0,141.0,141.0,141.0,0.0,29.6,4173.6,0
2012-07-08,2012-07-08 11:00:00,141.0,141.0,140.0,140.75,-0.18,123.8,17247.4,-1
2012-07-08,2012-07-08 12:00:00,140.75,140.75,140.5,140.5,-0.18,123.8,17247.4,-1
2012-07-08,2012-07-08 13:00:00,140.5,140.5,140.25,140.25,-0.18,123.8,17247.4,-1
2012-07-08,2012-07-08 14:00:00,140.25,140.25,140.0,140.0,-0.18,123.8,17247.4,-1
2012-07-08,2012-07-08 15:00:00,140.0,140.0,139.0,140.0,0.0,123.8,17247.4,0
