published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-05,2011-06-05 11:00:00,132.0,133.0,130.0,131.0,-0.76,162.0,21180.0,-1
2011-06-05,2011-06-05 12:00:00,131.0,131.0,130.0,130.0,-0.76,162.0,21180.0,-1
2011-06-05,2011-06-05 13:00:00,130.0,130.0,129.0,129.0,-0.77,162.0,21180.0,-1
2011-06-05,2011-06-05 14:00:00,129.0,129.0,128.0,128.0,-0.78,162.0,21180.0,-1
2011-06-05,2011-06-05 15:00:00,128.0,134.0,128.0,128.0,0.0,162.0,21180.0,0
2011-06-06,2011-06-06 11:00:00,128.0,129.0,125.5,126.75,-0.98,398.0,51074.0,-1
2011-06-06,2011-06-06 12:00:00,126.75,126.75,125.5,125.5,-0.99,398.0,51074.0,-1
2011-06-06,2011-06-06 13:00:00,125.5,125.5,124.25,124.25,-1.0,398.0,51074.0,-1
2011-06-06,2011-06-06 14:00:00,124.25,124.25,123.0,123.0,-1.01,398.0,51074.0,-1
2011-06-06,2011-06-06 15:00:00,123.0,130.0,123.0,123.0,0.0,398.0,51074.0,0
2011-06-07,2011-06-07 11:00:00,123.0,123.0,119.5,121.25,-1.42,396.0,46782.0,-1
2011-06-07,2011-06-07 12:00:00,121.25,121.25,119.5,119.5,-1.44,396.0,46782.0,-1
2011-06-07,2011-06-07 13:00:00,119.5,119.5,117.75,117.75,-1.46,396.0,46782.0,-1
2011-06-07,2011-06-07 14:00:00,117.75,117.75,116.0,116.0,-1.49,396.0,46782.0,-1
2011-06-07,2011-06-07 15:00:00,116.0,122.0,116.0,116.0,0.0,396.0,46782.0,0
2011-06-08,2011-06-08 11:00:00,116.0,117.0,114.0,115.0,-0.86,118.0,13432.0,-1
2011-06-08,2011-06-08 12:00:00,115.0,115.0,114.0,114.0,-0.87,118.0,13432.0,-1
2011-06-08,2011-06-08 13:00:00,114.0,114.0,113.0,113.0,-0.88,118.0,13432.0,-1
2011-06-08,2011-06-08 14:00:00,113.0,113.0,112.0,112.0,-0.88,118.0,13432.0,-1
2011-06-08,2011-06-08 15:00:00,112.0,118.0,112.0,112.0,0.0,118.0,13432.0,0
2011-06-09,2011-06-09 11:00:00,112.0,113.0,112.0,112.0,0.0,12.0,1360.0,0
2011-06-09,2011-06-09 12:00:00,112.0,112.0,112.0,112.0,0.0,12.0,1360.0,0
2011-06-09,2011-06-09 13:00:00,112.0,112.0,112.0,112.0,0.0,12.0,1360.0,0
2011-06-09,2011-06-09 14:00:00,112.0,112.0,112.0,112.0,0.0,12.0,1360.0,0
2011-06-09,2011-06-09 15:00:00,112.0,114.0,112.0,112.0,0.0,12.0,1360.0,0
2011-06-12,2011-06-12 11:00:00,112.0,112.0,110.0,111.75,-0.22,74.0,8096.0,-1
2011-06-12,2011-06-12 12:00:00,111.75,111.75,111.5,111.5,-0.22,74.0,8096.0,-1
2011-06-12,2011-06-12 13:00:00,111.5,111.5,111.25,111.25,-0.22,74.0,8096.0,-1
2011-06-12,2011-06-12 14:00:00,111.25,111.25,111.0,111.0,-0.22,74.0,8096.0,-1
2011-06-12,2011-06-12 15:00:00,111.0,111.0,108.0,111.0,0.0,74.0,8096.0,0
2011-06-13,2011-06-13 11:00:00,111.0,111.0,108.5,109.75,-1.13,294.0,31978.0,-1
2011-06-13,2011-06-13 12:00:00,109.75,109.75,108.5,108.5,-1.14,294.0,31978.0,-1
2011-06-13,2011-06-13 13:00:00,108.5,108.5,107.25,107.25,-1.15,294.0,31978.0,-1
2011-06-13,2011-06-13 14:00:00,107.25,107.25,106.0,106.0,-1.17,294.0,31978.0,-1
2011-06-13,2011-06-13 15:00:00,106.0,110.0,106.0,106.0,0.0,294.0,31978.0,0
2011-06-14,2011-06-14 11:00:00,106.0,107.0,106.0,106.25,0.24,124.0,13276.0,1
2011-06-14,2011-06-14 12:00:00,106.25,106.5,106.25,106.5,0.24,124.0,13276.0,1
2011-06-14,2011-06-14 13:00:00,106.5,106.75,106.5,106.75,0.23,124.0,13276.0,1
2011-06-14,2011-06-14 14:00:00,106.75,107.0,106.75,107.0,0.23,124.0,13276.0,1
2011-06-14,2011-06-14 15:00:00,107.0,108.0,107.0,107.0,0.0,124.0,13276.0,0
2011-06-15,2011-06-15 11:00:00,107.0,108.0,107.0,107.0,0.0,88.0,9512.0,0
2011-06-15,2011-06-15 12:00:00,107.0,107.0,107.0,107.0,0.0,88.0,9512.0,0
2011-06-15,2011-06-15 13:00:00,107.0,107.0,107.0,107.0,0.0,88.0,9512.0,0
2011-06-15,2011-06-15 14:00:00,107.0,107.0,107.0,107.0,0.0,88.0,9512.0,0
