published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-11-25,2015-11-25 11:00:00,110.0,115.0,110.0,112.5,2.27,10.0,1160.0,1
2015-11-25,2015-11-25 12:00:00,112.5,115.0,112.5,115.0,2.22,10.0,1160.0,1
2015-11-25,2015-11-25 13:00:00,115.0,117.5,115.0,117.5,2.17,10.0,1160.0,1
2015-11-25,2015-11-25 14:00:00,117.5,120.0,117.5,120.0,2.13,10.0,1160.0,1
2015-11-25,2015-11-25 15:00:00,120.0,120.0,112.0,120.0,0.0,10.0,1160.0,0
2015-11-26,2015-11-26 11:00:00,120.0,126.0,120.0,123.0,2.5,200.0,25800.0,1
2015-11-26,2015-11-26 12:00:00,123.0,126.0,123.0,126.0,2.44,200.0,25800.0,1
2015-11-26,2015-11-26 13:00:00,126.0,129.0,126.0,129.0,2.38,200.0,25800.0,1
2015-11-26,2015-11-26 14:00:00,129.0,132.0,129.0,132.0,2.33,200.0,25800.0,1
2015-11-26,2015-11-26 15:00:00,132.0,132.0,122.0,132.0,0.0,200.0,25800.0,0
2015-11-29,2015-11-29 11:00:00,132.0,138.5,132.0,135.25,2.46,204.0,29008.0,1
2015-11-29,2015-11-29 12:00:00,135.25,138.5,135.25,138.5,2.4,204.0,29008.0,1
2015-11-29,2015-11-29 13:00:00,138.5,141.75,138.5,141.75,2.35,204.0,29008.0,1
2015-11-29,2015-11-29 14:00:00,141.75,145.0,141.75,145.0,2.29,204.0,29008.0,1
2015-11-29,2015-11-29 15:00:00,145.0,145.0,134.0,145.0,0.0,204.0,29008.0,0
2015-11-30,2015-11-30 11:00:00,145.0,152.0,145.0,148.5,2.41,12.0,1834.0,1
2015-11-30,2015-11-30 12:00:00,148.5,152.0,148.5,152.0,2.36,12.0,1834.0,1
2015-11-30,2015-11-30 13:00:00,152.0,155.5,152.0,155.5,2.3,12.0,1834.0,1
2015-11-30,2015-11-30 14:00:00,155.5,159.0,155.5,159.0,2.25,12.0,1834.0,1
2015-11-30,2015-11-30 15:00:00,159.0,159.0,147.0,159.0,0.0,12.0,1834.0,0
2015-12-01,2015-12-01 11:00:00,159.0,166.5,159.0,162.75,2.36,14.0,2352.0,1
2015-12-01,2015-12-01 12:00:00,162.75,166.5,162.75,166.5,2.3,14.0,2352.0,1
2015-12-01,2015-12-01 13:00:00,166.5,170.25,166.5,170.25,2.25,14.0,2352.0,1
2015-12-01,2015-12-01 14:00:00,170.25,174.0,170.25,174.0,2.2,14.0,2352.0,1
2015-12-01,2015-12-01 15:00:00,174.0,174.0,162.0,174.0,0.0,14.0,2352.0,0
2015-12-02,2015-12-02 11:00:00,174.0,182.5,174.0,178.25,2.44,20.0,3688.0,1
2015-12-02,2015-12-02 12:00:00,178.25,182.5,178.25,182.5,2.38,20.0,3688.0,1
2015-12-02,2015-12-02 13:00:00,182.5,186.75,182.5,186.75,2.33,20.0,3688.0,1
2015-12-02,2015-12-02 14:00:00,186.75,191.0,186.75,191.0,2.28,20.0,3688.0,1
2015-12-02,2015-12-02 15:00:00,191.0,191.0,177.0,191.0,0.0,20.0,3688.0,0
2015-12-03,2015-12-03 11:00:00,191.0,200.5,191.0,195.75,2.49,1140.2,221296.8,1
2015-12-03,2015-12-03 12:00:00,195.75,200.5,195.75,200.5,2.43,1140.2,221296.8,1
2015-12-03,2015-12-03 13:00:00,200.5,205.25,200.5,205.25,2.37,1140.2,221296.8,1
2015-12-03,2015-12-03 14:00:00,205.25,210.0,205.25,210.0,2.31,1140.2,221296.8,1
2015-12-03,2015-12-03 15:00:00,210.0,210.0,194.0,210.0,0.0,1140.2,221296.8,0
2015-12-06,2015-12-06 11:00:00,210.0,220.5,210.0,215.25,2.5,204.0,46416.0,1
2015-12-06,2015-12-06 12:00:00,215.25,220.5,215.25,220.5,2.44,204.0,46416.0,1
2015-12-06,2015-12-06 13:00:00,220.5,225.75,220.5,225.75,2.38,204.0,46416.0,1
2015-12-06,2015-12-06 14:00:00,225.75,231.0,225.75,231.0,2.33,204.0,46416.0,1
2015-12-06,2015-12-06 15:00:00,231.0,231.0,214.0,231.0,0.0,204.0,46416.0,0
