published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-07-07,2011-07-07 11:00:00,190.0,190.0,187.0,188.5,-0.79,14.0,2606.0,-1
2011-07-07,2011-07-07 12:00:00,188.5,188.5,187.0,187.0,-0.8,14.0,2606.0,-1
2011-07-07,2011-07-07 13:00:00,187.0,187.0,185.5,185.5,-0.8,14.0,2606.0,-1
2011-07-07,2011-07-07 14:00:00,185.5,185.5,184.0,184.0,-0.81,14.0,2606.0,-1
2011-07-07,2011-07-07 15:00:00,184.0,187.0,184.0,184.0,0.0,14.0,2606.0,0
2011-07-10,2011-07-10 11:00:00,184.0,184.0,182.5,183.25,-0.41,6.0,1086.0,-1
2011-07-10,2011-07-10 12:00:00,183.25,183.25,182.5,182.5,-0.41,6.0,1086.0,-1
2011-07-10,2011-07-10 13:00:00,182.5,182.5,181.75,181.75,-0.41,6.0,1086.0,-1
2011-07-10,2011-07-10 14:00:00,181.75,181.75,181.0,181.0,-0.41,6.0,1086.0,-1
2011-07-10,2011-07-10 15:00:00,181.0,181.0,181.0,181.0,0.0,6.0,1086.0,0
2011-07-20,2011-07-20 11:00:00,181.0,181.0,179.5,180.25,-0.41,29.2,5197.6,-1
2011-07-20,2011-07-20 12:00:00,180.25,180.25,179.5,179.5,-0.42,29.2,5197.6,-1
2011-07-20,2011-07-20 13:00:00,179.5,179.5,178.75,178.75,-0.42,29.2,5197.6,-1
2011-07-20,2011-07-20 14:00:00,178.75,178.75,178.0,178.0,-0.42,29.2,5197.6,-1
2011-07-20,2011-07-20 15:00:00,178.0,178.0,178.0,178.0,0.0,29.2,5197.6,0
2012-03-18,2012-03-18 11:00:00,178.0,178.0,175.0,176.5,-0.84,22.0,3844.0,-1
2012-03-18,2012-03-18 12:00:00,176.5,176.5,175.0,175.0,-0.85,22.0,3844.0,-1
2012-03-18,2012-03-18 13:00:00,175.0,175.0,173.5,173.5,-0.86,22.0,3844.0,-1
2012-03-18,2012-03-18 14:00:00,173.5,173.5,172.0,172.0,-0.86,22.0,3844.0,-1
2012-03-18,2012-03-18 15:00:00,172.0,175.0,172.0,172.0,0.0,22.0,3844.0,0
2012-03-20,2012-03-20 11:00:00,172.0,172.0,170.5,171.25,-0.44,2.0,338.0,-1
2012-03-20,2012-03-20 12:00:00,171.25,171.25,170.5,170.5,-0.44,2.0,338.0,-1
2012-03-20,2012-03-20 13:00:00,170.5,170.5,169.75,169.75,-0.44,2.0,338.0,-1
2012-03-20,2012-03-20 14:00:00,169.75,169.75,169.0,169.0,-0.44,2.0,338.0,-1
2012-03-20,2012-03-20 15:00:00,169.0,169.0,169.0,169.0,0.0,2.0,338.0,0
2012-05-22,2012-05-22 11:00:00,169.0,171.5,169.0,170.25,0.74,29.2,5051.2,1
2012-05-22,2012-05-22 12:00:00,170.25,171.5,170.25,171.5,0.73,29.2,5051.2,1
2012-05-22,2012-05-22 13:00:00,171.5,172.75,171.5,172.75,0.73,29.2,5051.2,1
2012-05-22,2012-05-22 14:00:00,172.75,174.0,172.75,174.0,0.72,29.2,5051.2,1
2012-05-22,2012-05-22 15:00:00,174.0,174.0,172.0,174.0,0.0,29.2,5051.2,0
2012-07-02,2012-07-02 11:00:00,174.0,174.0,172.5,173.25,-0.43,10.0,1710.0,-1
2012-07-02,2012-07-02 12:00:00,173.25,173.25,172.5,172.5,-0.43,10.0,1710.0,-1
2012-07-02,2012-07-02 13:00:00,172.5,172.5,171.75,171.75,-0.43,10.0,1710.0,-1
2012-07-02,2012-07-02 14:00:00,171.75,171.75,171.0,171.0,-0.44,10.0,1710.0,-1
2012-07-02,2012-07-02 15:00:00,171.0,171.0,171.0,171.0,0.0,10.0,1710.0,0
2012-07-18,2012-07-18 11:00:00,171.0,171.0,169.5,170.25,-0.44,10.0,1680.0,-1
2012-07-18,2012-07-18 12:00:00,170.25,170.25,169.5,169.5,-0.44,10.0,1680.0,-1
2012-07-18,2012-07-18 13:00:00,169.5,169.5,168.75,168.75,-0.44,10.0,1680.0,-1
2012-07-18,2012-07-18 14:00:00,168.75,168.75,168.0,168.0,-0.44,10.0,1680.0,-1
2012-07-18,2012-07-18 15:00:00,168.0,168.0,168.0,168.0,0.0,10.0,1680.0,0
2012-07-31,2012-07-31 11:00:00,168.0,168.0,166.0,167.0,-0.6,48.0,7874.0,-1
2012-07-31,2012-07-31 12:00:00,167.0,167.0,166.0,166.0,-0.6,48.0,7874.0,-1
2012-07-31,2012-07-31 13:00:00,166.0,166.0,165.0,165.0,-0.6,48.0,7874.0,-1
2012-07-31,2012-07-31 14:00:00,165.0,165.0,164.0,164.0,-0.61,48.0,7874.0,-1
2012-07-31,2012-07-31 15:00:00,164.0,165.0,164.0,164.0,0.0,48.0,7874.0,0
2012-10-03,2012-10-03 11:00:00,164.0,164.0,162.5,163.25,-0.46,12.2,1964.2,-1
2012-10-03,2012-10-03 12:00:00,163.25,163.25,162.5,162.5,-0.46,12.2,1964.2,-1
2012-10-03,2012-10-03 13:00:00,162.5,162.5,161.75,161.75,-0.46,12.2,1964.2,-1
2012-10-03,2012-10-03 14:00:00,161.75,161.75,161.0,161.0,-0.46,12.2,1964.2,-1
2012-10-03,2012-10-03 15:00:00,161.0,161.0,161.0,161.0,0.0,12.2,1964.2,0
2012-10-10,2012-10-10 11:00:00,161.0,161.0,159.5,160.25,-0.47,20.0,3160.0,-1
2012-10-10,2012-10-10 12:00:00,160.25,160.25,159.5,159.5,-0.47,20.0,3160.0,-1
2012-10-10,2012-10-10 13:00:00,159.5,159.5,158.75,158.75,-0.47,20.0,3160.0,-1
2012-10-10,2012-10-10 14:00:00,158.75,158.75,158.0,158.0,-0.47,20.0,3160.0,-1
2012-10-10,2012-10-10 15:00:00,158.0,158.0,158.0,158.0,0.0,20.0,3160.0,0
2012-11-04,2012-11-04 11:00:00,158.0,158.0,156.5,157.25,-0.47,285.6,44268.0,-1
2012-11-04,2012-11-04 12:00:00,157.25,157.25,156.5,156.5,-0.48,285.6,44268.0,-1
2012-11-04,2012-11-04 13:00:00,156.5,156.5,155.75,155.75,-0.48,285.6,44268.0,-1
2012-11-04,2012-11-04 14:00:00,155.75,155.75,155.0,155.0,-0.48,285.6,44268.0,-1
2012-11-04,2012-11-04 15:00:00,155.0,155.0,155.0,155.0,0.0,285.6,44268.0,0
2012-12-03,2012-12-03 11:00:00,155.0,156.5,155.0,155.75,0.48,77.4,12229.2,1
2012-12-03,2012-12-03 12:00:00,155.75,156.5,155.75,156.5,0.48,77.4,12229.2,1
2012-12-03,2012-12-03 13:00:00,156.5,157.25,156.5,157.25,0.48,77.4,12229.2,1
2012-12-03,2012-12-03 14:00:00,157.25,158.0,157.25,158.0,0.48,77.4,12229.2,1
2012-12-03,2012-12-03 15:00:00,158.0,158.0,158.0,158.0,0.0,77.4,12229.2,0
2012-12-04,2012-12-04 11:00:00,158.0,158.0,156.0,157.0,-0.63,37.2,5746.0,-1
2012-12-04,2012-12-04 12:00:00,157.0,157.0,156.0,156.0,-0.64,37.2,5746.0,-1
2012-12-04,2012-12-04 13:00:00,156.0,156.0,155.0,155.0,-0.64,37.2,5746.0,-1
2012-12-04,2012-12-04 14:00:00,155.0,155.0,154.0,154.0,-0.65,37.2,5746.0,-1
2012-12-04,2012-12-04 15:00:00,154.0,155.0,154.0,154.0,0.0,37.2,5746.0,0
2012-12-05,2012-12-05 11:00:00,154.0,154.0,150.0,152.0,-1.3,696.2,101715.2,-1
2012-12-05,2012-12-05 12:00:00,152.0,152.0,150.0,150.0,-1.32,696.2,101715.2,-1
2012-12-05,2012-12-05 13:00:00,150.0,150.0,148.0,148.0,-1.33,696.2,101715.2,-1
