published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-02-20,2025-02-20 11:00:00,10.0,10.0,9.53,9.81,-1.9,10134.0,93350.28,-1
2025-02-20,2025-02-20 12:00:00,9.81,9.81,9.62,9.62,-1.94,10134.0,93350.28,-1
2025-02-20,2025-02-20 13:00:00,9.62,9.62,9.42,9.42,-2.08,10134.0,93350.28,-1
2025-02-20,2025-02-20 14:00:00,9.42,9.42,9.23,9.23,-2.02,10134.0,93350.28,-1
2025-02-20,2025-02-20 15:00:00,9.23,10.0,9.05,9.23,0.0,10134.0,93350.28,0
2025-02-23,2025-02-23 11:00:00,9.14,9.17,9.1,9.12,-0.22,8216.0,74765.7,-1
2025-02-23,2025-02-23 12:00:00,9.12,9.12,9.1,9.1,-0.22,8216.0,74765.7,-1
2025-02-23,2025-02-23 13:00:00,9.1,9.1,9.08,9.08,-0.22,8216.0,74765.7,-1
2025-02-23,2025-02-23 14:00:00,9.08,9.08,9.06,9.06,-0.22,8216.0,74765.7,-1
2025-02-23,2025-02-23 15:00:00,9.06,9.2,9.06,9.06,0.0,8216.0,74765.7,0
2025-02-24,2025-02-24 11:00:00,8.89,9.02,8.89,8.92,0.34,4668.2,41920.5,1
2025-02-24,2025-02-24 12:00:00,8.92,8.95,8.92,8.95,0.34,4668.2,41920.5,1
2025-02-24,2025-02-24 13:00:00,8.95,8.97,8.95,8.97,0.22,4668.2,41920.5,1
2025-02-24,2025-02-24 14:00:00,8.97,9.0,8.97,9.0,0.33,4668.2,41920.5,1
2025-02-24,2025-02-24 15:00:00,9.0,9.15,8.89,9.0,0.0,4668.2,41920.5,0
2025-02-25,2025-02-25 11:00:00,8.85,8.95,8.85,8.88,0.34,7730.0,69377.7,1
2025-02-25,2025-02-25 12:00:00,8.88,8.92,8.88,8.92,0.45,7730.0,69377.7,1
2025-02-25,2025-02-25 13:00:00,8.92,8.96,8.92,8.96,0.45,7730.0,69377.7,1
2025-02-25,2025-02-25 14:00:00,8.96,8.99,8.96,8.99,0.33,7730.0,69377.7,1
2025-02-25,2025-02-25 15:00:00,8.99,9.05,8.85,8.99,0.0,7730.0,69377.7,0
2025-02-27,2025-02-27 11:00:00,8.85,9.0,8.85,8.86,0.11,5848.0,52154.35,1
2025-02-27,2025-02-27 12:00:00,8.86,8.87,8.86,8.87,0.11,5848.0,52154.35,1
2025-02-27,2025-02-27 13:00:00,8.87,8.88,8.87,8.88,0.11,5848.0,52154.35,1
2025-02-27,2025-02-27 14:00:00,8.88,8.89,8.88,8.89,0.11,5848.0,52154.35,1
2025-02-27,2025-02-27 15:00:00,8.89,9.16,8.85,8.89,0.0,5848.0,52154.35,0
2025-03-02,2025-03-02 11:00:00,8.82,9.13,8.81,8.96,1.59,12298.0,112224.18,1
2025-03-02,2025-03-02 12:00:00,8.96,9.11,8.96,9.11,1.67,12298.0,112224.18,1
2025-03-02,2025-03-02 13:00:00,9.11,9.26,9.11,9.26,1.65,12298.0,112224.18,1
2025-03-02,2025-03-02 14:00:00,9.26,9.4,9.26,9.4,1.51,12298.0,112224.18,1
2025-03-02,2025-03-02 15:00:00,9.4,9.44,8.8,9.4,0.0,12298.0,112224.18,0
2025-03-03,2025-03-03 11:00:00,9.3,9.64,9.23,9.42,1.29,11790.2,112513.66,1
2025-03-03,2025-03-03 12:00:00,9.42,9.54,9.42,9.54,1.27,11790.2,112513.66,1
2025-03-03,2025-03-03 13:00:00,9.54,9.67,9.54,9.67,1.36,11790.2,112513.66,1
2025-03-03,2025-03-03 14:00:00,9.67,9.79,9.67,9.79,1.24,11790.2,112513.66,1
2025-03-03,2025-03-03 15:00:00,9.79,9.98,9.15,9.79,0.0,11790.2,112513.66,0
2025-03-04,2025-03-04 11:00:00,9.75,9.87,9.75,9.75,0.0,9818.8,96644.52,0
2025-03-04,2025-03-04 12:00:00,9.75,9.76,9.75,9.76,0.1,9818.8,96644.52,1
2025-03-04,2025-03-04 13:00:00,9.76,9.77,9.76,9.77,0.1,9818.8,96644.52,1
2025-03-04,2025-03-04 14:00:00,9.77,9.77,9.77,9.77,0.0,9818.8,96644.52,0
2025-03-04,2025-03-04 15:00:00,9.77,9.98,9.75,9.77,0.0,9818.8,96644.52,0
2025-03-05,2025-03-05 11:00:00,9.77,9.86,9.77,9.79,0.2,5870.0,57994.0,1
2025-03-05,2025-03-05 12:00:00,9.79,9.81,9.79,9.81,0.2,5870.0,57994.0,1
2025-03-05,2025-03-05 13:00:00,9.81,9.84,9.81,9.84,0.31,5870.0,57994.0,1
