published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-04-19,2017-04-19 11:00:00,282.0,286.0,281.0,283.25,0.44,4508.2,1280117.0,1
2017-04-19,2017-04-19 12:00:00,283.25,284.5,283.25,284.5,0.44,4508.2,1280117.0,1
2017-04-19,2017-04-19 13:00:00,284.5,285.75,284.5,285.75,0.44,4508.2,1280117.0,1
2017-04-19,2017-04-19 14:00:00,285.75,287.0,285.75,287.0,0.44,4508.2,1280117.0,1
2017-04-19,2017-04-19 15:00:00,287.0,290.0,280.0,287.0,0.0,4508.2,1280117.0,0
2017-04-20,2017-04-20 11:00:00,287.0,291.0,278.5,286.5,-0.17,4326.4,1214344.0,-1
2017-04-20,2017-04-20 12:00:00,286.5,286.5,286.0,286.0,-0.17,4326.4,1214344.0,-1
2017-04-20,2017-04-20 13:00:00,286.0,286.0,285.5,285.5,-0.17,4326.4,1214344.0,-1
2017-04-20,2017-04-20 14:00:00,285.5,285.5,285.0,285.0,-0.18,4326.4,1214344.0,-1
2017-04-20,2017-04-20 15:00:00,285.0,295.0,270.0,285.0,0.0,4326.4,1214344.0,0
2017-04-23,2017-04-23 11:00:00,285.0,290.0,285.0,285.5,0.18,2900.0,840010.6,1
2017-04-23,2017-04-23 12:00:00,285.5,286.0,285.5,286.0,0.18,2900.0,840010.6,1
2017-04-23,2017-04-23 13:00:00,286.0,286.5,286.0,286.5,0.17,2900.0,840010.6,1
2017-04-23,2017-04-23 14:00:00,286.5,287.0,286.5,287.0,0.17,2900.0,840010.6,1
2017-04-23,2017-04-23 15:00:00,287.0,295.0,285.0,287.0,0.0,2900.0,840010.6,0
2017-04-24,2017-04-24 11:00:00,287.0,296.5,287.0,289.5,0.87,5204.2,1541674.6,1
2017-04-24,2017-04-24 12:00:00,289.5,292.0,289.5,292.0,0.86,5204.2,1541674.6,1
2017-04-24,2017-04-24 13:00:00,292.0,294.5,292.0,294.5,0.86,5204.2,1541674.6,1
2017-04-24,2017-04-24 14:00:00,294.5,297.0,294.5,297.0,0.85,5204.2,1541674.6,1
2017-04-24,2017-04-24 15:00:00,297.0,306.0,290.0,297.0,0.0,5204.2,1541674.6,0
2017-04-25,2017-04-25 11:00:00,297.0,301.0,295.5,297.5,0.17,6973.4,2084274.4,1
2017-04-25,2017-04-25 12:00:00,297.5,298.0,297.5,298.0,0.17,6973.4,2084274.4,1
2017-04-25,2017-04-25 13:00:00,298.0,298.5,298.0,298.5,0.17,6973.4,2084274.4,1
2017-04-25,2017-04-25 14:00:00,298.5,299.0,298.5,299.0,0.17,6973.4,2084274.4,1
