published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-18,2023-12-18 11:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2023-12-18,2023-12-18 12:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2023-12-18,2023-12-18 13:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2023-12-18,2023-12-18 14:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2023-12-18,2023-12-18 15:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2023-12-20,2023-12-20 11:00:00,983.0,983.0,980.0,981.5,-0.15,10.0,9800.0,-1
2023-12-20,2023-12-20 12:00:00,981.5,981.5,980.0,980.0,-0.15,10.0,9800.0,-1
2023-12-20,2023-12-20 13:00:00,980.0,980.0,978.5,978.5,-0.15,10.0,9800.0,-1
2023-12-20,2023-12-20 14:00:00,978.5,978.5,977.0,977.0,-0.15,10.0,9800.0,-1
2023-12-20,2023-12-20 15:00:00,977.0,983.0,977.0,977.0,0.0,10.0,9800.0,0
2023-12-21,2023-12-21 11:00:00,972.0,973.75,972.0,972.88,0.09,16.2,15779.36,1
2023-12-21,2023-12-21 12:00:00,972.88,973.75,972.88,973.75,0.09,16.2,15779.36,1
2023-12-21,2023-12-21 13:00:00,973.75,974.62,973.75,974.62,0.09,16.2,15779.36,1
2023-12-21,2023-12-21 14:00:00,974.62,975.5,974.62,975.5,0.09,16.2,15779.36,1
2023-12-21,2023-12-21 15:00:00,975.5,975.5,972.0,975.5,0.0,16.2,15779.36,0
2023-12-24,2023-12-24 11:00:00,995.0,995.0,988.1,991.55,-0.35,20.0,19762.0,-1
2023-12-24,2023-12-24 12:00:00,991.55,991.55,988.1,988.1,-0.35,20.0,19762.0,-1
2023-12-24,2023-12-24 13:00:00,988.1,988.1,984.65,984.65,-0.35,20.0,19762.0,-1
2023-12-24,2023-12-24 14:00:00,984.65,984.65,981.2,981.2,-0.35,20.0,19762.0,-1
2023-12-24,2023-12-24 15:00:00,981.2,995.0,981.2,981.2,0.0,20.0,19762.0,0
2023-12-27,2023-12-27 11:00:00,981.0,981.0,976.75,980.77,-0.02,11.0,10746.7,-1
2023-12-27,2023-12-27 12:00:00,980.77,980.77,980.55,980.55,-0.02,11.0,10746.7,-1
2023-12-27,2023-12-27 13:00:00,980.55,980.55,980.33,980.33,-0.02,11.0,10746.7,-1
2023-12-27,2023-12-27 14:00:00,980.33,980.33,980.1,980.1,-0.02,11.0,10746.7,-1
2023-12-27,2023-12-27 15:00:00,980.1,981.0,972.5,980.1,0.0,11.0,10746.7,0
2023-12-28,2023-12-28 11:00:00,980.1,980.1,980.05,980.08,-0.0,10.0,9800.5,-1
2023-12-28,2023-12-28 12:00:00,980.08,980.08,980.05,980.05,-0.0,10.0,9800.5,-1
2023-12-28,2023-12-28 13:00:00,980.05,980.05,980.02,980.02,-0.0,10.0,9800.5,-1
2023-12-28,2023-12-28 14:00:00,980.02,980.02,980.0,980.0,-0.0,10.0,9800.5,-1
2023-12-28,2023-12-28 15:00:00,980.0,980.1,980.0,980.0,0.0,10.0,9800.5,0
2024-01-02,2024-01-02 11:00:00,971.3,971.3,971.3,971.3,0.0,5.0,4856.5,0
2024-01-02,2024-01-02 12:00:00,971.3,971.3,971.3,971.3,0.0,5.0,4856.5,0
2024-01-02,2024-01-02 13:00:00,971.3,971.3,971.3,971.3,0.0,5.0,4856.5,0
2024-01-02,2024-01-02 14:00:00,971.3,971.3,971.3,971.3,0.0,5.0,4856.5,0
2024-01-02,2024-01-02 15:00:00,971.3,971.3,971.3,971.3,0.0,5.0,4856.5,0
2024-01-03,2024-01-03 11:00:00,964.0,964.0,964.0,964.0,0.0,5.0,4820.0,0
2024-01-03,2024-01-03 12:00:00,964.0,964.0,964.0,964.0,0.0,5.0,4820.0,0
2024-01-03,2024-01-03 13:00:00,964.0,964.0,964.0,964.0,0.0,5.0,4820.0,0
2024-01-03,2024-01-03 14:00:00,964.0,964.0,964.0,964.0,0.0,5.0,4820.0,0
2024-01-03,2024-01-03 15:00:00,964.0,964.0,964.0,964.0,0.0,5.0,4820.0,0
2024-01-07,2024-01-07 11:00:00,957.5,966.75,957.5,958.2,0.07,10.0,9620.4,1
2024-01-07,2024-01-07 12:00:00,958.2,958.9,958.2,958.9,0.07,10.0,9620.4,1
2024-01-07,2024-01-07 13:00:00,958.9,959.6,958.9,959.6,0.07,10.0,9620.4,1
2024-01-07,2024-01-07 14:00:00,959.6,960.3,959.6,960.3,0.07,10.0,9620.4,1
2024-01-07,2024-01-07 15:00:00,960.3,976.0,957.5,960.3,0.0,10.0,9620.4,0
2024-01-08,2024-01-08 11:00:00,956.0,956.0,956.0,956.0,0.0,5.0,4780.0,0
2024-01-08,2024-01-08 12:00:00,956.0,956.0,956.0,956.0,0.0,5.0,4780.0,0
2024-01-08,2024-01-08 13:00:00,956.0,956.0,956.0,956.0,0.0,5.0,4780.0,0
2024-01-08,2024-01-08 14:00:00,956.0,956.0,956.0,956.0,0.0,5.0,4780.0,0
2024-01-08,2024-01-08 15:00:00,956.0,956.0,956.0,956.0,0.0,5.0,4780.0,0
2024-01-09,2024-01-09 11:00:00,947.0,947.0,942.5,944.75,-0.24,20.0,18849.7,-1
2024-01-09,2024-01-09 12:00:00,944.75,944.75,942.5,942.5,-0.24,20.0,18849.7,-1
2024-01-09,2024-01-09 13:00:00,942.5,942.5,940.25,940.25,-0.24,20.0,18849.7,-1
2024-01-09,2024-01-09 14:00:00,940.25,940.25,938.0,938.0,-0.24,20.0,18849.7,-1
2024-01-09,2024-01-09 15:00:00,938.0,947.0,938.0,938.0,0.0,20.0,18849.7,0
2024-01-14,2024-01-14 11:00:00,950.0,950.0,950.0,950.0,0.0,5.0,4750.0,0
