published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-04,2023-06-04 11:00:00,378.2,393.05,378.2,385.62,1.96,4123.2,1681707.08,1
2023-06-04,2023-06-04 12:00:00,385.62,393.05,385.62,393.05,1.93,4123.2,1681707.08,1
2023-06-04,2023-06-04 13:00:00,393.05,400.47,393.05,400.47,1.89,4123.2,1681707.08,1
2023-06-04,2023-06-04 14:00:00,400.47,407.9,400.47,407.9,1.86,4123.2,1681707.08,1
2023-06-04,2023-06-04 15:00:00,407.9,407.9,378.2,407.9,0.0,4123.2,1681707.08,0
2023-06-05,2023-06-05 11:00:00,416.0,432.0,416.0,417.75,0.42,46394.4,19969156.82,1
2023-06-05,2023-06-05 12:00:00,417.75,419.5,417.75,419.5,0.42,46394.4,19969156.82,1
2023-06-05,2023-06-05 13:00:00,419.5,421.25,419.5,421.25,0.42,46394.4,19969156.82,1
2023-06-05,2023-06-05 14:00:00,421.25,423.0,421.25,423.0,0.42,46394.4,19969156.82,1
2023-06-05,2023-06-05 15:00:00,423.0,448.0,416.0,423.0,0.0,46394.4,19969156.82,0
2023-06-06,2023-06-06 11:00:00,430.0,442.0,424.5,434.75,1.1,29504.8,12882674.46,1
2023-06-06,2023-06-06 12:00:00,434.75,439.5,434.75,439.5,1.09,29504.8,12882674.46,1
2023-06-06,2023-06-06 13:00:00,439.5,444.25,439.5,444.25,1.08,29504.8,12882674.46,1
2023-06-06,2023-06-06 14:00:00,444.25,449.0,444.25,449.0,1.07,29504.8,12882674.46,1
2023-06-06,2023-06-06 15:00:00,449.0,454.0,419.0,449.0,0.0,29504.8,12882674.46,0
2023-06-07,2023-06-07 11:00:00,449.0,457.0,445.5,448.0,-0.22,24938.0,11354231.02,-1
2023-06-07,2023-06-07 12:00:00,448.0,448.0,447.0,447.0,-0.22,24938.0,11354231.02,-1
2023-06-07,2023-06-07 13:00:00,447.0,447.0,446.0,446.0,-0.22,24938.0,11354231.02,-1
2023-06-07,2023-06-07 14:00:00,446.0,446.0,445.0,445.0,-0.22,24938.0,11354231.02,-1
2023-06-07,2023-06-07 15:00:00,445.0,465.0,442.0,445.0,0.0,24938.0,11354231.02,0
2023-06-08,2023-06-08 11:00:00,440.0,460.0,438.05,448.5,1.93,44339.6,20537542.64,1
2023-06-08,2023-06-08 12:00:00,448.5,457.0,448.5,457.0,1.9,44339.6,20537542.64,1
2023-06-08,2023-06-08 13:00:00,457.0,465.5,457.0,465.5,1.86,44339.6,20537542.64,1
2023-06-08,2023-06-08 14:00:00,465.5,474.0,465.5,474.0,1.83,44339.6,20537542.64,1
2023-06-08,2023-06-08 15:00:00,474.0,480.0,436.1,474.0,0.0,44339.6,20537542.64,0
2023-06-11,2023-06-11 11:00:00,474.0,481.9,470.5,476.0,0.42,44953.0,21370126.3,1
2023-06-11,2023-06-11 12:00:00,476.0,478.0,476.0,478.0,0.42,44953.0,21370126.3,1
2023-06-11,2023-06-11 13:00:00,478.0,480.0,478.0,480.0,0.42,44953.0,21370126.3,1
2023-06-11,2023-06-11 14:00:00,480.0,482.0,480.0,482.0,0.42,44953.0,21370126.3,1
2023-06-11,2023-06-11 15:00:00,482.0,489.8,467.0,482.0,0.0,44953.0,21370126.3,0
2023-06-12,2023-06-12 11:00:00,485.0,485.5,476.6,482.98,-0.42,29206.8,13909624.4,-1
2023-06-12,2023-06-12 12:00:00,482.98,482.98,480.95,480.95,-0.42,29206.8,13909624.4,-1
2023-06-12,2023-06-12 13:00:00,480.95,480.95,478.92,478.92,-0.42,29206.8,13909624.4,-1
2023-06-12,2023-06-12 14:00:00,478.92,478.92,476.9,476.9,-0.42,29206.8,13909624.4,-1
2023-06-12,2023-06-12 15:00:00,476.9,486.0,468.2,476.9,0.0,29206.8,13909624.4,0
2023-06-13,2023-06-13 11:00:00,470.2,492.1,470.15,477.6,1.57,65187.4,32535768.72,1
