published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-07,2021-04-07 11:00:00,360.0,374.0,360.0,367.0,1.94,54.0,20140.0,1
2021-04-07,2021-04-07 12:00:00,367.0,374.0,367.0,374.0,1.91,54.0,20140.0,1
2021-04-07,2021-04-07 13:00:00,374.0,381.0,374.0,381.0,1.87,54.0,20140.0,1
2021-04-07,2021-04-07 14:00:00,381.0,388.0,381.0,388.0,1.84,54.0,20140.0,1
2021-04-07,2021-04-07 15:00:00,388.0,388.0,360.0,388.0,0.0,54.0,20140.0,0
2021-04-08,2021-04-08 11:00:00,398.0,412.0,393.0,405.0,1.76,46.0,18640.4,1
2021-04-08,2021-04-08 12:00:00,405.0,412.0,405.0,412.0,1.73,46.0,18640.4,1
2021-04-08,2021-04-08 13:00:00,412.0,419.0,412.0,419.0,1.7,46.0,18640.4,1
2021-04-08,2021-04-08 14:00:00,419.0,426.0,419.0,426.0,1.67,46.0,18640.4,1
2021-04-08,2021-04-08 15:00:00,426.0,426.0,388.0,426.0,0.0,46.0,18640.4,0
2021-04-12,2021-04-12 11:00:00,434.0,451.0,434.0,442.5,1.96,78.4,36438.2,1
2021-04-12,2021-04-12 12:00:00,442.5,451.0,442.5,451.0,1.92,78.4,36438.2,1
2021-04-12,2021-04-12 13:00:00,451.0,459.5,451.0,459.5,1.88,78.4,36438.2,1
2021-04-12,2021-04-12 14:00:00,459.5,468.0,459.5,468.0,1.85,78.4,36438.2,1
2021-04-12,2021-04-12 15:00:00,468.0,468.0,434.0,468.0,0.0,78.4,36438.2,0
2021-04-13,2021-04-13 11:00:00,477.0,495.5,477.0,486.25,1.94,68.4,34834.4,1
2021-04-13,2021-04-13 12:00:00,486.25,495.5,486.25,495.5,1.9,68.4,34834.4,1
2021-04-13,2021-04-13 13:00:00,495.5,504.75,495.5,504.75,1.87,68.4,34834.4,1
2021-04-13,2021-04-13 14:00:00,504.75,514.0,504.75,514.0,1.83,68.4,34834.4,1
2021-04-13,2021-04-13 15:00:00,514.0,514.0,477.0,514.0,0.0,68.4,34834.4,0
2021-04-15,2021-04-15 11:00:00,501.0,533.0,501.0,517.0,3.19,157.8,88699.8,1
2021-04-15,2021-04-15 12:00:00,517.0,533.0,517.0,533.0,3.09,157.8,88699.8,1
2021-04-15,2021-04-15 13:00:00,533.0,549.0,533.0,549.0,3.0,157.8,88699.8,1
2021-04-15,2021-04-15 14:00:00,549.0,565.0,549.0,565.0,2.91,157.8,88699.8,1
2021-04-15,2021-04-15 15:00:00,565.0,565.0,501.0,565.0,0.0,157.8,88699.8,0
2021-04-18,2021-04-18 11:00:00,543.0,582.0,543.0,562.5,3.59,301.6,186531.6,1
