published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-19,2021-04-19 11:00:00,10.0,10.0,9.91,9.99,-0.1,1880.0,18746.4,-1
2021-04-19,2021-04-19 12:00:00,9.99,9.99,9.98,9.98,-0.1,1880.0,18746.4,-1
2021-04-19,2021-04-19 13:00:00,9.98,9.98,9.98,9.98,0.0,1880.0,18746.4,0
2021-04-19,2021-04-19 14:00:00,9.98,9.98,9.97,9.97,-0.1,1880.0,18746.4,-1
2021-04-19,2021-04-19 15:00:00,9.97,10.0,9.81,9.97,0.0,1880.0,18746.4,0
2021-04-20,2021-04-20 11:00:00,9.95,9.97,9.88,9.95,0.0,3480.0,34465.6,0
2021-04-20,2021-04-20 12:00:00,9.95,9.96,9.95,9.96,0.1,3480.0,34465.6,1
2021-04-20,2021-04-20 13:00:00,9.96,9.96,9.96,9.96,0.0,3480.0,34465.6,0
2021-04-20,2021-04-20 14:00:00,9.96,9.96,9.96,9.96,0.0,3480.0,34465.6,0
2021-04-20,2021-04-20 15:00:00,9.96,10.0,9.8,9.96,0.0,3480.0,34465.6,0
2021-04-21,2021-04-21 11:00:00,9.77,9.9,9.77,9.8,0.31,2530.0,25246.4,1
2021-04-21,2021-04-21 12:00:00,9.8,9.84,9.8,9.84,0.41,2530.0,25246.4,1
2021-04-21,2021-04-21 13:00:00,9.84,9.87,9.84,9.87,0.3,2530.0,25246.4,1
2021-04-21,2021-04-21 14:00:00,9.87,9.9,9.87,9.9,0.3,2530.0,25246.4,1
2021-04-21,2021-04-21 15:00:00,9.9,10.04,9.77,9.9,0.0,2530.0,25246.4,0
2021-04-22,2021-04-22 11:00:00,9.71,9.89,9.71,9.76,0.51,2060.0,20423.9,1
2021-04-22,2021-04-22 12:00:00,9.76,9.82,9.76,9.82,0.61,2060.0,20423.9,1
2021-04-22,2021-04-22 13:00:00,9.82,9.87,9.82,9.87,0.51,2060.0,20423.9,1
2021-04-22,2021-04-22 14:00:00,9.87,9.92,9.87,9.92,0.51,2060.0,20423.9,1
2021-04-22,2021-04-22 15:00:00,9.92,10.08,9.71,9.92,0.0,2060.0,20423.9,0
2021-04-25,2021-04-25 11:00:00,9.73,9.82,9.67,9.75,0.21,3052.0,29833.36,1
2021-04-25,2021-04-25 12:00:00,9.75,9.77,9.75,9.77,0.21,3052.0,29833.36,1
2021-04-25,2021-04-25 13:00:00,9.77,9.78,9.77,9.78,0.1,3052.0,29833.36,1
2021-04-25,2021-04-25 14:00:00,9.78,9.8,9.78,9.8,0.2,3052.0,29833.36,1
2021-04-25,2021-04-25 15:00:00,9.8,9.9,9.61,9.8,0.0,3052.0,29833.36,0
2021-04-26,2021-04-26 11:00:00,9.62,9.75,9.62,9.69,0.73,4640.0,45625.0,1
2021-04-26,2021-04-26 12:00:00,9.69,9.75,9.69,9.75,0.62,4640.0,45625.0,1
2021-04-26,2021-04-26 13:00:00,9.75,9.82,9.75,9.82,0.72,4640.0,45625.0,1
2021-04-26,2021-04-26 14:00:00,9.82,9.89,9.82,9.89,0.71,4640.0,45625.0,1
2021-04-26,2021-04-26 15:00:00,9.89,9.89,9.62,9.89,0.0,4640.0,45625.0,0
2021-04-27,2021-04-27 11:00:00,9.89,9.89,9.79,9.88,-0.1,2772.0,27199.94,-1
2021-04-27,2021-04-27 12:00:00,9.88,9.88,9.87,9.87,-0.1,2772.0,27199.94,-1
2021-04-27,2021-04-27 13:00:00,9.87,9.87,9.86,9.86,-0.1,2772.0,27199.94,-1
2021-04-27,2021-04-27 14:00:00,9.86,9.86,9.85,9.85,-0.1,2772.0,27199.94,-1
2021-04-27,2021-04-27 15:00:00,9.85,9.89,9.7,9.85,0.0,2772.0,27199.94,0
2021-04-28,2021-04-28 11:00:00,9.69,9.84,9.69,9.77,0.83,2560.0,25123.3,1
2021-04-28,2021-04-28 12:00:00,9.77,9.84,9.77,9.84,0.72,2560.0,25123.3,1
2021-04-28,2021-04-28 13:00:00,9.84,9.92,9.84,9.92,0.81,2560.0,25123.3,1
2021-04-28,2021-04-28 14:00:00,9.92,10.0,9.92,10.0,0.81,2560.0,25123.3,1
2021-04-28,2021-04-28 15:00:00,10.0,10.0,9.69,10.0,0.0,2560.0,25123.3,0
2021-04-29,2021-04-29 11:00:00,9.81,9.88,9.77,9.84,0.31,2822.4,27942.28,1
2021-04-29,2021-04-29 12:00:00,9.84,9.86,9.84,9.86,0.2,2822.4,27942.28,1
2021-04-29,2021-04-29 13:00:00,9.86,9.88,9.86,9.88,0.2,2822.4,27942.28,1
2021-04-29,2021-04-29 14:00:00,9.88,9.91,9.88,9.91,0.3,2822.4,27942.28,1
2021-04-29,2021-04-29 15:00:00,9.91,9.94,9.72,9.91,0.0,2822.4,27942.28,0
2021-05-02,2021-05-02 11:00:00,9.42,9.68,9.42,9.52,1.06,6032.0,59217.48,1
2021-05-02,2021-05-02 12:00:00,9.52,9.62,9.52,9.62,1.05,6032.0,59217.48,1
2021-05-02,2021-05-02 13:00:00,9.62,9.72,9.62,9.72,1.04,6032.0,59217.48,1
2021-05-02,2021-05-02 14:00:00,9.72,9.82,9.72,9.82,1.03,6032.0,59217.48,1
2021-05-02,2021-05-02 15:00:00,9.82,9.94,9.42,9.82,0.0,6032.0,59217.48,0
2021-05-03,2021-05-03 11:00:00,9.8,9.85,9.8,9.81,0.1,4043.6,39823.78,1
2021-05-03,2021-05-03 12:00:00,9.81,9.82,9.81,9.82,0.1,4043.6,39823.78,1
2021-05-03,2021-05-03 13:00:00,9.82,9.83,9.82,9.83,0.1,4043.6,39823.78,1
2021-05-03,2021-05-03 14:00:00,9.83,9.84,9.83,9.84,0.1,4043.6,39823.78,1
2021-05-03,2021-05-03 15:00:00,9.84,9.89,9.8,9.84,0.0,4043.6,39823.78,0
2021-05-04,2021-05-04 11:00:00,9.83,9.91,9.82,9.87,0.41,3392.0,33593.58,1
2021-05-04,2021-05-04 12:00:00,9.87,9.9,9.87,9.9,0.3,3392.0,33593.58,1
2021-05-04,2021-05-04 13:00:00,9.9,9.94,9.9,9.94,0.4,3392.0,33593.58,1
2021-05-04,2021-05-04 14:00:00,9.94,9.97,9.94,9.97,0.3,3392.0,33593.58,1
2021-05-04,2021-05-04 15:00:00,9.97,9.99,9.8,9.97,0.0,3392.0,33593.58,0
2021-05-05,2021-05-05 11:00:00,9.8,9.88,9.79,9.83,0.31,3202.0,31617.4,1
2021-05-05,2021-05-05 12:00:00,9.83,9.85,9.83,9.85,0.2,3202.0,31617.4,1
2021-05-05,2021-05-05 13:00:00,9.85,9.88,9.85,9.88,0.3,3202.0,31617.4,1
2021-05-05,2021-05-05 14:00:00,9.88,9.9,9.88,9.9,0.2,3202.0,31617.4,1
2021-05-05,2021-05-05 15:00:00,9.9,9.95,9.78,9.9,0.0,3202.0,31617.4,0
2021-05-06,2021-05-06 11:00:00,9.8,9.85,9.78,9.82,0.2,3160.0,30968.0,1
2021-05-06,2021-05-06 12:00:00,9.82,9.85,9.82,9.85,0.31,3160.0,30968.0,1
2021-05-06,2021-05-06 13:00:00,9.85,9.87,9.85,9.87,0.2,3160.0,30968.0,1
2021-05-06,2021-05-06 14:00:00,9.87,9.89,9.87,9.89,0.2,3160.0,30968.0,1
2021-05-06,2021-05-06 15:00:00,9.89,9.9,9.76,9.89,0.0,3160.0,30968.0,0
2021-05-09,2021-05-09 11:00:00,9.7,9.77,9.7,9.73,0.31,2018.0,19770.72,1
2021-05-09,2021-05-09 12:00:00,9.73,9.77,9.73,9.77,0.41,2018.0,19770.72,1
2021-05-09,2021-05-09 13:00:00,9.77,9.8,9.77,9.8,0.31,2018.0,19770.72,1
2021-05-09,2021-05-09 14:00:00,9.8,9.83,9.8,9.83,0.31,2018.0,19770.72,1
2021-05-09,2021-05-09 15:00:00,9.83,9.84,9.7,9.83,0.0,2018.0,19770.72,0
2021-05-10,2021-05-10 11:00:00,9.75,9.82,9.75,9.77,0.21,4920.0,48359.0,1
2021-05-10,2021-05-10 12:00:00,9.77,9.79,9.77,9.79,0.2,4920.0,48359.0,1
2021-05-10,2021-05-10 13:00:00,9.79,9.81,9.79,9.81,0.2,4920.0,48359.0,1
2021-05-10,2021-05-10 14:00:00,9.81,9.83,9.81,9.83,0.2,4920.0,48359.0,1
2021-05-10,2021-05-10 15:00:00,9.83,9.9,9.75,9.83,0.0,4920.0,48359.0,0
2021-05-11,2021-05-11 11:00:00,9.89,9.91,9.82,9.9,0.1,4382.0,43372.72,1
2021-05-11,2021-05-11 12:00:00,9.9,9.91,9.9,9.91,0.1,4382.0,43372.72,1
2021-05-11,2021-05-11 13:00:00,9.91,9.91,9.91,9.91,0.0,4382.0,43372.72,0
2021-05-11,2021-05-11 14:00:00,9.91,9.92,9.91,9.92,0.1,4382.0,43372.72,1
2021-05-11,2021-05-11 15:00:00,9.92,9.93,9.75,9.92,0.0,4382.0,43372.72,0
2021-05-12,2021-05-12 11:00:00,9.82,9.91,9.82,9.86,0.41,5596.0,55632.04,1
2021-05-12,2021-05-12 12:00:00,9.86,9.91,9.86,9.91,0.51,5596.0,55632.04,1
2021-05-12,2021-05-12 13:00:00,9.91,9.95,9.91,9.95,0.4,5596.0,55632.04,1
2021-05-12,2021-05-12 14:00:00,9.95,9.99,9.95,9.99,0.4,5596.0,55632.04,1
2021-05-12,2021-05-12 15:00:00,9.99,10.0,9.82,9.99,0.0,5596.0,55632.04,0
2021-05-13,2021-05-13 11:00:00,9.8,9.9,9.8,9.83,0.31,3040.8,30196.6,1
2021-05-13,2021-05-13 12:00:00,9.83,9.87,9.83,9.87,0.41,3040.8,30196.6,1
2021-05-13,2021-05-13 13:00:00,9.87,9.9,9.87,9.9,0.3,3040.8,30196.6,1
2021-05-13,2021-05-13 14:00:00,9.9,9.93,9.9,9.93,0.3,3040.8,30196.6,1
2021-05-13,2021-05-13 15:00:00,9.93,10.0,9.8,9.93,0.0,3040.8,30196.6,0
2021-05-16,2021-05-16 11:00:00,9.74,9.85,9.74,9.78,0.41,5900.0,57982.0,1
2021-05-16,2021-05-16 12:00:00,9.78,9.82,9.78,9.82,0.41,5900.0,57982.0,1
2021-05-16,2021-05-16 13:00:00,9.82,9.85,9.82,9.85,0.31,5900.0,57982.0,1
2021-05-16,2021-05-16 14:00:00,9.85,9.89,9.85,9.89,0.41,5900.0,57982.0,1
2021-05-16,2021-05-16 15:00:00,9.89,9.96,9.74,9.89,0.0,5900.0,57982.0,0
2021-05-17,2021-05-17 11:00:00,9.8,9.92,9.8,9.83,0.31,7472.0,74371.14,1
2021-05-17,2021-05-17 12:00:00,9.83,9.86,9.83,9.86,0.31,7472.0,74371.14,1
2021-05-17,2021-05-17 13:00:00,9.86,9.89,9.86,9.89,0.3,7472.0,74371.14,1
2021-05-17,2021-05-17 14:00:00,9.89,9.92,9.89,9.92,0.3,7472.0,74371.14,1
2021-05-17,2021-05-17 15:00:00,9.92,10.04,9.8,9.92,0.0,7472.0,74371.14,0
2021-05-18,2021-05-18 11:00:00,9.92,9.95,9.92,9.93,0.1,4604.0,45776.32,1
2021-05-18,2021-05-18 12:00:00,9.93,9.93,9.93,9.93,0.0,4604.0,45776.32,0
2021-05-18,2021-05-18 13:00:00,9.93,9.94,9.93,9.94,0.1,4604.0,45776.32,1
2021-05-18,2021-05-18 14:00:00,9.94,9.95,9.94,9.95,0.1,4604.0,45776.32,1
2021-05-18,2021-05-18 15:00:00,9.95,9.97,9.92,9.95,0.0,4604.0,45776.32,0
2021-05-19,2021-05-19 11:00:00,9.89,9.96,9.89,9.93,0.4,6463.6,64482.1,1
2021-05-19,2021-05-19 12:00:00,9.93,9.96,9.93,9.96,0.3,6463.6,64482.1,1
2021-05-19,2021-05-19 13:00:00,9.96,10.0,9.96,10.0,0.4,6463.6,64482.1,1
2021-05-19,2021-05-19 14:00:00,10.0,10.04,10.0,10.04,0.4,6463.6,64482.1,1
2021-05-19,2021-05-19 15:00:00,10.04,10.04,9.89,10.04,0.0,6463.6,64482.1,0
2021-05-20,2021-05-20 11:00:00,10.0,10.0,9.92,9.97,-0.3,12420.0,122642.6,-1
2021-05-20,2021-05-20 12:00:00,9.97,9.97,9.95,9.95,-0.2,12420.0,122642.6,-1
2021-05-20,2021-05-20 13:00:00,9.95,9.95,9.92,9.92,-0.3,12420.0,122642.6,-1
2021-05-20,2021-05-20 14:00:00,9.92,9.92,9.89,9.89,-0.3,12420.0,122642.6,-1
2021-05-20,2021-05-20 15:00:00,9.89,10.01,9.84,9.89,0.0,12420.0,122642.6,0
2021-05-23,2021-05-23 11:00:00,9.85,9.95,9.85,9.85,0.0,13800.0,136651.34,0
2021-05-23,2021-05-23 12:00:00,9.85,9.85,9.85,9.85,0.0,13800.0,136651.34,0
2021-05-23,2021-05-23 13:00:00,9.85,9.85,9.85,9.85,0.0,13800.0,136651.34,0
2021-05-23,2021-05-23 14:00:00,9.85,9.85,9.85,9.85,0.0,13800.0,136651.34,0
2021-05-23,2021-05-23 15:00:00,9.85,10.05,9.85,9.85,0.0,13800.0,136651.34,0
2021-05-24,2021-05-24 11:00:00,9.8,9.89,9.73,9.83,0.31,5358.0,53091.44,1
2021-05-24,2021-05-24 12:00:00,9.83,9.87,9.83,9.87,0.41,5358.0,53091.44,1
2021-05-24,2021-05-24 13:00:00,9.87,9.9,9.87,9.9,0.3,5358.0,53091.44,1
2021-05-24,2021-05-24 14:00:00,9.9,9.93,9.9,9.93,0.3,5358.0,53091.44,1
2021-05-24,2021-05-24 15:00:00,9.93,9.98,9.66,9.93,0.0,5358.0,53091.44,0
2021-05-25,2021-05-25 11:00:00,10.0,10.05,9.95,9.99,-0.1,4734.2,46989.2,-1
2021-05-25,2021-05-25 12:00:00,9.99,9.99,9.97,9.97,-0.2,4734.2,46989.2,-1
2021-05-25,2021-05-25 13:00:00,9.97,9.97,9.96,9.96,-0.1,4734.2,46989.2,-1
2021-05-25,2021-05-25 14:00:00,9.96,9.96,9.95,9.95,-0.1,4734.2,46989.2,-1
2021-05-25,2021-05-25 15:00:00,9.95,10.1,9.89,9.95,0.0,4734.2,46989.2,0
2021-05-27,2021-05-27 11:00:00,9.8,9.89,9.8,9.84,0.41,4910.0,48800.6,1
2021-05-27,2021-05-27 12:00:00,9.84,9.89,9.84,9.89,0.51,4910.0,48800.6,1
2021-05-27,2021-05-27 13:00:00,9.89,9.93,9.89,9.93,0.4,4910.0,48800.6,1
2021-05-27,2021-05-27 14:00:00,9.93,9.97,9.93,9.97,0.4,4910.0,48800.6,1
2021-05-27,2021-05-27 15:00:00,9.97,9.99,9.8,9.97,0.0,4910.0,48800.6,0
2021-05-30,2021-05-30 11:00:00,9.95,10.06,9.93,9.98,0.3,13866.8,139384.83,1
2021-05-30,2021-05-30 12:00:00,9.98,10.02,9.98,10.02,0.4,13866.8,139384.83,1
2021-05-30,2021-05-30 13:00:00,10.02,10.05,10.02,10.05,0.3,13866.8,139384.83,1
2021-05-30,2021-05-30 14:00:00,10.05,10.08,10.05,10.08,0.3,13866.8,139384.83,1
2021-05-30,2021-05-30 15:00:00,10.08,10.18,9.91,10.08,0.0,13866.8,139384.83,0
2021-05-31,2021-05-31 11:00:00,9.95,10.12,9.95,9.99,0.4,13708.0,138863.76,1
2021-05-31,2021-05-31 12:00:00,9.99,10.04,9.99,10.04,0.5,13708.0,138863.76,1
2021-05-31,2021-05-31 13:00:00,10.04,10.08,10.04,10.08,0.4,13708.0,138863.76,1
2021-05-31,2021-05-31 14:00:00,10.08,10.12,10.08,10.12,0.4,13708.0,138863.76,1
2021-05-31,2021-05-31 15:00:00,10.12,10.29,9.95,10.12,0.0,13708.0,138863.76,0
2021-06-01,2021-06-01 11:00:00,10.12,10.18,10.11,10.13,0.1,18250.0,185782.3,1
2021-06-01,2021-06-01 12:00:00,10.13,10.14,10.13,10.14,0.1,18250.0,185782.3,1
2021-06-01,2021-06-01 13:00:00,10.14,10.15,10.14,10.15,0.1,18250.0,185782.3,1
2021-06-01,2021-06-01 14:00:00,10.15,10.16,10.15,10.16,0.1,18250.0,185782.3,1
2021-06-01,2021-06-01 15:00:00,10.16,10.25,10.1,10.16,0.0,18250.0,185782.3,0
2021-06-02,2021-06-02 11:00:00,10.2,10.2,10.08,10.2,0.0,7046.0,70946.8,0
2021-06-02,2021-06-02 12:00:00,10.2,10.2,10.2,10.2,0.0,7046.0,70946.8,0
2021-06-02,2021-06-02 13:00:00,10.2,10.2,10.2,10.2,0.0,7046.0,70946.8,0
2021-06-02,2021-06-02 14:00:00,10.2,10.2,10.2,10.2,0.0,7046.0,70946.8,0
2021-06-02,2021-06-02 15:00:00,10.2,10.2,9.96,10.2,0.0,7046.0,70946.8,0
2021-06-03,2021-06-03 11:00:00,10.0,10.12,10.0,10.05,0.5,13882.0,141662.94,1
2021-06-03,2021-06-03 12:00:00,10.05,10.1,10.05,10.1,0.5,13882.0,141662.94,1
2021-06-03,2021-06-03 13:00:00,10.1,10.15,10.1,10.15,0.5,13882.0,141662.94,1
2021-06-03,2021-06-03 14:00:00,10.15,10.2,10.15,10.2,0.49,13882.0,141662.94,1
2021-06-03,2021-06-03 15:00:00,10.2,10.25,10.0,10.2,0.0,13882.0,141662.94,0
2021-06-06,2021-06-06 11:00:00,10.2,10.2,10.16,10.2,0.0,9420.0,95841.1,0
2021-06-06,2021-06-06 12:00:00,10.2,10.2,10.2,10.2,0.0,9420.0,95841.1,0
2021-06-06,2021-06-06 13:00:00,10.2,10.2,10.2,10.2,0.0,9420.0,95841.1,0
2021-06-06,2021-06-06 14:00:00,10.2,10.2,10.2,10.2,0.0,9420.0,95841.1,0
2021-06-06,2021-06-06 15:00:00,10.2,10.2,10.12,10.2,0.0,9420.0,95841.1,0
2021-06-07,2021-06-07 11:00:00,10.2,10.25,10.15,10.2,0.0,11578.0,118188.52,0
2021-06-07,2021-06-07 12:00:00,10.2,10.2,10.2,10.2,0.0,11578.0,118188.52,0
2021-06-07,2021-06-07 13:00:00,10.2,10.2,10.2,10.2,0.0,11578.0,118188.52,0
2021-06-07,2021-06-07 14:00:00,10.2,10.2,10.2,10.2,0.0,11578.0,118188.52,0
2021-06-07,2021-06-07 15:00:00,10.2,10.3,10.1,10.2,0.0,11578.0,118188.52,0
2021-06-08,2021-06-08 11:00:00,10.0,10.16,10.0,10.06,0.6,16479.8,168345.66,1
2021-06-08,2021-06-08 12:00:00,10.06,10.12,10.06,10.12,0.6,16479.8,168345.66,1
2021-06-08,2021-06-08 13:00:00,10.12,10.19,10.12,10.19,0.69,16479.8,168345.66,1
2021-06-08,2021-06-08 14:00:00,10.19,10.25,10.19,10.25,0.59,16479.8,168345.66,1
2021-06-08,2021-06-08 15:00:00,10.25,10.32,10.0,10.25,0.0,16479.8,168345.66,0
2021-06-09,2021-06-09 11:00:00,10.05,10.18,10.05,10.1,0.5,7945.6,81380.79,1
2021-06-09,2021-06-09 12:00:00,10.1,10.15,10.1,10.15,0.5,7945.6,81380.79,1
2021-06-09,2021-06-09 13:00:00,10.15,10.2,10.15,10.2,0.49,7945.6,81380.79,1
2021-06-09,2021-06-09 14:00:00,10.2,10.25,10.2,10.25,0.49,7945.6,81380.79,1
2021-06-09,2021-06-09 15:00:00,10.25,10.3,10.05,10.25,0.0,7945.6,81380.79,0
2021-06-10,2021-06-10 11:00:00,10.2,10.27,10.2,10.21,0.1,16781.8,172072.59,1
2021-06-10,2021-06-10 12:00:00,10.21,10.22,10.21,10.22,0.1,16781.8,172072.59,1
2021-06-10,2021-06-10 13:00:00,10.22,10.24,10.22,10.24,0.2,16781.8,172072.59,1
2021-06-10,2021-06-10 14:00:00,10.24,10.25,10.24,10.25,0.1,16781.8,172072.59,1
2021-06-10,2021-06-10 15:00:00,10.25,10.35,10.2,10.25,0.0,16781.8,172072.59,0
2021-06-13,2021-06-13 11:00:00,10.07,10.21,10.07,10.13,0.6,28166.0,288865.38,1
2021-06-13,2021-06-13 12:00:00,10.13,10.19,10.13,10.19,0.59,28166.0,288865.38,1
2021-06-13,2021-06-13 13:00:00,10.19,10.24,10.19,10.24,0.49,28166.0,288865.38,1
2021-06-13,2021-06-13 14:00:00,10.24,10.3,10.24,10.3,0.59,28166.0,288865.38,1
2021-06-13,2021-06-13 15:00:00,10.3,10.35,10.07,10.3,0.0,28166.0,288865.38,0
2021-06-14,2021-06-14 11:00:00,10.35,10.38,10.27,10.34,-0.1,7520.0,77756.2,-1
2021-06-14,2021-06-14 12:00:00,10.34,10.34,10.34,10.34,0.0,7520.0,77756.2,0
2021-06-14,2021-06-14 13:00:00,10.34,10.34,10.34,10.34,0.0,7520.0,77756.2,0
2021-06-14,2021-06-14 14:00:00,10.34,10.34,10.33,10.33,-0.1,7520.0,77756.2,-1
2021-06-14,2021-06-14 15:00:00,10.33,10.41,10.2,10.33,0.0,7520.0,77756.2,0
2021-06-15,2021-06-15 11:00:00,10.2,10.27,10.2,10.23,0.29,7330.0,75482.4,1
2021-06-15,2021-06-15 12:00:00,10.23,10.27,10.23,10.27,0.39,7330.0,75482.4,1
2021-06-15,2021-06-15 13:00:00,10.27,10.3,10.27,10.3,0.29,7330.0,75482.4,1
2021-06-15,2021-06-15 14:00:00,10.3,10.33,10.3,10.33,0.29,7330.0,75482.4,1
2021-06-15,2021-06-15 15:00:00,10.33,10.34,10.2,10.33,0.0,7330.0,75482.4,0
2021-06-16,2021-06-16 11:00:00,10.28,10.29,10.24,10.29,0.1,11990.0,123290.2,1
2021-06-16,2021-06-16 12:00:00,10.29,10.29,10.29,10.29,0.0,11990.0,123290.2,0
2021-06-16,2021-06-16 13:00:00,10.29,10.29,10.29,10.29,0.0,11990.0,123290.2,0
2021-06-16,2021-06-16 14:00:00,10.29,10.3,10.29,10.3,0.1,11990.0,123290.2,1
2021-06-16,2021-06-16 15:00:00,10.3,10.3,10.2,10.3,0.0,11990.0,123290.2,0
2021-06-17,2021-06-17 11:00:00,10.13,10.22,10.13,10.17,0.39,9031.0,92844.62,1
2021-06-17,2021-06-17 12:00:00,10.17,10.21,10.17,10.21,0.39,9031.0,92844.62,1
2021-06-17,2021-06-17 13:00:00,10.21,10.26,10.21,10.26,0.49,9031.0,92844.62,1
2021-06-17,2021-06-17 14:00:00,10.26,10.3,10.26,10.3,0.39,9031.0,92844.62,1
2021-06-17,2021-06-17 15:00:00,10.3,10.31,10.13,10.3,0.0,9031.0,92844.62,0
2021-06-20,2021-06-20 11:00:00,10.3,10.36,10.26,10.28,-0.19,8465.8,87192.27,-1
2021-06-20,2021-06-20 12:00:00,10.28,10.28,10.26,10.26,-0.19,8465.8,87192.27,-1
2021-06-20,2021-06-20 13:00:00,10.26,10.26,10.24,10.24,-0.19,8465.8,87192.27,-1
2021-06-20,2021-06-20 14:00:00,10.24,10.24,10.22,10.22,-0.2,8465.8,87192.27,-1
2021-06-20,2021-06-20 15:00:00,10.22,10.41,10.22,10.22,0.0,8465.8,87192.27,0
2021-06-21,2021-06-21 11:00:00,10.0,10.2,10.0,10.1,1.0,13630.6,139517.54,1
2021-06-21,2021-06-21 12:00:00,10.1,10.2,10.1,10.2,0.99,13630.6,139517.54,1
2021-06-21,2021-06-21 13:00:00,10.2,10.3,10.2,10.3,0.98,13630.6,139517.54,1
2021-06-21,2021-06-21 14:00:00,10.3,10.4,10.3,10.4,0.97,13630.6,139517.54,1
2021-06-21,2021-06-21 15:00:00,10.4,10.4,10.0,10.4,0.0,13630.6,139517.54,0
2021-06-22,2021-06-22 11:00:00,10.4,10.45,10.25,10.36,-0.38,5286.0,53982.42,-1
2021-06-22,2021-06-22 12:00:00,10.36,10.36,10.32,10.32,-0.39,5286.0,53982.42,-1
