published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-04-02,2024-04-02 11:00:00,1000.0,1012.5,1000.0,1006.25,0.62,33.0,33593.0,1
2024-04-02,2024-04-02 12:00:00,1006.25,1012.5,1006.25,1012.5,0.62,33.0,33593.0,1
2024-04-02,2024-04-02 13:00:00,1012.5,1018.75,1012.5,1018.75,0.62,33.0,33593.0,1
2024-04-02,2024-04-02 14:00:00,1018.75,1025.0,1018.75,1025.0,0.61,33.0,33593.0,1
2024-04-02,2024-04-02 15:00:00,1025.0,1025.0,1000.0,1025.0,0.0,33.0,33593.0,0
2024-04-03,2024-04-03 11:00:00,1030.0,1040.0,1029.5,1033.25,0.32,35.0,36282.0,1
2024-04-03,2024-04-03 12:00:00,1033.25,1036.5,1033.25,1036.5,0.31,35.0,36282.0,1
2024-04-03,2024-04-03 13:00:00,1036.5,1039.75,1036.5,1039.75,0.31,35.0,36282.0,1
2024-04-03,2024-04-03 14:00:00,1039.75,1043.0,1039.75,1043.0,0.31,35.0,36282.0,1
2024-04-03,2024-04-03 15:00:00,1043.0,1050.0,1029.0,1043.0,0.0,35.0,36282.0,0
2024-04-07,2024-04-07 11:00:00,1061.0,1061.85,1061.0,1061.42,0.04,14.0,14862.4,1
2024-04-07,2024-04-07 12:00:00,1061.42,1061.85,1061.42,1061.85,0.04,14.0,14862.4,1
2024-04-07,2024-04-07 13:00:00,1061.85,1062.28,1061.85,1062.28,0.04,14.0,14862.4,1
2024-04-07,2024-04-07 14:00:00,1062.28,1062.7,1062.28,1062.7,0.04,14.0,14862.4,1
2024-04-07,2024-04-07 15:00:00,1062.7,1062.7,1061.0,1062.7,0.0,14.0,14862.4,0
2024-04-14,2024-04-14 11:00:00,1052.0,1056.0,1052.0,1054.0,0.19,25.0,26435.0,1
2024-04-14,2024-04-14 12:00:00,1054.0,1056.0,1054.0,1056.0,0.19,25.0,26435.0,1
2024-04-14,2024-04-14 13:00:00,1056.0,1058.0,1056.0,1058.0,0.19,25.0,26435.0,1
2024-04-14,2024-04-14 14:00:00,1058.0,1060.0,1058.0,1060.0,0.19,25.0,26435.0,1
2024-04-14,2024-04-14 15:00:00,1060.0,1060.0,1052.0,1060.0,0.0,25.0,26435.0,0
2024-04-15,2024-04-15 11:00:00,1063.0,1071.5,1062.6,1067.25,0.4,35.0,37288.0,1
2024-04-15,2024-04-15 12:00:00,1067.25,1071.5,1067.25,1071.5,0.4,35.0,37288.0,1
2024-04-15,2024-04-15 13:00:00,1071.5,1075.75,1071.5,1075.75,0.4,35.0,37288.0,1
2024-04-15,2024-04-15 14:00:00,1075.75,1080.0,1075.75,1080.0,0.4,35.0,37288.0,1
2024-04-15,2024-04-15 15:00:00,1080.0,1080.0,1062.2,1080.0,0.0,35.0,37288.0,0
2024-04-16,2024-04-16 11:00:00,1071.0,1071.0,1071.0,1071.0,0.0,5.0,5355.0,0
2024-04-16,2024-04-16 12:00:00,1071.0,1071.0,1071.0,1071.0,0.0,5.0,5355.0,0
2024-04-16,2024-04-16 13:00:00,1071.0,1071.0,1071.0,1071.0,0.0,5.0,5355.0,0
2024-04-16,2024-04-16 14:00:00,1071.0,1071.0,1071.0,1071.0,0.0,5.0,5355.0,0
2024-04-16,2024-04-16 15:00:00,1071.0,1071.0,1071.0,1071.0,0.0,5.0,5355.0,0
2024-04-18,2024-04-18 11:00:00,1075.0,1094.0,1075.0,1079.28,0.4,222.0,245469.5,1
2024-04-18,2024-04-18 12:00:00,1079.28,1083.55,1079.28,1083.55,0.4,222.0,245469.5,1
2024-04-18,2024-04-18 13:00:00,1083.55,1087.82,1083.55,1087.82,0.39,222.0,245469.5,1
2024-04-18,2024-04-18 14:00:00,1087.82,1092.1,1087.82,1092.1,0.39,222.0,245469.5,1
2024-04-18,2024-04-18 15:00:00,1092.1,1113.0,1075.0,1092.1,0.0,222.0,245469.5,0
2024-04-22,2024-04-22 11:00:00,1071.0,1071.0,1060.3,1065.65,-0.5,5.0,5290.8,-1
2024-04-22,2024-04-22 12:00:00,1065.65,1065.65,1060.3,1060.3,-0.5,5.0,5290.8,-1
2024-04-22,2024-04-22 13:00:00,1060.3,1060.3,1054.95,1054.95,-0.5,5.0,5290.8,-1
2024-04-22,2024-04-22 14:00:00,1054.95,1054.95,1049.6,1049.6,-0.51,5.0,5290.8,-1
2024-04-22,2024-04-22 15:00:00,1049.6,1071.0,1049.6,1049.6,0.0,5.0,5290.8,0
2024-04-24,2024-04-24 11:00:00,1070.5,1081.2,1070.5,1075.85,0.5,27.0,29051.5,1
2024-04-24,2024-04-24 12:00:00,1075.85,1081.2,1075.85,1081.2,0.5,27.0,29051.5,1
2024-04-24,2024-04-24 13:00:00,1081.2,1086.55,1081.2,1086.55,0.49,27.0,29051.5,1
2024-04-24,2024-04-24 14:00:00,1086.55,1091.9,1086.55,1091.9,0.49,27.0,29051.5,1
2024-04-24,2024-04-24 15:00:00,1091.9,1091.9,1070.5,1091.9,0.0,27.0,29051.5,0
2024-04-25,2024-04-25 11:00:00,1095.0,1095.0,1093.0,1094.0,-0.09,100.0,109420.0,-1
