published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-10-14,2014-10-14 11:00:00,100.0,203.5,100.0,151.75,51.75,8.2,2517.4,1
2014-10-14,2014-10-14 12:00:00,151.75,203.5,151.75,203.5,34.1,8.2,2517.4,1
2014-10-14,2014-10-14 13:00:00,203.5,255.25,203.5,255.25,25.43,8.2,2517.4,1
2014-10-14,2014-10-14 14:00:00,255.25,307.0,255.25,307.0,20.27,8.2,2517.4,1
2014-10-14,2014-10-14 15:00:00,307.0,307.0,307.0,307.0,0.0,8.2,2517.4,0
2014-10-27,2014-10-27 11:00:00,307.0,322.0,307.0,314.5,2.44,64.0,21448.0,1
2014-10-27,2014-10-27 12:00:00,314.5,322.0,314.5,322.0,2.38,64.0,21448.0,1
2014-10-27,2014-10-27 13:00:00,322.0,329.5,322.0,329.5,2.33,64.0,21448.0,1
2014-10-27,2014-10-27 14:00:00,329.5,337.0,329.5,337.0,2.28,64.0,21448.0,1
2014-10-27,2014-10-27 15:00:00,337.0,337.0,313.0,337.0,0.0,64.0,21448.0,0
2014-11-02,2014-11-02 11:00:00,337.0,345.0,337.0,341.0,1.19,4.0,1412.0,1
2014-11-02,2014-11-02 12:00:00,341.0,345.0,341.0,345.0,1.17,4.0,1412.0,1
2014-11-02,2014-11-02 13:00:00,345.0,349.0,345.0,349.0,1.16,4.0,1412.0,1
2014-11-02,2014-11-02 14:00:00,349.0,353.0,349.0,353.0,1.15,4.0,1412.0,1
2014-11-02,2014-11-02 15:00:00,353.0,353.0,353.0,353.0,0.0,4.0,1412.0,0
2014-11-03,2014-11-03 11:00:00,353.0,360.0,353.0,356.5,0.99,6.0,2188.0,1
2014-11-03,2014-11-03 12:00:00,356.5,360.0,356.5,360.0,0.98,6.0,2188.0,1
2014-11-03,2014-11-03 13:00:00,360.0,363.5,360.0,363.5,0.97,6.0,2188.0,1
2014-11-03,2014-11-03 14:00:00,363.5,367.0,363.5,367.0,0.96,6.0,2188.0,1
2014-11-03,2014-11-03 15:00:00,367.0,367.0,360.0,367.0,0.0,6.0,2188.0,0
2014-11-11,2014-11-11 11:00:00,367.0,381.0,367.0,374.0,1.91,8.0,3076.0,1
2014-11-11,2014-11-11 12:00:00,374.0,381.0,374.0,381.0,1.87,8.0,3076.0,1
2014-11-11,2014-11-11 13:00:00,381.0,388.0,381.0,388.0,1.84,8.0,3076.0,1
2014-11-11,2014-11-11 14:00:00,388.0,395.0,388.0,395.0,1.8,8.0,3076.0,1
2014-11-11,2014-11-11 15:00:00,395.0,395.0,374.0,395.0,0.0,8.0,3076.0,0
2014-11-17,2014-11-17 11:00:00,395.0,400.0,395.0,397.5,0.63,2.0,810.0,1
