published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-21,2023-09-21 11:00:00,10.0,10.0,10.0,10.0,0.0,100.0,999.4,0
2023-09-21,2023-09-21 12:00:00,10.0,10.0,10.0,10.0,0.0,100.0,999.4,0
2023-09-21,2023-09-21 13:00:00,10.0,10.0,10.0,10.0,0.0,100.0,999.4,0
2023-09-21,2023-09-21 14:00:00,10.0,10.0,10.0,10.0,0.0,100.0,999.4,0
2023-09-21,2023-09-21 15:00:00,10.0,10.0,9.99,10.0,0.0,100.0,999.4,0
2023-09-26,2023-09-26 11:00:00,9.81,9.81,9.71,9.76,-0.51,40.0,388.6,-1
2023-09-26,2023-09-26 12:00:00,9.76,9.76,9.71,9.71,-0.51,40.0,388.6,-1
2023-09-26,2023-09-26 13:00:00,9.71,9.71,9.67,9.67,-0.41,40.0,388.6,-1
2023-09-26,2023-09-26 14:00:00,9.67,9.67,9.62,9.62,-0.52,40.0,388.6,-1
2023-09-26,2023-09-26 15:00:00,9.62,9.81,9.62,9.62,0.0,40.0,388.6,0
2023-09-27,2023-09-27 11:00:00,9.43,9.43,9.04,9.23,-2.12,1155.0,10037.75,-1
2023-09-27,2023-09-27 12:00:00,9.23,9.23,9.04,9.04,-2.06,1155.0,10037.75,-1
2023-09-27,2023-09-27 13:00:00,9.04,9.04,8.85,8.85,-2.1,1155.0,10037.75,-1
2023-09-27,2023-09-27 14:00:00,8.85,8.85,8.65,8.65,-2.26,1155.0,10037.75,-1
2023-09-27,2023-09-27 15:00:00,8.65,9.43,8.65,8.65,0.0,1155.0,10037.75,0
2023-10-01,2023-10-01 11:00:00,8.48,8.48,8.17,8.35,-1.53,1808.0,14435.5,-1
2023-10-01,2023-10-01 12:00:00,8.35,8.35,8.21,8.21,-1.68,1808.0,14435.5,-1
2023-10-01,2023-10-01 13:00:00,8.21,8.21,8.08,8.08,-1.58,1808.0,14435.5,-1
2023-10-01,2023-10-01 14:00:00,8.08,8.08,7.94,7.94,-1.73,1808.0,14435.5,-1
2023-10-01,2023-10-01 15:00:00,7.94,8.48,7.86,7.94,0.0,1808.0,14435.5,0
2023-10-02,2023-10-02 11:00:00,7.9,7.98,7.78,7.89,-0.13,1400.0,11009.8,-1
2023-10-02,2023-10-02 12:00:00,7.89,7.89,7.88,7.88,-0.13,1400.0,11009.8,-1
2023-10-02,2023-10-02 13:00:00,7.88,7.88,7.87,7.87,-0.13,1400.0,11009.8,-1
2023-10-02,2023-10-02 14:00:00,7.87,7.87,7.86,7.86,-0.13,1400.0,11009.8,-1
2023-10-02,2023-10-02 15:00:00,7.86,8.05,7.66,7.86,0.0,1400.0,11009.8,0
2023-10-03,2023-10-03 11:00:00,7.71,7.72,7.63,7.69,-0.26,1120.0,8519.8,-1
2023-10-03,2023-10-03 12:00:00,7.69,7.69,7.67,7.67,-0.26,1120.0,8519.8,-1
2023-10-03,2023-10-03 13:00:00,7.67,7.67,7.64,7.64,-0.39,1120.0,8519.8,-1
2023-10-03,2023-10-03 14:00:00,7.64,7.64,7.62,7.62,-0.26,1120.0,8519.8,-1
2023-10-03,2023-10-03 15:00:00,7.62,7.73,7.56,7.62,0.0,1120.0,8519.8,0
2023-10-04,2023-10-04 11:00:00,7.47,7.61,7.42,7.51,0.54,845.0,6404.75,1
2023-10-04,2023-10-04 12:00:00,7.51,7.55,7.51,7.55,0.53,845.0,6404.75,1
2023-10-04,2023-10-04 13:00:00,7.55,7.6,7.55,7.6,0.66,845.0,6404.75,1
2023-10-04,2023-10-04 14:00:00,7.6,7.64,7.6,7.64,0.53,845.0,6404.75,1
2023-10-04,2023-10-04 15:00:00,7.64,7.74,7.36,7.64,0.0,845.0,6404.75,0
2023-10-05,2023-10-05 11:00:00,7.49,7.57,7.43,7.5,0.13,814.0,6136.65,1
2023-10-05,2023-10-05 12:00:00,7.5,7.52,7.5,7.52,0.27,814.0,6136.65,1
2023-10-05,2023-10-05 13:00:00,7.52,7.54,7.52,7.54,0.27,814.0,6136.65,1
2023-10-05,2023-10-05 14:00:00,7.54,7.55,7.54,7.55,0.13,814.0,6136.65,1
2023-10-05,2023-10-05 15:00:00,7.55,7.65,7.36,7.55,0.0,814.0,6136.65,0
2023-10-08,2023-10-08 11:00:00,7.45,7.54,7.44,7.47,0.27,1072.0,8045.4,1
2023-10-08,2023-10-08 12:00:00,7.47,7.49,7.47,7.49,0.27,1072.0,8045.4,1
2023-10-08,2023-10-08 13:00:00,7.49,7.51,7.49,7.51,0.27,1072.0,8045.4,1
