published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-26,2021-12-26 11:00:00,100.0,105.0,100.0,102.5,2.5,30.0,3235.34,1
2021-12-26,2021-12-26 12:00:00,102.5,105.0,102.5,105.0,2.44,30.0,3235.34,1
2021-12-26,2021-12-26 13:00:00,105.0,107.5,105.0,107.5,2.38,30.0,3235.34,1
2021-12-26,2021-12-26 14:00:00,107.5,110.0,107.5,110.0,2.33,30.0,3235.34,1
2021-12-26,2021-12-26 15:00:00,110.0,110.0,100.0,110.0,0.0,30.0,3235.34,0
2021-12-27,2021-12-27 11:00:00,112.2,116.6,112.2,114.4,1.96,36.8,4291.5,1
2021-12-27,2021-12-27 12:00:00,114.4,116.6,114.4,116.6,1.92,36.8,4291.5,1
2021-12-27,2021-12-27 13:00:00,116.6,118.8,116.6,118.8,1.89,36.8,4291.5,1
2021-12-27,2021-12-27 14:00:00,118.8,121.0,118.8,121.0,1.85,36.8,4291.5,1
2021-12-27,2021-12-27 15:00:00,121.0,121.0,112.2,121.0,0.0,36.8,4291.5,0
2021-12-28,2021-12-28 11:00:00,119.3,126.2,119.3,122.75,2.89,32.0,4068.9,1
2021-12-28,2021-12-28 12:00:00,122.75,126.2,122.75,126.2,2.81,32.0,4068.9,1
2021-12-28,2021-12-28 13:00:00,126.2,129.65,126.2,129.65,2.73,32.0,4068.9,1
2021-12-28,2021-12-28 14:00:00,129.65,133.1,129.65,133.1,2.66,32.0,4068.9,1
2021-12-28,2021-12-28 15:00:00,133.1,133.1,119.3,133.1,0.0,32.0,4068.9,0
2021-12-29,2021-12-29 11:00:00,135.7,141.05,135.7,138.38,1.97,27.4,3932.84,1
2021-12-29,2021-12-29 12:00:00,138.38,141.05,138.38,141.05,1.93,27.4,3932.84,1
2021-12-29,2021-12-29 13:00:00,141.05,143.72,141.05,143.72,1.89,27.4,3932.84,1
2021-12-29,2021-12-29 14:00:00,143.72,146.4,143.72,146.4,1.86,27.4,3932.84,1
2021-12-29,2021-12-29 15:00:00,146.4,146.4,135.7,146.4,0.0,27.4,3932.84,0
2022-01-02,2022-01-02 11:00:00,144.6,152.8,144.6,148.7,2.84,47.8,7572.38,1
2022-01-02,2022-01-02 12:00:00,148.7,152.8,148.7,152.8,2.76,47.8,7572.38,1
2022-01-02,2022-01-02 13:00:00,152.8,156.9,152.8,156.9,2.68,47.8,7572.38,1
2022-01-02,2022-01-02 14:00:00,156.9,161.0,156.9,161.0,2.61,47.8,7572.38,1
2022-01-02,2022-01-02 15:00:00,161.0,161.0,144.6,161.0,0.0,47.8,7572.38,0
2022-01-03,2022-01-03 11:00:00,164.2,170.65,164.2,167.42,1.96,43.4,7591.38,1
2022-01-03,2022-01-03 12:00:00,167.42,170.65,167.42,170.65,1.93,43.4,7591.38,1
2022-01-03,2022-01-03 13:00:00,170.65,173.88,170.65,173.88,1.89,43.4,7591.38,1
2022-01-03,2022-01-03 14:00:00,173.88,177.1,173.88,177.1,1.85,43.4,7591.38,1
2022-01-03,2022-01-03 15:00:00,177.1,177.1,164.2,177.1,0.0,43.4,7591.38,0
2022-01-04,2022-01-04 11:00:00,180.6,187.7,180.6,184.15,1.97,42.4,8167.2,1
2022-01-04,2022-01-04 12:00:00,184.15,187.7,184.15,187.7,1.93,42.4,8167.2,1
2022-01-04,2022-01-04 13:00:00,187.7,191.25,187.7,191.25,1.89,42.4,8167.2,1
2022-01-04,2022-01-04 14:00:00,191.25,194.8,191.25,194.8,1.86,42.4,8167.2,1
2022-01-04,2022-01-04 15:00:00,194.8,194.8,180.6,194.8,0.0,42.4,8167.2,0
2022-01-05,2022-01-05 11:00:00,198.6,206.4,198.6,202.5,1.96,63.0,13414.02,1
2022-01-05,2022-01-05 12:00:00,202.5,206.4,202.5,206.4,1.93,63.0,13414.02,1
2022-01-05,2022-01-05 13:00:00,206.4,210.3,206.4,210.3,1.89,63.0,13414.02,1
2022-01-05,2022-01-05 14:00:00,210.3,214.2,210.3,214.2,1.85,63.0,13414.02,1
2022-01-05,2022-01-05 15:00:00,214.2,214.2,198.6,214.2,0.0,63.0,13414.02,0
2022-01-06,2022-01-06 11:00:00,218.4,227.0,218.4,222.7,1.97,89.0,20684.14,1
2022-01-06,2022-01-06 12:00:00,222.7,227.0,222.7,227.0,1.93,89.0,20684.14,1
2022-01-06,2022-01-06 13:00:00,227.0,231.3,227.0,231.3,1.89,89.0,20684.14,1
2022-01-06,2022-01-06 14:00:00,231.3,235.6,231.3,235.6,1.86,89.0,20684.14,1
2022-01-06,2022-01-06 15:00:00,235.6,235.6,218.4,235.6,0.0,89.0,20684.14,0
2022-01-09,2022-01-09 11:00:00,240.3,249.7,240.3,245.0,1.96,121.8,31466.22,1
2022-01-09,2022-01-09 12:00:00,245.0,249.7,245.0,249.7,1.92,121.8,31466.22,1
2022-01-09,2022-01-09 13:00:00,249.7,254.4,249.7,254.4,1.88,121.8,31466.22,1
2022-01-09,2022-01-09 14:00:00,254.4,259.1,254.4,259.1,1.85,121.8,31466.22,1
2022-01-09,2022-01-09 15:00:00,259.1,259.1,240.3,259.1,0.0,121.8,31466.22,0
2022-01-10,2022-01-10 11:00:00,259.1,272.05,259.1,265.58,2.5,88.0,24925.0,1
2022-01-10,2022-01-10 12:00:00,265.58,272.05,265.58,272.05,2.44,88.0,24925.0,1
2022-01-10,2022-01-10 13:00:00,272.05,278.52,272.05,278.52,2.38,88.0,24925.0,1
2022-01-10,2022-01-10 14:00:00,278.52,285.0,278.52,285.0,2.33,88.0,24925.0,1
2022-01-10,2022-01-10 15:00:00,285.0,285.0,259.1,285.0,0.0,88.0,24925.0,0
2022-01-11,2022-01-11 11:00:00,290.7,302.1,290.7,296.4,1.96,111.2,34690.3,1
