published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-22,2025-05-22 11:00:00,10.0,10.09,9.53,9.78,-2.2,50750.0,512879.0,-1
2025-05-22,2025-05-22 12:00:00,9.78,9.78,9.55,9.55,-2.35,50750.0,512879.0,-1
2025-05-22,2025-05-22 13:00:00,9.55,9.55,9.32,9.32,-2.41,50750.0,512879.0,-1
2025-05-22,2025-05-22 14:00:00,9.32,9.32,9.1,9.1,-2.36,50750.0,512879.0,-1
2025-05-22,2025-05-22 15:00:00,9.1,10.19,9.06,9.1,0.0,50750.0,512879.0,0
2025-05-25,2025-05-25 11:00:00,8.92,9.1,8.92,8.99,0.78,1402.0,12721.86,1
2025-05-25,2025-05-25 12:00:00,8.99,9.06,8.99,9.06,0.78,1402.0,12721.86,1
2025-05-25,2025-05-25 13:00:00,9.06,9.13,9.06,9.13,0.77,1402.0,12721.86,1
2025-05-25,2025-05-25 14:00:00,9.13,9.2,9.13,9.2,0.77,1402.0,12721.86,1
2025-05-25,2025-05-25 15:00:00,9.2,9.28,8.92,9.2,0.0,1402.0,12721.86,0
2025-05-26,2025-05-26 11:00:00,9.03,9.21,9.03,9.09,0.66,49920.0,454531.0,1
2025-05-26,2025-05-26 12:00:00,9.09,9.14,9.09,9.14,0.55,49920.0,454531.0,1
2025-05-26,2025-05-26 13:00:00,9.14,9.2,9.14,9.2,0.66,49920.0,454531.0,1
2025-05-26,2025-05-26 14:00:00,9.2,9.26,9.2,9.26,0.65,49920.0,454531.0,1
2025-05-26,2025-05-26 15:00:00,9.26,9.38,9.03,9.26,0.0,49920.0,454531.0,0
2025-05-27,2025-05-27 11:00:00,9.08,9.24,9.0,9.14,0.66,1280.0,11706.0,1
2025-05-27,2025-05-27 12:00:00,9.14,9.21,9.14,9.21,0.77,1280.0,11706.0,1
2025-05-27,2025-05-27 13:00:00,9.21,9.27,9.21,9.27,0.65,1280.0,11706.0,1
2025-05-27,2025-05-27 14:00:00,9.27,9.33,9.27,9.33,0.65,1280.0,11706.0,1
2025-05-27,2025-05-27 15:00:00,9.33,9.4,8.93,9.33,0.0,1280.0,11706.0,0
2025-05-28,2025-05-28 11:00:00,9.15,9.33,9.07,9.19,0.44,1660.0,15238.8,1
2025-05-28,2025-05-28 12:00:00,9.19,9.23,9.19,9.23,0.44,1660.0,15238.8,1
2025-05-28,2025-05-28 13:00:00,9.23,9.27,9.23,9.27,0.43,1660.0,15238.8,1
2025-05-28,2025-05-28 14:00:00,9.27,9.31,9.27,9.31,0.43,1660.0,15238.8,1
2025-05-28,2025-05-28 15:00:00,9.31,9.51,8.98,9.31,0.0,1660.0,15238.8,0
2025-06-02,2025-06-02 11:00:00,9.2,9.25,9.1,9.18,-0.22,47140.0,424812.6,-1
2025-06-02,2025-06-02 12:00:00,9.18,9.18,9.17,9.17,-0.11,47140.0,424812.6,-1
2025-06-02,2025-06-02 13:00:00,9.17,9.17,9.16,9.16,-0.11,47140.0,424812.6,-1
2025-06-02,2025-06-02 14:00:00,9.16,9.16,9.14,9.14,-0.22,47140.0,424812.6,-1
2025-06-02,2025-06-02 15:00:00,9.14,9.3,9.0,9.14,0.0,47140.0,424812.6,0
2025-06-03,2025-06-03 11:00:00,8.96,9.08,8.96,8.99,0.33,2760.0,24917.4,1
2025-06-03,2025-06-03 12:00:00,8.99,9.02,8.99,9.02,0.33,2760.0,24917.4,1
2025-06-03,2025-06-03 13:00:00,9.02,9.04,9.02,9.04,0.22,2760.0,24917.4,1
2025-06-03,2025-06-03 14:00:00,9.04,9.07,9.04,9.07,0.33,2760.0,24917.4,1
2025-06-03,2025-06-03 15:00:00,9.07,9.2,8.96,9.07,0.0,2760.0,24917.4,0
2025-06-04,2025-06-04 11:00:00,9.07,9.07,9.0,9.04,-0.33,260.0,2337.6,-1
2025-06-04,2025-06-04 12:00:00,9.04,9.04,9.02,9.02,-0.22,260.0,2337.6,-1
2025-06-04,2025-06-04 13:00:00,9.02,9.02,9.0,9.0,-0.22,260.0,2337.6,-1
2025-06-04,2025-06-04 14:00:00,9.0,9.0,8.97,8.97,-0.33,260.0,2337.6,-1
2025-06-04,2025-06-04 15:00:00,8.97,9.07,8.92,8.97,0.0,260.0,2337.6,0
2025-06-05,2025-06-05 11:00:00,8.8,8.95,8.8,8.88,0.91,970.0,8683.1,1
2025-06-05,2025-06-05 12:00:00,8.88,8.95,8.88,8.95,0.79,970.0,8683.1,1
2025-06-05,2025-06-05 13:00:00,8.95,9.03,8.95,9.03,0.89,970.0,8683.1,1
2025-06-05,2025-06-05 14:00:00,9.03,9.1,9.03,9.1,0.78,970.0,8683.1,1
2025-06-05,2025-06-05 15:00:00,9.1,9.1,8.8,9.1,0.0,970.0,8683.1,0
2025-06-08,2025-06-08 11:00:00,9.0,9.13,8.97,9.0,0.0,3500.0,31642.2,0
2025-06-08,2025-06-08 12:00:00,9.0,9.0,9.0,9.0,0.0,3500.0,31642.2,0
2025-06-08,2025-06-08 13:00:00,9.0,9.01,9.0,9.01,0.11,3500.0,31642.2,1
2025-06-08,2025-06-08 14:00:00,9.01,9.01,9.01,9.01,0.0,3500.0,31642.2,0
2025-06-08,2025-06-08 15:00:00,9.01,9.27,8.94,9.01,0.0,3500.0,31642.2,0
