published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-12,2026-08-12 11:00:00,300.0,322.5,300.0,311.25,3.75,30.0,9904.8,1
2026-08-12,2026-08-12 12:00:00,311.25,322.5,311.25,322.5,3.61,30.0,9904.8,1
2026-08-12,2026-08-12 13:00:00,322.5,333.75,322.5,333.75,3.49,30.0,9904.8,1
2026-08-12,2026-08-12 14:00:00,333.75,345.0,333.75,345.0,3.37,30.0,9904.8,1
2026-08-12,2026-08-12 15:00:00,345.0,345.0,300.0,345.0,0.0,30.0,9904.8,0
2026-08-13,2026-08-13 11:00:00,355.3,376.0,355.3,365.65,2.91,44.0,17170.6,1
2026-08-13,2026-08-13 12:00:00,365.65,376.0,365.65,376.0,2.83,44.0,17170.6,1
2026-08-13,2026-08-13 13:00:00,376.0,386.35,376.0,386.35,2.75,44.0,17170.6,1
2026-08-13,2026-08-13 14:00:00,386.35,396.7,386.35,396.7,2.68,44.0,17170.6,1
2026-08-13,2026-08-13 15:00:00,396.7,396.7,355.3,396.7,0.0,44.0,17170.6,0
2026-08-14,2026-08-14 11:00:00,400.0,428.1,400.0,414.05,3.51,44.0,19532.8,1
2026-08-14,2026-08-14 12:00:00,414.05,428.1,414.05,428.1,3.39,44.0,19532.8,1
2026-08-14,2026-08-14 13:00:00,428.1,442.15,428.1,442.15,3.28,44.0,19532.8,1
2026-08-14,2026-08-14 14:00:00,442.15,456.2,442.15,456.2,3.18,44.0,19532.8,1
2026-08-14,2026-08-14 15:00:00,456.2,456.2,400.0,456.2,0.0,44.0,19532.8,0
2026-08-17,2026-08-17 11:00:00,435.0,479.8,435.0,457.4,5.15,92.0,47680.6,1
2026-08-17,2026-08-17 12:00:00,457.4,479.8,457.4,479.8,4.9,92.0,47680.6,1
2026-08-17,2026-08-17 13:00:00,479.8,502.2,479.8,502.2,4.67,92.0,47680.6,1
2026-08-17,2026-08-17 14:00:00,502.2,524.6,502.2,524.6,4.46,92.0,47680.6,1
2026-08-17,2026-08-17 15:00:00,524.6,524.6,435.0,524.6,0.0,92.0,47680.6,0
2026-08-18,2026-08-18 11:00:00,540.3,571.75,540.3,556.02,2.91,194.0,116715.4,1
2026-08-18,2026-08-18 12:00:00,556.02,571.75,556.02,571.75,2.83,194.0,116715.4,1
2026-08-18,2026-08-18 13:00:00,571.75,587.48,571.75,587.48,2.75,194.0,116715.4,1
2026-08-18,2026-08-18 14:00:00,587.48,603.2,587.48,603.2,2.68,194.0,116715.4,1
2026-08-18,2026-08-18 15:00:00,603.2,603.2,540.3,603.2,0.0,194.0,116715.4,0
2026-08-19,2026-08-19 11:00:00,633.0,663.3,633.0,648.15,2.39,576.0,399260.4,1
2026-08-19,2026-08-19 12:00:00,648.15,663.3,648.15,663.3,2.34,576.0,399260.4,1
2026-08-19,2026-08-19 13:00:00,663.3,678.45,663.3,678.45,2.28,576.0,399260.4,1
2026-08-19,2026-08-19 14:00:00,678.45,693.6,678.45,693.6,2.23,576.0,399260.4,1
2026-08-19,2026-08-19 15:00:00,693.6,693.6,633.0,693.6,0.0,576.0,399260.4,0
2026-08-20,2026-08-20 11:00:00,728.2,762.9,728.2,745.55,2.38,5796.0,4619516.2,1
2026-08-20,2026-08-20 12:00:00,745.55,762.9,745.55,762.9,2.33,5796.0,4619516.2,1
2026-08-20,2026-08-20 13:00:00,762.9,780.25,762.9,780.25,2.27,5796.0,4619516.2,1
2026-08-20,2026-08-20 14:00:00,780.25,797.6,780.25,797.6,2.22,5796.0,4619516.2,1
2026-08-20,2026-08-20 15:00:00,797.6,797.6,728.2,797.6,0.0,5796.0,4619516.2,0
2026-08-21,2026-08-21 11:00:00,837.4,846.2,794.7,821.55,-1.89,26112.0,20454084.0,-1
2026-08-21,2026-08-21 12:00:00,821.55,821.55,805.7,805.7,-1.93,26112.0,20454084.0,-1
2026-08-21,2026-08-21 13:00:00,805.7,805.7,789.85,789.85,-1.97,26112.0,20454084.0,-1
2026-08-21,2026-08-21 14:00:00,789.85,789.85,774.0,774.0,-2.01,26112.0,20454084.0,-1
2026-08-21,2026-08-21 15:00:00,774.0,855.0,752.0,774.0,0.0,26112.0,20454084.0,0
2026-08-24,2026-08-24 11:00:00,774.0,774.0,739.05,758.98,-1.94,15277.0,11180639.32,-1
2026-08-24,2026-08-24 12:00:00,758.98,758.98,743.95,743.95,-1.98,15277.0,11180639.32,-1
2026-08-24,2026-08-24 13:00:00,743.95,743.95,728.92,728.92,-2.02,15277.0,11180639.32,-1
2026-08-24,2026-08-24 14:00:00,728.92,728.92,713.9,713.9,-2.06,15277.0,11180639.32,-1
2026-08-24,2026-08-24 15:00:00,713.9,774.0,704.1,713.9,0.0,15277.0,11180639.32,0
2026-08-25,2026-08-25 12:00:00,700.1,731.0,681.5,699.0,-2.09,42665.0,29948667.6,-1
