published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2016-09-05,2016-09-05 11:00:00,0.0,196.0,0.0,98.0,0.0,2.0,784.0,1
2016-09-05,2016-09-05 12:00:00,98.0,196.0,98.0,196.0,100.0,2.0,784.0,1
2016-09-05,2016-09-05 13:00:00,196.0,294.0,196.0,294.0,50.0,2.0,784.0,1
2016-09-05,2016-09-05 14:00:00,294.0,392.0,294.0,392.0,33.33,2.0,784.0,1
2016-09-05,2016-09-05 15:00:00,392.0,392.0,392.0,392.0,0.0,2.0,784.0,0
2016-09-08,2016-09-08 11:00:00,392.0,401.5,392.0,396.75,1.21,2.0,822.0,1
2016-09-08,2016-09-08 12:00:00,396.75,401.5,396.75,401.5,1.2,2.0,822.0,1
2016-09-08,2016-09-08 13:00:00,401.5,406.25,401.5,406.25,1.18,2.0,822.0,1
2016-09-08,2016-09-08 14:00:00,406.25,411.0,406.25,411.0,1.17,2.0,822.0,1
2016-09-08,2016-09-08 15:00:00,411.0,411.0,411.0,411.0,0.0,2.0,822.0,0
2016-11-24,2016-11-24 11:00:00,411.0,415.0,411.0,413.0,0.49,2.0,838.0,1
2016-11-24,2016-11-24 12:00:00,413.0,415.0,413.0,415.0,0.48,2.0,838.0,1
2016-11-24,2016-11-24 13:00:00,415.0,417.0,415.0,417.0,0.48,2.0,838.0,1
2016-11-24,2016-11-24 14:00:00,417.0,419.0,417.0,419.0,0.48,2.0,838.0,1
2016-11-24,2016-11-24 15:00:00,419.0,419.0,419.0,419.0,0.0,2.0,838.0,0
2016-12-06,2016-12-06 11:00:00,419.0,435.0,419.0,427.0,1.91,10.0,4398.0,1
2016-12-06,2016-12-06 12:00:00,427.0,435.0,427.0,435.0,1.87,10.0,4398.0,1
2016-12-06,2016-12-06 13:00:00,435.0,443.0,435.0,443.0,1.84,10.0,4398.0,1
2016-12-06,2016-12-06 14:00:00,443.0,451.0,443.0,451.0,1.81,10.0,4398.0,1
2016-12-06,2016-12-06 15:00:00,451.0,451.0,427.0,451.0,0.0,10.0,4398.0,0
2016-12-15,2016-12-15 11:00:00,451.0,464.5,451.0,457.75,1.5,18.4,8685.4,1
2016-12-15,2016-12-15 12:00:00,457.75,464.5,457.75,464.5,1.47,18.4,8685.4,1
2016-12-15,2016-12-15 13:00:00,464.5,471.25,464.5,471.25,1.45,18.4,8685.4,1
2016-12-15,2016-12-15 14:00:00,471.25,478.0,471.25,478.0,1.43,18.4,8685.4,1
2016-12-15,2016-12-15 15:00:00,478.0,478.0,460.0,478.0,0.0,18.4,8685.4,0
2016-12-18,2016-12-18 11:00:00,478.0,487.0,478.0,482.5,0.94,4.0,1966.0,1
2016-12-18,2016-12-18 12:00:00,482.5,487.0,482.5,487.0,0.93,4.0,1966.0,1
2016-12-18,2016-12-18 13:00:00,487.0,491.5,487.0,491.5,0.92,4.0,1966.0,1
2016-12-18,2016-12-18 14:00:00,491.5,496.0,491.5,496.0,0.92,4.0,1966.0,1
2016-12-18,2016-12-18 15:00:00,496.0,496.0,487.0,496.0,0.0,4.0,1966.0,0
2016-12-21,2016-12-21 11:00:00,451.0,469.0,451.0,460.0,2.0,8.0,3788.0,1
2016-12-21,2016-12-21 12:00:00,460.0,469.0,460.0,469.0,1.96,8.0,3788.0,1
2016-12-21,2016-12-21 13:00:00,469.0,478.0,469.0,478.0,1.92,8.0,3788.0,1
2016-12-21,2016-12-21 14:00:00,478.0,487.0,478.0,487.0,1.88,8.0,3788.0,1
2016-12-21,2016-12-21 15:00:00,487.0,487.0,460.0,487.0,0.0,8.0,3788.0,0
2016-12-26,2016-12-26 11:00:00,487.0,511.0,487.0,499.0,2.46,10.0,5152.0,1
