published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-05-16,2023-05-16 11:00:00,335.0,335.0,318.25,326.62,-2.5,3832.2,1159248.9,-1
2023-05-16,2023-05-16 12:00:00,326.62,326.62,318.25,318.25,-2.56,3832.2,1159248.9,-1
2023-05-16,2023-05-16 13:00:00,318.25,318.25,309.88,309.88,-2.63,3832.2,1159248.9,-1
2023-05-16,2023-05-16 14:00:00,309.88,309.88,301.5,301.5,-2.7,3832.2,1159248.9,-1
2023-05-16,2023-05-16 15:00:00,301.5,335.0,301.5,301.5,0.0,3832.2,1159248.9,0
2023-05-17,2023-05-17 11:00:00,295.5,295.5,283.45,291.02,-1.52,12550.0,3467254.54,-1
2023-05-17,2023-05-17 12:00:00,291.02,291.02,286.55,286.55,-1.54,12550.0,3467254.54,-1
2023-05-17,2023-05-17 13:00:00,286.55,286.55,282.08,282.08,-1.56,12550.0,3467254.54,-1
2023-05-17,2023-05-17 14:00:00,282.08,282.08,277.6,277.6,-1.59,12550.0,3467254.54,-1
2023-05-17,2023-05-17 15:00:00,277.6,295.5,271.4,277.6,0.0,12550.0,3467254.54,0
2023-05-18,2023-05-18 11:00:00,276.0,289.35,275.0,279.62,1.31,3639.4,1051767.16,1
2023-05-18,2023-05-18 12:00:00,279.62,283.25,279.62,283.25,1.3,3639.4,1051767.16,1
2023-05-18,2023-05-18 13:00:00,283.25,286.88,283.25,286.88,1.28,3639.4,1051767.16,1
2023-05-18,2023-05-18 14:00:00,286.88,290.5,286.88,290.5,1.26,3639.4,1051767.16,1
2023-05-18,2023-05-18 15:00:00,290.5,302.7,274.0,290.5,0.0,3639.4,1051767.16,0
2023-05-21,2023-05-21 11:00:00,286.0,288.75,283.2,285.0,-0.35,3707.2,1052132.52,-1
2023-05-21,2023-05-21 12:00:00,285.0,285.0,284.0,284.0,-0.35,3707.2,1052132.52,-1
2023-05-21,2023-05-21 13:00:00,284.0,284.0,283.0,283.0,-0.35,3707.2,1052132.52,-1
2023-05-21,2023-05-21 14:00:00,283.0,283.0,282.0,282.0,-0.35,3707.2,1052132.52,-1
2023-05-21,2023-05-21 15:00:00,282.0,291.5,280.4,282.0,0.0,3707.2,1052132.52,0
2023-05-22,2023-05-22 11:00:00,277.0,281.0,276.15,277.75,0.27,2247.8,628191.8,1
2023-05-22,2023-05-22 12:00:00,277.75,278.5,277.75,278.5,0.27,2247.8,628191.8,1
2023-05-22,2023-05-22 13:00:00,278.5,279.25,278.5,279.25,0.27,2247.8,628191.8,1
2023-05-22,2023-05-22 14:00:00,279.25,280.0,279.25,280.0,0.27,2247.8,628191.8,1
2023-05-22,2023-05-22 15:00:00,280.0,285.0,275.3,280.0,0.0,2247.8,628191.8,0
2023-05-23,2023-05-23 11:00:00,280.0,286.25,279.5,282.5,0.89,4477.2,1289210.86,1
2023-05-23,2023-05-23 12:00:00,282.5,285.0,282.5,285.0,0.88,4477.2,1289210.86,1
2023-05-23,2023-05-23 13:00:00,285.0,287.5,285.0,287.5,0.88,4477.2,1289210.86,1
2023-05-23,2023-05-23 14:00:00,287.5,290.0,287.5,290.0,0.87,4477.2,1289210.86,1
2023-05-23,2023-05-23 15:00:00,290.0,292.5,279.0,290.0,0.0,4477.2,1289210.86,0
2023-05-24,2023-05-24 11:00:00,290.0,290.0,285.5,289.0,-0.34,2848.6,812828.6,-1
2023-05-24,2023-05-24 12:00:00,289.0,289.0,288.0,288.0,-0.35,2848.6,812828.6,-1
2023-05-24,2023-05-24 13:00:00,288.0,288.0,287.0,287.0,-0.35,2848.6,812828.6,-1
2023-05-24,2023-05-24 14:00:00,287.0,287.0,286.0,286.0,-0.35,2848.6,812828.6,-1
2023-05-24,2023-05-24 15:00:00,286.0,290.0,281.0,286.0,0.0,2848.6,812828.6,0
2023-05-28,2023-05-28 11:00:00,282.1,291.05,282.1,283.83,0.61,6384.8,1872504.0,1
2023-05-28,2023-05-28 12:00:00,283.83,285.55,283.83,285.55,0.61,6384.8,1872504.0,1
2023-05-28,2023-05-28 13:00:00,285.55,287.27,285.55,287.27,0.6,6384.8,1872504.0,1
2023-05-28,2023-05-28 14:00:00,287.27,289.0,287.27,289.0,0.6,6384.8,1872504.0,1
2023-05-28,2023-05-28 15:00:00,289.0,300.0,282.1,289.0,0.0,6384.8,1872504.0,0
2023-05-30,2023-05-30 11:00:00,283.3,288.65,281.65,282.48,-0.29,2711.8,775469.4,-1
2023-05-30,2023-05-30 12:00:00,282.48,282.48,281.65,281.65,-0.29,2711.8,775469.4,-1
2023-05-30,2023-05-30 13:00:00,281.65,281.65,280.82,280.82,-0.29,2711.8,775469.4,-1
2023-05-30,2023-05-30 14:00:00,280.82,280.82,280.0,280.0,-0.29,2711.8,775469.4,-1
2023-05-30,2023-05-30 15:00:00,280.0,294.0,280.0,280.0,0.0,2711.8,775469.4,0
2023-05-31,2023-05-31 11:00:00,274.5,286.25,274.5,280.38,2.14,4221.2,1189094.94,1
2023-05-31,2023-05-31 12:00:00,280.38,286.25,280.38,286.25,2.09,4221.2,1189094.94,1
2023-05-31,2023-05-31 13:00:00,286.25,292.12,286.25,292.12,2.05,4221.2,1189094.94,1
2023-05-31,2023-05-31 14:00:00,292.12,298.0,292.12,298.0,2.01,4221.2,1189094.94,1
2023-05-31,2023-05-31 15:00:00,298.0,298.0,274.5,298.0,0.0,4221.2,1189094.94,0
2023-06-01,2023-06-01 11:00:00,293.0,293.5,285.5,291.27,-0.59,1732.0,496567.3,-1
2023-06-01,2023-06-01 12:00:00,291.27,291.27,289.55,289.55,-0.59,1732.0,496567.3,-1
2023-06-01,2023-06-01 13:00:00,289.55,289.55,287.83,287.83,-0.59,1732.0,496567.3,-1
