published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-01-09,2017-01-09 11:00:00,339.0,348.5,322.5,330.75,-2.43,1915.4,630941.0,-1
2017-01-09,2017-01-09 12:00:00,330.75,330.75,322.5,322.5,-2.49,1915.4,630941.0,-1
2017-01-09,2017-01-09 13:00:00,322.5,322.5,314.25,314.25,-2.56,1915.4,630941.0,-1
2017-01-09,2017-01-09 14:00:00,314.25,314.25,306.0,306.0,-2.63,1915.4,630941.0,-1
2017-01-09,2017-01-09 15:00:00,306.0,358.0,306.0,306.0,0.0,1915.4,630941.0,0
2017-01-10,2017-01-10 11:00:00,306.0,306.0,291.0,300.5,-1.8,14096.2,3990524.8,-1
2017-01-10,2017-01-10 12:00:00,300.5,300.5,295.0,295.0,-1.83,14096.2,3990524.8,-1
2017-01-10,2017-01-10 13:00:00,295.0,295.0,289.5,289.5,-1.86,14096.2,3990524.8,-1
2017-01-10,2017-01-10 14:00:00,289.5,289.5,284.0,284.0,-1.9,14096.2,3990524.8,-1
2017-01-10,2017-01-10 15:00:00,284.0,300.0,276.0,284.0,0.0,14096.2,3990524.8,0
2017-01-11,2017-01-11 11:00:00,284.0,289.0,281.5,284.0,0.0,2407.0,680254.4,0
2017-01-11,2017-01-11 12:00:00,284.0,284.0,284.0,284.0,0.0,2407.0,680254.4,0
2017-01-11,2017-01-11 13:00:00,284.0,284.0,284.0,284.0,0.0,2407.0,680254.4,0
2017-01-11,2017-01-11 14:00:00,284.0,284.0,284.0,284.0,0.0,2407.0,680254.4,0
2017-01-11,2017-01-11 15:00:00,284.0,294.0,279.0,284.0,0.0,2407.0,680254.4,0
2017-01-12,2017-01-12 11:00:00,284.0,284.0,282.0,283.0,-0.35,337.0,94829.0,-1
2017-01-12,2017-01-12 12:00:00,283.0,283.0,282.0,282.0,-0.35,337.0,94829.0,-1
2017-01-12,2017-01-12 13:00:00,282.0,282.0,281.0,281.0,-0.35,337.0,94829.0,-1
2017-01-12,2017-01-12 14:00:00,281.0,281.0,280.0,280.0,-0.36,337.0,94829.0,-1
2017-01-12,2017-01-12 15:00:00,280.0,284.0,280.0,280.0,0.0,337.0,94829.0,0
2017-01-15,2017-01-15 11:00:00,280.0,282.5,276.0,279.0,-0.36,1138.2,311206.0,-1
2017-01-15,2017-01-15 12:00:00,279.0,279.0,278.0,278.0,-0.36,1138.2,311206.0,-1
2017-01-15,2017-01-15 13:00:00,278.0,278.0,277.0,277.0,-0.36,1138.2,311206.0,-1
2017-01-15,2017-01-15 14:00:00,277.0,277.0,276.0,276.0,-0.36,1138.2,311206.0,-1
2017-01-15,2017-01-15 15:00:00,276.0,285.0,272.0,276.0,0.0,1138.2,311206.0,0
