published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-03-16,2021-03-16 11:00:00,438.0,442.0,438.0,440.0,0.46,6.0,2653.4,1
2021-03-16,2021-03-16 12:00:00,440.0,442.0,440.0,442.0,0.45,6.0,2653.4,1
2021-03-16,2021-03-16 13:00:00,442.0,444.0,442.0,444.0,0.45,6.0,2653.4,1
2021-03-16,2021-03-16 14:00:00,444.0,446.0,444.0,446.0,0.45,6.0,2653.4,1
2021-03-16,2021-03-16 15:00:00,446.0,446.0,438.0,446.0,0.0,6.0,2653.4,0
2021-03-17,2021-03-17 11:00:00,140.0,293.0,140.0,216.5,54.64,0.8,354.4,1
2021-03-17,2021-03-17 12:00:00,216.5,293.0,216.5,293.0,35.33,0.8,354.4,1
2021-03-17,2021-03-17 13:00:00,293.0,369.5,293.0,369.5,26.11,0.8,354.4,1
2021-03-17,2021-03-17 14:00:00,369.5,446.0,369.5,446.0,20.7,0.8,354.4,1
2021-03-17,2021-03-17 15:00:00,446.0,446.0,446.0,446.0,0.0,0.8,354.4,0
2021-03-18,2021-03-18 11:00:00,446.0,446.0,446.0,446.0,0.0,0.2,87.6,0
2021-03-18,2021-03-18 12:00:00,446.0,446.0,446.0,446.0,0.0,0.2,87.6,0
2021-03-18,2021-03-18 13:00:00,446.0,446.0,446.0,446.0,0.0,0.2,87.6,0
2021-03-18,2021-03-18 14:00:00,446.0,446.0,446.0,446.0,0.0,0.2,87.6,0
2021-03-18,2021-03-18 15:00:00,446.0,446.0,446.0,446.0,0.0,0.2,87.6,0
2021-03-22,2021-03-22 11:00:00,440.0,451.5,440.0,445.75,1.31,6.2,2801.4,1
2021-03-22,2021-03-22 12:00:00,445.75,451.5,445.75,451.5,1.29,6.2,2801.4,1
2021-03-22,2021-03-22 13:00:00,451.5,457.25,451.5,457.25,1.27,6.2,2801.4,1
2021-03-22,2021-03-22 14:00:00,457.25,463.0,457.25,463.0,1.26,6.2,2801.4,1
2021-03-22,2021-03-22 15:00:00,463.0,463.0,440.0,463.0,0.0,6.2,2801.4,0
2021-03-23,2021-03-23 11:00:00,472.0,481.0,472.0,476.5,0.95,6.0,2886.0,1
2021-03-23,2021-03-23 12:00:00,476.5,481.0,476.5,481.0,0.94,6.0,2886.0,1
2021-03-23,2021-03-23 13:00:00,481.0,485.5,481.0,485.5,0.94,6.0,2886.0,1
2021-03-23,2021-03-23 14:00:00,485.5,490.0,485.5,490.0,0.93,6.0,2886.0,1
2021-03-23,2021-03-23 15:00:00,490.0,490.0,472.0,490.0,0.0,6.0,2886.0,0
2021-03-24,2021-03-24 11:00:00,499.0,503.5,499.0,501.25,0.45,4.0,2014.0,1
2021-03-24,2021-03-24 12:00:00,501.25,503.5,501.25,503.5,0.45,4.0,2014.0,1
2021-03-24,2021-03-24 13:00:00,503.5,505.75,503.5,505.75,0.45,4.0,2014.0,1
2021-03-24,2021-03-24 14:00:00,505.75,508.0,505.75,508.0,0.44,4.0,2014.0,1
2021-03-24,2021-03-24 15:00:00,508.0,508.0,499.0,508.0,0.0,4.0,2014.0,0
2021-03-25,2021-03-25 11:00:00,518.0,528.0,518.0,523.0,0.97,6.0,3168.0,1
2021-03-25,2021-03-25 12:00:00,523.0,528.0,523.0,528.0,0.96,6.0,3168.0,1
2021-03-25,2021-03-25 13:00:00,528.0,533.0,528.0,533.0,0.95,6.0,3168.0,1
2021-03-25,2021-03-25 14:00:00,533.0,538.0,533.0,538.0,0.94,6.0,3168.0,1
2021-03-25,2021-03-25 15:00:00,538.0,538.0,518.0,538.0,0.0,6.0,3168.0,0
2021-03-29,2021-03-29 11:00:00,564.0,577.5,564.0,570.75,1.2,10.0,5752.0,1
2021-03-29,2021-03-29 12:00:00,570.75,577.5,570.75,577.5,1.18,10.0,5752.0,1
2021-03-29,2021-03-29 13:00:00,577.5,584.25,577.5,584.25,1.17,10.0,5752.0,1
2021-03-29,2021-03-29 14:00:00,584.25,591.0,584.25,591.0,1.16,10.0,5752.0,1
2021-03-29,2021-03-29 15:00:00,591.0,591.0,564.0,591.0,0.0,10.0,5752.0,0
2021-03-30,2021-03-30 11:00:00,602.0,602.0,602.0,602.0,0.0,2.0,1204.0,0
2021-03-30,2021-03-30 12:00:00,602.0,602.0,602.0,602.0,0.0,2.0,1204.0,0
2021-03-30,2021-03-30 13:00:00,602.0,602.0,602.0,602.0,0.0,2.0,1204.0,0
2021-03-30,2021-03-30 14:00:00,602.0,602.0,602.0,602.0,0.0,2.0,1204.0,0
2021-03-30,2021-03-30 15:00:00,602.0,602.0,602.0,602.0,0.0,2.0,1204.0,0
2021-03-31,2021-03-31 11:00:00,614.0,638.0,614.0,626.0,1.95,10.0,6380.0,1
2021-03-31,2021-03-31 12:00:00,626.0,638.0,626.0,638.0,1.92,10.0,6380.0,1
2021-03-31,2021-03-31 13:00:00,638.0,650.0,638.0,650.0,1.88,10.0,6380.0,1
2021-03-31,2021-03-31 14:00:00,650.0,662.0,650.0,662.0,1.85,10.0,6380.0,1
2021-03-31,2021-03-31 15:00:00,662.0,662.0,614.0,662.0,0.0,10.0,6380.0,0
2021-04-01,2021-04-01 11:00:00,695.0,701.5,695.0,698.25,0.47,4.0,2806.0,1
2021-04-01,2021-04-01 12:00:00,698.25,701.5,698.25,701.5,0.47,4.0,2806.0,1
2021-04-01,2021-04-01 13:00:00,701.5,704.75,701.5,704.75,0.46,4.0,2806.0,1
2021-04-01,2021-04-01 14:00:00,704.75,708.0,704.75,708.0,0.46,4.0,2806.0,1
2021-04-01,2021-04-01 15:00:00,708.0,708.0,695.0,708.0,0.0,4.0,2806.0,0
2021-04-04,2021-04-04 11:00:00,722.0,729.0,722.0,725.5,0.48,4.0,2916.0,1
2021-04-04,2021-04-04 12:00:00,725.5,729.0,725.5,729.0,0.48,4.0,2916.0,1
2021-04-04,2021-04-04 13:00:00,729.0,732.5,729.0,732.5,0.48,4.0,2916.0,1
2021-04-04,2021-04-04 14:00:00,732.5,736.0,732.5,736.0,0.48,4.0,2916.0,1
2021-04-04,2021-04-04 15:00:00,736.0,736.0,722.0,736.0,0.0,4.0,2916.0,0
2021-04-05,2021-04-05 11:00:00,718.0,741.5,718.0,729.75,1.64,6.4,4766.4,1
2021-04-05,2021-04-05 12:00:00,729.75,741.5,729.75,741.5,1.61,6.4,4766.4,1
2021-04-05,2021-04-05 13:00:00,741.5,753.25,741.5,753.25,1.58,6.4,4766.4,1
2021-04-05,2021-04-05 14:00:00,753.25,765.0,753.25,765.0,1.56,6.4,4766.4,1
2021-04-05,2021-04-05 15:00:00,765.0,765.0,718.0,765.0,0.0,6.4,4766.4,0
2021-04-06,2021-04-06 11:00:00,780.0,810.5,780.0,795.25,1.96,10.0,8104.0,1
2021-04-06,2021-04-06 12:00:00,795.25,810.5,795.25,810.5,1.92,10.0,8104.0,1
2021-04-06,2021-04-06 13:00:00,810.5,825.75,810.5,825.75,1.88,10.0,8104.0,1
2021-04-06,2021-04-06 14:00:00,825.75,841.0,825.75,841.0,1.85,10.0,8104.0,1
2021-04-06,2021-04-06 15:00:00,841.0,841.0,780.0,841.0,0.0,10.0,8104.0,0
2021-04-07,2021-04-07 11:00:00,857.0,891.0,857.0,874.0,1.98,12.0,10760.0,1
2021-04-07,2021-04-07 12:00:00,874.0,891.0,874.0,891.0,1.95,12.0,10760.0,1
2021-04-07,2021-04-07 13:00:00,891.0,908.0,891.0,908.0,1.91,12.0,10760.0,1
2021-04-07,2021-04-07 14:00:00,908.0,925.0,908.0,925.0,1.87,12.0,10760.0,1
2021-04-07,2021-04-07 15:00:00,925.0,925.0,857.0,925.0,0.0,12.0,10760.0,0
2021-04-12,2021-04-12 11:00:00,943.0,980.0,943.0,961.5,1.96,18.0,17898.8,1
2021-04-12,2021-04-12 12:00:00,961.5,980.0,961.5,980.0,1.92,18.0,17898.8,1
2021-04-12,2021-04-12 13:00:00,980.0,998.5,980.0,998.5,1.89,18.0,17898.8,1
2021-04-12,2021-04-12 14:00:00,998.5,1017.0,998.5,1017.0,1.85,18.0,17898.8,1
2021-04-12,2021-04-12 15:00:00,1017.0,1017.0,943.0,1017.0,0.0,18.0,17898.8,0
2021-04-13,2021-04-13 11:00:00,1037.0,1068.0,1037.0,1052.5,1.49,10.0,10698.0,1
2021-04-13,2021-04-13 12:00:00,1052.5,1068.0,1052.5,1068.0,1.47,10.0,10698.0,1
2021-04-13,2021-04-13 13:00:00,1068.0,1083.5,1068.0,1083.5,1.45,10.0,10698.0,1
2021-04-13,2021-04-13 14:00:00,1083.5,1099.0,1083.5,1099.0,1.43,10.0,10698.0,1
2021-04-13,2021-04-13 15:00:00,1099.0,1099.0,1037.0,1099.0,0.0,10.0,10698.0,0
2021-04-15,2021-04-15 11:00:00,1120.0,1164.0,1120.0,1142.0,1.96,14.0,16474.0,1
2021-04-15,2021-04-15 12:00:00,1142.0,1164.0,1142.0,1164.0,1.93,14.0,16474.0,1
2021-04-15,2021-04-15 13:00:00,1164.0,1186.0,1164.0,1186.0,1.89,14.0,16474.0,1
2021-04-15,2021-04-15 14:00:00,1186.0,1208.0,1186.0,1208.0,1.85,14.0,16474.0,1
2021-04-15,2021-04-15 15:00:00,1208.0,1208.0,1120.0,1208.0,0.0,14.0,16474.0,0
2021-04-18,2021-04-18 11:00:00,1232.0,1280.0,1232.0,1256.0,1.95,16.0,20678.0,1
2021-04-18,2021-04-18 12:00:00,1256.0,1280.0,1256.0,1280.0,1.91,16.0,20678.0,1
2021-04-18,2021-04-18 13:00:00,1280.0,1304.0,1280.0,1304.0,1.88,16.0,20678.0,1
2021-04-18,2021-04-18 14:00:00,1304.0,1328.0,1304.0,1328.0,1.84,16.0,20678.0,1
2021-04-18,2021-04-18 15:00:00,1328.0,1328.0,1232.0,1328.0,0.0,16.0,20678.0,0
2021-04-19,2021-04-19 11:00:00,1354.0,1407.0,1354.0,1380.5,1.96,24.0,34512.0,1
2021-04-19,2021-04-19 12:00:00,1380.5,1407.0,1380.5,1407.0,1.92,24.0,34512.0,1
2021-04-19,2021-04-19 13:00:00,1407.0,1433.5,1407.0,1433.5,1.88,24.0,34512.0,1
2021-04-19,2021-04-19 14:00:00,1433.5,1460.0,1433.5,1460.0,1.85,24.0,34512.0,1
2021-04-19,2021-04-19 15:00:00,1460.0,1460.0,1354.0,1460.0,0.0,24.0,34512.0,0
2021-04-20,2021-04-20 11:00:00,1489.0,1547.5,1489.0,1518.25,1.96,24.0,37962.0,1
2021-04-20,2021-04-20 12:00:00,1518.25,1547.5,1518.25,1547.5,1.93,24.0,37962.0,1
2021-04-20,2021-04-20 13:00:00,1547.5,1576.75,1547.5,1576.75,1.89,24.0,37962.0,1
2021-04-20,2021-04-20 14:00:00,1576.75,1606.0,1576.75,1606.0,1.86,24.0,37962.0,1
2021-04-20,2021-04-20 15:00:00,1606.0,1606.0,1489.0,1606.0,0.0,24.0,37962.0,0
2021-04-21,2021-04-21 11:00:00,1686.0,1726.0,1686.0,1706.0,1.19,54.0,95084.0,1
2021-04-21,2021-04-21 12:00:00,1706.0,1726.0,1706.0,1726.0,1.17,54.0,95084.0,1
2021-04-21,2021-04-21 13:00:00,1726.0,1746.0,1726.0,1746.0,1.16,54.0,95084.0,1
2021-04-21,2021-04-21 14:00:00,1746.0,1766.0,1746.0,1766.0,1.15,54.0,95084.0,1
2021-04-21,2021-04-21 15:00:00,1766.0,1766.0,1686.0,1766.0,0.0,54.0,95084.0,0
2021-04-22,2021-04-22 11:00:00,1801.0,1871.5,1801.0,1836.25,1.96,74.0,143014.0,1
2021-04-22,2021-04-22 12:00:00,1836.25,1871.5,1836.25,1871.5,1.92,74.0,143014.0,1
2021-04-22,2021-04-22 13:00:00,1871.5,1906.75,1871.5,1906.75,1.88,74.0,143014.0,1
2021-04-22,2021-04-22 14:00:00,1906.75,1942.0,1906.75,1942.0,1.85,74.0,143014.0,1
2021-04-22,2021-04-22 15:00:00,1942.0,1942.0,1801.0,1942.0,0.0,74.0,143014.0,0
2021-04-25,2021-04-25 11:00:00,1980.0,2058.0,1980.0,2019.0,1.97,205.0,437081.0,1
2021-04-25,2021-04-25 12:00:00,2019.0,2058.0,2019.0,2058.0,1.93,205.0,437081.0,1
2021-04-25,2021-04-25 13:00:00,2058.0,2097.0,2058.0,2097.0,1.9,205.0,437081.0,1
2021-04-25,2021-04-25 14:00:00,2097.0,2136.0,2097.0,2136.0,1.86,205.0,437081.0,1
2021-04-25,2021-04-25 15:00:00,2136.0,2136.0,1980.0,2136.0,0.0,205.0,437081.0,0
2021-04-26,2021-04-26 11:00:00,2178.0,2263.5,2178.0,2220.75,1.96,246.2,577479.8,1
2021-04-26,2021-04-26 12:00:00,2220.75,2263.5,2220.75,2263.5,1.93,246.2,577479.8,1
2021-04-26,2021-04-26 13:00:00,2263.5,2306.25,2263.5,2306.25,1.89,246.2,577479.8,1
2021-04-26,2021-04-26 14:00:00,2306.25,2349.0,2306.25,2349.0,1.85,246.2,577479.8,1
2021-04-26,2021-04-26 15:00:00,2349.0,2349.0,2178.0,2349.0,0.0,246.2,577479.8,0
2021-04-27,2021-04-27 11:00:00,2466.0,2524.5,2466.0,2495.25,1.19,278.0,717378.0,1
2021-04-27,2021-04-27 12:00:00,2495.25,2524.5,2495.25,2524.5,1.17,278.0,717378.0,1
2021-04-27,2021-04-27 13:00:00,2524.5,2553.75,2524.5,2553.75,1.16,278.0,717378.0,1
2021-04-27,2021-04-27 14:00:00,2553.75,2583.0,2553.75,2583.0,1.15,278.0,717378.0,1
2021-04-27,2021-04-27 15:00:00,2583.0,2583.0,2466.0,2583.0,0.0,278.0,717378.0,0
2021-04-28,2021-04-28 11:00:00,2712.0,2776.5,2712.0,2744.25,1.19,256.0,726590.0,1
2021-04-28,2021-04-28 12:00:00,2744.25,2776.5,2744.25,2776.5,1.18,256.0,726590.0,1
2021-04-28,2021-04-28 13:00:00,2776.5,2808.75,2776.5,2808.75,1.16,256.0,726590.0,1
2021-04-28,2021-04-28 14:00:00,2808.75,2841.0,2808.75,2841.0,1.15,256.0,726590.0,1
2021-04-28,2021-04-28 15:00:00,2841.0,2841.0,2712.0,2841.0,0.0,256.0,726590.0,0
2021-04-29,2021-04-29 11:00:00,2979.0,3052.0,2979.0,3015.5,1.23,370.0,1155728.0,1
2021-04-29,2021-04-29 12:00:00,3015.5,3052.0,3015.5,3052.0,1.21,370.0,1155728.0,1
2021-04-29,2021-04-29 13:00:00,3052.0,3088.5,3052.0,3088.5,1.2,370.0,1155728.0,1
2021-04-29,2021-04-29 14:00:00,3088.5,3125.0,3088.5,3125.0,1.18,370.0,1155728.0,1
2021-04-29,2021-04-29 15:00:00,3125.0,3125.0,2979.0,3125.0,0.0,370.0,1155728.0,0
2021-05-02,2021-05-02 11:00:00,3281.0,3359.0,3281.0,3320.0,1.19,362.0,1240311.0,1
2021-05-02,2021-05-02 12:00:00,3320.0,3359.0,3320.0,3359.0,1.17,362.0,1240311.0,1
2021-05-02,2021-05-02 13:00:00,3359.0,3398.0,3359.0,3398.0,1.16,362.0,1240311.0,1
2021-05-02,2021-05-02 14:00:00,3398.0,3437.0,3398.0,3437.0,1.15,362.0,1240311.0,1
2021-05-02,2021-05-02 15:00:00,3437.0,3437.0,3281.0,3437.0,0.0,362.0,1240311.0,0
2021-05-03,2021-05-03 11:00:00,3608.0,3694.0,3608.0,3651.0,1.19,484.0,1827890.0,1
2021-05-03,2021-05-03 12:00:00,3651.0,3694.0,3651.0,3694.0,1.18,484.0,1827890.0,1
2021-05-03,2021-05-03 13:00:00,3694.0,3737.0,3694.0,3737.0,1.16,484.0,1827890.0,1
2021-05-03,2021-05-03 14:00:00,3737.0,3780.0,3737.0,3780.0,1.15,484.0,1827890.0,1
2021-05-03,2021-05-03 15:00:00,3780.0,3780.0,3608.0,3780.0,0.0,484.0,1827890.0,0
2021-05-04,2021-05-04 11:00:00,3969.0,4063.5,3969.0,4016.25,1.19,486.0,2019358.0,1
2021-05-04,2021-05-04 12:00:00,4016.25,4063.5,4016.25,4063.5,1.18,486.0,2019358.0,1
2021-05-04,2021-05-04 13:00:00,4063.5,4110.75,4063.5,4110.75,1.16,486.0,2019358.0,1
2021-05-04,2021-05-04 14:00:00,4110.75,4158.0,4110.75,4158.0,1.15,486.0,2019358.0,1
2021-05-04,2021-05-04 15:00:00,4158.0,4158.0,3969.0,4158.0,0.0,486.0,2019358.0,0
2021-05-05,2021-05-05 11:00:00,4365.0,4469.0,4365.0,4417.0,1.19,449.0,2049789.0,1
2021-05-05,2021-05-05 12:00:00,4417.0,4469.0,4417.0,4469.0,1.18,449.0,2049789.0,1
2021-05-05,2021-05-05 13:00:00,4469.0,4521.0,4469.0,4521.0,1.16,449.0,2049789.0,1
2021-05-05,2021-05-05 14:00:00,4521.0,4573.0,4521.0,4573.0,1.15,449.0,2049789.0,1
2021-05-05,2021-05-05 15:00:00,4573.0,4573.0,4365.0,4573.0,0.0,449.0,2049789.0,0
2021-05-06,2021-05-06 11:00:00,4801.0,4915.5,4801.0,4858.25,1.19,2568.6,12916500.0,1
2021-05-06,2021-05-06 12:00:00,4858.25,4915.5,4858.25,4915.5,1.18,2568.6,12916500.0,1
2021-05-06,2021-05-06 13:00:00,4915.5,4972.75,4915.5,4972.75,1.16,2568.6,12916500.0,1
2021-05-06,2021-05-06 14:00:00,4972.75,5030.0,4972.75,5030.0,1.15,2568.6,12916500.0,1
2021-05-06,2021-05-06 15:00:00,5030.0,5030.0,4801.0,5030.0,0.0,2568.6,12916500.0,0
2021-05-09,2021-05-09 11:00:00,5281.0,5387.0,4904.0,5092.5,-3.57,10217.6,47354632.8,-1
2021-05-09,2021-05-09 12:00:00,5092.5,5092.5,4904.0,4904.0,-3.7,10217.6,47354632.8,-1
2021-05-09,2021-05-09 13:00:00,4904.0,4904.0,4715.5,4715.5,-3.84,10217.6,47354632.8,-1
2021-05-09,2021-05-09 14:00:00,4715.5,4715.5,4527.0,4527.0,-4.0,10217.6,47354632.8,-1
2021-05-09,2021-05-09 15:00:00,4527.0,5493.0,4527.0,4527.0,0.0,10217.6,47354632.8,0
2021-05-10,2021-05-10 11:00:00,4400.0,4622.5,4331.5,4475.0,1.7,5632.0,25062400.8,1
2021-05-10,2021-05-10 12:00:00,4475.0,4550.0,4475.0,4550.0,1.68,5632.0,25062400.8,1
2021-05-10,2021-05-10 13:00:00,4550.0,4625.0,4550.0,4625.0,1.65,5632.0,25062400.8,1
2021-05-10,2021-05-10 14:00:00,4625.0,4700.0,4625.0,4700.0,1.62,5632.0,25062400.8,1
2021-05-10,2021-05-10 15:00:00,4700.0,4845.0,4263.0,4700.0,0.0,5632.0,25062400.8,0
2021-05-11,2021-05-11 11:00:00,4700.0,4750.0,4675.0,4706.25,0.13,1394.2,6587187.6,1
2021-05-11,2021-05-11 12:00:00,4706.25,4712.5,4706.25,4712.5,0.13,1394.2,6587187.6,1
2021-05-11,2021-05-11 13:00:00,4712.5,4718.75,4712.5,4718.75,0.13,1394.2,6587187.6,1
2021-05-11,2021-05-11 14:00:00,4718.75,4725.0,4718.75,4725.0,0.13,1394.2,6587187.6,1
2021-05-11,2021-05-11 15:00:00,4725.0,4800.0,4650.0,4725.0,0.0,1394.2,6587187.6,0
2021-05-12,2021-05-12 11:00:00,4700.0,4700.0,4675.5,4692.5,-0.16,1263.2,5903633.4,-1
2021-05-12,2021-05-12 12:00:00,4692.5,4692.5,4685.0,4685.0,-0.16,1263.2,5903633.4,-1
2021-05-12,2021-05-12 13:00:00,4685.0,4685.0,4677.5,4677.5,-0.16,1263.2,5903633.4,-1
2021-05-12,2021-05-12 14:00:00,4677.5,4677.5,4670.0,4670.0,-0.16,1263.2,5903633.4,-1
2021-05-12,2021-05-12 15:00:00,4670.0,4700.0,4651.0,4670.0,0.0,1263.2,5903633.4,0
2021-05-13,2021-05-13 11:00:00,4670.0,4670.0,4627.0,4648.75,-0.46,1833.2,8445406.0,-1
2021-05-13,2021-05-13 12:00:00,4648.75,4648.75,4627.5,4627.5,-0.46,1833.2,8445406.0,-1
2021-05-13,2021-05-13 13:00:00,4627.5,4627.5,4606.25,4606.25,-0.46,1833.2,8445406.0,-1
