published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-18,2021-11-18 11:00:00,10.0,10.0,9.75,9.91,-0.9,12430.8,119842.3,-1
2021-11-18,2021-11-18 12:00:00,9.91,9.91,9.83,9.83,-0.81,12430.8,119842.3,-1
2021-11-18,2021-11-18 13:00:00,9.83,9.83,9.75,9.75,-0.81,12430.8,119842.3,-1
2021-11-18,2021-11-18 14:00:00,9.75,9.75,9.66,9.66,-0.92,12430.8,119842.3,-1
2021-11-18,2021-11-18 15:00:00,9.66,10.0,9.5,9.66,0.0,12430.8,119842.3,0
2021-11-21,2021-11-21 11:00:00,9.5,9.68,9.42,9.55,0.53,10794.0,103165.3,1
2021-11-21,2021-11-21 12:00:00,9.55,9.6,9.55,9.6,0.52,10794.0,103165.3,1
2021-11-21,2021-11-21 13:00:00,9.6,9.65,9.6,9.65,0.52,10794.0,103165.3,1
2021-11-21,2021-11-21 14:00:00,9.65,9.7,9.65,9.7,0.52,10794.0,103165.3,1
2021-11-21,2021-11-21 15:00:00,9.7,9.85,9.34,9.7,0.0,10794.0,103165.3,0
2021-11-22,2021-11-22 11:00:00,9.89,10.09,9.75,9.82,-0.71,7870.0,76853.6,-1
2021-11-22,2021-11-22 12:00:00,9.82,9.82,9.75,9.75,-0.71,7870.0,76853.6,-1
2021-11-22,2021-11-22 13:00:00,9.75,9.75,9.68,9.68,-0.72,7870.0,76853.6,-1
2021-11-22,2021-11-22 14:00:00,9.68,9.68,9.61,9.61,-0.72,7870.0,76853.6,-1
2021-11-22,2021-11-22 15:00:00,9.61,10.28,9.6,9.61,0.0,7870.0,76853.6,0
2021-11-23,2021-11-23 11:00:00,9.61,9.64,9.54,9.62,0.1,4630.0,44166.9,1
2021-11-23,2021-11-23 12:00:00,9.62,9.64,9.62,9.64,0.21,4630.0,44166.9,1
2021-11-23,2021-11-23 13:00:00,9.64,9.65,9.64,9.65,0.1,4630.0,44166.9,1
2021-11-23,2021-11-23 14:00:00,9.65,9.67,9.65,9.67,0.21,4630.0,44166.9,1
2021-11-23,2021-11-23 15:00:00,9.67,9.67,9.46,9.67,0.0,4630.0,44166.9,0
2021-11-24,2021-11-24 11:00:00,9.48,9.56,9.46,9.52,0.42,5992.0,56896.32,1
2021-11-24,2021-11-24 12:00:00,9.52,9.56,9.52,9.56,0.42,5992.0,56896.32,1
2021-11-24,2021-11-24 13:00:00,9.56,9.6,9.56,9.6,0.42,5992.0,56896.32,1
2021-11-24,2021-11-24 14:00:00,9.6,9.64,9.6,9.64,0.42,5992.0,56896.32,1
2021-11-24,2021-11-24 15:00:00,9.64,9.64,9.45,9.64,0.0,5992.0,56896.32,0
2021-11-25,2021-11-25 11:00:00,9.45,9.58,9.38,9.51,0.63,7782.0,74174.3,1
2021-11-25,2021-11-25 12:00:00,9.51,9.57,9.51,9.57,0.63,7782.0,74174.3,1
2021-11-25,2021-11-25 13:00:00,9.57,9.64,9.57,9.64,0.73,7782.0,74174.3,1
2021-11-25,2021-11-25 14:00:00,9.64,9.7,9.64,9.7,0.62,7782.0,74174.3,1
2021-11-25,2021-11-25 15:00:00,9.7,9.71,9.3,9.7,0.0,7782.0,74174.3,0
2021-11-28,2021-11-28 11:00:00,9.51,9.53,9.41,9.52,0.11,4540.0,42631.4,1
2021-11-28,2021-11-28 12:00:00,9.52,9.53,9.52,9.53,0.11,4540.0,42631.4,1
2021-11-28,2021-11-28 13:00:00,9.53,9.54,9.53,9.54,0.1,4540.0,42631.4,1
2021-11-28,2021-11-28 14:00:00,9.54,9.55,9.54,9.55,0.1,4540.0,42631.4,1
2021-11-28,2021-11-28 15:00:00,9.55,9.55,9.32,9.55,0.0,4540.0,42631.4,0
2021-11-29,2021-11-29 11:00:00,9.36,9.43,9.23,9.36,0.0,5514.2,51309.88,0
2021-11-29,2021-11-29 12:00:00,9.36,9.36,9.36,9.36,0.0,5514.2,51309.88,0
2021-11-29,2021-11-29 13:00:00,9.36,9.36,9.36,9.36,0.0,5514.2,51309.88,0
2021-11-29,2021-11-29 14:00:00,9.36,9.36,9.36,9.36,0.0,5514.2,51309.88,0
2021-11-29,2021-11-29 15:00:00,9.36,9.5,9.11,9.36,0.0,5514.2,51309.88,0
2021-11-30,2021-11-30 11:00:00,9.21,9.35,9.21,9.26,0.54,2340.0,21815.2,1
2021-11-30,2021-11-30 12:00:00,9.26,9.3,9.26,9.3,0.43,2340.0,21815.2,1
2021-11-30,2021-11-30 13:00:00,9.3,9.35,9.3,9.35,0.54,2340.0,21815.2,1
2021-11-30,2021-11-30 14:00:00,9.35,9.4,9.35,9.4,0.53,2340.0,21815.2,1
2021-11-30,2021-11-30 15:00:00,9.4,9.48,9.21,9.4,0.0,2340.0,21815.2,0
2021-12-01,2021-12-01 11:00:00,9.4,9.49,9.3,9.38,-0.21,6109.8,56881.12,-1
2021-12-01,2021-12-01 12:00:00,9.38,9.38,9.35,9.35,-0.32,6109.8,56881.12,-1
2021-12-01,2021-12-01 13:00:00,9.35,9.35,9.33,9.33,-0.21,6109.8,56881.12,-1
2021-12-01,2021-12-01 14:00:00,9.33,9.33,9.3,9.3,-0.32,6109.8,56881.12,-1
2021-12-01,2021-12-01 15:00:00,9.3,9.58,9.2,9.3,0.0,6109.8,56881.12,0
2021-12-02,2021-12-02 11:00:00,9.2,9.29,9.2,9.21,0.11,7020.0,64882.8,1
2021-12-02,2021-12-02 12:00:00,9.21,9.21,9.21,9.21,0.0,7020.0,64882.8,0
2021-12-02,2021-12-02 13:00:00,9.21,9.22,9.21,9.22,0.11,7020.0,64882.8,1
2021-12-02,2021-12-02 14:00:00,9.22,9.23,9.22,9.23,0.11,7020.0,64882.8,1
2021-12-02,2021-12-02 15:00:00,9.23,9.38,9.2,9.23,0.0,7020.0,64882.8,0
2021-12-05,2021-12-05 11:00:00,9.15,9.2,9.12,9.15,0.0,9120.0,83364.0,0
2021-12-05,2021-12-05 12:00:00,9.15,9.15,9.15,9.15,0.0,9120.0,83364.0,0
2021-12-05,2021-12-05 13:00:00,9.15,9.15,9.15,9.15,0.0,9120.0,83364.0,0
2021-12-05,2021-12-05 14:00:00,9.15,9.15,9.15,9.15,0.0,9120.0,83364.0,0
2021-12-05,2021-12-05 15:00:00,9.15,9.25,9.1,9.15,0.0,9120.0,83364.0,0
2021-12-06,2021-12-06 11:00:00,9.1,9.15,9.02,9.1,0.0,6590.0,60110.26,0
2021-12-06,2021-12-06 12:00:00,9.1,9.1,9.1,9.1,0.0,6590.0,60110.26,0
