published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-02-12,2012-02-12 11:00:00,0.0,207.5,0.0,103.75,0.0,2.0,830.0,1
2012-02-12,2012-02-12 12:00:00,103.75,207.5,103.75,207.5,100.0,2.0,830.0,1
2012-02-12,2012-02-12 13:00:00,207.5,311.25,207.5,311.25,50.0,2.0,830.0,1
2012-02-12,2012-02-12 14:00:00,311.25,415.0,311.25,415.0,33.33,2.0,830.0,1
2012-02-12,2012-02-12 15:00:00,415.0,415.0,415.0,415.0,0.0,2.0,830.0,0
2012-02-21,2012-02-21 11:00:00,415.0,415.0,403.5,409.25,-1.39,6.0,2368.0,-1
2012-02-21,2012-02-21 12:00:00,409.25,409.25,403.5,403.5,-1.41,6.0,2368.0,-1
2012-02-21,2012-02-21 13:00:00,403.5,403.5,397.75,397.75,-1.43,6.0,2368.0,-1
2012-02-21,2012-02-21 14:00:00,397.75,397.75,392.0,392.0,-1.45,6.0,2368.0,-1
2012-02-21,2012-02-21 15:00:00,392.0,400.0,392.0,392.0,0.0,6.0,2368.0,0
2012-03-06,2012-03-06 11:00:00,392.0,392.0,383.5,387.75,-1.08,2.0,750.0,-1
2012-03-06,2012-03-06 12:00:00,387.75,387.75,383.5,383.5,-1.1,2.0,750.0,-1
2012-03-06,2012-03-06 13:00:00,383.5,383.5,379.25,379.25,-1.11,2.0,750.0,-1
2012-03-06,2012-03-06 14:00:00,379.25,379.25,375.0,375.0,-1.12,2.0,750.0,-1
2012-03-06,2012-03-06 15:00:00,375.0,375.0,375.0,375.0,0.0,2.0,750.0,0
2012-04-08,2012-04-08 11:00:00,375.0,375.0,363.0,369.0,-1.6,4.0,1418.0,-1
2012-04-08,2012-04-08 12:00:00,369.0,369.0,363.0,363.0,-1.63,4.0,1418.0,-1
2012-04-08,2012-04-08 13:00:00,363.0,363.0,357.0,357.0,-1.65,4.0,1418.0,-1
2012-04-08,2012-04-08 14:00:00,357.0,357.0,351.0,351.0,-1.68,4.0,1418.0,-1
2012-04-08,2012-04-08 15:00:00,351.0,358.0,351.0,351.0,0.0,4.0,1418.0,0
