published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-16,2025-11-16 11:00:00,1000.0,1041.2,1000.0,1017.25,1.73,44.8,47590.42,1
2025-11-16,2025-11-16 12:00:00,1017.25,1034.5,1017.25,1034.5,1.7,44.8,47590.42,1
2025-11-16,2025-11-16 13:00:00,1034.5,1051.75,1034.5,1051.75,1.67,44.8,47590.42,1
2025-11-16,2025-11-16 14:00:00,1051.75,1069.0,1051.75,1069.0,1.64,44.8,47590.42,1
2025-11-16,2025-11-16 15:00:00,1069.0,1082.4,1000.0,1069.0,0.0,44.8,47590.42,0
2025-11-17,2025-11-17 11:00:00,1070.0,1070.0,1064.65,1069.6,-0.04,35.0,37308.0,-1
2025-11-17,2025-11-17 12:00:00,1069.6,1069.6,1069.2,1069.2,-0.04,35.0,37308.0,-1
2025-11-17,2025-11-17 13:00:00,1069.2,1069.2,1068.8,1068.8,-0.04,35.0,37308.0,-1
2025-11-17,2025-11-17 14:00:00,1068.8,1068.8,1068.4,1068.4,-0.04,35.0,37308.0,-1
2025-11-17,2025-11-17 15:00:00,1068.4,1070.0,1059.3,1068.4,0.0,35.0,37308.0,0
2025-11-18,2025-11-18 11:00:00,1065.0,1066.5,1064.55,1065.75,0.07,270.0,287782.5,1
2025-11-18,2025-11-18 12:00:00,1065.75,1066.5,1065.75,1066.5,0.07,270.0,287782.5,1
2025-11-18,2025-11-18 13:00:00,1066.5,1067.25,1066.5,1067.25,0.07,270.0,287782.5,1
2025-11-18,2025-11-18 14:00:00,1067.25,1068.0,1067.25,1068.0,0.07,270.0,287782.5,1
2025-11-18,2025-11-18 15:00:00,1068.0,1068.0,1064.1,1068.0,0.0,270.0,287782.5,0
2025-11-19,2025-11-19 11:00:00,1057.0,1061.0,1056.55,1058.28,0.12,46.8,49626.18,1
2025-11-19,2025-11-19 12:00:00,1058.28,1059.55,1058.28,1059.55,0.12,46.8,49626.18,1
2025-11-19,2025-11-19 13:00:00,1059.55,1060.82,1059.55,1060.82,0.12,46.8,49626.18,1
2025-11-19,2025-11-19 14:00:00,1060.82,1062.1,1060.82,1062.1,0.12,46.8,49626.18,1
2025-11-19,2025-11-19 15:00:00,1062.1,1065.0,1056.1,1062.1,0.0,46.8,49626.18,0
2025-11-20,2025-11-20 11:00:00,1067.0,1067.0,1065.0,1066.25,-0.07,40.0,42585.0,-1
2025-11-20,2025-11-20 12:00:00,1066.25,1066.25,1065.5,1065.5,-0.07,40.0,42585.0,-1
2025-11-20,2025-11-20 13:00:00,1065.5,1065.5,1064.75,1064.75,-0.07,40.0,42585.0,-1
2025-11-20,2025-11-20 14:00:00,1064.75,1064.75,1064.0,1064.0,-0.07,40.0,42585.0,-1
2025-11-20,2025-11-20 15:00:00,1064.0,1067.0,1063.0,1064.0,0.0,40.0,42585.0,0
2025-11-23,2025-11-23 11:00:00,1066.0,1076.25,1058.0,1071.12,0.48,397.8,430470.9,1
2025-11-23,2025-11-23 12:00:00,1071.12,1076.25,1071.12,1076.25,0.48,397.8,430470.9,1
2025-11-23,2025-11-23 13:00:00,1076.25,1081.38,1076.25,1081.38,0.48,397.8,430470.9,1
2025-11-23,2025-11-23 14:00:00,1081.38,1086.5,1081.38,1086.5,0.47,397.8,430470.9,1
2025-11-23,2025-11-23 15:00:00,1086.5,1086.5,1050.0,1086.5,0.0,397.8,430470.9,0
2025-11-24,2025-11-24 11:00:00,1071.2,1071.2,1066.1,1068.65,-0.24,35.2,37653.22,-1
2025-11-24,2025-11-24 12:00:00,1068.65,1068.65,1066.1,1066.1,-0.24,35.2,37653.22,-1
2025-11-24,2025-11-24 13:00:00,1066.1,1066.1,1063.55,1063.55,-0.24,35.2,37653.22,-1
2025-11-24,2025-11-24 14:00:00,1063.55,1063.55,1061.0,1061.0,-0.24,35.2,37653.22,-1
2025-11-24,2025-11-24 15:00:00,1061.0,1071.2,1061.0,1061.0,0.0,35.2,37653.22,0
2025-11-25,2025-11-25 11:00:00,1070.0,1070.0,1066.05,1068.03,-0.18,66.0,70492.6,-1
2025-11-25,2025-11-25 12:00:00,1068.03,1068.03,1066.05,1066.05,-0.19,66.0,70492.6,-1
2025-11-25,2025-11-25 13:00:00,1066.05,1066.05,1064.07,1064.07,-0.19,66.0,70492.6,-1
2025-11-25,2025-11-25 14:00:00,1064.07,1064.07,1062.1,1062.1,-0.19,66.0,70492.6,-1
2025-11-25,2025-11-25 15:00:00,1062.1,1070.0,1062.1,1062.1,0.0,66.0,70492.6,0
2025-11-26,2025-11-26 11:00:00,1068.0,1068.0,1068.0,1068.0,0.0,3.0,3204.0,0
2025-11-26,2025-11-26 12:00:00,1068.0,1068.0,1068.0,1068.0,0.0,3.0,3204.0,0
2025-11-26,2025-11-26 13:00:00,1068.0,1068.0,1068.0,1068.0,0.0,3.0,3204.0,0
2025-11-26,2025-11-26 14:00:00,1068.0,1068.0,1068.0,1068.0,0.0,3.0,3204.0,0
2025-11-26,2025-11-26 15:00:00,1068.0,1068.0,1068.0,1068.0,0.0,3.0,3204.0,0
2025-11-27,2025-11-27 11:00:00,1069.1,1074.55,1069.1,1071.82,0.25,71.6,77136.84,1
2025-11-27,2025-11-27 12:00:00,1071.82,1074.55,1071.82,1074.55,0.25,71.6,77136.84,1
2025-11-27,2025-11-27 13:00:00,1074.55,1077.28,1074.55,1077.28,0.25,71.6,77136.84,1
2025-11-27,2025-11-27 14:00:00,1077.28,1080.0,1077.28,1080.0,0.25,71.6,77136.84,1
2025-11-27,2025-11-27 15:00:00,1080.0,1080.0,1069.1,1080.0,0.0,71.6,77136.84,0
2025-11-30,2025-11-30 11:00:00,1087.0,1093.2,1082.5,1090.1,0.29,216.8,235788.84,1
2025-11-30,2025-11-30 12:00:00,1090.1,1093.2,1090.1,1093.2,0.28,216.8,235788.84,1
2025-11-30,2025-11-30 13:00:00,1093.2,1096.3,1093.2,1096.3,0.28,216.8,235788.84,1
2025-11-30,2025-11-30 14:00:00,1096.3,1099.4,1096.3,1099.4,0.28,216.8,235788.84,1
2025-11-30,2025-11-30 15:00:00,1099.4,1099.4,1078.0,1099.4,0.0,216.8,235788.84,0
2025-12-01,2025-12-01 11:00:00,1087.0,1087.0,1080.5,1083.75,-0.3,65.0,70590.0,-1
2025-12-01,2025-12-01 12:00:00,1083.75,1083.75,1080.5,1080.5,-0.3,65.0,70590.0,-1
2025-12-01,2025-12-01 13:00:00,1080.5,1080.5,1077.25,1077.25,-0.3,65.0,70590.0,-1
2025-12-01,2025-12-01 14:00:00,1077.25,1077.25,1074.0,1074.0,-0.3,65.0,70590.0,-1
2025-12-01,2025-12-01 15:00:00,1074.0,1087.0,1074.0,1074.0,0.0,65.0,70590.0,0
2025-12-02,2025-12-02 11:00:00,1076.6,1076.6,1076.6,1076.6,0.0,6.0,6459.6,0
2025-12-02,2025-12-02 12:00:00,1076.6,1076.6,1076.6,1076.6,0.0,6.0,6459.6,0
2025-12-02,2025-12-02 13:00:00,1076.6,1076.6,1076.6,1076.6,0.0,6.0,6459.6,0
2025-12-02,2025-12-02 14:00:00,1076.6,1076.6,1076.6,1076.6,0.0,6.0,6459.6,0
2025-12-02,2025-12-02 15:00:00,1076.6,1076.6,1076.6,1076.6,0.0,6.0,6459.6,0
