published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-08-11,2021-08-11 11:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2021-08-11,2021-08-11 12:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2021-08-11,2021-08-11 13:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2021-08-11,2021-08-11 14:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2021-08-11,2021-08-11 15:00:00,1000.0,1000.0,1000.0,1000.0,0.0,2.0,2000.0,0
2021-08-12,2021-08-12 11:00:00,998.0,1001.5,998.0,999.75,0.18,45.0,45190.0,1
2021-08-12,2021-08-12 12:00:00,999.75,1001.5,999.75,1001.5,0.18,45.0,45190.0,1
2021-08-12,2021-08-12 13:00:00,1001.5,1003.25,1001.5,1003.25,0.17,45.0,45190.0,1
2021-08-12,2021-08-12 14:00:00,1003.25,1005.0,1003.25,1005.0,0.17,45.0,45190.0,1
2021-08-12,2021-08-12 15:00:00,1005.0,1005.0,998.0,1005.0,0.0,45.0,45190.0,0
2021-08-15,2021-08-15 11:00:00,984.9,992.45,984.9,988.67,0.38,52.0,51849.8,1
2021-08-15,2021-08-15 12:00:00,988.67,992.45,988.67,992.45,0.38,52.0,51849.8,1
2021-08-15,2021-08-15 13:00:00,992.45,996.23,992.45,996.23,0.38,52.0,51849.8,1
2021-08-15,2021-08-15 14:00:00,996.23,1000.0,996.23,1000.0,0.38,52.0,51849.8,1
2021-08-15,2021-08-15 15:00:00,1000.0,1000.0,984.9,1000.0,0.0,52.0,51849.8,0
2021-08-16,2021-08-16 11:00:00,995.1,998.15,995.1,996.62,0.15,16.0,15987.5,1
2021-08-16,2021-08-16 12:00:00,996.62,998.15,996.62,998.15,0.15,16.0,15987.5,1
2021-08-16,2021-08-16 13:00:00,998.15,999.68,998.15,999.68,0.15,16.0,15987.5,1
2021-08-16,2021-08-16 14:00:00,999.68,1001.2,999.68,1001.2,0.15,16.0,15987.5,1
2021-08-16,2021-08-16 15:00:00,1001.2,1001.2,995.1,1001.2,0.0,16.0,15987.5,0
2021-08-17,2021-08-17 11:00:00,1003.0,1011.5,1003.0,1007.25,0.42,157.2,158569.52,1
2021-08-17,2021-08-17 12:00:00,1007.25,1011.5,1007.25,1011.5,0.42,157.2,158569.52,1
2021-08-17,2021-08-17 13:00:00,1011.5,1015.75,1011.5,1015.75,0.42,157.2,158569.52,1
2021-08-17,2021-08-17 14:00:00,1015.75,1020.0,1015.75,1020.0,0.42,157.2,158569.52,1
2021-08-17,2021-08-17 15:00:00,1020.0,1020.0,1003.0,1020.0,0.0,157.2,158569.52,0
2021-08-18,2021-08-18 11:00:00,1007.0,1007.5,1006.65,1006.83,-0.02,60.0,60439.8,-1
2021-08-18,2021-08-18 12:00:00,1006.83,1006.83,1006.65,1006.65,-0.02,60.0,60439.8,-1
2021-08-18,2021-08-18 13:00:00,1006.65,1006.65,1006.47,1006.47,-0.02,60.0,60439.8,-1
2021-08-18,2021-08-18 14:00:00,1006.47,1006.47,1006.3,1006.3,-0.02,60.0,60439.8,-1
2021-08-18,2021-08-18 15:00:00,1006.3,1008.0,1006.3,1006.3,0.0,60.0,60439.8,0
2021-08-19,2021-08-19 11:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2021-08-19,2021-08-19 12:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2021-08-19,2021-08-19 13:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2021-08-19,2021-08-19 14:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2021-08-19,2021-08-19 15:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2021-08-24,2021-08-24 11:00:00,1006.0,1006.25,1006.0,1006.12,0.01,66.0,66399.5,1
2021-08-24,2021-08-24 12:00:00,1006.12,1006.25,1006.12,1006.25,0.01,66.0,66399.5,1
2021-08-24,2021-08-24 13:00:00,1006.25,1006.38,1006.25,1006.38,0.01,66.0,66399.5,1
2021-08-24,2021-08-24 14:00:00,1006.38,1006.5,1006.38,1006.5,0.01,66.0,66399.5,1
2021-08-24,2021-08-24 15:00:00,1006.5,1006.5,1006.0,1006.5,0.0,66.0,66399.5,0
2021-08-25,2021-08-25 11:00:00,1006.0,1006.15,1006.0,1006.08,0.01,65.0,65406.5,1
2021-08-25,2021-08-25 12:00:00,1006.08,1006.15,1006.08,1006.15,0.01,65.0,65406.5,1
2021-08-25,2021-08-25 13:00:00,1006.15,1006.22,1006.15,1006.22,0.01,65.0,65406.5,1
2021-08-25,2021-08-25 14:00:00,1006.22,1006.3,1006.22,1006.3,0.01,65.0,65406.5,1
2021-08-25,2021-08-25 15:00:00,1006.3,1006.3,1006.0,1006.3,0.0,65.0,65406.5,0
2021-08-26,2021-08-26 11:00:00,1026.0,1026.0,1026.0,1026.0,0.0,5.0,5130.0,0
2021-08-26,2021-08-26 12:00:00,1026.0,1026.0,1026.0,1026.0,0.0,5.0,5130.0,0
2021-08-26,2021-08-26 13:00:00,1026.0,1026.0,1026.0,1026.0,0.0,5.0,5130.0,0
2021-08-26,2021-08-26 14:00:00,1026.0,1026.0,1026.0,1026.0,0.0,5.0,5130.0,0
2021-08-26,2021-08-26 15:00:00,1026.0,1026.0,1026.0,1026.0,0.0,5.0,5130.0,0
2021-08-29,2021-08-29 11:00:00,1006.5,1006.5,1006.5,1006.5,0.0,5.0,5032.5,0
2021-08-29,2021-08-29 12:00:00,1006.5,1006.5,1006.5,1006.5,0.0,5.0,5032.5,0
2021-08-29,2021-08-29 13:00:00,1006.5,1006.5,1006.5,1006.5,0.0,5.0,5032.5,0
2021-08-29,2021-08-29 14:00:00,1006.5,1006.5,1006.5,1006.5,0.0,5.0,5032.5,0
2021-08-29,2021-08-29 15:00:00,1006.5,1006.5,1006.5,1006.5,0.0,5.0,5032.5,0
2021-08-31,2021-08-31 11:00:00,1007.0,1007.0,1007.0,1007.0,0.0,20.0,20140.0,0
2021-08-31,2021-08-31 12:00:00,1007.0,1007.0,1007.0,1007.0,0.0,20.0,20140.0,0
2021-08-31,2021-08-31 13:00:00,1007.0,1007.0,1007.0,1007.0,0.0,20.0,20140.0,0
2021-08-31,2021-08-31 14:00:00,1007.0,1007.0,1007.0,1007.0,0.0,20.0,20140.0,0
