published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-07-01,2012-07-01 11:00:00,119.0,119.0,118.0,118.5,-0.42,10.0,1170.0,-1
2012-07-01,2012-07-01 12:00:00,118.5,118.5,118.0,118.0,-0.42,10.0,1170.0,-1
2012-07-01,2012-07-01 13:00:00,118.0,118.0,117.5,117.5,-0.42,10.0,1170.0,-1
2012-07-01,2012-07-01 14:00:00,117.5,117.5,117.0,117.0,-0.43,10.0,1170.0,-1
2012-07-01,2012-07-01 15:00:00,117.0,117.0,117.0,117.0,0.0,10.0,1170.0,0
2012-07-12,2012-07-12 11:00:00,117.0,117.0,116.0,116.5,-0.43,118.6,13639.0,-1
2012-07-12,2012-07-12 12:00:00,116.5,116.5,116.0,116.0,-0.43,118.6,13639.0,-1
2012-07-12,2012-07-12 13:00:00,116.0,116.0,115.5,115.5,-0.43,118.6,13639.0,-1
2012-07-12,2012-07-12 14:00:00,115.5,115.5,115.0,115.0,-0.43,118.6,13639.0,-1
2012-07-12,2012-07-12 15:00:00,115.0,115.0,115.0,115.0,0.0,118.6,13639.0,0
2012-07-26,2012-07-26 11:00:00,115.0,115.0,114.0,114.5,-0.43,24.6,2779.8,-1
2012-07-26,2012-07-26 12:00:00,114.5,114.5,114.0,114.0,-0.44,24.6,2779.8,-1
2012-07-26,2012-07-26 13:00:00,114.0,114.0,113.5,113.5,-0.44,24.6,2779.8,-1
2012-07-26,2012-07-26 14:00:00,113.5,113.5,113.0,113.0,-0.44,24.6,2779.8,-1
2012-07-26,2012-07-26 15:00:00,113.0,113.0,113.0,113.0,0.0,24.6,2779.8,0
2012-07-30,2012-07-30 11:00:00,113.0,113.0,110.0,111.5,-1.33,29.6,3201.6,-1
2012-07-30,2012-07-30 12:00:00,111.5,111.5,110.0,110.0,-1.35,29.6,3201.6,-1
2012-07-30,2012-07-30 13:00:00,110.0,110.0,108.5,108.5,-1.36,29.6,3201.6,-1
2012-07-30,2012-07-30 14:00:00,108.5,108.5,107.0,107.0,-1.38,29.6,3201.6,-1
2012-07-30,2012-07-30 15:00:00,107.0,111.0,107.0,107.0,0.0,29.6,3201.6,0
2012-08-01,2012-08-01 11:00:00,107.0,107.0,105.0,106.0,-0.93,14.0,1450.0,-1
2012-08-01,2012-08-01 12:00:00,106.0,106.0,105.0,105.0,-0.94,14.0,1450.0,-1
2012-08-01,2012-08-01 13:00:00,105.0,105.0,104.0,104.0,-0.95,14.0,1450.0,-1
2012-08-01,2012-08-01 14:00:00,104.0,104.0,103.0,103.0,-0.96,14.0,1450.0,-1
2012-08-01,2012-08-01 15:00:00,103.0,105.0,103.0,103.0,0.0,14.0,1450.0,0
2012-08-06,2012-08-06 11:00:00,103.0,103.0,101.5,102.25,-0.73,80.0,8020.0,-1
2012-08-06,2012-08-06 12:00:00,102.25,102.25,101.5,101.5,-0.73,80.0,8020.0,-1
2012-08-06,2012-08-06 13:00:00,101.5,101.5,100.75,100.75,-0.74,80.0,8020.0,-1
2012-08-06,2012-08-06 14:00:00,100.75,100.75,100.0,100.0,-0.74,80.0,8020.0,-1
2012-08-06,2012-08-06 15:00:00,100.0,101.0,100.0,100.0,0.0,80.0,8020.0,0
2012-08-12,2012-08-12 11:00:00,100.0,100.0,99.0,99.5,-0.5,46.0,4508.0,-1
2012-08-12,2012-08-12 12:00:00,99.5,99.5,99.0,99.0,-0.5,46.0,4508.0,-1
2012-08-12,2012-08-12 13:00:00,99.0,99.0,98.5,98.5,-0.51,46.0,4508.0,-1
2012-08-12,2012-08-12 14:00:00,98.5,98.5,98.0,98.0,-0.51,46.0,4508.0,-1
2012-08-12,2012-08-12 15:00:00,98.0,98.0,98.0,98.0,0.0,46.0,4508.0,0
2012-08-13,2012-08-13 11:00:00,98.0,98.0,97.0,97.5,-0.51,100.0,9640.0,-1
2012-08-13,2012-08-13 12:00:00,97.5,97.5,97.0,97.0,-0.51,100.0,9640.0,-1
2012-08-13,2012-08-13 13:00:00,97.0,97.0,96.5,96.5,-0.52,100.0,9640.0,-1
2012-08-13,2012-08-13 14:00:00,96.5,96.5,96.0,96.0,-0.52,100.0,9640.0,-1
2012-08-13,2012-08-13 15:00:00,96.0,97.0,96.0,96.0,0.0,100.0,9640.0,0
2012-08-14,2012-08-14 11:00:00,96.0,96.5,96.0,96.25,0.26,71.6,6903.2,1
2012-08-14,2012-08-14 12:00:00,96.25,96.5,96.25,96.5,0.26,71.6,6903.2,1
2012-08-14,2012-08-14 13:00:00,96.5,96.75,96.5,96.75,0.26,71.6,6903.2,1
2012-08-14,2012-08-14 14:00:00,96.75,97.0,96.75,97.0,0.26,71.6,6903.2,1
2012-08-14,2012-08-14 15:00:00,97.0,97.0,96.0,97.0,0.0,71.6,6903.2,0
2012-08-22,2012-08-22 11:00:00,97.0,97.0,96.0,96.5,-0.52,187.4,17901.4,-1
2012-08-22,2012-08-22 12:00:00,96.5,96.5,96.0,96.0,-0.52,187.4,17901.4,-1
2012-08-22,2012-08-22 13:00:00,96.0,96.0,95.5,95.5,-0.52,187.4,17901.4,-1
2012-08-22,2012-08-22 14:00:00,95.5,95.5,95.0,95.0,-0.52,187.4,17901.4,-1
2012-08-22,2012-08-22 15:00:00,95.0,96.0,95.0,95.0,0.0,187.4,17901.4,0
2012-08-29,2012-08-29 11:00:00,95.0,95.0,94.5,94.75,-0.26,10.0,940.0,-1
2012-08-29,2012-08-29 12:00:00,94.75,94.75,94.5,94.5,-0.26,10.0,940.0,-1
2012-08-29,2012-08-29 13:00:00,94.5,94.5,94.25,94.25,-0.26,10.0,940.0,-1
2012-08-29,2012-08-29 14:00:00,94.25,94.25,94.0,94.0,-0.27,10.0,940.0,-1
2012-08-29,2012-08-29 15:00:00,94.0,94.0,94.0,94.0,0.0,10.0,940.0,0
2012-08-30,2012-08-30 11:00:00,94.0,94.0,91.5,92.75,-1.33,235.8,21264.2,-1
2012-08-30,2012-08-30 12:00:00,92.75,92.75,91.5,91.5,-1.35,235.8,21264.2,-1
2012-08-30,2012-08-30 13:00:00,91.5,91.5,90.25,90.25,-1.37,235.8,21264.2,-1
2012-08-30,2012-08-30 14:00:00,90.25,90.25,89.0,89.0,-1.39,235.8,21264.2,-1
2012-08-30,2012-08-30 15:00:00,89.0,93.0,89.0,89.0,0.0,235.8,21264.2,0
2012-09-05,2012-09-05 11:00:00,89.0,89.0,88.5,88.75,-0.28,11.6,1020.8,-1
2012-09-05,2012-09-05 12:00:00,88.75,88.75,88.5,88.5,-0.28,11.6,1020.8,-1
2012-09-05,2012-09-05 13:00:00,88.5,88.5,88.25,88.25,-0.28,11.6,1020.8,-1
