published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-27,2021-06-27 11:00:00,10.0,10.32,10.0,10.04,0.4,9520.0,97671.24,1
2021-06-27,2021-06-27 12:00:00,10.04,10.09,10.04,10.09,0.5,9520.0,97671.24,1
2021-06-27,2021-06-27 13:00:00,10.09,10.13,10.09,10.13,0.4,9520.0,97671.24,1
2021-06-27,2021-06-27 14:00:00,10.13,10.17,10.13,10.17,0.39,9520.0,97671.24,1
2021-06-27,2021-06-27 15:00:00,10.17,10.65,10.0,10.17,0.0,9520.0,97671.24,0
2021-06-28,2021-06-28 11:00:00,10.1,10.15,10.05,10.1,0.0,5340.0,53839.6,0
2021-06-28,2021-06-28 12:00:00,10.1,10.1,10.1,10.1,0.0,5340.0,53839.6,0
2021-06-28,2021-06-28 13:00:00,10.1,10.1,10.1,10.1,0.0,5340.0,53839.6,0
2021-06-28,2021-06-28 14:00:00,10.1,10.1,10.1,10.1,0.0,5340.0,53839.6,0
2021-06-28,2021-06-28 15:00:00,10.1,10.2,10.0,10.1,0.0,5340.0,53839.6,0
2021-06-29,2021-06-29 11:00:00,10.1,10.12,10.07,10.09,-0.1,1776.0,17878.46,-1
2021-06-29,2021-06-29 12:00:00,10.09,10.09,10.08,10.08,-0.1,1776.0,17878.46,-1
2021-06-29,2021-06-29 13:00:00,10.08,10.08,10.07,10.07,-0.1,1776.0,17878.46,-1
2021-06-29,2021-06-29 14:00:00,10.07,10.07,10.06,10.06,-0.1,1776.0,17878.46,-1
2021-06-29,2021-06-29 15:00:00,10.06,10.15,10.05,10.06,0.0,1776.0,17878.46,0
2021-06-30,2021-06-30 11:00:00,10.01,10.03,10.01,10.02,0.1,1920.0,19240.4,1
2021-06-30,2021-06-30 12:00:00,10.02,10.03,10.02,10.03,0.1,1920.0,19240.4,1
2021-06-30,2021-06-30 13:00:00,10.03,10.04,10.03,10.04,0.1,1920.0,19240.4,1
2021-06-30,2021-06-30 14:00:00,10.04,10.05,10.04,10.05,0.1,1920.0,19240.4,1
2021-06-30,2021-06-30 15:00:00,10.05,10.05,10.01,10.05,0.0,1920.0,19240.4,0
2021-07-01,2021-07-01 11:00:00,10.03,10.06,9.99,10.02,-0.1,7260.0,72728.37,-1
2021-07-01,2021-07-01 12:00:00,10.02,10.02,10.02,10.02,0.0,7260.0,72728.37,0
2021-07-01,2021-07-01 13:00:00,10.02,10.02,10.01,10.01,-0.1,7260.0,72728.37,-1
2021-07-01,2021-07-01 14:00:00,10.01,10.01,10.0,10.0,-0.1,7260.0,72728.37,-1
2021-07-01,2021-07-01 15:00:00,10.0,10.1,9.95,10.0,0.0,7260.0,72728.37,0
2021-07-04,2021-07-04 11:00:00,10.0,10.02,9.96,10.0,0.0,3760.0,37591.1,0
2021-07-04,2021-07-04 12:00:00,10.0,10.0,10.0,10.0,0.0,3760.0,37591.1,0
2021-07-04,2021-07-04 13:00:00,10.0,10.0,9.99,9.99,-0.1,3760.0,37591.1,-1
2021-07-04,2021-07-04 14:00:00,9.99,9.99,9.99,9.99,0.0,3760.0,37591.1,0
2021-07-04,2021-07-04 15:00:00,9.99,10.04,9.91,9.99,0.0,3760.0,37591.1,0
2021-07-05,2021-07-05 11:00:00,9.98,10.04,9.98,10.01,0.3,25550.0,257121.64,1
2021-07-05,2021-07-05 12:00:00,10.01,10.04,10.01,10.04,0.3,25550.0,257121.64,1
2021-07-05,2021-07-05 13:00:00,10.04,10.07,10.04,10.07,0.3,25550.0,257121.64,1
2021-07-05,2021-07-05 14:00:00,10.07,10.1,10.07,10.1,0.3,25550.0,257121.64,1
2021-07-05,2021-07-05 15:00:00,10.1,10.1,9.98,10.1,0.0,25550.0,257121.64,0
2021-07-06,2021-07-06 11:00:00,10.0,10.0,9.96,10.0,0.0,2740.0,27395.0,0
2021-07-06,2021-07-06 12:00:00,10.0,10.0,10.0,10.0,0.0,2740.0,27395.0,0
2021-07-06,2021-07-06 13:00:00,10.0,10.0,10.0,10.0,0.0,2740.0,27395.0,0
2021-07-06,2021-07-06 14:00:00,10.0,10.0,10.0,10.0,0.0,2740.0,27395.0,0
2021-07-06,2021-07-06 15:00:00,10.0,10.0,9.91,10.0,0.0,2740.0,27395.0,0
2021-07-07,2021-07-07 11:00:00,10.0,10.0,9.95,10.0,0.0,2978.0,29739.52,0
2021-07-07,2021-07-07 12:00:00,10.0,10.0,10.0,10.0,0.0,2978.0,29739.52,0
2021-07-07,2021-07-07 13:00:00,10.0,10.0,10.0,10.0,0.0,2978.0,29739.52,0
2021-07-07,2021-07-07 14:00:00,10.0,10.0,10.0,10.0,0.0,2978.0,29739.52,0
2021-07-07,2021-07-07 15:00:00,10.0,10.0,9.89,10.0,0.0,2978.0,29739.52,0
2021-07-08,2021-07-08 11:00:00,9.9,9.95,9.9,9.93,0.3,1150.0,11481.2,1
2021-07-08,2021-07-08 12:00:00,9.93,9.95,9.93,9.95,0.2,1150.0,11481.2,1
2021-07-08,2021-07-08 13:00:00,9.95,9.97,9.95,9.97,0.2,1150.0,11481.2,1
2021-07-08,2021-07-08 14:00:00,9.97,10.0,9.97,10.0,0.3,1150.0,11481.2,1
2021-07-08,2021-07-08 15:00:00,10.0,10.0,9.9,10.0,0.0,1150.0,11481.2,0
2021-07-11,2021-07-11 11:00:00,9.9,9.96,9.9,9.93,0.3,1664.0,16576.78,1
2021-07-11,2021-07-11 12:00:00,9.93,9.96,9.93,9.96,0.3,1664.0,16576.78,1
2021-07-11,2021-07-11 13:00:00,9.96,9.98,9.96,9.98,0.2,1664.0,16576.78,1
2021-07-11,2021-07-11 14:00:00,9.98,10.01,9.98,10.01,0.3,1664.0,16576.78,1
2021-07-11,2021-07-11 15:00:00,10.01,10.01,9.9,10.01,0.0,1664.0,16576.78,0
2021-07-12,2021-07-12 11:00:00,10.01,10.03,9.93,9.99,-0.2,5710.0,56927.1,-1
2021-07-12,2021-07-12 12:00:00,9.99,9.99,9.97,9.97,-0.2,5710.0,56927.1,-1
2021-07-12,2021-07-12 13:00:00,9.97,9.97,9.96,9.96,-0.1,5710.0,56927.1,-1
2021-07-12,2021-07-12 14:00:00,9.96,9.96,9.94,9.94,-0.2,5710.0,56927.1,-1
2021-07-12,2021-07-12 15:00:00,9.94,10.05,9.86,9.94,0.0,5710.0,56927.1,0
2021-07-13,2021-07-13 11:00:00,9.75,9.93,9.75,9.82,0.72,2780.0,27871.8,1
2021-07-13,2021-07-13 12:00:00,9.82,9.89,9.82,9.89,0.71,2780.0,27871.8,1
2021-07-13,2021-07-13 13:00:00,9.89,9.96,9.89,9.96,0.71,2780.0,27871.8,1
2021-07-13,2021-07-13 14:00:00,9.96,10.03,9.96,10.03,0.7,2780.0,27871.8,1
2021-07-13,2021-07-13 15:00:00,10.03,10.1,9.75,10.03,0.0,2780.0,27871.8,0
2021-07-14,2021-07-14 11:00:00,9.83,9.98,9.83,9.88,0.51,5060.0,50853.0,1
2021-07-14,2021-07-14 12:00:00,9.88,9.93,9.88,9.93,0.51,5060.0,50853.0,1
2021-07-14,2021-07-14 13:00:00,9.93,9.98,9.93,9.98,0.5,5060.0,50853.0,1
2021-07-14,2021-07-14 14:00:00,9.98,10.03,9.98,10.03,0.5,5060.0,50853.0,1
2021-07-14,2021-07-14 15:00:00,10.03,10.13,9.83,10.03,0.0,5060.0,50853.0,0
2021-07-15,2021-07-15 11:00:00,10.1,10.46,10.05,10.28,1.78,12814.0,130296.82,1
2021-07-15,2021-07-15 12:00:00,10.28,10.46,10.28,10.46,1.75,12814.0,130296.82,1
2021-07-15,2021-07-15 13:00:00,10.46,10.63,10.46,10.63,1.63,12814.0,130296.82,1
2021-07-15,2021-07-15 14:00:00,10.63,10.81,10.63,10.81,1.69,12814.0,130296.82,1
2021-07-15,2021-07-15 15:00:00,10.81,10.81,10.0,10.81,0.0,12814.0,130296.82,0
2021-07-18,2021-07-18 11:00:00,10.6,10.6,10.32,10.51,-0.85,11759.2,119836.46,-1
2021-07-18,2021-07-18 12:00:00,10.51,10.51,10.41,10.41,-0.95,11759.2,119836.46,-1
2021-07-18,2021-07-18 13:00:00,10.41,10.41,10.32,10.32,-0.86,11759.2,119836.46,-1
2021-07-18,2021-07-18 14:00:00,10.32,10.32,10.23,10.23,-0.87,11759.2,119836.46,-1
2021-07-18,2021-07-18 15:00:00,10.23,10.6,10.04,10.23,0.0,11759.2,119836.46,0
2021-07-19,2021-07-19 11:00:00,10.03,10.09,10.03,10.06,0.3,7932.0,79962.63,1
2021-07-19,2021-07-19 12:00:00,10.06,10.09,10.06,10.09,0.3,7932.0,79962.63,1
2021-07-19,2021-07-19 13:00:00,10.09,10.12,10.09,10.12,0.3,7932.0,79962.63,1
2021-07-19,2021-07-19 14:00:00,10.12,10.15,10.12,10.15,0.3,7932.0,79962.63,1
2021-07-19,2021-07-19 15:00:00,10.15,10.15,10.03,10.15,0.0,7932.0,79962.63,0
2021-07-20,2021-07-20 11:00:00,10.02,10.41,10.02,10.14,1.2,104983.0,1091805.33,1
2021-07-20,2021-07-20 12:00:00,10.14,10.26,10.14,10.26,1.18,104983.0,1091805.33,1
2021-07-20,2021-07-20 13:00:00,10.26,10.38,10.26,10.38,1.17,104983.0,1091805.33,1
2021-07-20,2021-07-20 14:00:00,10.38,10.5,10.38,10.5,1.16,104983.0,1091805.33,1
2021-07-20,2021-07-20 15:00:00,10.5,10.8,10.02,10.5,0.0,104983.0,1091805.33,0
2021-07-22,2021-07-22 11:00:00,10.71,11.07,10.71,10.8,0.84,265633.0,2931413.07,1
2021-07-22,2021-07-22 12:00:00,10.8,10.9,10.8,10.9,0.93,265633.0,2931413.07,1
2021-07-22,2021-07-22 13:00:00,10.9,11.0,10.9,11.0,0.92,265633.0,2931413.07,1
2021-07-22,2021-07-22 14:00:00,11.0,11.09,11.0,11.09,0.82,265633.0,2931413.07,1
2021-07-22,2021-07-22 15:00:00,11.09,11.42,10.7,11.09,0.0,265633.0,2931413.07,0
2021-07-25,2021-07-25 11:00:00,10.87,10.95,10.76,10.89,0.18,37928.0,411069.81,1
2021-07-25,2021-07-25 12:00:00,10.89,10.92,10.89,10.92,0.28,37928.0,411069.81,1
2021-07-25,2021-07-25 13:00:00,10.92,10.95,10.92,10.95,0.27,37928.0,411069.81,1
2021-07-25,2021-07-25 14:00:00,10.95,10.97,10.95,10.97,0.18,37928.0,411069.81,1
2021-07-25,2021-07-25 15:00:00,10.97,11.02,10.65,10.97,0.0,37928.0,411069.81,0
2021-07-26,2021-07-26 11:00:00,11.0,11.09,10.82,11.0,0.0,44057.4,483841.76,0
2021-07-26,2021-07-26 12:00:00,11.0,11.0,11.0,11.0,0.0,44057.4,483841.76,0
2021-07-26,2021-07-26 13:00:00,11.0,11.0,10.99,10.99,-0.09,44057.4,483841.76,-1
2021-07-26,2021-07-26 14:00:00,10.99,10.99,10.99,10.99,0.0,44057.4,483841.76,0
2021-07-26,2021-07-26 15:00:00,10.99,11.18,10.65,10.99,0.0,44057.4,483841.76,0
2021-07-27,2021-07-27 11:00:00,10.78,10.84,10.64,10.75,-0.28,8317.2,88932.68,-1
2021-07-27,2021-07-27 12:00:00,10.75,10.75,10.72,10.72,-0.28,8317.2,88932.68,-1
2021-07-27,2021-07-27 13:00:00,10.72,10.72,10.69,10.69,-0.28,8317.2,88932.68,-1
2021-07-27,2021-07-27 14:00:00,10.69,10.69,10.66,10.66,-0.28,8317.2,88932.68,-1
2021-07-27,2021-07-27 15:00:00,10.66,10.9,10.5,10.66,0.0,8317.2,88932.68,0
2021-07-28,2021-07-28 11:00:00,10.45,10.82,10.45,10.62,1.63,18606.8,204289.18,1
2021-07-28,2021-07-28 12:00:00,10.62,10.79,10.62,10.79,1.6,18606.8,204289.18,1
2021-07-28,2021-07-28 13:00:00,10.79,10.96,10.79,10.96,1.58,18606.8,204289.18,1
2021-07-28,2021-07-28 14:00:00,10.96,11.13,10.96,11.13,1.55,18606.8,204289.18,1
2021-07-28,2021-07-28 15:00:00,11.13,11.2,10.45,11.13,0.0,18606.8,204289.18,0
2021-07-29,2021-07-29 11:00:00,10.91,11.02,10.86,10.96,0.46,37781.6,417691.74,1
2021-07-29,2021-07-29 12:00:00,10.96,11.0,10.96,11.0,0.36,37781.6,417691.74,1
2021-07-29,2021-07-29 13:00:00,11.0,11.04,11.0,11.04,0.36,37781.6,417691.74,1
2021-07-29,2021-07-29 14:00:00,11.04,11.09,11.04,11.09,0.45,37781.6,417691.74,1
2021-07-29,2021-07-29 15:00:00,11.09,11.12,10.8,11.09,0.0,37781.6,417691.74,0
2021-08-01,2021-08-01 11:00:00,11.31,11.42,11.03,11.17,-1.24,42776.0,471398.64,-1
2021-08-01,2021-08-01 12:00:00,11.17,11.17,11.03,11.03,-1.25,42776.0,471398.64,-1
2021-08-01,2021-08-01 13:00:00,11.03,11.03,10.89,10.89,-1.27,42776.0,471398.64,-1
2021-08-01,2021-08-01 14:00:00,10.89,10.89,10.75,10.75,-1.29,42776.0,471398.64,-1
2021-08-01,2021-08-01 15:00:00,10.75,11.53,10.75,10.75,0.0,42776.0,471398.64,0
2021-08-02,2021-08-02 11:00:00,10.6,10.71,10.6,10.64,0.38,8960.0,96346.0,1
2021-08-02,2021-08-02 12:00:00,10.64,10.68,10.64,10.68,0.38,8960.0,96346.0,1
2021-08-02,2021-08-02 13:00:00,10.68,10.71,10.68,10.71,0.28,8960.0,96346.0,1
2021-08-02,2021-08-02 14:00:00,10.71,10.75,10.71,10.75,0.37,8960.0,96346.0,1
2021-08-02,2021-08-02 15:00:00,10.75,10.83,10.6,10.75,0.0,8960.0,96346.0,0
2021-08-03,2021-08-03 11:00:00,10.54,10.67,10.54,10.56,0.19,8320.0,89039.8,1
2021-08-03,2021-08-03 12:00:00,10.56,10.57,10.56,10.57,0.09,8320.0,89039.8,1
2021-08-03,2021-08-03 13:00:00,10.57,10.59,10.57,10.59,0.19,8320.0,89039.8,1
2021-08-03,2021-08-03 14:00:00,10.59,10.61,10.59,10.61,0.19,8320.0,89039.8,1
2021-08-03,2021-08-03 15:00:00,10.61,10.8,10.54,10.61,0.0,8320.0,89039.8,0
2021-08-04,2021-08-04 11:00:00,10.61,10.63,10.55,10.62,0.09,15494.0,164086.88,1
2021-08-04,2021-08-04 12:00:00,10.62,10.63,10.62,10.63,0.09,15494.0,164086.88,1
2021-08-04,2021-08-04 13:00:00,10.63,10.65,10.63,10.65,0.19,15494.0,164086.88,1
2021-08-04,2021-08-04 14:00:00,10.65,10.66,10.65,10.66,0.09,15494.0,164086.88,1
2021-08-04,2021-08-04 15:00:00,10.66,10.66,10.5,10.66,0.0,15494.0,164086.88,0
2021-08-05,2021-08-05 11:00:00,10.81,10.81,10.66,10.81,0.0,4550.0,48642.8,0
2021-08-05,2021-08-05 12:00:00,10.81,10.81,10.81,10.81,0.0,4550.0,48642.8,0
