published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-12,2022-09-12 11:00:00,10.0,10.0,9.91,10.0,0.0,420.0,4173.2,0
2022-09-12,2022-09-12 12:00:00,10.0,10.0,10.0,10.0,0.0,420.0,4173.2,0
2022-09-12,2022-09-12 13:00:00,10.0,10.0,10.0,10.0,0.0,420.0,4173.2,0
2022-09-12,2022-09-12 14:00:00,10.0,10.0,10.0,10.0,0.0,420.0,4173.2,0
2022-09-12,2022-09-12 15:00:00,10.0,10.0,9.81,10.0,0.0,420.0,4173.2,0
2022-09-14,2022-09-14 11:00:00,9.81,9.81,9.41,9.61,-2.04,3380.0,30835.4,-1
2022-09-14,2022-09-14 12:00:00,9.61,9.61,9.41,9.41,-2.08,3380.0,30835.4,-1
2022-09-14,2022-09-14 13:00:00,9.41,9.41,9.2,9.2,-2.23,3380.0,30835.4,-1
2022-09-14,2022-09-14 14:00:00,9.2,9.2,9.0,9.0,-2.17,3380.0,30835.4,-1
2022-09-14,2022-09-14 15:00:00,9.0,9.81,9.0,9.0,0.0,3380.0,30835.4,0
2022-09-15,2022-09-15 11:00:00,8.82,8.82,8.46,8.69,-1.47,2934.0,24256.54,-1
2022-09-15,2022-09-15 12:00:00,8.69,8.69,8.55,8.55,-1.61,2934.0,24256.54,-1
2022-09-15,2022-09-15 13:00:00,8.55,8.55,8.41,8.41,-1.64,2934.0,24256.54,-1
2022-09-15,2022-09-15 14:00:00,8.41,8.41,8.28,8.28,-1.55,2934.0,24256.54,-1
2022-09-15,2022-09-15 15:00:00,8.28,8.82,8.1,8.28,0.0,2934.0,24256.54,0
2022-09-16,2022-09-16 11:00:00,8.12,8.18,8.04,8.11,-0.12,3100.0,25151.14,-1
2022-09-16,2022-09-16 12:00:00,8.11,8.11,8.11,8.11,0.0,3100.0,25151.14,0
2022-09-16,2022-09-16 13:00:00,8.11,8.11,8.11,8.11,0.0,3100.0,25151.14,0
2022-09-16,2022-09-16 14:00:00,8.11,8.11,8.1,8.1,-0.12,3100.0,25151.14,-1
2022-09-16,2022-09-16 15:00:00,8.1,8.24,7.97,8.1,0.0,3100.0,25151.14,0
2022-09-18,2022-09-18 11:00:00,8.1,8.13,8.1,8.1,0.0,1032.0,8392.1,0
