published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-02-11,2024-02-11 11:00:00,10.0,10.0,9.5,9.75,-2.5,265.4,2468.15,-1
2024-02-11,2024-02-11 12:00:00,9.75,9.75,9.5,9.5,-2.56,265.4,2468.15,-1
2024-02-11,2024-02-11 13:00:00,9.5,9.5,9.25,9.25,-2.63,265.4,2468.15,-1
2024-02-11,2024-02-11 14:00:00,9.25,9.25,9.0,9.0,-2.7,265.4,2468.15,-1
2024-02-11,2024-02-11 15:00:00,9.0,10.0,9.0,9.0,0.0,265.4,2468.15,0
2024-02-12,2024-02-12 11:00:00,8.82,8.82,8.46,8.66,-1.81,3834.6,31142.56,-1
2024-02-12,2024-02-12 12:00:00,8.66,8.66,8.51,8.51,-1.73,3834.6,31142.56,-1
2024-02-12,2024-02-12 13:00:00,8.51,8.51,8.36,8.36,-1.76,3834.6,31142.56,-1
2024-02-12,2024-02-12 14:00:00,8.36,8.36,8.2,8.2,-1.91,3834.6,31142.56,-1
2024-02-12,2024-02-12 15:00:00,8.2,8.82,8.1,8.2,0.0,3834.6,31142.56,0
2024-02-13,2024-02-13 11:00:00,8.04,8.15,7.93,8.07,0.37,2502.0,20306.7,1
2024-02-13,2024-02-13 12:00:00,8.07,8.09,8.07,8.09,0.25,2502.0,20306.7,1
2024-02-13,2024-02-13 13:00:00,8.09,8.12,8.09,8.12,0.37,2502.0,20306.7,1
2024-02-13,2024-02-13 14:00:00,8.12,8.15,8.12,8.15,0.37,2502.0,20306.7,1
2024-02-13,2024-02-13 15:00:00,8.15,8.27,7.83,8.15,0.0,2502.0,20306.7,0
2024-02-14,2024-02-14 11:00:00,8.15,8.15,8.0,8.09,-0.74,2870.0,22896.9,-1
2024-02-14,2024-02-14 12:00:00,8.09,8.09,8.03,8.03,-0.74,2870.0,22896.9,-1
2024-02-14,2024-02-14 13:00:00,8.03,8.03,7.96,7.96,-0.87,2870.0,22896.9,-1
2024-02-14,2024-02-14 14:00:00,7.96,7.96,7.9,7.9,-0.75,2870.0,22896.9,-1
2024-02-14,2024-02-14 15:00:00,7.9,8.15,7.84,7.9,0.0,2870.0,22896.9,0
2024-02-15,2024-02-15 11:00:00,7.75,7.8,7.65,7.72,-0.39,1590.0,12269.55,-1
2024-02-15,2024-02-15 12:00:00,7.72,7.72,7.7,7.7,-0.26,1590.0,12269.55,-1
2024-02-15,2024-02-15 13:00:00,7.7,7.7,7.68,7.68,-0.26,1590.0,12269.55,-1
2024-02-15,2024-02-15 14:00:00,7.68,7.68,7.65,7.65,-0.39,1590.0,12269.55,-1
2024-02-15,2024-02-15 15:00:00,7.65,7.86,7.55,7.65,0.0,1590.0,12269.55,0
2024-02-18,2024-02-18 11:00:00,7.51,7.75,7.51,7.54,0.4,1336.0,10226.0,1
2024-02-18,2024-02-18 12:00:00,7.54,7.58,7.54,7.58,0.53,1336.0,10226.0,1
2024-02-18,2024-02-18 13:00:00,7.58,7.62,7.58,7.62,0.53,1336.0,10226.0,1
2024-02-18,2024-02-18 14:00:00,7.62,7.65,7.62,7.65,0.39,1336.0,10226.0,1
2024-02-18,2024-02-18 15:00:00,7.65,8.0,7.51,7.65,0.0,1336.0,10226.0,0
2024-02-20,2024-02-20 11:00:00,7.5,7.72,7.5,7.56,0.8,880.0,6714.4,1
2024-02-20,2024-02-20 12:00:00,7.56,7.63,7.56,7.63,0.93,880.0,6714.4,1
2024-02-20,2024-02-20 13:00:00,7.63,7.7,7.63,7.7,0.92,880.0,6714.4,1
2024-02-20,2024-02-20 14:00:00,7.7,7.76,7.7,7.76,0.78,880.0,6714.4,1
2024-02-20,2024-02-20 15:00:00,7.76,7.95,7.5,7.76,0.0,880.0,6714.4,0
2024-02-21,2024-02-21 11:00:00,7.76,7.91,7.75,7.76,0.0,686.0,5390.8,0
2024-02-21,2024-02-21 12:00:00,7.76,7.76,7.75,7.75,-0.13,686.0,5390.8,-1
2024-02-21,2024-02-21 13:00:00,7.75,7.75,7.75,7.75,0.0,686.0,5390.8,0
2024-02-21,2024-02-21 14:00:00,7.75,7.75,7.75,7.75,0.0,686.0,5390.8,0
