published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-29,2011-03-29 11:00:00,725.0,725.0,725.0,725.0,0.0,12.0,8700.0,0
2011-03-29,2011-03-29 12:00:00,725.0,725.0,725.0,725.0,0.0,12.0,8700.0,0
2011-03-29,2011-03-29 13:00:00,725.0,725.0,725.0,725.0,0.0,12.0,8700.0,0
2011-03-29,2011-03-29 14:00:00,725.0,725.0,725.0,725.0,0.0,12.0,8700.0,0
2011-03-29,2011-03-29 15:00:00,725.0,725.0,725.0,725.0,0.0,12.0,8700.0,0
2011-03-31,2011-03-31 11:00:00,725.0,725.0,720.0,722.5,-0.34,4.0,2860.0,-1
2011-03-31,2011-03-31 12:00:00,722.5,722.5,720.0,720.0,-0.35,4.0,2860.0,-1
2011-03-31,2011-03-31 13:00:00,720.0,720.0,717.5,717.5,-0.35,4.0,2860.0,-1
2011-03-31,2011-03-31 14:00:00,717.5,717.5,715.0,715.0,-0.35,4.0,2860.0,-1
2011-03-31,2011-03-31 15:00:00,715.0,715.0,715.0,715.0,0.0,4.0,2860.0,0
2011-04-18,2011-04-18 11:00:00,715.0,715.0,708.0,711.5,-0.49,90.0,63090.0,-1
2011-04-18,2011-04-18 12:00:00,711.5,711.5,708.0,708.0,-0.49,90.0,63090.0,-1
2011-04-18,2011-04-18 13:00:00,708.0,708.0,704.5,704.5,-0.49,90.0,63090.0,-1
2011-04-18,2011-04-18 14:00:00,704.5,704.5,701.0,701.0,-0.5,90.0,63090.0,-1
2011-04-18,2011-04-18 15:00:00,701.0,701.0,701.0,701.0,0.0,90.0,63090.0,0
2011-04-27,2011-04-27 11:00:00,701.0,701.0,701.0,701.0,0.0,6.0,4206.0,0
2011-04-27,2011-04-27 12:00:00,701.0,701.0,701.0,701.0,0.0,6.0,4206.0,0
2011-04-27,2011-04-27 13:00:00,701.0,701.0,701.0,701.0,0.0,6.0,4206.0,0
2011-04-27,2011-04-27 14:00:00,701.0,701.0,701.0,701.0,0.0,6.0,4206.0,0
2011-04-27,2011-04-27 15:00:00,701.0,701.0,701.0,701.0,0.0,6.0,4206.0,0
2011-05-02,2011-05-02 11:00:00,701.0,701.0,674.5,687.75,-1.89,616.6,404899.8,-1
2011-05-02,2011-05-02 12:00:00,687.75,687.75,674.5,674.5,-1.93,616.6,404899.8,-1
2011-05-02,2011-05-02 13:00:00,674.5,674.5,661.25,661.25,-1.96,616.6,404899.8,-1
2011-05-02,2011-05-02 14:00:00,661.25,661.25,648.0,648.0,-2.0,616.6,404899.8,-1
2011-05-02,2011-05-02 15:00:00,648.0,687.0,648.0,648.0,0.0,616.6,404899.8,0
2011-05-03,2011-05-03 11:00:00,648.0,648.0,648.0,648.0,0.0,6.0,3888.0,0
2011-05-03,2011-05-03 12:00:00,648.0,648.0,648.0,648.0,0.0,6.0,3888.0,0
2011-05-03,2011-05-03 13:00:00,648.0,648.0,648.0,648.0,0.0,6.0,3888.0,0
2011-05-03,2011-05-03 14:00:00,648.0,648.0,648.0,648.0,0.0,6.0,3888.0,0
2011-05-03,2011-05-03 15:00:00,648.0,648.0,648.0,648.0,0.0,6.0,3888.0,0
2011-05-05,2011-05-05 11:00:00,648.0,654.0,648.0,651.0,0.46,20.0,13200.0,1
