published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-20,2011-03-20 11:00:00,251.0,251.0,249.0,250.75,-0.1,119.8,29793.0,-1
2011-03-20,2011-03-20 12:00:00,250.75,250.75,250.5,250.5,-0.1,119.8,29793.0,-1
2011-03-20,2011-03-20 13:00:00,250.5,250.5,250.25,250.25,-0.1,119.8,29793.0,-1
2011-03-20,2011-03-20 14:00:00,250.25,250.25,250.0,250.0,-0.1,119.8,29793.0,-1
2011-03-20,2011-03-20 15:00:00,250.0,251.0,247.0,250.0,0.0,119.8,29793.0,0
2011-03-24,2011-03-24 11:00:00,260.0,260.0,257.0,258.5,-0.58,68.8,17481.2,-1
2011-03-24,2011-03-24 12:00:00,258.5,258.5,257.0,257.0,-0.58,68.8,17481.2,-1
2011-03-24,2011-03-24 13:00:00,257.0,257.0,255.5,255.5,-0.58,68.8,17481.2,-1
2011-03-24,2011-03-24 14:00:00,255.5,255.5,254.0,254.0,-0.59,68.8,17481.2,-1
2011-03-24,2011-03-24 15:00:00,254.0,255.0,254.0,254.0,0.0,68.8,17481.2,0
2011-03-25,2011-03-25 11:00:00,254.0,254.0,251.5,252.75,-0.49,17.6,4382.4,-1
2011-03-25,2011-03-25 12:00:00,252.75,252.75,251.5,251.5,-0.49,17.6,4382.4,-1
2011-03-25,2011-03-25 13:00:00,251.5,251.5,250.25,250.25,-0.5,17.6,4382.4,-1
2011-03-25,2011-03-25 14:00:00,250.25,250.25,249.0,249.0,-0.5,17.6,4382.4,-1
2011-03-25,2011-03-25 15:00:00,249.0,249.0,249.0,249.0,0.0,17.6,4382.4,0
2011-03-27,2011-03-27 11:00:00,249.0,249.0,247.0,248.0,-0.4,127.2,31164.0,-1
2011-03-27,2011-03-27 12:00:00,248.0,248.0,247.0,247.0,-0.4,127.2,31164.0,-1
2011-03-27,2011-03-27 13:00:00,247.0,247.0,246.0,246.0,-0.4,127.2,31164.0,-1
2011-03-27,2011-03-27 14:00:00,246.0,246.0,245.0,245.0,-0.41,127.2,31164.0,-1
2011-03-27,2011-03-27 15:00:00,245.0,245.0,245.0,245.0,0.0,127.2,31164.0,0
2011-03-28,2011-03-28 11:00:00,245.0,245.0,235.5,240.75,-1.73,390.2,91741.2,-1
2011-03-28,2011-03-28 12:00:00,240.75,240.75,236.5,236.5,-1.77,390.2,91741.2,-1
2011-03-28,2011-03-28 13:00:00,236.5,236.5,232.25,232.25,-1.8,390.2,91741.2,-1
2011-03-28,2011-03-28 14:00:00,232.25,232.25,228.0,228.0,-1.83,390.2,91741.2,-1
2011-03-28,2011-03-28 15:00:00,228.0,244.0,226.0,228.0,0.0,390.2,91741.2,0
2011-03-29,2011-03-29 11:00:00,228.0,230.5,226.5,229.0,0.44,203.4,46478.4,1
2011-03-29,2011-03-29 12:00:00,229.0,230.0,229.0,230.0,0.44,203.4,46478.4,1
2011-03-29,2011-03-29 13:00:00,230.0,231.0,230.0,231.0,0.43,203.4,46478.4,1
2011-03-29,2011-03-29 14:00:00,231.0,232.0,231.0,232.0,0.43,203.4,46478.4,1
2011-03-29,2011-03-29 15:00:00,232.0,233.0,225.0,232.0,0.0,203.4,46478.4,0
2011-03-30,2011-03-30 11:00:00,232.0,233.5,230.0,232.75,0.32,50.0,11452.0,1
2011-03-30,2011-03-30 12:00:00,232.75,233.5,232.75,233.5,0.32,50.0,11452.0,1
2011-03-30,2011-03-30 13:00:00,233.5,234.25,233.5,234.25,0.32,50.0,11452.0,1
2011-03-30,2011-03-30 14:00:00,234.25,235.0,234.25,235.0,0.32,50.0,11452.0,1
2011-03-30,2011-03-30 15:00:00,235.0,235.0,228.0,235.0,0.0,50.0,11452.0,0
2011-03-31,2011-03-31 11:00:00,235.0,235.0,233.0,234.0,-0.43,200.0,46200.0,-1
2011-03-31,2011-03-31 12:00:00,234.0,234.0,233.0,233.0,-0.43,200.0,46200.0,-1
2011-03-31,2011-03-31 13:00:00,233.0,233.0,232.0,232.0,-0.43,200.0,46200.0,-1
2011-03-31,2011-03-31 14:00:00,232.0,232.0,231.0,231.0,-0.43,200.0,46200.0,-1
2011-03-31,2011-03-31 15:00:00,231.0,231.0,231.0,231.0,0.0,200.0,46200.0,0
2011-04-04,2011-04-04 11:00:00,231.0,231.0,228.0,229.75,-0.54,38.0,8574.2,-1
2011-04-04,2011-04-04 12:00:00,229.75,229.75,228.5,228.5,-0.54,38.0,8574.2,-1
2011-04-04,2011-04-04 13:00:00,228.5,228.5,227.25,227.25,-0.55,38.0,8574.2,-1
2011-04-04,2011-04-04 14:00:00,227.25,227.25,226.0,226.0,-0.55,38.0,8574.2,-1
2011-04-04,2011-04-04 15:00:00,226.0,227.0,225.0,226.0,0.0,38.0,8574.2,0
2011-04-06,2011-04-06 11:00:00,226.0,226.0,225.5,225.75,-0.11,20.0,4500.0,-1
2011-04-06,2011-04-06 12:00:00,225.75,225.75,225.5,225.5,-0.11,20.0,4500.0,-1
2011-04-06,2011-04-06 13:00:00,225.5,225.5,225.25,225.25,-0.11,20.0,4500.0,-1
2011-04-06,2011-04-06 14:00:00,225.25,225.25,225.0,225.0,-0.11,20.0,4500.0,-1
2011-04-06,2011-04-06 15:00:00,225.0,225.0,225.0,225.0,0.0,20.0,4500.0,0
2011-04-07,2011-04-07 11:00:00,225.0,227.0,225.0,226.0,0.44,150.6,34240.6,1
2011-04-07,2011-04-07 12:00:00,226.0,227.0,226.0,227.0,0.44,150.6,34240.6,1
2011-04-07,2011-04-07 13:00:00,227.0,228.0,227.0,228.0,0.44,150.6,34240.6,1
2011-04-07,2011-04-07 14:00:00,228.0,229.0,228.0,229.0,0.44,150.6,34240.6,1
2011-04-07,2011-04-07 15:00:00,229.0,229.0,225.0,229.0,0.0,150.6,34240.6,0
2011-04-10,2011-04-10 11:00:00,229.0,231.0,229.0,230.0,0.44,47.0,10875.8,1
2011-04-10,2011-04-10 12:00:00,230.0,231.0,230.0,231.0,0.43,47.0,10875.8,1
2011-04-10,2011-04-10 13:00:00,231.0,232.0,231.0,232.0,0.43,47.0,10875.8,1
2011-04-10,2011-04-10 14:00:00,232.0,233.0,232.0,233.0,0.43,47.0,10875.8,1
2011-04-10,2011-04-10 15:00:00,233.0,233.0,229.0,233.0,0.0,47.0,10875.8,0
2011-04-11,2011-04-11 11:00:00,233.0,233.0,231.0,233.0,0.0,71.2,16372.0,0
2011-04-11,2011-04-11 12:00:00,233.0,233.0,233.0,233.0,0.0,71.2,16372.0,0
2011-04-11,2011-04-11 13:00:00,233.0,233.0,233.0,233.0,0.0,71.2,16372.0,0
2011-04-11,2011-04-11 14:00:00,233.0,233.0,233.0,233.0,0.0,71.2,16372.0,0
2011-04-11,2011-04-11 15:00:00,233.0,233.0,229.0,233.0,0.0,71.2,16372.0,0
2011-04-17,2011-04-17 11:00:00,233.0,233.0,231.0,232.0,-0.43,20.0,4580.0,-1
2011-04-17,2011-04-17 12:00:00,232.0,232.0,231.0,231.0,-0.43,20.0,4580.0,-1
2011-04-17,2011-04-17 13:00:00,231.0,231.0,230.0,230.0,-0.43,20.0,4580.0,-1
2011-04-17,2011-04-17 14:00:00,230.0,230.0,229.0,229.0,-0.43,20.0,4580.0,-1
2011-04-17,2011-04-17 15:00:00,229.0,229.0,229.0,229.0,0.0,20.0,4580.0,0
2011-04-19,2011-04-19 11:00:00,229.0,229.0,222.0,225.5,-1.53,286.0,61990.4,-1
2011-04-19,2011-04-19 12:00:00,225.5,225.5,222.0,222.0,-1.55,286.0,61990.4,-1
2011-04-19,2011-04-19 13:00:00,222.0,222.0,218.5,218.5,-1.58,286.0,61990.4,-1
2011-04-19,2011-04-19 14:00:00,218.5,218.5,215.0,215.0,-1.6,286.0,61990.4,-1
2011-04-19,2011-04-19 15:00:00,215.0,225.0,215.0,215.0,0.0,286.0,61990.4,0
2011-04-20,2011-04-20 11:00:00,215.0,215.0,213.0,214.0,-0.47,254.6,54434.2,-1
2011-04-20,2011-04-20 12:00:00,214.0,214.0,213.0,213.0,-0.47,254.6,54434.2,-1
2011-04-20,2011-04-20 13:00:00,213.0,213.0,212.0,212.0,-0.47,254.6,54434.2,-1
2011-04-20,2011-04-20 14:00:00,212.0,212.0,211.0,211.0,-0.47,254.6,54434.2,-1
2011-04-20,2011-04-20 15:00:00,211.0,215.0,211.0,211.0,0.0,254.6,54434.2,0
2011-04-21,2011-04-21 11:00:00,211.0,213.0,211.0,211.0,0.0,12.8,2732.0,0
