published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-25,2026-08-25 12:00:00,962.0,990.0,962.0,990.0,2.91,50.0,48800.0,1
2026-08-25,2026-08-25 13:00:00,962.0,990.0,962.0,990.0,2.91,50.0,48800.0,1
2026-08-25,2026-08-25 14:00:00,962.0,990.0,962.0,990.0,2.91,50.0,48800.0,1
2026-08-26,2026-08-26 13:00:00,962.0,990.8,962.0,990.8,0.08,125.0,121690.0,1
2026-08-27,2026-08-27 20:00:00,963.0,990.0,963.0,990.0,-0.08,35.0,33975.0,1
2026-09-01,2026-09-01 03:00:00,951.6,999.0,930.0,999.0,1.83,770.0,760585.0,1
2026-09-02,2026-09-02 14:00:00,970.0,970.0,941.0,941.0,-5.81,50.0,47775.0,-1
2026-09-03,2026-09-03 14:00:00,915.0,915.0,907.1,909.0,-3.4,80.0,72852.5,-1
2026-09-07,2026-09-07 16:00:00,909.0,930.0,909.0,930.0,2.31,75.0,69225.0,1
2026-09-09,2026-09-09 15:00:00,903.1,903.1,903.1,903.1,-2.89,25.0,22577.5,0
2026-09-10,2026-09-10 14:00:00,920.0,930.0,907.6,907.6,0.5,75.0,68940.0,-1
2026-09-14,2026-09-14 17:00:00,907.6,907.6,907.6,907.6,0.0,25.0,22690.0,0
2026-09-17,2026-09-17 15:00:00,934.0,934.0,930.0,934.0,2.91,75.0,69950.0,0
2026-09-18,2026-09-18 14:00:00,930.0,930.0,930.0,930.0,-0.43,50.0,46500.0,0
2026-09-18,2026-09-18 16:00:00,930.0,930.0,930.0,930.0,-0.43,50.0,46500.0,0
2026-09-22,2026-09-22 15:00:00,911.1,929.0,911.1,929.0,-0.11,75.0,68789.9,1
2026-09-23,2026-09-23 15:00:00,920.0,923.0,920.0,923.0,-0.65,50.0,46075.0,1
2026-09-24,2026-09-24 16:00:00,920.0,920.0,920.0,920.0,-0.33,25.0,23000.0,0
