published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-04-08,2025-04-08 11:00:00,302.3,317.4,302.3,309.85,2.5,42.0,13724.8,1
2025-04-08,2025-04-08 12:00:00,309.85,317.4,309.85,317.4,2.44,42.0,13724.8,1
2025-04-08,2025-04-08 13:00:00,317.4,324.95,317.4,324.95,2.38,42.0,13724.8,1
2025-04-08,2025-04-08 14:00:00,324.95,332.5,324.95,332.5,2.32,42.0,13724.8,1
2025-04-08,2025-04-08 15:00:00,332.5,332.5,302.3,332.5,0.0,42.0,13724.8,0
2025-04-09,2025-04-09 11:00:00,332.6,349.15,332.6,340.88,2.49,34.0,12171.2,1
2025-04-09,2025-04-09 12:00:00,340.88,349.15,340.88,349.15,2.43,34.0,12171.2,1
2025-04-09,2025-04-09 13:00:00,349.15,357.43,349.15,357.43,2.37,34.0,12171.2,1
2025-04-09,2025-04-09 14:00:00,357.43,365.7,357.43,365.7,2.31,34.0,12171.2,1
2025-04-09,2025-04-09 15:00:00,365.7,365.7,332.6,365.7,0.0,34.0,12171.2,0
2025-04-10,2025-04-10 11:00:00,373.0,387.6,373.0,380.3,1.96,55.4,22076.58,1
2025-04-10,2025-04-10 12:00:00,380.3,387.6,380.3,387.6,1.92,55.4,22076.58,1
2025-04-10,2025-04-10 13:00:00,387.6,394.9,387.6,394.9,1.88,55.4,22076.58,1
2025-04-10,2025-04-10 14:00:00,394.9,402.2,394.9,402.2,1.85,55.4,22076.58,1
2025-04-10,2025-04-10 15:00:00,402.2,402.2,373.0,402.2,0.0,55.4,22076.58,0
2025-04-13,2025-04-13 11:00:00,410.2,426.3,410.2,418.25,1.96,42.0,18229.4,1
2025-04-13,2025-04-13 12:00:00,418.25,426.3,418.25,426.3,1.92,42.0,18229.4,1
2025-04-13,2025-04-13 13:00:00,426.3,434.35,426.3,434.35,1.89,42.0,18229.4,1
2025-04-13,2025-04-13 14:00:00,434.35,442.4,434.35,442.4,1.85,42.0,18229.4,1
2025-04-13,2025-04-13 15:00:00,442.4,442.4,410.2,442.4,0.0,42.0,18229.4,0
2025-04-15,2025-04-15 11:00:00,449.7,468.15,449.7,458.93,2.05,46.0,22122.8,1
2025-04-15,2025-04-15 12:00:00,458.93,468.15,458.93,468.15,2.01,46.0,22122.8,1
2025-04-15,2025-04-15 13:00:00,468.15,477.38,468.15,477.38,1.97,46.0,22122.8,1
2025-04-15,2025-04-15 14:00:00,477.38,486.6,477.38,486.6,1.93,46.0,22122.8,1
2025-04-15,2025-04-15 15:00:00,486.6,486.6,449.7,486.6,0.0,46.0,22122.8,0
2025-04-16,2025-04-16 11:00:00,496.3,515.75,496.3,506.03,1.96,66.0,35132.4,1
2025-04-16,2025-04-16 12:00:00,506.03,515.75,506.03,515.75,1.92,66.0,35132.4,1
2025-04-16,2025-04-16 13:00:00,515.75,525.48,515.75,525.48,1.89,66.0,35132.4,1
2025-04-16,2025-04-16 14:00:00,525.48,535.2,525.48,535.2,1.85,66.0,35132.4,1
2025-04-16,2025-04-16 15:00:00,535.2,535.2,496.3,535.2,0.0,66.0,35132.4,0
2025-04-17,2025-04-17 11:00:00,536.3,562.5,536.3,549.4,2.44,74.0,43257.8,1
2025-04-17,2025-04-17 12:00:00,549.4,562.5,549.4,562.5,2.38,74.0,43257.8,1
2025-04-17,2025-04-17 13:00:00,562.5,575.6,562.5,575.6,2.33,74.0,43257.8,1
2025-04-17,2025-04-17 14:00:00,575.6,588.7,575.6,588.7,2.28,74.0,43257.8,1
2025-04-17,2025-04-17 15:00:00,588.7,588.7,536.3,588.7,0.0,74.0,43257.8,0
2025-04-20,2025-04-20 11:00:00,600.4,623.95,600.4,612.17,1.96,88.0,56748.8,1
2025-04-20,2025-04-20 12:00:00,612.17,623.95,612.17,623.95,1.92,88.0,56748.8,1
2025-04-20,2025-04-20 13:00:00,623.95,635.73,623.95,635.73,1.89,88.0,56748.8,1
2025-04-20,2025-04-20 14:00:00,635.73,647.5,635.73,647.5,1.85,88.0,56748.8,1
2025-04-20,2025-04-20 15:00:00,647.5,647.5,600.4,647.5,0.0,88.0,56748.8,0
2025-04-21,2025-04-21 11:00:00,660.4,686.3,660.4,673.35,1.96,106.0,75239.0,1
