published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-06-29,2020-06-29 11:00:00,424.0,428.0,403.0,413.5,-2.48,1955.8,752273.6,-1
2020-06-29,2020-06-29 12:00:00,413.5,413.5,403.0,403.0,-2.54,1955.8,752273.6,-1
2020-06-29,2020-06-29 13:00:00,403.0,403.0,392.5,392.5,-2.61,1955.8,752273.6,-1
2020-06-29,2020-06-29 14:00:00,392.5,392.5,382.0,382.0,-2.68,1955.8,752273.6,-1
2020-06-29,2020-06-29 15:00:00,382.0,432.0,382.0,382.0,0.0,1955.8,752273.6,0
2020-06-30,2020-06-30 11:00:00,363.0,363.0,353.5,358.25,-1.31,4076.0,1403318.0,-1
2020-06-30,2020-06-30 12:00:00,358.25,358.25,353.5,353.5,-1.33,4076.0,1403318.0,-1
2020-06-30,2020-06-30 13:00:00,353.5,353.5,348.75,348.75,-1.34,4076.0,1403318.0,-1
2020-06-30,2020-06-30 14:00:00,348.75,348.75,344.0,344.0,-1.36,4076.0,1403318.0,-1
2020-06-30,2020-06-30 15:00:00,344.0,363.0,344.0,344.0,0.0,4076.0,1403318.0,0
2020-07-01,2020-07-01 11:00:00,327.0,352.5,321.0,339.75,3.9,8202.2,2952365.0,1
2020-07-01,2020-07-01 12:00:00,339.75,352.5,339.75,352.5,3.75,8202.2,2952365.0,1
2020-07-01,2020-07-01 13:00:00,352.5,365.25,352.5,365.25,3.62,8202.2,2952365.0,1
2020-07-01,2020-07-01 14:00:00,365.25,378.0,365.25,378.0,3.49,8202.2,2952365.0,1
2020-07-01,2020-07-01 15:00:00,378.0,378.0,315.0,378.0,0.0,8202.2,2952365.0,0
2020-07-02,2020-07-02 11:00:00,396.0,405.5,382.0,392.75,-0.82,30489.8,12136424.8,-1
2020-07-02,2020-07-02 12:00:00,392.75,392.75,389.5,389.5,-0.83,30489.8,12136424.8,-1
2020-07-02,2020-07-02 13:00:00,389.5,389.5,386.25,386.25,-0.83,30489.8,12136424.8,-1
2020-07-02,2020-07-02 14:00:00,386.25,386.25,383.0,383.0,-0.84,30489.8,12136424.8,-1
2020-07-02,2020-07-02 15:00:00,383.0,415.0,368.0,383.0,0.0,30489.8,12136424.8,0
2020-07-05,2020-07-05 11:00:00,380.0,397.5,375.0,385.0,1.32,76816.4,30248396.8,1
2020-07-05,2020-07-05 12:00:00,385.0,390.0,385.0,390.0,1.3,76816.4,30248396.8,1
2020-07-05,2020-07-05 13:00:00,390.0,395.0,390.0,395.0,1.28,76816.4,30248396.8,1
2020-07-05,2020-07-05 14:00:00,395.0,400.0,395.0,400.0,1.27,76816.4,30248396.8,1
2020-07-05,2020-07-05 15:00:00,400.0,415.0,370.0,400.0,0.0,76816.4,30248396.8,0
2020-07-06,2020-07-06 11:00:00,400.0,420.0,400.0,410.0,2.5,67458.6,29066275.2,1
2020-07-06,2020-07-06 12:00:00,410.0,420.0,410.0,420.0,2.44,67458.6,29066275.2,1
2020-07-06,2020-07-06 13:00:00,420.0,430.0,420.0,430.0,2.38,67458.6,29066275.2,1
2020-07-06,2020-07-06 14:00:00,430.0,440.0,430.0,440.0,2.33,67458.6,29066275.2,1
2020-07-06,2020-07-06 15:00:00,440.0,440.0,400.0,440.0,0.0,67458.6,29066275.2,0
2020-07-07,2020-07-07 11:00:00,462.0,473.0,457.5,467.5,1.19,37816.0,18253416.0,1
2020-07-07,2020-07-07 12:00:00,467.5,473.0,467.5,473.0,1.18,37816.0,18253416.0,1
2020-07-07,2020-07-07 13:00:00,473.0,478.5,473.0,478.5,1.16,37816.0,18253416.0,1
