published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-21,2023-12-21 11:00:00,208.8,219.2,208.8,214.0,2.49,199.0,45373.86,1
2023-12-21,2023-12-21 12:00:00,214.0,219.2,214.0,219.2,2.43,199.0,45373.86,1
2023-12-21,2023-12-21 13:00:00,219.2,224.4,219.2,224.4,2.37,199.0,45373.86,1
2023-12-21,2023-12-21 14:00:00,224.4,229.6,224.4,229.6,2.32,199.0,45373.86,1
2023-12-21,2023-12-21 15:00:00,229.6,229.6,208.8,229.6,0.0,199.0,45373.86,0
2023-12-24,2023-12-24 11:00:00,234.1,243.3,234.1,238.7,1.96,292.2,73506.66,1
2023-12-24,2023-12-24 12:00:00,238.7,243.3,238.7,243.3,1.93,292.2,73506.66,1
2023-12-24,2023-12-24 13:00:00,243.3,247.9,243.3,247.9,1.89,292.2,73506.66,1
2023-12-24,2023-12-24 14:00:00,247.9,252.5,247.9,252.5,1.86,292.2,73506.66,1
2023-12-24,2023-12-24 15:00:00,252.5,252.5,234.1,252.5,0.0,292.2,73506.66,0
2023-12-27,2023-12-27 11:00:00,252.0,264.85,252.0,258.43,2.55,276.4,76528.44,1
2023-12-27,2023-12-27 12:00:00,258.43,264.85,258.43,264.85,2.48,276.4,76528.44,1
2023-12-27,2023-12-27 13:00:00,264.85,271.27,264.85,271.27,2.42,276.4,76528.44,1
2023-12-27,2023-12-27 14:00:00,271.27,277.7,271.27,277.7,2.37,276.4,76528.44,1
2023-12-27,2023-12-27 15:00:00,277.7,277.7,252.0,277.7,0.0,276.4,76528.44,0
2023-12-28,2023-12-28 11:00:00,283.2,294.3,283.2,288.75,1.96,392.6,119768.84,1
2023-12-28,2023-12-28 12:00:00,288.75,294.3,288.75,294.3,1.92,392.6,119768.84,1
2023-12-28,2023-12-28 13:00:00,294.3,299.85,294.3,299.85,1.89,392.6,119768.84,1
2023-12-28,2023-12-28 14:00:00,299.85,305.4,299.85,305.4,1.85,392.6,119768.84,1
2023-12-28,2023-12-28 15:00:00,305.4,305.4,283.2,305.4,0.0,392.6,119768.84,0
2024-01-01,2024-01-01 11:00:00,311.5,323.7,311.5,317.6,1.96,476.2,159744.66,1
2024-01-01,2024-01-01 12:00:00,317.6,323.7,317.6,323.7,1.92,476.2,159744.66,1
2024-01-01,2024-01-01 13:00:00,323.7,329.8,323.7,329.8,1.88,476.2,159744.66,1
2024-01-01,2024-01-01 14:00:00,329.8,335.9,329.8,335.9,1.85,476.2,159744.66,1
2024-01-01,2024-01-01 15:00:00,335.9,335.9,311.5,335.9,0.0,476.2,159744.66,0
2024-01-02,2024-01-02 11:00:00,342.6,356.0,342.6,349.3,1.96,408.0,150533.2,1
2024-01-02,2024-01-02 12:00:00,349.3,356.0,349.3,356.0,1.92,408.0,150533.2,1
2024-01-02,2024-01-02 13:00:00,356.0,362.7,356.0,362.7,1.88,408.0,150533.2,1
2024-01-02,2024-01-02 14:00:00,362.7,369.4,362.7,369.4,1.85,408.0,150533.2,1
2024-01-02,2024-01-02 15:00:00,369.4,369.4,342.6,369.4,0.0,408.0,150533.2,0
2024-01-03,2024-01-03 11:00:00,376.7,391.5,376.7,384.1,1.96,511.6,207685.5,1
2024-01-03,2024-01-03 12:00:00,384.1,391.5,384.1,391.5,1.93,511.6,207685.5,1
2024-01-03,2024-01-03 13:00:00,391.5,398.9,391.5,398.9,1.89,511.6,207685.5,1
2024-01-03,2024-01-03 14:00:00,398.9,406.3,398.9,406.3,1.86,511.6,207685.5,1
2024-01-03,2024-01-03 15:00:00,406.3,406.3,376.7,406.3,0.0,511.6,207685.5,0
2024-01-04,2024-01-04 11:00:00,414.4,430.65,414.4,422.52,1.96,476.0,212494.0,1
2024-01-04,2024-01-04 12:00:00,422.52,430.65,422.52,430.65,1.92,476.0,212494.0,1
2024-01-04,2024-01-04 13:00:00,430.65,438.77,430.65,438.77,1.89,476.0,212494.0,1
2024-01-04,2024-01-04 14:00:00,438.77,446.9,438.77,446.9,1.85,476.0,212494.0,1
2024-01-04,2024-01-04 15:00:00,446.9,446.9,414.4,446.9,0.0,476.0,212494.0,0
2024-01-07,2024-01-07 11:00:00,455.8,473.65,455.8,464.73,1.96,458.0,224725.3,1
2024-01-07,2024-01-07 12:00:00,464.73,473.65,464.73,473.65,1.92,458.0,224725.3,1
