published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-29,2021-11-29 11:00:00,282.3,296.4,282.3,289.35,2.5,38.8,11543.54,1
2021-11-29,2021-11-29 12:00:00,289.35,296.4,289.35,296.4,2.44,38.8,11543.54,1
2021-11-29,2021-11-29 13:00:00,296.4,303.45,296.4,303.45,2.38,38.8,11543.54,1
2021-11-29,2021-11-29 14:00:00,303.45,310.5,303.45,310.5,2.32,38.8,11543.54,1
2021-11-29,2021-11-29 15:00:00,310.5,310.5,282.3,310.5,0.0,38.8,11543.54,0
2021-11-30,2021-11-30 11:00:00,316.7,329.1,316.7,322.9,1.96,34.2,11552.54,1
2021-11-30,2021-11-30 12:00:00,322.9,329.1,322.9,329.1,1.92,34.2,11552.54,1
2021-11-30,2021-11-30 13:00:00,329.1,335.3,329.1,335.3,1.88,34.2,11552.54,1
2021-11-30,2021-11-30 14:00:00,335.3,341.5,335.3,341.5,1.85,34.2,11552.54,1
2021-11-30,2021-11-30 15:00:00,341.5,341.5,316.7,341.5,0.0,34.2,11552.54,0
2021-12-01,2021-12-01 11:00:00,348.3,361.95,348.3,355.12,1.96,30.0,11069.6,1
2021-12-01,2021-12-01 12:00:00,355.12,361.95,355.12,361.95,1.92,30.0,11069.6,1
2021-12-01,2021-12-01 13:00:00,361.95,368.78,361.95,368.78,1.89,30.0,11069.6,1
2021-12-01,2021-12-01 14:00:00,368.78,375.6,368.78,375.6,1.85,30.0,11069.6,1
2021-12-01,2021-12-01 15:00:00,375.6,375.6,348.3,375.6,0.0,30.0,11069.6,0
2021-12-02,2021-12-02 11:00:00,383.1,398.1,383.1,390.6,1.96,78.0,31970.0,1
2021-12-02,2021-12-02 12:00:00,390.6,398.1,390.6,398.1,1.92,78.0,31970.0,1
2021-12-02,2021-12-02 13:00:00,398.1,405.6,398.1,405.6,1.88,78.0,31970.0,1
2021-12-02,2021-12-02 14:00:00,405.6,413.1,405.6,413.1,1.85,78.0,31970.0,1
2021-12-02,2021-12-02 15:00:00,413.1,413.1,383.1,413.1,0.0,78.0,31970.0,0
2021-12-05,2021-12-05 11:00:00,421.3,437.85,421.3,429.57,1.96,306.6,139022.84,1
2021-12-05,2021-12-05 12:00:00,429.57,437.85,429.57,437.85,1.93,306.6,139022.84,1
2021-12-05,2021-12-05 13:00:00,437.85,446.12,437.85,446.12,1.89,306.6,139022.84,1
2021-12-05,2021-12-05 14:00:00,446.12,454.4,446.12,454.4,1.86,306.6,139022.84,1
2021-12-05,2021-12-05 15:00:00,454.4,454.4,421.3,454.4,0.0,306.6,139022.84,0
2021-12-06,2021-12-06 11:00:00,463.4,481.6,436.2,455.8,-1.64,16242.4,7031433.86,-1
2021-12-06,2021-12-06 12:00:00,455.8,455.8,448.2,448.2,-1.67,16242.4,7031433.86,-1
2021-12-06,2021-12-06 13:00:00,448.2,448.2,440.6,440.6,-1.7,16242.4,7031433.86,-1
2021-12-06,2021-12-06 14:00:00,440.6,440.6,433.0,433.0,-1.72,16242.4,7031433.86,-1
2021-12-06,2021-12-06 15:00:00,433.0,499.8,409.0,433.0,0.0,16242.4,7031433.86,0
2021-12-07,2021-12-07 11:00:00,441.0,450.0,427.5,434.75,-1.42,6057.4,2610882.4,-1
2021-12-07,2021-12-07 12:00:00,434.75,434.75,428.5,428.5,-1.44,6057.4,2610882.4,-1
2021-12-07,2021-12-07 13:00:00,428.5,428.5,422.25,422.25,-1.46,6057.4,2610882.4,-1
2021-12-07,2021-12-07 14:00:00,422.25,422.25,416.0,416.0,-1.48,6057.4,2610882.4,-1
2021-12-07,2021-12-07 15:00:00,416.0,459.0,414.0,416.0,0.0,6057.4,2610882.4,0
2021-12-08,2021-12-08 11:00:00,408.0,409.0,404.0,408.0,0.0,2159.0,873106.8,0
2021-12-08,2021-12-08 12:00:00,408.0,408.0,408.0,408.0,0.0,2159.0,873106.8,0
2021-12-08,2021-12-08 13:00:00,408.0,408.0,408.0,408.0,0.0,2159.0,873106.8,0
2021-12-08,2021-12-08 14:00:00,408.0,408.0,408.0,408.0,0.0,2159.0,873106.8,0
