published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-25,2011-05-25 11:00:00,239.0,239.0,237.0,238.0,-0.42,280.8,65988.0,-1
2011-05-25,2011-05-25 12:00:00,238.0,238.0,237.0,237.0,-0.42,280.8,65988.0,-1
2011-05-25,2011-05-25 13:00:00,237.0,237.0,236.0,236.0,-0.42,280.8,65988.0,-1
2011-05-25,2011-05-25 14:00:00,236.0,236.0,235.0,235.0,-0.42,280.8,65988.0,-1
2011-05-25,2011-05-25 15:00:00,235.0,235.0,235.0,235.0,0.0,280.8,65988.0,0
2011-06-06,2011-06-06 11:00:00,235.0,235.0,233.0,234.0,-0.43,4.0,924.0,-1
2011-06-06,2011-06-06 12:00:00,234.0,234.0,233.0,233.0,-0.43,4.0,924.0,-1
2011-06-06,2011-06-06 13:00:00,233.0,233.0,232.0,232.0,-0.43,4.0,924.0,-1
2011-06-06,2011-06-06 14:00:00,232.0,232.0,231.0,231.0,-0.43,4.0,924.0,-1
2011-06-06,2011-06-06 15:00:00,231.0,231.0,231.0,231.0,0.0,4.0,924.0,0
2011-06-08,2011-06-08 11:00:00,231.0,231.0,223.0,227.0,-1.73,18.0,3974.0,-1
2011-06-08,2011-06-08 12:00:00,227.0,227.0,223.0,223.0,-1.76,18.0,3974.0,-1
2011-06-08,2011-06-08 13:00:00,223.0,223.0,219.0,219.0,-1.79,18.0,3974.0,-1
2011-06-08,2011-06-08 14:00:00,219.0,219.0,215.0,215.0,-1.83,18.0,3974.0,-1
2011-06-08,2011-06-08 15:00:00,215.0,227.0,215.0,215.0,0.0,18.0,3974.0,0
2011-09-06,2011-09-06 11:00:00,215.0,215.0,215.0,215.0,0.0,4.0,860.0,0
2011-09-06,2011-09-06 12:00:00,215.0,215.0,215.0,215.0,0.0,4.0,860.0,0
2011-09-06,2011-09-06 13:00:00,215.0,215.0,215.0,215.0,0.0,4.0,860.0,0
2011-09-06,2011-09-06 14:00:00,215.0,215.0,215.0,215.0,0.0,4.0,860.0,0
2011-09-06,2011-09-06 15:00:00,215.0,215.0,215.0,215.0,0.0,4.0,860.0,0
2011-12-05,2011-12-05 11:00:00,215.0,215.0,214.0,214.5,-0.23,4.0,852.0,-1
2011-12-05,2011-12-05 12:00:00,214.5,214.5,214.0,214.0,-0.23,4.0,852.0,-1
2011-12-05,2011-12-05 13:00:00,214.0,214.0,213.5,213.5,-0.23,4.0,852.0,-1
2011-12-05,2011-12-05 14:00:00,213.5,213.5,213.0,213.0,-0.23,4.0,852.0,-1
2011-12-05,2011-12-05 15:00:00,213.0,213.0,213.0,213.0,0.0,4.0,852.0,0
2011-12-19,2011-12-19 11:00:00,213.0,213.0,209.0,211.0,-0.94,18.0,3698.0,-1
2011-12-19,2011-12-19 12:00:00,211.0,211.0,209.0,209.0,-0.95,18.0,3698.0,-1
2011-12-19,2011-12-19 13:00:00,209.0,209.0,207.0,207.0,-0.96,18.0,3698.0,-1
2011-12-19,2011-12-19 14:00:00,207.0,207.0,205.0,205.0,-0.97,18.0,3698.0,-1
2011-12-19,2011-12-19 15:00:00,205.0,209.0,205.0,205.0,0.0,18.0,3698.0,0
2012-01-31,2012-01-31 11:00:00,205.0,205.0,198.0,201.5,-1.71,60.0,11810.0,-1
2012-01-31,2012-01-31 12:00:00,201.5,201.5,198.0,198.0,-1.74,60.0,11810.0,-1
2012-01-31,2012-01-31 13:00:00,198.0,198.0,194.5,194.5,-1.77,60.0,11810.0,-1
2012-01-31,2012-01-31 14:00:00,194.5,194.5,191.0,191.0,-1.8,60.0,11810.0,-1
