published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-22,2021-06-22 11:00:00,10.0,10.36,10.0,10.14,1.4,20938.0,217812.41,1
2021-06-22,2021-06-22 12:00:00,10.14,10.29,10.14,10.29,1.48,20938.0,217812.41,1
2021-06-22,2021-06-22 13:00:00,10.29,10.43,10.29,10.43,1.36,20938.0,217812.41,1
2021-06-22,2021-06-22 14:00:00,10.43,10.57,10.43,10.57,1.34,20938.0,217812.41,1
2021-06-22,2021-06-22 15:00:00,10.57,10.71,10.0,10.57,0.0,20938.0,217812.41,0
2021-06-23,2021-06-23 11:00:00,10.6,10.6,10.41,10.54,-0.57,9176.0,95385.2,-1
2021-06-23,2021-06-23 12:00:00,10.54,10.54,10.47,10.47,-0.66,9176.0,95385.2,-1
2021-06-23,2021-06-23 13:00:00,10.47,10.47,10.41,10.41,-0.57,9176.0,95385.2,-1
2021-06-23,2021-06-23 14:00:00,10.41,10.41,10.35,10.35,-0.58,9176.0,95385.2,-1
2021-06-23,2021-06-23 15:00:00,10.35,10.6,10.23,10.35,0.0,9176.0,95385.2,0
2021-06-24,2021-06-24 11:00:00,10.15,10.32,10.15,10.19,0.39,8880.0,92301.0,1
2021-06-24,2021-06-24 12:00:00,10.19,10.23,10.19,10.23,0.39,8880.0,92301.0,1
2021-06-24,2021-06-24 13:00:00,10.23,10.28,10.23,10.28,0.49,8880.0,92301.0,1
2021-06-24,2021-06-24 14:00:00,10.28,10.32,10.28,10.32,0.39,8880.0,92301.0,1
2021-06-24,2021-06-24 15:00:00,10.32,10.5,10.15,10.32,0.0,8880.0,92301.0,0
2021-06-27,2021-06-27 11:00:00,10.5,10.5,10.28,10.45,-0.48,5664.0,57801.3,-1
2021-06-27,2021-06-27 12:00:00,10.45,10.45,10.39,10.39,-0.57,5664.0,57801.3,-1
2021-06-27,2021-06-27 13:00:00,10.39,10.39,10.34,10.34,-0.48,5664.0,57801.3,-1
2021-06-27,2021-06-27 14:00:00,10.34,10.34,10.29,10.29,-0.48,5664.0,57801.3,-1
2021-06-27,2021-06-27 15:00:00,10.29,10.5,10.05,10.29,0.0,5664.0,57801.3,0
2021-06-28,2021-06-28 11:00:00,10.15,10.23,10.15,10.16,0.1,7647.8,78017.37,1
2021-06-28,2021-06-28 12:00:00,10.16,10.16,10.16,10.16,0.0,7647.8,78017.37,0
2021-06-28,2021-06-28 13:00:00,10.16,10.17,10.16,10.17,0.1,7647.8,78017.37,1
2021-06-28,2021-06-28 14:00:00,10.17,10.18,10.17,10.18,0.1,7647.8,78017.37,1
2021-06-28,2021-06-28 15:00:00,10.18,10.31,10.15,10.18,0.0,7647.8,78017.37,0
2021-06-29,2021-06-29 11:00:00,10.1,10.15,10.08,10.12,0.2,7416.0,74997.08,1
2021-06-29,2021-06-29 12:00:00,10.12,10.15,10.12,10.15,0.3,7416.0,74997.08,1
2021-06-29,2021-06-29 13:00:00,10.15,10.17,10.15,10.17,0.2,7416.0,74997.08,1
2021-06-29,2021-06-29 14:00:00,10.17,10.2,10.17,10.2,0.29,7416.0,74997.08,1
2021-06-29,2021-06-29 15:00:00,10.2,10.2,10.06,10.2,0.0,7416.0,74997.08,0
2021-06-30,2021-06-30 11:00:00,10.0,10.12,10.0,10.06,0.6,7244.0,73227.92,1
2021-06-30,2021-06-30 12:00:00,10.06,10.12,10.06,10.12,0.6,7244.0,73227.92,1
2021-06-30,2021-06-30 13:00:00,10.12,10.19,10.12,10.19,0.69,7244.0,73227.92,1
2021-06-30,2021-06-30 14:00:00,10.19,10.25,10.19,10.25,0.59,7244.0,73227.92,1
2021-06-30,2021-06-30 15:00:00,10.25,10.25,10.0,10.25,0.0,7244.0,73227.92,0
2021-07-01,2021-07-01 11:00:00,10.07,10.13,10.04,10.05,-0.2,11310.0,113744.4,-1
2021-07-01,2021-07-01 12:00:00,10.05,10.05,10.04,10.04,-0.1,11310.0,113744.4,-1
2021-07-01,2021-07-01 13:00:00,10.04,10.04,10.02,10.02,-0.2,11310.0,113744.4,-1
2021-07-01,2021-07-01 14:00:00,10.02,10.02,10.0,10.0,-0.2,11310.0,113744.4,-1
2021-07-01,2021-07-01 15:00:00,10.0,10.2,10.0,10.0,0.0,11310.0,113744.4,0
2021-07-04,2021-07-04 11:00:00,10.0,10.1,10.0,10.02,0.2,9570.0,96546.6,1
2021-07-04,2021-07-04 12:00:00,10.02,10.03,10.02,10.03,0.1,9570.0,96546.6,1
2021-07-04,2021-07-04 13:00:00,10.03,10.04,10.03,10.04,0.1,9570.0,96546.6,1
2021-07-04,2021-07-04 14:00:00,10.04,10.06,10.04,10.06,0.2,9570.0,96546.6,1
2021-07-04,2021-07-04 15:00:00,10.06,10.2,10.0,10.06,0.0,9570.0,96546.6,0
2021-07-05,2021-07-05 11:00:00,10.0,10.03,9.99,10.01,0.1,11780.0,118061.8,1
2021-07-05,2021-07-05 12:00:00,10.01,10.02,10.01,10.02,0.1,11780.0,118061.8,1
2021-07-05,2021-07-05 13:00:00,10.02,10.02,10.02,10.02,0.0,11780.0,118061.8,0
2021-07-05,2021-07-05 14:00:00,10.02,10.03,10.02,10.03,0.1,11780.0,118061.8,1
2021-07-05,2021-07-05 15:00:00,10.03,10.06,9.98,10.03,0.0,11780.0,118061.8,0
2021-07-06,2021-07-06 11:00:00,10.03,10.16,10.01,10.1,0.7,4850.0,49250.34,1
2021-07-06,2021-07-06 12:00:00,10.1,10.16,10.1,10.16,0.59,4850.0,49250.34,1
2021-07-06,2021-07-06 13:00:00,10.16,10.23,10.16,10.23,0.69,4850.0,49250.34,1
2021-07-06,2021-07-06 14:00:00,10.23,10.3,10.23,10.3,0.68,4850.0,49250.34,1
2021-07-06,2021-07-06 15:00:00,10.3,10.3,9.99,10.3,0.0,4850.0,49250.34,0
2021-07-07,2021-07-07 11:00:00,10.1,10.15,10.0,10.09,-0.1,11612.0,116311.7,-1
2021-07-07,2021-07-07 12:00:00,10.09,10.09,10.07,10.07,-0.2,11612.0,116311.7,-1
2021-07-07,2021-07-07 13:00:00,10.07,10.07,10.06,10.06,-0.1,11612.0,116311.7,-1
2021-07-07,2021-07-07 14:00:00,10.06,10.06,10.05,10.05,-0.1,11612.0,116311.7,-1
2021-07-07,2021-07-07 15:00:00,10.05,10.2,9.9,10.05,0.0,11612.0,116311.7,0
2021-07-08,2021-07-08 11:00:00,10.25,10.25,10.07,10.19,-0.59,1898.0,19001.4,-1
2021-07-08,2021-07-08 12:00:00,10.19,10.19,10.12,10.12,-0.69,1898.0,19001.4,-1
2021-07-08,2021-07-08 13:00:00,10.12,10.12,10.06,10.06,-0.59,1898.0,19001.4,-1
2021-07-08,2021-07-08 14:00:00,10.06,10.06,10.0,10.0,-0.6,1898.0,19001.4,-1
2021-07-08,2021-07-08 15:00:00,10.0,10.25,9.9,10.0,0.0,1898.0,19001.4,0
2021-07-11,2021-07-11 11:00:00,10.0,10.15,9.95,10.06,0.6,8910.0,90745.0,1
2021-07-11,2021-07-11 12:00:00,10.06,10.12,10.06,10.12,0.6,8910.0,90745.0,1
2021-07-11,2021-07-11 13:00:00,10.12,10.19,10.12,10.19,0.69,8910.0,90745.0,1
2021-07-11,2021-07-11 14:00:00,10.19,10.25,10.19,10.25,0.59,8910.0,90745.0,1
2021-07-11,2021-07-11 15:00:00,10.25,10.3,9.9,10.25,0.0,8910.0,90745.0,0
2021-07-12,2021-07-12 11:00:00,10.45,10.45,10.15,10.36,-0.86,3410.0,34452.9,-1
2021-07-12,2021-07-12 12:00:00,10.36,10.36,10.27,10.27,-0.87,3410.0,34452.9,-1
2021-07-12,2021-07-12 13:00:00,10.27,10.27,10.19,10.19,-0.78,3410.0,34452.9,-1
2021-07-12,2021-07-12 14:00:00,10.19,10.19,10.1,10.1,-0.88,3410.0,34452.9,-1
2021-07-12,2021-07-12 15:00:00,10.1,10.45,9.85,10.1,0.0,3410.0,34452.9,0
2021-07-13,2021-07-13 11:00:00,10.1,10.14,10.05,10.09,-0.1,15764.0,158226.66,-1
2021-07-13,2021-07-13 12:00:00,10.09,10.09,10.07,10.07,-0.2,15764.0,158226.66,-1
2021-07-13,2021-07-13 13:00:00,10.07,10.07,10.06,10.06,-0.1,15764.0,158226.66,-1
2021-07-13,2021-07-13 14:00:00,10.06,10.06,10.05,10.05,-0.1,15764.0,158226.66,-1
2021-07-13,2021-07-13 15:00:00,10.05,10.19,10.0,10.05,0.0,15764.0,158226.66,0
2021-07-14,2021-07-14 11:00:00,9.85,10.02,9.85,9.92,0.71,11800.0,119631.0,1
2021-07-14,2021-07-14 12:00:00,9.92,10.0,9.92,10.0,0.81,11800.0,119631.0,1
2021-07-14,2021-07-14 13:00:00,10.0,10.07,10.0,10.07,0.7,11800.0,119631.0,1
2021-07-14,2021-07-14 14:00:00,10.07,10.14,10.07,10.14,0.7,11800.0,119631.0,1
2021-07-14,2021-07-14 15:00:00,10.14,10.2,9.85,10.14,0.0,11800.0,119631.0,0
2021-07-15,2021-07-15 11:00:00,10.3,10.3,10.2,10.26,-0.39,4720.0,47756.4,-1
2021-07-15,2021-07-15 12:00:00,10.26,10.26,10.22,10.22,-0.39,4720.0,47756.4,-1
