published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-27,2025-05-27 11:00:00,289.3,303.75,289.3,296.52,2.5,24.0,7349.4,1
2025-05-27,2025-05-27 12:00:00,296.52,303.75,296.52,303.75,2.44,24.0,7349.4,1
2025-05-27,2025-05-27 13:00:00,303.75,310.98,303.75,310.98,2.38,24.0,7349.4,1
2025-05-27,2025-05-27 14:00:00,310.98,318.2,310.98,318.2,2.32,24.0,7349.4,1
2025-05-27,2025-05-27 15:00:00,318.2,318.2,289.3,318.2,0.0,24.0,7349.4,0
2025-05-28,2025-05-28 11:00:00,321.3,335.65,321.3,328.48,2.23,28.0,9585.8,1
2025-05-28,2025-05-28 12:00:00,328.48,335.65,328.48,335.65,2.18,28.0,9585.8,1
2025-05-28,2025-05-28 13:00:00,335.65,342.82,335.65,342.82,2.14,28.0,9585.8,1
2025-05-28,2025-05-28 14:00:00,342.82,350.0,342.82,350.0,2.09,28.0,9585.8,1
2025-05-28,2025-05-28 15:00:00,350.0,350.0,321.3,350.0,0.0,28.0,9585.8,0
2025-06-02,2025-06-02 11:00:00,357.0,371.0,357.0,364.0,1.96,54.0,20652.2,1
2025-06-02,2025-06-02 12:00:00,364.0,371.0,364.0,371.0,1.92,54.0,20652.2,1
2025-06-02,2025-06-02 13:00:00,371.0,378.0,371.0,378.0,1.89,54.0,20652.2,1
2025-06-02,2025-06-02 14:00:00,378.0,385.0,378.0,385.0,1.85,54.0,20652.2,1
2025-06-02,2025-06-02 15:00:00,385.0,385.0,357.0,385.0,0.0,54.0,20652.2,0
2025-06-03,2025-06-03 11:00:00,381.7,402.6,381.7,392.15,2.74,54.0,22600.8,1
2025-06-03,2025-06-03 12:00:00,392.15,402.6,392.15,402.6,2.66,54.0,22600.8,1
2025-06-03,2025-06-03 13:00:00,402.6,413.05,402.6,413.05,2.6,54.0,22600.8,1
2025-06-03,2025-06-03 14:00:00,413.05,423.5,413.05,423.5,2.53,54.0,22600.8,1
2025-06-03,2025-06-03 15:00:00,423.5,423.5,381.7,423.5,0.0,54.0,22600.8,0
2025-06-04,2025-06-04 11:00:00,431.9,448.85,431.9,440.38,1.96,52.0,24055.0,1
2025-06-04,2025-06-04 12:00:00,440.38,448.85,440.38,448.85,1.92,52.0,24055.0,1
2025-06-04,2025-06-04 13:00:00,448.85,457.32,448.85,457.32,1.89,52.0,24055.0,1
2025-06-04,2025-06-04 14:00:00,457.32,465.8,457.32,465.8,1.85,52.0,24055.0,1
2025-06-04,2025-06-04 15:00:00,465.8,465.8,431.9,465.8,0.0,52.0,24055.0,0
2025-06-05,2025-06-05 11:00:00,475.1,493.7,475.1,484.4,1.96,80.0,40801.4,1
2025-06-05,2025-06-05 12:00:00,484.4,493.7,484.4,493.7,1.92,80.0,40801.4,1
2025-06-05,2025-06-05 13:00:00,493.7,503.0,493.7,503.0,1.88,80.0,40801.4,1
2025-06-05,2025-06-05 14:00:00,503.0,512.3,503.0,512.3,1.85,80.0,40801.4,1
2025-06-05,2025-06-05 15:00:00,512.3,512.3,475.1,512.3,0.0,80.0,40801.4,0
2025-06-08,2025-06-08 11:00:00,522.1,542.8,522.1,532.45,1.98,116.0,64995.6,1
2025-06-08,2025-06-08 12:00:00,532.45,542.8,532.45,542.8,1.94,116.0,64995.6,1
2025-06-08,2025-06-08 13:00:00,542.8,553.15,542.8,553.15,1.91,116.0,64995.6,1
2025-06-08,2025-06-08 14:00:00,553.15,563.5,553.15,563.5,1.87,116.0,64995.6,1
2025-06-08,2025-06-08 15:00:00,563.5,563.5,522.1,563.5,0.0,116.0,64995.6,0
2025-06-09,2025-06-09 11:00:00,574.7,597.25,574.7,585.98,1.96,122.0,75393.8,1
2025-06-09,2025-06-09 12:00:00,585.98,597.25,585.98,597.25,1.92,122.0,75393.8,1
2025-06-09,2025-06-09 13:00:00,597.25,608.52,597.25,608.52,1.89,122.0,75393.8,1
2025-06-09,2025-06-09 14:00:00,608.52,619.8,608.52,619.8,1.85,122.0,75393.8,1
2025-06-09,2025-06-09 15:00:00,619.8,619.8,574.7,619.8,0.0,122.0,75393.8,0
2025-06-10,2025-06-10 11:00:00,632.1,656.9,632.1,644.5,1.96,114.0,77470.0,1
2025-06-10,2025-06-10 12:00:00,644.5,656.9,644.5,656.9,1.92,114.0,77470.0,1
2025-06-10,2025-06-10 13:00:00,656.9,669.3,656.9,669.3,1.89,114.0,77470.0,1
2025-06-10,2025-06-10 14:00:00,669.3,681.7,669.3,681.7,1.85,114.0,77470.0,1
2025-06-10,2025-06-10 15:00:00,681.7,681.7,632.1,681.7,0.0,114.0,77470.0,0
2025-06-11,2025-06-11 11:00:00,695.3,722.55,695.3,708.92,1.96,128.0,95598.0,1
2025-06-11,2025-06-11 12:00:00,708.92,722.55,708.92,722.55,1.92,128.0,95598.0,1
2025-06-11,2025-06-11 13:00:00,722.55,736.17,722.55,736.17,1.88,128.0,95598.0,1
2025-06-11,2025-06-11 14:00:00,736.17,749.8,736.17,749.8,1.85,128.0,95598.0,1
2025-06-11,2025-06-11 15:00:00,749.8,749.8,695.3,749.8,0.0,128.0,95598.0,0
2025-06-12,2025-06-12 11:00:00,739.7,782.2,739.7,760.95,2.87,388.0,319416.8,1
2025-06-12,2025-06-12 12:00:00,760.95,782.2,760.95,782.2,2.79,388.0,319416.8,1
2025-06-12,2025-06-12 13:00:00,782.2,803.45,782.2,803.45,2.72,388.0,319416.8,1
2025-06-12,2025-06-12 14:00:00,803.45,824.7,803.45,824.7,2.64,388.0,319416.8,1
2025-06-12,2025-06-12 15:00:00,824.7,824.7,739.7,824.7,0.0,388.0,319416.8,0
2025-06-15,2025-06-15 11:00:00,841.1,874.1,841.1,857.6,1.96,2124.0,1925564.6,1
2025-06-15,2025-06-15 12:00:00,857.6,874.1,857.6,874.1,1.92,2124.0,1925564.6,1
