published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-08-06,2019-08-06 11:00:00,292.0,292.0,277.4,284.75,-2.48,1208.0,337268.0,-1
2019-08-06,2019-08-06 12:00:00,284.75,284.75,277.5,277.5,-2.55,1208.0,337268.0,-1
2019-08-06,2019-08-06 13:00:00,277.5,277.5,270.25,270.25,-2.61,1208.0,337268.0,-1
2019-08-06,2019-08-06 14:00:00,270.25,270.25,263.0,263.0,-2.68,1208.0,337268.0,-1
2019-08-06,2019-08-06 15:00:00,263.0,292.0,262.8,263.0,0.0,1208.0,337268.0,0
2019-08-07,2019-08-07 11:00:00,250.0,250.0,243.5,246.75,-1.3,344.0,81718.0,-1
2019-08-07,2019-08-07 12:00:00,246.75,246.75,243.5,243.5,-1.32,344.0,81718.0,-1
2019-08-07,2019-08-07 13:00:00,243.5,243.5,240.25,240.25,-1.33,344.0,81718.0,-1
2019-08-07,2019-08-07 14:00:00,240.25,240.25,237.0,237.0,-1.35,344.0,81718.0,-1
2019-08-07,2019-08-07 15:00:00,237.0,250.0,237.0,237.0,0.0,344.0,81718.0,0
2019-08-08,2019-08-08 11:00:00,248.0,248.0,231.0,239.5,-3.43,90032.2,19539836.8,-1
2019-08-08,2019-08-08 12:00:00,239.5,239.5,231.0,231.0,-3.55,90032.2,19539836.8,-1
2019-08-08,2019-08-08 13:00:00,231.0,231.0,222.5,222.5,-3.68,90032.2,19539836.8,-1
2019-08-08,2019-08-08 14:00:00,222.5,222.5,214.0,214.0,-3.82,90032.2,19539836.8,-1
2019-08-08,2019-08-08 15:00:00,214.0,248.0,214.0,214.0,0.0,90032.2,19539836.8,0
2019-08-11,2019-08-11 11:00:00,210.0,214.5,208.5,211.0,0.48,43596.4,9191893.6,1
2019-08-11,2019-08-11 12:00:00,211.0,212.0,211.0,212.0,0.47,43596.4,9191893.6,1
2019-08-11,2019-08-11 13:00:00,212.0,213.0,212.0,213.0,0.47,43596.4,9191893.6,1
2019-08-11,2019-08-11 14:00:00,213.0,214.0,213.0,214.0,0.47,43596.4,9191893.6,1
2019-08-11,2019-08-11 15:00:00,214.0,219.0,207.0,214.0,0.0,43596.4,9191893.6,0
2019-08-12,2019-08-12 11:00:00,212.0,214.0,211.0,212.0,0.0,24103.2,5137654.0,0
2019-08-12,2019-08-12 12:00:00,212.0,212.0,212.0,212.0,0.0,24103.2,5137654.0,0
2019-08-12,2019-08-12 13:00:00,212.0,212.0,212.0,212.0,0.0,24103.2,5137654.0,0
2019-08-12,2019-08-12 14:00:00,212.0,212.0,212.0,212.0,0.0,24103.2,5137654.0,0
2019-08-12,2019-08-12 15:00:00,212.0,216.0,210.0,212.0,0.0,24103.2,5137654.0,0
2019-08-13,2019-08-13 11:00:00,212.0,213.5,211.0,211.75,-0.12,13545.0,2869114.6,-1
2019-08-13,2019-08-13 12:00:00,211.75,211.75,211.5,211.5,-0.12,13545.0,2869114.6,-1
2019-08-13,2019-08-13 13:00:00,211.5,211.5,211.25,211.25,-0.12,13545.0,2869114.6,-1
2019-08-13,2019-08-13 14:00:00,211.25,211.25,211.0,211.0,-0.12,13545.0,2869114.6,-1
2019-08-13,2019-08-13 15:00:00,211.0,215.0,210.0,211.0,0.0,13545.0,2869114.6,0
2019-08-14,2019-08-14 11:00:00,209.0,210.5,208.0,208.75,-0.12,15177.8,3174295.8,-1
2019-08-14,2019-08-14 12:00:00,208.75,208.75,208.5,208.5,-0.12,15177.8,3174295.8,-1
2019-08-14,2019-08-14 13:00:00,208.5,208.5,208.25,208.25,-0.12,15177.8,3174295.8,-1
2019-08-14,2019-08-14 14:00:00,208.25,208.25,208.0,208.0,-0.12,15177.8,3174295.8,-1
2019-08-14,2019-08-14 15:00:00,208.0,212.0,207.0,208.0,0.0,15177.8,3174295.8,0
2019-08-15,2019-08-15 11:00:00,204.0,208.0,204.0,205.5,0.74,8579.0,1790552.0,1
2019-08-15,2019-08-15 12:00:00,205.5,207.0,205.5,207.0,0.73,8579.0,1790552.0,1
2019-08-15,2019-08-15 13:00:00,207.0,208.5,207.0,208.5,0.72,8579.0,1790552.0,1
2019-08-15,2019-08-15 14:00:00,208.5,210.0,208.5,210.0,0.72,8579.0,1790552.0,1
2019-08-15,2019-08-15 15:00:00,210.0,212.0,204.0,210.0,0.0,8579.0,1790552.0,0
2019-08-18,2019-08-18 11:00:00,210.0,210.5,207.5,208.75,-0.6,16520.4,3410505.6,-1
2019-08-18,2019-08-18 12:00:00,208.75,208.75,207.5,207.5,-0.6,16520.4,3410505.6,-1
2019-08-18,2019-08-18 13:00:00,207.5,207.5,206.25,206.25,-0.6,16520.4,3410505.6,-1
2019-08-18,2019-08-18 14:00:00,206.25,206.25,205.0,205.0,-0.61,16520.4,3410505.6,-1
2019-08-18,2019-08-18 15:00:00,205.0,211.0,205.0,205.0,0.0,16520.4,3410505.6,0
2019-08-19,2019-08-19 11:00:00,205.0,206.5,202.5,205.25,0.12,21067.6,4303271.2,1
2019-08-19,2019-08-19 12:00:00,205.25,205.5,205.25,205.5,0.12,21067.6,4303271.2,1
2019-08-19,2019-08-19 13:00:00,205.5,205.75,205.5,205.75,0.12,21067.6,4303271.2,1
2019-08-19,2019-08-19 14:00:00,205.75,206.0,205.75,206.0,0.12,21067.6,4303271.2,1
2019-08-19,2019-08-19 15:00:00,206.0,208.0,200.0,206.0,0.0,21067.6,4303271.2,0
2019-08-20,2019-08-20 11:00:00,206.0,206.5,203.0,206.25,0.12,16320.0,3312056.0,1
2019-08-20,2019-08-20 12:00:00,206.25,206.5,206.25,206.5,0.12,16320.0,3312056.0,1
2019-08-20,2019-08-20 13:00:00,206.5,206.75,206.5,206.75,0.12,16320.0,3312056.0,1
2019-08-20,2019-08-20 14:00:00,206.75,207.0,206.75,207.0,0.12,16320.0,3312056.0,1
2019-08-20,2019-08-20 15:00:00,207.0,207.0,200.0,207.0,0.0,16320.0,3312056.0,0
2019-08-21,2019-08-21 11:00:00,203.0,203.5,201.5,202.25,-0.37,9416.0,1889663.0,-1
2019-08-21,2019-08-21 12:00:00,202.25,202.25,201.5,201.5,-0.37,9416.0,1889663.0,-1
2019-08-21,2019-08-21 13:00:00,201.5,201.5,200.75,200.75,-0.37,9416.0,1889663.0,-1
2019-08-21,2019-08-21 14:00:00,200.75,200.75,200.0,200.0,-0.37,9416.0,1889663.0,-1
2019-08-21,2019-08-21 15:00:00,200.0,204.0,200.0,200.0,0.0,9416.0,1889663.0,0
2019-08-22,2019-08-22 11:00:00,200.0,201.5,200.0,200.0,0.0,6289.4,1263701.4,0
2019-08-22,2019-08-22 12:00:00,200.0,200.0,200.0,200.0,0.0,6289.4,1263701.4,0
2019-08-22,2019-08-22 13:00:00,200.0,200.0,200.0,200.0,0.0,6289.4,1263701.4,0
2019-08-22,2019-08-22 14:00:00,200.0,200.0,200.0,200.0,0.0,6289.4,1263701.4,0
2019-08-22,2019-08-22 15:00:00,200.0,203.0,200.0,200.0,0.0,6289.4,1263701.4,0
2019-08-25,2019-08-25 11:00:00,200.0,201.0,196.0,198.75,-0.62,11020.8,2148450.4,-1
2019-08-25,2019-08-25 12:00:00,198.75,198.75,197.5,197.5,-0.63,11020.8,2148450.4,-1
2019-08-25,2019-08-25 13:00:00,197.5,197.5,196.25,196.25,-0.63,11020.8,2148450.4,-1
2019-08-25,2019-08-25 14:00:00,196.25,196.25,195.0,195.0,-0.64,11020.8,2148450.4,-1
2019-08-25,2019-08-25 15:00:00,195.0,202.0,192.0,195.0,0.0,11020.8,2148450.4,0
2019-08-26,2019-08-26 11:00:00,195.0,195.0,191.0,193.0,-1.03,9046.0,1709358.0,-1
2019-08-26,2019-08-26 12:00:00,193.0,193.0,191.0,191.0,-1.04,9046.0,1709358.0,-1
2019-08-26,2019-08-26 13:00:00,191.0,191.0,189.0,189.0,-1.05,9046.0,1709358.0,-1
2019-08-26,2019-08-26 14:00:00,189.0,189.0,187.0,187.0,-1.06,9046.0,1709358.0,-1
2019-08-26,2019-08-26 15:00:00,187.0,195.0,187.0,187.0,0.0,9046.0,1709358.0,0
2019-08-27,2019-08-27 11:00:00,187.0,191.0,186.0,188.0,0.53,5567.2,1058119.6,1
2019-08-27,2019-08-27 12:00:00,188.0,189.0,188.0,189.0,0.53,5567.2,1058119.6,1
2019-08-27,2019-08-27 13:00:00,189.0,190.0,189.0,190.0,0.53,5567.2,1058119.6,1
2019-08-27,2019-08-27 14:00:00,190.0,191.0,190.0,191.0,0.53,5567.2,1058119.6,1
2019-08-27,2019-08-27 15:00:00,191.0,195.0,185.0,191.0,0.0,5567.2,1058119.6,0
2019-08-28,2019-08-28 11:00:00,188.0,189.0,186.0,187.25,-0.4,3119.0,579343.0,-1
2019-08-28,2019-08-28 12:00:00,187.25,187.25,186.5,186.5,-0.4,3119.0,579343.0,-1
2019-08-28,2019-08-28 13:00:00,186.5,186.5,185.75,185.75,-0.4,3119.0,579343.0,-1
2019-08-28,2019-08-28 14:00:00,185.75,185.75,185.0,185.0,-0.4,3119.0,579343.0,-1
2019-08-28,2019-08-28 15:00:00,185.0,190.0,184.0,185.0,0.0,3119.0,579343.0,0
2019-08-29,2019-08-29 11:00:00,182.0,184.5,182.0,182.75,0.41,6296.4,1160590.4,1
2019-08-29,2019-08-29 12:00:00,182.75,183.5,182.75,183.5,0.41,6296.4,1160590.4,1
2019-08-29,2019-08-29 13:00:00,183.5,184.25,183.5,184.25,0.41,6296.4,1160590.4,1
2019-08-29,2019-08-29 14:00:00,184.25,185.0,184.25,185.0,0.41,6296.4,1160590.4,1
2019-08-29,2019-08-29 15:00:00,185.0,187.0,182.0,185.0,0.0,6296.4,1160590.4,0
2019-09-01,2019-09-01 11:00:00,185.0,185.0,179.5,182.25,-1.49,7858.0,1406868.0,-1
2019-09-01,2019-09-01 12:00:00,182.25,182.25,179.5,179.5,-1.51,7858.0,1406868.0,-1
2019-09-01,2019-09-01 13:00:00,179.5,179.5,176.75,176.75,-1.53,7858.0,1406868.0,-1
2019-09-01,2019-09-01 14:00:00,176.75,176.75,174.0,174.0,-1.56,7858.0,1406868.0,-1
2019-09-01,2019-09-01 15:00:00,174.0,185.0,174.0,174.0,0.0,7858.0,1406868.0,0
2019-09-02,2019-09-02 11:00:00,172.0,173.0,171.0,172.25,0.15,6505.0,1116816.0,1
2019-09-02,2019-09-02 12:00:00,172.25,172.5,172.25,172.5,0.15,6505.0,1116816.0,1
2019-09-02,2019-09-02 13:00:00,172.5,172.75,172.5,172.75,0.14,6505.0,1116816.0,1
2019-09-02,2019-09-02 14:00:00,172.75,173.0,172.75,173.0,0.14,6505.0,1116816.0,1
2019-09-02,2019-09-02 15:00:00,173.0,174.0,170.0,173.0,0.0,6505.0,1116816.0,0
2019-09-03,2019-09-03 11:00:00,173.0,176.0,170.0,174.5,0.87,6262.6,1079282.8,1
2019-09-03,2019-09-03 12:00:00,174.5,176.0,174.5,176.0,0.86,6262.6,1079282.8,1
2019-09-03,2019-09-03 13:00:00,176.0,177.5,176.0,177.5,0.85,6262.6,1079282.8,1
2019-09-03,2019-09-03 14:00:00,177.5,179.0,177.5,179.0,0.85,6262.6,1079282.8,1
2019-09-03,2019-09-03 15:00:00,179.0,179.0,167.0,179.0,0.0,6262.6,1079282.8,0
2019-09-04,2019-09-04 11:00:00,181.0,181.0,176.5,180.0,-0.55,5008.0,880686.0,-1
2019-09-04,2019-09-04 12:00:00,180.0,180.0,179.0,179.0,-0.56,5008.0,880686.0,-1
