published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-06-26,2025-06-26 11:00:00,10.0,10.0,9.51,9.77,-2.3,3480.0,32145.0,-1
2025-06-26,2025-06-26 12:00:00,9.77,9.77,9.54,9.54,-2.35,3480.0,32145.0,-1
2025-06-26,2025-06-26 13:00:00,9.54,9.54,9.3,9.3,-2.52,3480.0,32145.0,-1
2025-06-26,2025-06-26 14:00:00,9.3,9.3,9.07,9.07,-2.47,3480.0,32145.0,-1
2025-06-26,2025-06-26 15:00:00,9.07,10.0,9.02,9.07,0.0,3480.0,32145.0,0
2025-06-29,2025-06-29 11:00:00,9.0,9.0,8.91,8.96,-0.44,2618.0,23233.76,-1
2025-06-29,2025-06-29 12:00:00,8.96,8.96,8.91,8.91,-0.56,2618.0,23233.76,-1
2025-06-29,2025-06-29 13:00:00,8.91,8.91,8.87,8.87,-0.45,2618.0,23233.76,-1
2025-06-29,2025-06-29 14:00:00,8.87,8.87,8.83,8.83,-0.45,2618.0,23233.76,-1
2025-06-29,2025-06-29 15:00:00,8.83,9.0,8.82,8.83,0.0,2618.0,23233.76,0
2025-06-30,2025-06-30 11:00:00,8.7,8.94,8.7,8.8,1.15,1430.0,12543.6,1
2025-06-30,2025-06-30 12:00:00,8.8,8.9,8.8,8.9,1.14,1430.0,12543.6,1
2025-06-30,2025-06-30 13:00:00,8.9,9.0,8.9,9.0,1.12,1430.0,12543.6,1
2025-06-30,2025-06-30 14:00:00,9.0,9.1,9.0,9.1,1.11,1430.0,12543.6,1
2025-06-30,2025-06-30 15:00:00,9.1,9.18,8.7,9.1,0.0,1430.0,12543.6,0
2025-07-01,2025-07-01 11:00:00,8.95,9.11,8.95,9.01,0.67,1100.0,9973.0,1
2025-07-01,2025-07-01 12:00:00,9.01,9.07,9.01,9.07,0.67,1100.0,9973.0,1
2025-07-01,2025-07-01 13:00:00,9.07,9.14,9.07,9.14,0.77,1100.0,9973.0,1
2025-07-01,2025-07-01 14:00:00,9.14,9.2,9.14,9.2,0.66,1100.0,9973.0,1
2025-07-01,2025-07-01 15:00:00,9.2,9.28,8.95,9.2,0.0,1100.0,9973.0,0
2025-07-02,2025-07-02 11:00:00,9.02,9.11,9.02,9.04,0.22,1640.0,15010.2,1
2025-07-02,2025-07-02 12:00:00,9.04,9.06,9.04,9.06,0.22,1640.0,15010.2,1
2025-07-02,2025-07-02 13:00:00,9.06,9.09,9.06,9.09,0.33,1640.0,15010.2,1
2025-07-02,2025-07-02 14:00:00,9.09,9.11,9.09,9.11,0.22,1640.0,15010.2,1
2025-07-02,2025-07-02 15:00:00,9.11,9.2,9.02,9.11,0.0,1640.0,15010.2,0
2025-07-03,2025-07-03 11:00:00,9.11,9.32,9.04,9.16,0.55,1902.0,17600.0,1
2025-07-03,2025-07-03 12:00:00,9.16,9.21,9.16,9.21,0.55,1902.0,17600.0,1
