published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-10,2026-08-10 11:00:00,10.0,10.0,9.25,9.76,-2.4,3544.0,32015.44,-1
2026-08-10,2026-08-10 12:00:00,9.76,9.76,9.52,9.52,-2.46,3544.0,32015.44,-1
2026-08-10,2026-08-10 13:00:00,9.52,9.52,9.27,9.27,-2.63,3544.0,32015.44,-1
2026-08-10,2026-08-10 14:00:00,9.27,9.27,9.03,9.03,-2.59,3544.0,32015.44,-1
2026-08-10,2026-08-10 15:00:00,9.03,10.0,8.5,9.03,0.0,3544.0,32015.44,0
2026-08-11,2026-08-11 11:00:00,8.58,9.0,8.58,8.69,1.28,3704.0,33403.8,1
2026-08-11,2026-08-11 12:00:00,8.69,8.79,8.69,8.79,1.15,3704.0,33403.8,1
2026-08-11,2026-08-11 13:00:00,8.79,8.9,8.79,8.9,1.25,3704.0,33403.8,1
2026-08-11,2026-08-11 14:00:00,8.9,9.01,8.9,9.01,1.24,3704.0,33403.8,1
2026-08-11,2026-08-11 15:00:00,9.01,9.41,8.58,9.01,0.0,3704.0,33403.8,0
2026-08-12,2026-08-12 11:00:00,9.01,9.08,8.88,9.03,0.22,1920.0,17383.9,1
2026-08-12,2026-08-12 12:00:00,9.03,9.04,9.03,9.04,0.11,1920.0,17383.9,1
2026-08-12,2026-08-12 13:00:00,9.04,9.06,9.04,9.06,0.22,1920.0,17383.9,1
2026-08-12,2026-08-12 14:00:00,9.06,9.08,9.06,9.08,0.22,1920.0,17383.9,1
2026-08-12,2026-08-12 15:00:00,9.08,9.15,8.75,9.08,0.0,1920.0,17383.9,0
2026-08-13,2026-08-13 11:00:00,9.0,9.2,9.0,9.03,0.33,1848.2,17039.07,1
2026-08-13,2026-08-13 12:00:00,9.03,9.06,9.03,9.06,0.33,1848.2,17039.07,1
2026-08-13,2026-08-13 13:00:00,9.06,9.09,9.06,9.09,0.33,1848.2,17039.07,1
2026-08-13,2026-08-13 14:00:00,9.09,9.12,9.09,9.12,0.33,1848.2,17039.07,1
2026-08-13,2026-08-13 15:00:00,9.12,9.4,9.0,9.12,0.0,1848.2,17039.07,0
2026-08-14,2026-08-14 11:00:00,9.0,9.05,8.9,9.02,0.22,1230.0,11127.7,1
2026-08-14,2026-08-14 12:00:00,9.02,9.04,9.02,9.04,0.22,1230.0,11127.7,1
2026-08-14,2026-08-14 13:00:00,9.04,9.06,9.04,9.06,0.22,1230.0,11127.7,1
2026-08-14,2026-08-14 14:00:00,9.06,9.08,9.06,9.08,0.22,1230.0,11127.7,1
2026-08-14,2026-08-14 15:00:00,9.08,9.1,8.8,9.08,0.0,1230.0,11127.7,0
2026-08-17,2026-08-17 11:00:00,9.0,9.12,8.88,9.0,0.0,9346.0,84125.42,0
2026-08-17,2026-08-17 12:00:00,9.0,9.0,9.0,9.0,0.0,9346.0,84125.42,0
2026-08-17,2026-08-17 13:00:00,9.0,9.0,9.0,9.0,0.0,9346.0,84125.42,0
2026-08-17,2026-08-17 14:00:00,9.0,9.0,9.0,9.0,0.0,9346.0,84125.42,0
2026-08-17,2026-08-17 15:00:00,9.0,9.25,8.75,9.0,0.0,9346.0,84125.42,0
2026-08-18,2026-08-18 11:00:00,9.0,9.05,8.78,8.98,-0.22,1470.0,13150.6,-1
2026-08-18,2026-08-18 12:00:00,8.98,8.98,8.96,8.96,-0.22,1470.0,13150.6,-1
2026-08-18,2026-08-18 13:00:00,8.96,8.96,8.94,8.94,-0.22,1470.0,13150.6,-1
