published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-24,2025-11-24 11:00:00,301.7,316.75,301.7,309.23,2.5,50.0,16351.0,1
2025-11-24,2025-11-24 12:00:00,309.23,316.75,309.23,316.75,2.43,50.0,16351.0,1
2025-11-24,2025-11-24 13:00:00,316.75,324.27,316.75,324.27,2.37,50.0,16351.0,1
2025-11-24,2025-11-24 14:00:00,324.27,331.8,324.27,331.8,2.32,50.0,16351.0,1
2025-11-24,2025-11-24 15:00:00,331.8,331.8,301.7,331.8,0.0,50.0,16351.0,0
2025-11-25,2025-11-25 11:00:00,328.7,346.8,328.7,337.75,2.75,60.0,21660.8,1
2025-11-25,2025-11-25 12:00:00,337.75,346.8,337.75,346.8,2.68,60.0,21660.8,1
2025-11-25,2025-11-25 13:00:00,346.8,355.85,346.8,355.85,2.61,60.0,21660.8,1
2025-11-25,2025-11-25 14:00:00,355.85,364.9,355.85,364.9,2.54,60.0,21660.8,1
2025-11-25,2025-11-25 15:00:00,364.9,364.9,328.7,364.9,0.0,60.0,21660.8,0
2025-11-26,2025-11-26 11:00:00,362.9,382.1,362.9,372.5,2.65,52.0,20629.4,1
2025-11-26,2025-11-26 12:00:00,372.5,382.1,372.5,382.1,2.58,52.0,20629.4,1
2025-11-26,2025-11-26 13:00:00,382.1,391.7,382.1,391.7,2.51,52.0,20629.4,1
2025-11-26,2025-11-26 14:00:00,391.7,401.3,391.7,401.3,2.45,52.0,20629.4,1
2025-11-26,2025-11-26 15:00:00,401.3,401.3,362.9,401.3,0.0,52.0,20629.4,0
2025-11-27,2025-11-27 11:00:00,409.3,425.35,409.3,417.32,1.96,98.0,43099.2,1
2025-11-27,2025-11-27 12:00:00,417.32,425.35,417.32,425.35,1.92,98.0,43099.2,1
2025-11-27,2025-11-27 13:00:00,425.35,433.38,425.35,433.38,1.89,98.0,43099.2,1
2025-11-27,2025-11-27 14:00:00,433.38,441.4,433.38,441.4,1.85,98.0,43099.2,1
2025-11-27,2025-11-27 15:00:00,441.4,441.4,409.3,441.4,0.0,98.0,43099.2,0
2025-11-30,2025-11-30 11:00:00,443.6,464.55,443.6,454.08,2.36,130.0,62792.2,1
2025-11-30,2025-11-30 12:00:00,454.08,464.55,454.08,464.55,2.31,130.0,62792.2,1
2025-11-30,2025-11-30 13:00:00,464.55,475.02,464.55,475.02,2.25,130.0,62792.2,1
2025-11-30,2025-11-30 14:00:00,475.02,485.5,475.02,485.5,2.21,130.0,62792.2,1
2025-11-30,2025-11-30 15:00:00,485.5,485.5,443.6,485.5,0.0,130.0,62792.2,0
2025-12-01,2025-12-01 11:00:00,490.0,512.0,490.0,501.0,2.24,158.0,84042.8,1
2025-12-01,2025-12-01 12:00:00,501.0,512.0,501.0,512.0,2.2,158.0,84042.8,1
