published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-02-27,2012-02-27 11:00:00,0.0,127.0,0.0,63.5,0.0,2.0,508.0,1
2012-02-27,2012-02-27 12:00:00,63.5,127.0,63.5,127.0,100.0,2.0,508.0,1
2012-02-27,2012-02-27 13:00:00,127.0,190.5,127.0,190.5,50.0,2.0,508.0,1
2012-02-27,2012-02-27 14:00:00,190.5,254.0,190.5,254.0,33.33,2.0,508.0,1
2012-02-27,2012-02-27 15:00:00,254.0,254.0,254.0,254.0,0.0,2.0,508.0,0
2012-02-29,2012-02-29 11:00:00,254.0,254.0,249.5,251.75,-0.89,444.8,108984.0,-1
2012-02-29,2012-02-29 12:00:00,251.75,251.75,249.5,249.5,-0.89,444.8,108984.0,-1
2012-02-29,2012-02-29 13:00:00,249.5,249.5,247.25,247.25,-0.9,444.8,108984.0,-1
2012-02-29,2012-02-29 14:00:00,247.25,247.25,245.0,245.0,-0.91,444.8,108984.0,-1
2012-02-29,2012-02-29 15:00:00,245.0,249.0,245.0,245.0,0.0,444.8,108984.0,0
2012-03-06,2012-03-06 11:00:00,245.0,245.0,235.0,240.0,-2.04,10.0,2330.0,-1
2012-03-06,2012-03-06 12:00:00,240.0,240.0,235.0,235.0,-2.08,10.0,2330.0,-1
2012-03-06,2012-03-06 13:00:00,235.0,235.0,230.0,230.0,-2.13,10.0,2330.0,-1
2012-03-06,2012-03-06 14:00:00,230.0,230.0,225.0,225.0,-2.17,10.0,2330.0,-1
2012-03-06,2012-03-06 15:00:00,225.0,241.0,225.0,225.0,0.0,10.0,2330.0,0
2012-03-13,2012-03-13 11:00:00,225.0,225.0,217.0,221.0,-1.78,8.0,1720.0,-1
2012-03-13,2012-03-13 12:00:00,221.0,221.0,217.0,217.0,-1.81,8.0,1720.0,-1
2012-03-13,2012-03-13 13:00:00,217.0,217.0,213.0,213.0,-1.84,8.0,1720.0,-1
2012-03-13,2012-03-13 14:00:00,213.0,213.0,209.0,209.0,-1.88,8.0,1720.0,-1
2012-03-13,2012-03-13 15:00:00,209.0,221.0,209.0,209.0,0.0,8.0,1720.0,0
2012-03-14,2012-03-14 11:00:00,209.0,209.0,199.0,204.0,-2.39,12.0,2354.0,-1
2012-03-14,2012-03-14 12:00:00,204.0,204.0,199.0,199.0,-2.45,12.0,2354.0,-1
2012-03-14,2012-03-14 13:00:00,199.0,199.0,194.0,194.0,-2.51,12.0,2354.0,-1
2012-03-14,2012-03-14 14:00:00,194.0,194.0,189.0,189.0,-2.58,12.0,2354.0,-1
2012-03-14,2012-03-14 15:00:00,189.0,205.0,189.0,189.0,0.0,12.0,2354.0,0
2012-03-15,2012-03-15 11:00:00,189.0,189.0,180.0,184.5,-2.38,12.0,2142.0,-1
2012-03-15,2012-03-15 12:00:00,184.5,184.5,180.0,180.0,-2.44,12.0,2142.0,-1
2012-03-15,2012-03-15 13:00:00,180.0,180.0,175.5,175.5,-2.5,12.0,2142.0,-1
2012-03-15,2012-03-15 14:00:00,175.5,175.5,171.0,171.0,-2.56,12.0,2142.0,-1
2012-03-15,2012-03-15 15:00:00,171.0,186.0,171.0,171.0,0.0,12.0,2142.0,0
2012-03-18,2012-03-18 11:00:00,171.0,171.0,162.5,166.75,-2.49,15.8,2513.2,-1
2012-03-18,2012-03-18 12:00:00,166.75,166.75,162.5,162.5,-2.55,15.8,2513.2,-1
2012-03-18,2012-03-18 13:00:00,162.5,162.5,158.25,158.25,-2.62,15.8,2513.2,-1
2012-03-18,2012-03-18 14:00:00,158.25,158.25,154.0,154.0,-2.69,15.8,2513.2,-1
2012-03-18,2012-03-18 15:00:00,154.0,168.0,154.0,154.0,0.0,15.8,2513.2,0
2012-03-19,2012-03-19 11:00:00,154.0,154.0,146.5,150.25,-2.44,16.4,2375.2,-1
2012-03-19,2012-03-19 12:00:00,150.25,150.25,146.5,146.5,-2.5,16.4,2375.2,-1
2012-03-19,2012-03-19 13:00:00,146.5,146.5,142.75,142.75,-2.56,16.4,2375.2,-1
2012-03-19,2012-03-19 14:00:00,142.75,142.75,139.0,139.0,-2.63,16.4,2375.2,-1
2012-03-19,2012-03-19 15:00:00,139.0,151.0,139.0,139.0,0.0,16.4,2375.2,0
2012-03-20,2012-03-20 11:00:00,139.0,139.0,132.5,136.75,-1.62,12582.0,1597283.2,-1
2012-03-20,2012-03-20 12:00:00,136.75,136.75,134.5,134.5,-1.65,12582.0,1597283.2,-1
2012-03-20,2012-03-20 13:00:00,134.5,134.5,132.25,132.25,-1.67,12582.0,1597283.2,-1
2012-03-20,2012-03-20 14:00:00,132.25,132.25,130.0,130.0,-1.7,12582.0,1597283.2,-1
2012-03-20,2012-03-20 15:00:00,130.0,137.0,126.0,130.0,0.0,12582.0,1597283.2,0
2012-03-21,2012-03-21 11:00:00,130.0,130.5,128.0,130.25,0.19,3964.6,509880.6,1
2012-03-21,2012-03-21 12:00:00,130.25,130.5,130.25,130.5,0.19,3964.6,509880.6,1
2012-03-21,2012-03-21 13:00:00,130.5,130.75,130.5,130.75,0.19,3964.6,509880.6,1
2012-03-21,2012-03-21 14:00:00,130.75,131.0,130.75,131.0,0.19,3964.6,509880.6,1
2012-03-21,2012-03-21 15:00:00,131.0,131.0,126.0,131.0,0.0,3964.6,509880.6,0
2012-03-25,2012-03-25 11:00:00,131.0,131.0,130.0,131.0,0.0,1498.0,194619.2,0
2012-03-25,2012-03-25 12:00:00,131.0,131.0,131.0,131.0,0.0,1498.0,194619.2,0
2012-03-25,2012-03-25 13:00:00,131.0,131.0,131.0,131.0,0.0,1498.0,194619.2,0
2012-03-25,2012-03-25 14:00:00,131.0,131.0,131.0,131.0,0.0,1498.0,194619.2,0
2012-03-25,2012-03-25 15:00:00,131.0,131.0,129.0,131.0,0.0,1498.0,194619.2,0
2012-03-26,2012-03-26 11:00:00,131.0,132.0,130.5,131.25,0.19,3095.8,406291.2,1
2012-03-26,2012-03-26 12:00:00,131.25,131.5,131.25,131.5,0.19,3095.8,406291.2,1
2012-03-26,2012-03-26 13:00:00,131.5,131.75,131.5,131.75,0.19,3095.8,406291.2,1
2012-03-26,2012-03-26 14:00:00,131.75,132.0,131.75,132.0,0.19,3095.8,406291.2,1
