published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-07-20,2025-07-20 11:00:00,359.0,376.95,359.0,367.98,2.5,70.0,27285.8,1
2025-07-20,2025-07-20 12:00:00,367.98,376.95,367.98,376.95,2.44,70.0,27285.8,1
2025-07-20,2025-07-20 13:00:00,376.95,385.92,376.95,385.92,2.38,70.0,27285.8,1
2025-07-20,2025-07-20 14:00:00,385.92,394.9,385.92,394.9,2.33,70.0,27285.8,1
2025-07-20,2025-07-20 15:00:00,394.9,394.9,359.0,394.9,0.0,70.0,27285.8,0
2025-07-21,2025-07-21 11:00:00,388.7,411.5,388.7,400.1,2.93,90.0,38701.6,1
2025-07-21,2025-07-21 12:00:00,400.1,411.5,400.1,411.5,2.85,90.0,38701.6,1
2025-07-21,2025-07-21 13:00:00,411.5,422.9,411.5,422.9,2.77,90.0,38701.6,1
2025-07-21,2025-07-21 14:00:00,422.9,434.3,422.9,434.3,2.7,90.0,38701.6,1
2025-07-21,2025-07-21 15:00:00,434.3,434.3,388.7,434.3,0.0,90.0,38701.6,0
2025-07-22,2025-07-22 11:00:00,442.9,460.3,442.9,451.6,1.96,100.0,47598.8,1
2025-07-22,2025-07-22 12:00:00,451.6,460.3,451.6,460.3,1.93,100.0,47598.8,1
2025-07-22,2025-07-22 13:00:00,460.3,469.0,460.3,469.0,1.89,100.0,47598.8,1
2025-07-22,2025-07-22 14:00:00,469.0,477.7,469.0,477.7,1.86,100.0,47598.8,1
2025-07-22,2025-07-22 15:00:00,477.7,477.7,442.9,477.7,0.0,100.0,47598.8,0
2025-07-23,2025-07-23 11:00:00,487.2,506.3,487.2,496.75,1.96,142.0,74419.2,1
2025-07-23,2025-07-23 12:00:00,496.75,506.3,496.75,506.3,1.92,142.0,74419.2,1
2025-07-23,2025-07-23 13:00:00,506.3,515.85,506.3,515.85,1.89,142.0,74419.2,1
2025-07-23,2025-07-23 14:00:00,515.85,525.4,515.85,525.4,1.85,142.0,74419.2,1
2025-07-23,2025-07-23 15:00:00,525.4,525.4,487.2,525.4,0.0,142.0,74419.2,0
2025-07-24,2025-07-24 11:00:00,535.9,556.9,535.9,546.4,1.96,138.0,79544.2,1
2025-07-24,2025-07-24 12:00:00,546.4,556.9,546.4,556.9,1.92,138.0,79544.2,1
2025-07-24,2025-07-24 13:00:00,556.9,567.4,556.9,567.4,1.89,138.0,79544.2,1
