published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-09,2021-06-09 11:00:00,10.0,10.08,9.88,10.03,0.3,24997.4,249024.14,1
2021-06-09,2021-06-09 12:00:00,10.03,10.06,10.03,10.06,0.3,24997.4,249024.14,1
2021-06-09,2021-06-09 13:00:00,10.06,10.09,10.06,10.09,0.3,24997.4,249024.14,1
2021-06-09,2021-06-09 14:00:00,10.09,10.12,10.09,10.12,0.3,24997.4,249024.14,1
2021-06-09,2021-06-09 15:00:00,10.12,10.16,9.75,10.12,0.0,24997.4,249024.14,0
2021-06-10,2021-06-10 11:00:00,10.0,10.5,9.96,10.15,1.5,42776.6,459661.12,1
2021-06-10,2021-06-10 12:00:00,10.15,10.3,10.15,10.3,1.48,42776.6,459661.12,1
2021-06-10,2021-06-10 13:00:00,10.3,10.45,10.3,10.45,1.46,42776.6,459661.12,1
2021-06-10,2021-06-10 14:00:00,10.45,10.6,10.45,10.6,1.44,42776.6,459661.12,1
2021-06-10,2021-06-10 15:00:00,10.6,11.0,9.93,10.6,0.0,42776.6,459661.12,0
2021-06-13,2021-06-13 11:00:00,10.5,10.6,10.4,10.46,-0.38,14052.0,146205.22,-1
2021-06-13,2021-06-13 12:00:00,10.46,10.46,10.41,10.41,-0.48,14052.0,146205.22,-1
2021-06-13,2021-06-13 13:00:00,10.41,10.41,10.37,10.37,-0.38,14052.0,146205.22,-1
2021-06-13,2021-06-13 14:00:00,10.37,10.37,10.32,10.32,-0.48,14052.0,146205.22,-1
2021-06-13,2021-06-13 15:00:00,10.32,10.7,10.3,10.32,0.0,14052.0,146205.22,0
2021-06-14,2021-06-14 11:00:00,10.18,10.27,10.18,10.22,0.39,7725.0,79460.74,1
2021-06-14,2021-06-14 12:00:00,10.22,10.26,10.22,10.26,0.39,7725.0,79460.74,1
2021-06-14,2021-06-14 13:00:00,10.26,10.3,10.26,10.3,0.39,7725.0,79460.74,1
2021-06-14,2021-06-14 14:00:00,10.3,10.34,10.3,10.34,0.39,7725.0,79460.74,1
2021-06-14,2021-06-14 15:00:00,10.34,10.35,10.18,10.34,0.0,7725.0,79460.74,0
2021-06-15,2021-06-15 11:00:00,10.34,10.39,10.28,10.32,-0.19,13360.0,138113.98,-1
2021-06-15,2021-06-15 12:00:00,10.32,10.32,10.3,10.3,-0.19,13360.0,138113.98,-1
2021-06-15,2021-06-15 13:00:00,10.3,10.3,10.28,10.28,-0.19,13360.0,138113.98,-1
2021-06-15,2021-06-15 14:00:00,10.28,10.28,10.26,10.26,-0.19,13360.0,138113.98,-1
2021-06-15,2021-06-15 15:00:00,10.26,10.45,10.21,10.26,0.0,13360.0,138113.98,0
2021-06-16,2021-06-16 11:00:00,10.18,10.29,10.18,10.22,0.39,13100.0,134133.8,1
2021-06-16,2021-06-16 12:00:00,10.22,10.27,10.22,10.27,0.49,13100.0,134133.8,1
2021-06-16,2021-06-16 13:00:00,10.27,10.31,10.27,10.31,0.39,13100.0,134133.8,1
2021-06-16,2021-06-16 14:00:00,10.31,10.35,10.31,10.35,0.39,13100.0,134133.8,1
2021-06-16,2021-06-16 15:00:00,10.35,10.4,10.18,10.35,0.0,13100.0,134133.8,0
2021-06-17,2021-06-17 11:00:00,10.2,10.25,10.18,10.22,0.2,10031.0,103053.57,1
2021-06-17,2021-06-17 12:00:00,10.22,10.23,10.22,10.23,0.1,10031.0,103053.57,1
2021-06-17,2021-06-17 13:00:00,10.23,10.25,10.23,10.25,0.2,10031.0,103053.57,1
2021-06-17,2021-06-17 14:00:00,10.25,10.27,10.25,10.27,0.2,10031.0,103053.57,1
2021-06-17,2021-06-17 15:00:00,10.27,10.3,10.15,10.27,0.0,10031.0,103053.57,0
2021-06-20,2021-06-20 11:00:00,10.3,10.38,10.2,10.26,-0.39,7480.0,76317.6,-1
2021-06-20,2021-06-20 12:00:00,10.26,10.26,10.22,10.22,-0.39,7480.0,76317.6,-1
2021-06-20,2021-06-20 13:00:00,10.22,10.22,10.18,10.18,-0.39,7480.0,76317.6,-1
2021-06-20,2021-06-20 14:00:00,10.18,10.18,10.14,10.14,-0.39,7480.0,76317.6,-1
