published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-05,2026-08-05 11:00:00,10.0,10.0,9.53,9.86,-1.4,8402.0,77055.9,-1
2026-08-05,2026-08-05 12:00:00,9.86,9.86,9.72,9.72,-1.42,8402.0,77055.9,-1
2026-08-05,2026-08-05 13:00:00,9.72,9.72,9.59,9.59,-1.34,8402.0,77055.9,-1
2026-08-05,2026-08-05 14:00:00,9.59,9.59,9.45,9.45,-1.46,8402.0,77055.9,-1
2026-08-05,2026-08-05 15:00:00,9.45,10.0,9.06,9.45,0.0,8402.0,77055.9,0
2026-08-06,2026-08-06 11:00:00,9.2,9.35,8.97,9.19,-0.11,5296.0,48757.96,-1
2026-08-06,2026-08-06 12:00:00,9.19,9.19,9.18,9.18,-0.11,5296.0,48757.96,-1
2026-08-06,2026-08-06 13:00:00,9.18,9.18,9.17,9.17,-0.11,5296.0,48757.96,-1
2026-08-06,2026-08-06 14:00:00,9.17,9.17,9.16,9.16,-0.11,5296.0,48757.96,-1
2026-08-06,2026-08-06 15:00:00,9.16,9.5,8.75,9.16,0.0,5296.0,48757.96,0
2026-08-07,2026-08-07 11:00:00,9.1,9.3,9.04,9.11,0.11,7715.4,71317.47,1
2026-08-07,2026-08-07 12:00:00,9.11,9.12,9.11,9.12,0.11,7715.4,71317.47,1
2026-08-07,2026-08-07 13:00:00,9.12,9.14,9.12,9.14,0.22,7715.4,71317.47,1
2026-08-07,2026-08-07 14:00:00,9.14,9.15,9.14,9.15,0.11,7715.4,71317.47,1
2026-08-07,2026-08-07 15:00:00,9.15,9.5,8.99,9.15,0.0,7715.4,71317.47,0
2026-08-10,2026-08-10 11:00:00,9.0,9.12,8.98,9.06,0.67,6410.0,58169.9,1
2026-08-10,2026-08-10 12:00:00,9.06,9.12,9.06,9.12,0.66,6410.0,58169.9,1
2026-08-10,2026-08-10 13:00:00,9.12,9.19,9.12,9.19,0.77,6410.0,58169.9,1
2026-08-10,2026-08-10 14:00:00,9.19,9.25,9.19,9.25,0.65,6410.0,58169.9,1
2026-08-10,2026-08-10 15:00:00,9.25,9.25,8.96,9.25,0.0,6410.0,58169.9,0
2026-08-11,2026-08-11 11:00:00,9.0,9.05,8.96,9.01,0.11,1608.0,14522.96,1
2026-08-11,2026-08-11 12:00:00,9.01,9.03,9.01,9.03,0.22,1608.0,14522.96,1
2026-08-11,2026-08-11 13:00:00,9.03,9.04,9.03,9.04,0.11,1608.0,14522.96,1
2026-08-11,2026-08-11 14:00:00,9.04,9.05,9.04,9.05,0.11,1608.0,14522.96,1
2026-08-11,2026-08-11 15:00:00,9.05,9.11,8.93,9.05,0.0,1608.0,14522.96,0
2026-08-12,2026-08-12 11:00:00,8.78,9.14,8.78,8.89,1.25,4294.0,39857.5,1
2026-08-12,2026-08-12 12:00:00,8.89,9.0,8.89,9.0,1.24,4294.0,39857.5,1
2026-08-12,2026-08-12 13:00:00,9.0,9.1,9.0,9.1,1.11,4294.0,39857.5,1
2026-08-12,2026-08-12 14:00:00,9.1,9.21,9.1,9.21,1.21,4294.0,39857.5,1
2026-08-12,2026-08-12 15:00:00,9.21,9.5,8.78,9.21,0.0,4294.0,39857.5,0
