published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-02,2026-07-02 11:00:00,299.3,321.7,299.3,310.5,3.74,82.0,27862.6,1
2026-07-02,2026-07-02 12:00:00,310.5,321.7,310.5,321.7,3.61,82.0,27862.6,1
2026-07-02,2026-07-02 13:00:00,321.7,332.9,321.7,332.9,3.48,82.0,27862.6,1
2026-07-02,2026-07-02 14:00:00,332.9,344.1,332.9,344.1,3.36,82.0,27862.6,1
2026-07-02,2026-07-02 15:00:00,344.1,344.1,299.3,344.1,0.0,82.0,27862.6,0
2026-07-03,2026-07-03 11:00:00,359.5,377.6,359.5,368.55,2.52,46.0,17971.6,1
2026-07-03,2026-07-03 12:00:00,368.55,377.6,368.55,377.6,2.46,46.0,17971.6,1
2026-07-03,2026-07-03 13:00:00,377.6,386.65,377.6,386.65,2.4,46.0,17971.6,1
2026-07-03,2026-07-03 14:00:00,386.65,395.7,386.65,395.7,2.34,46.0,17971.6,1
2026-07-03,2026-07-03 15:00:00,395.7,395.7,359.5,395.7,0.0,46.0,17971.6,0
2026-07-06,2026-07-06 11:00:00,396.7,425.85,396.7,411.27,3.67,252.0,114321.8,1
2026-07-06,2026-07-06 12:00:00,411.27,425.85,411.27,425.85,3.55,252.0,114321.8,1
2026-07-06,2026-07-06 13:00:00,425.85,440.43,425.85,440.43,3.42,252.0,114321.8,1
2026-07-06,2026-07-06 14:00:00,440.43,455.0,440.43,455.0,3.31,252.0,114321.8,1
2026-07-06,2026-07-06 15:00:00,455.0,455.0,396.7,455.0,0.0,252.0,114321.8,0
2026-07-07,2026-07-07 11:00:00,477.0,500.1,477.0,483.52,1.37,31392.0,15913482.4,1
2026-07-07,2026-07-07 12:00:00,483.52,490.05,483.52,490.05,1.35,31392.0,15913482.4,1
2026-07-07,2026-07-07 13:00:00,490.05,496.58,490.05,496.58,1.33,31392.0,15913482.4,1
2026-07-07,2026-07-07 14:00:00,496.58,503.1,496.58,503.1,1.31,31392.0,15913482.4,1
2026-07-07,2026-07-07 15:00:00,503.1,523.2,477.0,503.1,0.0,31392.0,15913482.4,0
2026-07-08,2026-07-08 11:00:00,505.0,507.0,485.05,496.52,-1.68,32812.0,15691514.0,-1
2026-07-08,2026-07-08 12:00:00,496.52,496.52,488.05,488.05,-1.71,32812.0,15691514.0,-1
2026-07-08,2026-07-08 13:00:00,488.05,488.05,479.58,479.58,-1.74,32812.0,15691514.0,-1
2026-07-08,2026-07-08 14:00:00,479.58,479.58,471.1,471.1,-1.77,32812.0,15691514.0,-1
