published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-01-23,2023-01-23 11:00:00,374.8,389.5,374.8,382.15,1.96,266.0,107328.2,1
2023-01-23,2023-01-23 12:00:00,382.15,389.5,382.15,389.5,1.92,266.0,107328.2,1
2023-01-23,2023-01-23 13:00:00,389.5,396.85,389.5,396.85,1.89,266.0,107328.2,1
2023-01-23,2023-01-23 14:00:00,396.85,404.2,396.85,404.2,1.85,266.0,107328.2,1
2023-01-23,2023-01-23 15:00:00,404.2,404.2,374.8,404.2,0.0,266.0,107328.2,0
2023-01-24,2023-01-24 11:00:00,412.2,428.4,412.2,420.3,1.97,348.0,154435.0,1
2023-01-24,2023-01-24 12:00:00,420.3,428.4,420.3,428.4,1.93,348.0,154435.0,1
2023-01-24,2023-01-24 13:00:00,428.4,436.5,428.4,436.5,1.89,348.0,154435.0,1
2023-01-24,2023-01-24 14:00:00,436.5,444.6,436.5,444.6,1.86,348.0,154435.0,1
2023-01-24,2023-01-24 15:00:00,444.6,444.6,412.2,444.6,0.0,348.0,154435.0,0
2023-01-25,2023-01-25 11:00:00,436.1,462.55,436.1,449.33,3.03,8951.0,4375699.6,1
2023-01-25,2023-01-25 12:00:00,449.33,462.55,449.33,462.55,2.94,8951.0,4375699.6,1
2023-01-25,2023-01-25 13:00:00,462.55,475.77,462.55,475.77,2.86,8951.0,4375699.6,1
2023-01-25,2023-01-25 14:00:00,475.77,489.0,475.77,489.0,2.78,8951.0,4375699.6,1
2023-01-25,2023-01-25 15:00:00,489.0,489.0,436.1,489.0,0.0,8951.0,4375699.6,0
2023-01-26,2023-01-26 11:00:00,498.7,518.3,495.35,497.77,-0.19,12633.4,6325449.4,-1
2023-01-26,2023-01-26 12:00:00,497.77,497.77,496.85,496.85,-0.18,12633.4,6325449.4,-1
2023-01-26,2023-01-26 13:00:00,496.85,496.85,495.93,495.93,-0.19,12633.4,6325449.4,-1
2023-01-26,2023-01-26 14:00:00,495.93,495.93,495.0,495.0,-0.19,12633.4,6325449.4,-1
2023-01-26,2023-01-26 15:00:00,495.0,537.9,492.0,495.0,0.0,12633.4,6325449.4,0
2023-01-29,2023-01-29 11:00:00,485.1,499.55,480.55,488.33,0.67,4643.6,2292505.9,1
