published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-01-22,2014-01-22 11:00:00,0.0,162.0,0.0,81.0,0.0,2.0,648.0,1
2014-01-22,2014-01-22 12:00:00,81.0,162.0,81.0,162.0,100.0,2.0,648.0,1
2014-01-22,2014-01-22 13:00:00,162.0,243.0,162.0,243.0,50.0,2.0,648.0,1
2014-01-22,2014-01-22 14:00:00,243.0,324.0,243.0,324.0,33.33,2.0,648.0,1
2014-01-22,2014-01-22 15:00:00,324.0,324.0,324.0,324.0,0.0,2.0,648.0,0
2014-01-23,2014-01-23 11:00:00,324.0,340.0,324.0,332.0,2.47,12.0,4132.0,1
2014-01-23,2014-01-23 12:00:00,332.0,340.0,332.0,340.0,2.41,12.0,4132.0,1
2014-01-23,2014-01-23 13:00:00,340.0,348.0,340.0,348.0,2.35,12.0,4132.0,1
2014-01-23,2014-01-23 14:00:00,348.0,356.0,348.0,356.0,2.3,12.0,4132.0,1
2014-01-23,2014-01-23 15:00:00,356.0,356.0,330.0,356.0,0.0,12.0,4132.0,0
2014-01-26,2014-01-26 11:00:00,356.0,364.5,356.0,360.25,1.19,2.0,746.0,1
2014-01-26,2014-01-26 12:00:00,360.25,364.5,360.25,364.5,1.18,2.0,746.0,1
2014-01-26,2014-01-26 13:00:00,364.5,368.75,364.5,368.75,1.17,2.0,746.0,1
2014-01-26,2014-01-26 14:00:00,368.75,373.0,368.75,373.0,1.15,2.0,746.0,1
2014-01-26,2014-01-26 15:00:00,373.0,373.0,373.0,373.0,0.0,2.0,746.0,0
2014-01-27,2014-01-27 11:00:00,373.0,387.0,373.0,380.0,1.88,8.0,3124.0,1
2014-01-27,2014-01-27 12:00:00,380.0,387.0,380.0,387.0,1.84,8.0,3124.0,1
2014-01-27,2014-01-27 13:00:00,387.0,394.0,387.0,394.0,1.81,8.0,3124.0,1
2014-01-27,2014-01-27 14:00:00,394.0,401.0,394.0,401.0,1.78,8.0,3124.0,1
2014-01-27,2014-01-27 15:00:00,401.0,401.0,380.0,401.0,0.0,8.0,3124.0,0
2014-01-28,2014-01-28 11:00:00,401.0,421.0,401.0,411.0,2.49,50.4,21951.2,1
2014-01-28,2014-01-28 12:00:00,411.0,421.0,411.0,421.0,2.43,50.4,21951.2,1
2014-01-28,2014-01-28 13:00:00,421.0,431.0,421.0,431.0,2.38,50.4,21951.2,1
